Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
22,759145627242622978,1,0,2016-07-29 21:56:36,: Travaillez comme agent des consultations dans les collectivités au ! AANC embauche à Yellowknife :,['#GdC'],['https://t.co/M4e8\xe2\x80\xa6'],Travaillez comme agent des consultations dans les au AANC embauche Yellowknife,"['Travaillez', 'comme', 'agent', 'des', 'consultations', 'dans', 'les', 'au', 'AANC', 'embauche', 'Yellowknife']","[u'travaillez', u'comm', u'agent', u'des', u'consult', u'dan', u'les', 'au', u'aanc', u'embauch', u'yellowknif']"
23,708095203249364992,0,0,2016-03-11 01:00:26,Natalie Plato parle à à la Journée de l’industrie de SPAC à le févr. D,['#YZF'],"['https://t.co/uQB3WCpgDM', 'https://t.co/fw4lyxw0F']",Natalie Plato parle la de industrie de SPAC le vr,"['Natalie', 'Plato', 'parle', 'la', 'de', 'industrie', 'de', 'SPAC', 'le', 'vr']","[u'natali', u'plato', u'parl', 'la', 'de', u'industri', 'de', u'spac', 'le', 'vr']"
24,708095195305345025,0,0,2016-03-11 01:00:24,Le personnel d’AANC à la Journée de l’industrie de SPAC le févr. à .,['#YZF'],"['https://t.co/uQB3WCpgDM', 'https://t.co/XjVnv2evOt']",Le personnel AANC la de industrie de SPAC le vr,"['Le', 'personnel', 'AANC', 'la', 'de', 'industrie', 'de', 'SPAC', 'le', 'vr']","['le', u'personnel', u'aanc', 'la', 'de', u'industri', 'de', u'spac', 'le', 'vr']"
25,705483003619897344,0,0,2016-03-03 20:00:29,"Tribune publique sur la stabilisation du site . Ce soir, h, au Café du Musée à Yellowknife. Tout le monde est bienvenu.",['#MineGiant'],[],Tribune publique sur la stabilisation du site Ce soir au du Yellowknife Tout le monde est bienvenu,"['Tribune', 'publique', 'sur', 'la', 'stabilisation', 'du', 'site', 'Ce', 'soir', 'au', 'du', 'Yellowknife', 'Tout', 'le', 'monde', 'est', 'bienvenu']","[u'tribun', u'publiqu', u'sur', 'la', u'stabilis', 'du', u'site', 'ce', u'soir', 'au', 'du', u'yellowknif', u'tout', 'le', u'mond', u'est', u'bienvenu']"
26,702551100549931009,0,0,2016-02-24 17:50:09,La Journée de l’industrie se tiendra le févr. 2016. Voyez pour infos sur le projet d’assainissement + occasions.,[],['https://t.co/W8JW80JmL7'],La de industrie se tiendra le vr 2016 Voyez pour infos sur le projet assainissement occasions,"['La', 'de', 'industrie', 'se', 'tiendra', 'le', 'vr', '2016', 'Voyez', 'pour', 'infos', 'sur', 'le', 'projet', 'assainissement', 'occasions']","['la', 'de', u'industri', 'se', u'tiendra', 'le', 'vr', u'2016', u'voyez', u'pour', u'info', u'sur', 'le', u'projet', u'assainiss', u'occas']"
27,702278056703037440,0,0,2016-02-23 23:45:11,"Tribune publique sur la stabilisation du site . Le mars, h, au Café du Musée, à Yellowknife.",['#MineGiant'],[],Tribune publique sur la stabilisation du site Le mars au du Yellowknife,"['Tribune', 'publique', 'sur', 'la', 'stabilisation', 'du', 'site', 'Le', 'mars', 'au', 'du', 'Yellowknife']","[u'tribun', u'publiqu', u'sur', 'la', u'stabilis', 'du', u'site', 'le', u'mar', 'au', 'du', u'yellowknif']"
28,700353804882046976,4,0,2016-02-18 16:18:53,": Joignez-vous à nous à Yellowknife! Journée de l’industrie, , févr.","['#industrie', '#NWT', '#YZF']",['https://t\xe2\x80\xa6'],Joignez vous nous Yellowknife de industrie vr,"['Joignez', 'vous', 'nous', 'Yellowknife', 'de', 'industrie', 'vr']","[u'joignez', u'vous', u'nous', u'yellowknif', 'de', u'industri', 'vr']"
29,697193407836463109,0,0,2016-02-09 23:00:36,La mobilization : activité cruciale pour l’assainissement. Plus sur la programme pour la conception de la surface :,[],['https://t.co/lKgAGvBtgk'],La mobilization cruciale pour assainissement Plus sur la programme pour la conception de la surface,"['La', 'mobilization', 'cruciale', 'pour', 'assainissement', 'Plus', 'sur', 'la', 'programme', 'pour', 'la', 'conception', 'de', 'la', 'surface']","['la', u'mobil', u'crucial', u'pour', u'assainiss', u'plus', u'sur', 'la', u'programm', u'pour', 'la', u'concept', 'de', 'la', u'surfac']"
30,694649061278924800,0,0,2016-02-02 22:30:16,"En 2015, nous avons stabilisé six chambres souterraines avec presque 000 mètres cubes de pâte. En savoir plus :",[],['https://t.co/7EyRdwgS8t'],En 2015 nous avons six chambres souterraines avec presque 000 tres cubes de te En savoir plus,"['En', '2015', 'nous', 'avons', 'six', 'chambres', 'souterraines', 'avec', 'presque', '000', 'tres', 'cubes', 'de', 'te', 'En', 'savoir', 'plus']","['en', u'2015', u'nous', u'avon', u'six', u'chambr', u'souterrain', u'avec', u'presqu', u'000', u'tres', u'cube', 'de', 'te', 'en', u'savoir', u'plus']"
31,692467218454597633,0,0,2016-01-27 22:00:24,Merci à tous ceux qui continuent de participer au programme pour la conception de la surface. En savoir plus ici :,[],['https://t.co/fsdLbXdLbR'],Merci tous ceux qui continuent de participer au programme pour la conception de la surface En savoir plus ici,"['Merci', 'tous', 'ceux', 'qui', 'continuent', 'de', 'participer', 'au', 'programme', 'pour', 'la', 'conception', 'de', 'la', 'surface', 'En', 'savoir', 'plus', 'ici']","[u'merci', u'tous', u'ceux', u'qui', u'continu', 'de', u'particip', 'au', u'programm', u'pour', 'la', u'concept', 'de', 'la', u'surfac', 'en', u'savoir', u'plus', u'ici']"
32,691674496474976256,0,0,2016-01-25 17:30:25,"Si vous êtes passés près , vous aurez remarqué des changements dans le paysage.",[],"['https://t.co/6lNLgW9mcf', 'https://t.co/npzj7unnMr']",Si vous vous aurez des changements dans le paysage,"['Si', 'vous', 'vous', 'aurez', 'des', 'changements', 'dans', 'le', 'paysage']","['si', u'vous', u'vous', u'aurez', u'des', u'changement', u'dan', 'le', u'paysag']"
33,689175583327145984,0,0,2016-01-18 20:00:37,a été occupée! Ce contrefort stabilise la paroi d’un puits &amp; prévient l’inondation. 28,[],"['https://t.co/nZzKXaSG', 'https://t.co/rfnotHDcws']",Ce contrefort stabilise la paroi un puits amp vient inondation 28,"['Ce', 'contrefort', 'stabilise', 'la', 'paroi', 'un', 'puits', 'amp', 'vient', 'inondation', '28']","['ce', u'contrefort', u'stabilis', 'la', u'paroi', 'un', u'puit', u'amp', u'vient', u'inond', '28']"
34,631082771679739904,0,0,2015-08-11 12:40:32,La construction du soutien du puits C1 est terminée. La construction a nécessité environ mètres cubes de roche,[],['http://t.co/JHVXK2CO8i'],La construction du soutien du puits C1 est La construction environ tres cubes de roche,"['La', 'construction', 'du', 'soutien', 'du', 'puits', 'C1', 'est', 'La', 'construction', 'environ', 'tres', 'cubes', 'de', 'roche']","['la', u'construct', 'du', u'soutien', 'du', u'puit', 'c1', u'est', 'la', u'construct', u'environ', u'tres', u'cube', 'de', u'roch']"
