Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,947150591561752576,0,0,2017-12-30 17:01:12,Nous sommes là pour vous aider &gt; érien,"['#VoyageA', '#DroitsPassagers']",['https://t.co/SQmBWPhw4m'],Nous sommes pour vous aider gt rien,"['Nous', 'sommes', 'pour', 'vous', 'aider', 'gt', 'rien']","[u'nous', u'somm', u'pour', u'vous', u'aider', 'gt', u'rien']"
1,946833514074427392,0,0,2017-12-29 20:01:15,Les malheurs des – La ligne aérienne a perdu vos bagages? Renseignez-vous &gt;,"['#vacances', '#VoyageCnd', '#facilitation']",['https://t.co/P9kBJYYi8H'],Les malheurs des La ligne rienne perdu vos bagages Renseignez vous gt,"['Les', 'malheurs', 'des', 'La', 'ligne', 'rienne', 'perdu', 'vos', 'bagages', 'Renseignez', 'vous', 'gt']","[u'les', u'malheur', u'des', 'la', u'lign', u'rienn', u'perdu', u'vos', u'bagag', u'renseignez', u'vous', 'gt']"
2,946455972754714626,0,0,2017-12-28 19:01:02,De quelle façon règle-t-il les plaintes d'é? Découvrez-le ici &gt;,['#accessibilit'],['https://t.co/7I0gif1J24'],De quelle gle il les plaintes couvrez le ici gt,"['De', 'quelle', 'gle', 'il', 'les', 'plaintes', 'couvrez', 'le', 'ici', 'gt']","['de', u'quell', u'gle', 'il', u'les', u'plaint', u'couvrez', 'le', u'ici', 'gt']"
3,946063558386872325,0,0,2017-12-27 17:01:43,Lisez à propos de nos ans au coeur des transports &gt;,['#Canada150'],"['https://t.co/oC5dLa7KBk', 'https://t.co/JmWyaR3nKn']",Lisez propos de nos ans au coeur des transports gt,"['Lisez', 'propos', 'de', 'nos', 'ans', 'au', 'coeur', 'des', 'transports', 'gt']","[u'lisez', u'propo', 'de', u'nos', u'an', 'au', u'coeur', u'des', u'transport', 'gt']"
4,944553434585423872,0,0,2017-12-23 13:01:02,Passez tous de joyeuses fêtes!,[],['https://t.co/H7bfZkIbIn'],Passez tous de joyeuses,"['Passez', 'tous', 'de', 'joyeuses']","[u'passez', u'tous', 'de', u'joyeus']"
5,944191139560787968,0,0,2017-12-22 13:01:24,Vol annulé? Bagages perdus? est peut-être en mesure de vous aider. Plus d'info &gt;,['#Canada'],['https://t.co/P9kBJYYi8H'],Vol Bagages perdus est peut en mesure de vous aider Plus info gt,"['Vol', 'Bagages', 'perdus', 'est', 'peut', 'en', 'mesure', 'de', 'vous', 'aider', 'Plus', 'info', 'gt']","[u'vol', u'bagag', u'perdus', u'est', u'peut', 'en', u'mesur', 'de', u'vous', u'aider', u'plus', u'info', 'gt']"
6,943921565498068999,0,0,2017-12-21 19:10:13,Ce que vous devez savoir lorsque votre voyage aérien est perturbé &gt; érien és,"['#VoyageA', '#VolsRetard']",['https://t.co/kOfAIIp7Ck'],Ce que vous devez savoir lorsque votre voyage rien est gt rien,"['Ce', 'que', 'vous', 'devez', 'savoir', 'lorsque', 'votre', 'voyage', 'rien', 'est', 'gt', 'rien']","['ce', u'que', u'vous', u'devez', u'savoir', u'lorsqu', u'votr', u'voyag', u'rien', u'est', 'gt', u'rien']"
7,943881462654390275,0,0,2017-12-21 16:30:51,"Campagne agricole -2016 : $CN et $CP excèdent le revenu max. admissible. Ont transporté ,9% plus de grain. &gt; c",[],"['https://t.co/0dlbTGNJO', 'https://t.co/Vx3D7llXTm']",Campagne agricole 2016 CN et CP dent le revenu max admissible Ont plus de grain gt,"['Campagne', 'agricole', '2016', 'CN', 'et', 'CP', 'dent', 'le', 'revenu', 'max', 'admissible', 'Ont', 'plus', 'de', 'grain', 'gt']","[u'campagn', u'agricol', u'2016', 'cn', 'et', 'cp', u'dent', 'le', u'revenu', u'max', u'admiss', u'ont', u'plus', 'de', u'grain', 'gt']"
8,943828551530409984,0,0,2017-12-21 13:00:36,"C'est la première journée de l'hiver! Avant votre vol, vérifiez nos conseils et 'air averti! &gt;",['#Prenezl'],"['https://t.co/6CCLWqX8ey', 'https://t.co/Ot8KBVIGAR']",est la de hiver Avant votre vol rifiez nos conseils et air averti gt,"['est', 'la', 'de', 'hiver', 'Avant', 'votre', 'vol', 'rifiez', 'nos', 'conseils', 'et', 'air', 'averti', 'gt']","[u'est', 'la', 'de', u'hiver', u'avant', u'votr', u'vol', u'rifiez', u'nos', u'conseil', 'et', u'air', u'averti', 'gt']"
9,943556791585173504,0,0,2017-12-20 19:00:44,Options pour régler votre relative aux transports – Renseignez-vous ici &gt;,"['#plainte', '#accessibles']",['https://t.co/gqgiFFzUOw'],Options pour gler votre relative aux transports Renseignez vous ici gt,"['Options', 'pour', 'gler', 'votre', 'relative', 'aux', 'transports', 'Renseignez', 'vous', 'ici', 'gt']","[u'option', u'pour', u'gler', u'votr', u'relat', u'aux', u'transport', u'renseignez', u'vous', u'ici', 'gt']"
10,943164343339966465,0,0,2017-12-19 17:01:17,Problèmes avec votre vol? Assurez-vous de conserver une copie de votre correspondance. Plus d'info &gt;,['#MardiVoyage'],['https://t.co/JU68dcXErp'],mes avec votre vol Assurez vous de conserver une copie de votre correspondance Plus info gt,"['mes', 'avec', 'votre', 'vol', 'Assurez', 'vous', 'de', 'conserver', 'une', 'copie', 'de', 'votre', 'correspondance', 'Plus', 'info', 'gt']","[u'mes', u'avec', u'votr', u'vol', u'assurez', u'vous', 'de', u'conserv', u'une', u'copi', 'de', u'votr', u'correspond', u'plus', u'info', 'gt']"
