Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
1288,839544090110935045,4,4,2017-03-08 18:31:23,"Meredith, membre clé de l’ÉquipeDuPNSA, en pleine action pendant une patrouille des glaces éeInternationaleDesFemmes ÉgalitéCompte c","['#', '#Journ', '#']",['https://t.co/HpkzaEGUr'],Meredith membre de quipeDuPNSA en pleine action pendant une patrouille des glaces eInternationaleDesFemmes Compte,"['Meredith', 'membre', 'de', 'quipeDuPNSA', 'en', 'pleine', 'action', 'pendant', 'une', 'patrouille', 'des', 'glaces', 'eInternationaleDesFemmes', 'Compte']","[u'meredith', u'membr', 'de', u'quipedupnsa', 'en', u'plein', u'action', u'pendant', u'une', u'patrouill', u'des', u'glace', u'einternationaledesfemm', u'compt']"
1289,839521479930875909,0,0,2017-03-08 17:01:33,"Lillian Kluka, première femme capitaine sur les Grands Lacs et pilote maritime ! éeInternationaleDesFemmes ÉgalitéCompte","['#canadienne', '#Journ', '#']",[],Lillian Kluka femme capitaine sur les Grands Lacs et pilote maritime eInternationaleDesFemmes Compte,"['Lillian', 'Kluka', 'femme', 'capitaine', 'sur', 'les', 'Grands', 'Lacs', 'et', 'pilote', 'maritime', 'eInternationaleDesFemmes', 'Compte']","[u'lillian', u'kluka', u'femm', u'capitain', u'sur', u'les', u'grand', u'lac', 'et', u'pilot', u'maritim', u'einternationaledesfemm', u'compt']"
1290,839517671142133760,2,0,2017-03-08 16:46:24,: _CSS et collaborent pour un atelier visant à accroître connaissances sur transformation du transport ro…,['#RDDC'],[],et collaborent pour un atelier visant tre connaissances sur transformation du transport,"['et', 'collaborent', 'pour', 'un', 'atelier', 'visant', 'tre', 'connaissances', 'sur', 'transformation', 'du', 'transport']","['et', u'collabor', u'pour', 'un', u'ateli', u'visant', u'tre', u'connaiss', u'sur', u'transform', 'du', u'transport']"
1291,839491356691214336,2,1,2017-03-08 15:01:51,"En , Lorna deBlicquy devient la première inspectrice de l’aviation civile au .",['#Canada'],['https://t.co/ZoRmFt6E7K'],En Lorna deBlicquy devient la inspectrice de aviation civile au,"['En', 'Lorna', 'deBlicquy', 'devient', 'la', 'inspectrice', 'de', 'aviation', 'civile', 'au']","['en', u'lorna', u'deblicquy', u'devient', 'la', u'inspectric', 'de', u'aviat', u'civil', 'au']"
1292,839461020150161416,1,4,2017-03-08 13:01:18,"En cette éeInternationaleDesFemmes, nous tenons à souligner les grandes réalisations de femmes canadiennes.","['#Journ', '#Canada150']",[],En cette eInternationaleDesFemmes nous tenons souligner les grandes alisations de femmes canadiennes,"['En', 'cette', 'eInternationaleDesFemmes', 'nous', 'tenons', 'souligner', 'les', 'grandes', 'alisations', 'de', 'femmes', 'canadiennes']","['en', u'cett', u'einternationaledesfemm', u'nous', u'tenon', u'soulign', u'les', u'grand', u'alis', 'de', u'femm', u'canadienn']"
1293,839219448846376965,5,3,2017-03-07 21:01:23,Le éans du Canada permettra de mieux protéger ôtes au Canada atlantique.,"['#PlanDeProtectionDesOc', '#NosC']",['https://t.co/o6Xff5OULE'],Le ans du Canada permettra de mieux ger tes au Canada atlantique,"['Le', 'ans', 'du', 'Canada', 'permettra', 'de', 'mieux', 'ger', 'tes', 'au', 'Canada', 'atlantique']","['le', u'an', 'du', u'canada', u'permettra', 'de', u'mieux', u'ger', u'tes', 'au', u'canada', u'atlantiqu']"
1294,839159862713970688,0,0,2017-03-07 17:04:36,"Mardi-devinette: Pendant la Deuxième Guerre mondiale, combien de types d’avions Marion Orr a-t-elle pilotés?",[],[],Mardi devinette Pendant la Guerre mondiale combien de types avions Marion Orr elle,"['Mardi', 'devinette', 'Pendant', 'la', 'Guerre', 'mondiale', 'combien', 'de', 'types', 'avions', 'Marion', 'Orr', 'elle']","[u'mardi', u'devinett', u'pendant', 'la', u'guerr', u'mondial', u'combien', 'de', u'type', u'avion', u'marion', u'orr', u'ell']"
1295,838917442013433858,4,2,2017-03-07 01:01:19,"Si l’indicateur d’ABS ne s’éteint pas, il est possible que ce système ne fonctionne pas. Faites-le vérifier! 8",[],"['https://t.co/myHgmPVftX', 'https://t.co/KK09ylHFM']",Si indicateur ABS ne teint pas il est possible que ce ne fonctionne pas Faites le rifier,"['Si', 'indicateur', 'ABS', 'ne', 'teint', 'pas', 'il', 'est', 'possible', 'que', 'ce', 'ne', 'fonctionne', 'pas', 'Faites', 'le', 'rifier']","['si', u'indicateur', u'ab', 'ne', u'teint', u'pas', 'il', u'est', u'possibl', u'que', 'ce', 'ne', u'fonctionn', u'pas', u'fait', 'le', u'rifier']"
1296,838736234176471040,3,3,2017-03-06 13:01:15,C’est la ! Nous en profiterons pour souligner leur contribution en aviation au .,"['#SemaineDesFemmesDeLair', '#Canada']",['https://t.co/EirY9YnNzM'],est la Nous en profiterons pour souligner leur contribution en aviation au,"['est', 'la', 'Nous', 'en', 'profiterons', 'pour', 'souligner', 'leur', 'contribution', 'en', 'aviation', 'au']","[u'est', 'la', u'nous', 'en', u'profiteron', u'pour', u'soulign', u'leur', u'contribut', 'en', u'aviat', 'au']"
1297,838464291086938112,1,1,2017-03-05 19:00:39,: VUTT Polaris. Défaut possible: du carburant non brûlé pourrait passer dans l’échappement et prendre feu.,['#Rappel'],"['https://t.co/SyIAgPmg6r', 'https://t.co/nIkLBBW6tf']",VUTT Polaris faut possible du carburant non pourrait passer dans chappement et prendre feu,"['VUTT', 'Polaris', 'faut', 'possible', 'du', 'carburant', 'non', 'pourrait', 'passer', 'dans', 'chappement', 'et', 'prendre', 'feu']","[u'vutt', u'polari', u'faut', u'possibl', 'du', u'carbur', u'non', u'pourrait', u'passer', u'dan', u'chappement', 'et', u'prendr', u'feu']"
