,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
10,370233926766473_393560777767121,2017-12-13 18:17:01,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/393560777767121/?type=3,"Le Canada va de l’avant avec l’élaboration de la Norme sur les carburants propres pour réduire une quantité d’émissions annuelles équivalant au retrait de 7 millions de véhicules de la circulation!
Une des actions clés de notre plan canadien de lutte contre les changements climatiques sera de consulter les provinces, territoires, industrie et organismes non gouvernementaux pour leur demander leur avis. 
Consulter le cadre pour voir comment nous protégeons notre environnement, notre santé et notre prospérité future.
http://ow.ly/bmRG30hddEL","Le Canada va de l’avant avec l’élaboration de la Norme sur les carburants propres pour réduire une quantité d’émissions annuelles équivalant au retrait de millions de véhicules de la circulation! Une des actions clés de notre plan canadien de lutte contre les changements climatiques sera de consulter les provinces, territoires, industrie et organismes non gouvernementaux pour leur demander leur avis. Consulter le cadre pour voir comment nous protégeons notre environnement, notre santé et notre prospérité future.",[],0,0,4,0,0,0,0,0,0,0,4,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,"['future', 'changement', 'change', 'futur']",neutral
11,370233926766473_390423974747468,2017-12-06 20:44:56,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/390423844747481/?type=3,"La ministre de l’Environnement et du Changement climatique, Catherine McKenna, a visité le Shanghai Environment and Energy Exchange. Cette organisation aide à bâtir un avenir plus durable en appuyant l’échange de droits d’émission de carbone en Chine.","La ministre de l’Environnement et du Changement climatique, Catherine McKenna, a visité le Shanghai Environment and Energy Exchange. Cette organisation aide à bâtir un avenir plus durable en appuyant l’échange de droits d’émission de carbone en Chine.",[],2,1,1,2,0,0,0,0,0,0,4,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'climat', 'durable', 'changement climatique', 'carbon', 'or']",neutral
12,370233926766473_384142418708957,2017-11-22 20:19:29,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/384142418708957/?type=3,"Regardez la conseillère scientifique en chef, Dre Mona Nemer, animer une table ronde sur le fondement scientifique du Protocole de Montréal.

Les membres de la table ronde faisant partie de la communauté scientifique sont : Dr. Vitali Fioletov et Dr. Nathan Gillett d’Environnement et Changement climatique Canada, Dre Amanda Maycock de l’ University of Leeds au Royaume-Uni, Dr. Guus Velders de l’  Utrecht University  et de l’Institut national de santé publique et d’environnement des Pays-Bas, et Dre Anne Thompson du Centre de recherche NASA Goddard aux États-Unis. UN Environment","Regardez la conseillère scientifique en chef, Dre Mona Nemer, animer une table ronde sur le fondement scientifique du Protocole de Montréal. Les membres de la table ronde faisant partie de la communauté scientifique sont : Dr. Vitali Fioletov et Dr. Nathan Gillett d’Environnement et Changement climatique Canada, Dre Amanda Maycock de l’ University of Leeds au Royaume-Uni, Dr. Guus Velders de l’ Utrecht University et de l’Institut national de santé publique et d’environnement des Pays-Bas, et Dre Anne Thompson du Centre de recherche NASA Goddard aux États-Unis. UN Environment",[],2,0,2,2,0,0,0,0,0,0,4,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'changement climatique', 'climat', 'mer']",neutral
13,370233926766473_384883121968220,2017-11-24 13:15:29,https://www.facebook.com/EnvironnementetChangementclimatique/videos/384883121968220/,"Au cas où vous l’auriez manqué, la délégation du Canada a travaillé très fort à la COP23 à Bonn en Allemagne pour créer une planète durable pour les générations futures. Nous sommes tous unis pour l’#ActionClimatique.","Au cas où vous l’auriez manqué, la délégation du Canada a travaillé très fort à la COP23 à Bonn en Allemagne pour créer une planète durable pour les générations futures. Nous sommes tous unis pour l’.",['#ActionClimatique'],4,0,0,4,0,0,0,0,0,0,4,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['cop23', 'durable', 'or']",neutral
14,370233926766473_384452442011288,2017-11-23 13:48:21,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/384452382011294/?type=3,"Ne manquez pas la diffusion aujourd’hui, à 14 h 30 (HNE), de la discussion du groupe d’experts sur la science qui a contribué à rétablir la couche d’ozone et à lutter contre les changements climatiques en vertu du Protocole de Montréal.
 
Des scientifiques du monde entier, dont Vitali Fioletov et Nathan Gillet d’Environnement et Changement climatique Canada, en feront partie.","Ne manquez pas la diffusion aujourd’hui, à h (HNE), de la discussion du groupe d’eerts sur la science qui a contribué à rétablir la couche d’ozone et à lutter contre les changements climatiques en vertu du Protocole de Montréal. Des scientifiques du monde entier, dont Vitali Fioletov et Nathan Gillet d’Environnement et Changement climatique Canada, en feront partie.",[],3,0,1,3,0,0,0,0,0,0,4,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'changement climatique', 'climat', 'vert']",neutral
15,370233926766473_392068424583023,2017-12-10 08:40:03,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/392068424583023/?type=3,#CanadaEnChine – Mission commerciale de la ministre McKenna sur #TechnologiesPropres : l’entreprise 🇨🇦 #ShellCansolv capte la pollution par le carbone avant qu’elle ne se retrouve dans l’atmosphère. http://ow.ly/w1nW30h7XPF #ActionClimatique,– Mission commerciale de la ministre McKenna sur : l’entreprise 🇨🇦 capte la pollution par le carbone avant qu’elle ne se retrouve dans l’atmosphère.,"['#CanadaEnChine', '#TechnologiesPropres', '#ShellCansolv', '#ActionClimatique']",0,0,4,0,0,0,0,0,0,0,4,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['carbon', 'pollution', 'mer']",neutral
16,370233926766473_397148524075013,2017-12-21 16:20:07,https://www.facebook.com/EnvironnementetChangementclimatique/videos/397148524075013/,"Le 12 décembre, la ministre McKenna a participé à #OnePlanetSummit et a travaillé avec des leaders des secteurs public et privé sur une nouvelle et innovatrice #ActionClimatique.","Le décembre, la ministre McKenna a participé à et a travaillé avec des leaders des secteurs public et privé sur une nouvelle et innovatrice .","['#OnePlanetSummit', '#ActionClimatique']",2,0,2,2,0,0,0,0,0,0,4,Economical,fr,0.0,EnvironnementetChangementclimatique_facebook,"['secteur', 'novatrice', 'ministre']",neutral
17,370233926766473_386279601828572,2017-11-27 16:51:41,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/386279558495243/?type=3,"La semaine dernière, Philippe Chemouny, gestionnaire à Environnement et changement climatique Canada, a gagné un Prix Ozone au cours de la 29e réunion des Parties du Protocole de Montréal. Il a été l’un des négociateurs clés du Canada dans certaines des négociations les plus difficiles relatives au Protocole de Montréal au cours des 20 dernières années, notamment l’Amendement de Kigali de 2016 visant à réduire progressivement les HFC. Pour en apprendre davantage au sujet de M. Chemouny : http://ow.ly/cnO930gQT6d","La semaine dernière, Philippe Chemouny, gestionnaire à Environnement et changement climatique Canada, a gagné un Prix Ozone au cours de la e réunion des Parties du Protocole de Montréal. Il a été l’un des négociateurs clés du Canada dans certaines des négociations les plus difficiles relatives au Protocole de Montréal au cours des dernières années, notamment l’Amendement de Kigali de visant à réduire progressivement les HFC. Pour en apprendre davantage au sujet de M. Chemouny : d",[],2,0,1,2,0,0,0,0,0,0,3,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'changement climatique', 'climat', 'air']",neutral
18,370233926766473_387170871739445,2017-11-29 16:10:51,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/387170788406120/?type=3,"Aujourd’hui, la ministre de l’Environnement et du Changement climatique, Catherine McKenna, était à la Chambre de commerce de la région de Toronto pour discuter de la façon dont les entreprises du Canada peuvent favoriser la croissance propre!","Aujourd’hui, la ministre de l’Environnement et du Changement climatique, Catherine McKenna, était à la Chambre de commerce de la région de Toronto pour discuter de la façon dont les entreprises du Canada peuvent favoriser la croissance propre!",[],3,0,0,3,0,0,0,0,0,0,3,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'climat', 'changement climatique', 'mer', 'propre', 'or']",neutral
19,370233926766473_390765104713355,2017-12-07 14:22:35,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/390764648046734/?type=3,"Dans le cadre de la campagne Déployez vos ailes avec les 4-H, 4-H Canada aide les enfants à devenir des champions de l’environnement. En tant que membres des 4-H, vous pouvez participer en vous inscrivant à l’Expo-Sciences des 4-H Canada!
Renseignez-vous : http://ow.ly/zWcs30h59Wn","Dans le cadre de la campagne Déployez vos ailes avec les -H, -H Canada aide les enfants à devenir des champions de l’environnement. En tant que membres des -H, vous pouvez participer en vous inscrivant à l’E-Sciences des -H Canada! Renseignez-vous :",[],2,0,1,2,0,0,0,0,0,0,3,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,['enfants'],neutral
20,370233926766473_387490278374171,2017-11-30 12:01:36,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/387490278374171/?type=3,"À la COP23 BONN la ministre Catherine McKenna a rencontré le cinéaste canadien, Mark Terry, qui a créé un projet visant à présenter environ 300 vidéos de recherche sur le climat. Consultez la carte pour explorer ces vidéos produites dans le monde entier!
http://ow.ly/1rg830gU0tM","À la COP23 BONN la ministre Catherine McKenna a rencontré le cinéaste canadien, Mark Terry, qui a créé un projet visant à présenter environ vidéos de recherche sur le climat. Consultez la carte pour elorer ces vidéos produites dans le monde entier!",[],2,0,1,2,0,0,0,0,0,0,3,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['cop23', 'or', 'climat']",neutral
21,370233926766473_383275005462365,2017-11-20 15:29:57,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/383274878795711/?type=3,"La ministre canadienne de l’Environnement et du Changement climatique, Catherine McKenna, est l’hôte cette semaine d’une réunion internationale à Montréal axée en partie sur la mise en œuvre de la plus grande mesure mondiale de lutte contre les changements climatiques jamais prise : l’élimination progressive des hydrofluorocarbures (HFC). 

Nous utilisons tous des HFC dans les appareils tels que les réfrigérateurs et les climatiseurs, et ils nous refroidissent avec une très grande efficacité. Malheureusement, ils réchauffent aussi la planète. Les délégués à la réunion du Protocole de Montréal travaillent à la mise en œuvre de l’amendement de Kigali au Protocole de Montréal, qui appelle à une élimination progressive mondiale des HFC. Les pays ont adopté l’amendement l’année passée, et le Canada est récemment devenu l’un des premiers pays à le ratifier. 

Le Canada prend d’énormes mesures pour assurer un avenir propre à nos enfants et à nos petits-enfants et, dans le cadre de ces efforts, conseille vivement aux autres pays de ratifier l’amendement de Kigali.","La ministre canadienne de l’Environnement et du Changement climatique, Catherine McKenna, est l’hôte cette semaine d’une réunion internationale à Montréal axée en partie sur la mise en œuvre de la plus grande mesure mondiale de lutte contre les changements climatiques jamais prise : l’élimination progressive des hydrofluorocarbures (HFC). Nous utilisons tous des HFC dans les appareils tels que les réfrigérateurs et les climatiseurs, et ils nous refroidissent avec une très grande efficacité. Malheureusement, ils réchauffent aussi la planète. Les délégués à la réunion du Protocole de Montréal travaillent à la mise en œuvre de l’amendement de Kigali au Protocole de Montréal, qui appelle à une élimination progressive mondiale des HFC. Les pays ont adopté l’amendement l’année passée, et le Canada est récemment devenu l’un des premiers pays à le ratifier. Le Canada prend d’énormes mesures pour assurer un avenir propre à nos enfants et à nos petits-enfants et, dans le cadre de ces efforts, conseille vivement aux autres pays de ratifier l’amendement de Kigali.",[],3,0,0,3,0,0,0,0,0,0,3,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'propre', 'changement climatique', 'climat', 'or']",neutral
22,370233926766473_387589845030881,2017-11-30 18:52:00,https://www.facebook.com/EnvironnementetChangementclimatique/videos/387589845030881/,"Identifiez un ami avec qui vous patinerez cet hiver! 🙋🏿

RinkWatch est une initiative de science citoyenne qui permet aux citoyens de fournir des données sur la température des patinoires de leur quartier. Ces renseignements seront utilisés pour étudier les effets à long terme des changements climatiques! 

À ce jour, des citoyens des pays participants ont fourni des conditions de patinage pour plus de 1 400 patinoires extérieures et étangs. Joignez-vous à eux cet hiver! http://ow.ly/Tg9d30gVTGM","Identifiez un ami avec qui vous patinerez cet hiver! RinkWatch est une initiative de science citoyenne qui permet aux citoyens de fournir des données sur la température des patinoires de leur quartier. Ces renseignements seront utilisés pour étudier les effets à long terme des changements climatiques! À ce jour, des citoyens des pays participants ont fourni des conditions de patinage pour plus de patinoires extérieures et étangs. Joignez-vous à eux cet hiver!",[],1,0,2,1,0,0,0,0,0,0,3,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,"['ami', 'changement', 'change']",neutral
23,370233926766473_387880361668496,2017-12-01 09:00:22,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/387880361668496/?type=3,"Cette formidable carte interactive présente environ 300 vidéos de recherche sur le climat produites par des jeunes du monde entier! 

Ce projet médiatique participatif, Youth Climate Report a été produit par le cinéaste canadien Mark Terry, en collaboration avec UNFCCC http://ow.ly/XP6430gVsPj","Cette formidable carte interactive présente environ vidéos de recherche sur le climat produites par des jeunes du monde entier! Ce projet médiatique participatif, Youth Climate Report a été produit par le cinéaste canadien Mark Terry, en collaboration avec UNFCCC",[],2,0,1,2,0,0,0,0,0,0,3,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,"['collaboration', 'jeunes']",neutral
24,370233926766473_389323564857509,2017-12-04 11:01:31,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/389323564857509/?type=3,Canada et Chine : ensemble pour protéger l’environnement et lutter contre les changements climatiques.,Canada et Chine : ensemble pour protéger l’environnement et lutter contre les changements climatiques.,[],3,0,0,3,0,0,0,0,0,0,3,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,"['changement', 'change']",neutral
25,370233926766473_389339584855907,2017-12-04 11:49:21,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/389339584855907/?type=3,"2018 marque l’Année du tourisme Canada-Chine. Le premier ministre canadien, Justin Trudeau, la ministre de la Petite Entreprise et du Tourisme du Canada, Bardish Chagger et la ministre de l'Environnement et du Changement climatique, Catherine McKenna, souhaitent la bienvenue aux touristes chinois dans nos merveilleux sites de Parcs Canada – nos trésors nationaux canadiens! Planifiez votre visite : http://ow.ly/4RLJ30h07cZ","marque l’Année du tourisme Canada-Chine. Le premier ministre canadien, Justin Trudeau, la ministre de la Petite Entreprise et du Tourisme du Canada, Bardish Chagger et la ministre de l'Environnement et du Changement climatique, Catherine McKenna, souhaitent la bienvenue aux touristes chinois dans nos merveilleux sites de Parcs Canada – nos trésors nationaux canadiens! Planifiez votre visite :",[],3,0,0,3,0,0,0,0,0,0,3,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'parc', 'climat', 'changement climatique', 'mer', 'eau', 'or']",neutral
26,370233926766473_387570745032791,2017-11-30 16:30:11,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/387570745032791/?type=3,"L’industrie de l’énergie possède un riche potentiel d’adaptation et d’innovation! Iron & Earth est une entreprise formée par un groupe d’anciens travailleurs de l’industrie  pétrolière de Terre-Neuve-et-Labrador dont l’objectif premier est de mettre en œuvre des projets d’énergie verte et de former des travailleurs pour des emplois dans le secteur de l’énergie renouvelable! 

Il est important de tirer parti des compétences que l’on retrouve dans toutes les industries pour nous adapter aux changements climatiques et en atténuer les effets. Visitez leur site Web pour en apprendre davantage : http://ow.ly/zuAo30gVwUz",L’industrie de l’énergie possède un riche potentiel d’adaptation et d’innovation! Iron & Earth est une entreprise formée par un groupe d’anciens travailleurs de l’industrie pétrolière de Terre-Neuve-et-Labrador dont l’objectif premier est de mettre en œuvre des projets d’énergie verte et de former des travailleurs pour des emplois dans le secteur de l’énergie renouvelable! Il est important de tirer parti des compétences que l’on retrouve dans toutes les industries pour nous adapter aux changements climatiques et en atténuer les effets. Visitez leur site Web pour en apprendre davantage :,[],2,0,0,2,0,0,0,0,0,0,2,Economical,fr,0.0,EnvironnementetChangementclimatique_facebook,"['secteur', 'import', 'industrie', 'emplois', 'innovation']",neutral
27,370233926766473_386278448495354,2017-11-27 16:47:48,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/386278275162038/?type=3,"Au cas où vous l’auriez manqué durant le Facebook Live de la 29e réunion des Parties du Protocole de Montréal de la semaine dernière, le Canadien David Heurtel a gagné un Prix Ozone pour l’élaboration du règlement provincial du Québec sur les halocarbures. Les Prix Ozone visent à reconnaître les personnes, groupes et organisations qui ont démontré un engagement et une contribution remarquables aux réalisations et aux progrès accomplis dans le cadre du Protocole de Montréal au cours des dix dernières années. Pour en apprendre davantage au sujet de M. Heurtel : http://ow.ly/UIuV30gQSdu","Au cas où vous l’auriez manqué durant le Facebook Live de la e réunion des Parties du Protocole de Montréal de la semaine dernière, le Canadien David Heurtel a gagné un Prix Ozone pour l’élaboration du règlement provincial du Québec sur les halocarbures. Les Prix Ozone visent à reconnaître les personnes, groupes et organisations qui ont démontré un engagement et une contribution remarquables aux réalisations et aux progrès accomplis dans le cadre du Protocole de Montréal au cours des dix dernières années. Pour en apprendre davantage au sujet de M. Heurtel : du",[],1,0,1,1,0,0,0,0,0,0,2,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,['engagement'],neutral
28,370233926766473_390792951377237,2017-12-07 16:35:00,https://www.facebook.com/EnvironnementetChangementclimatique/videos/390792951377237/,#CanadaEnChine – Mission commerciale de la ministre McKenna sur #TechnologiesPropres : l’entreprise 🇨🇦 GHGSat Inc. se spécialise dans la mesure des gaz à effet de serre au moyen de la technologie par satellite. http://ow.ly/zuRk30h5izQ  #ActionClimatique,– Mission commerciale de la ministre McKenna sur : l’entreprise 🇨🇦 GHGSat Inc. se spécialise dans la mesure des gaz à effet de serre au moyen de la technologie par satellite.,"['#CanadaEnChine', '#TechnologiesPropres', '#ActionClimatique']",0,0,2,0,0,0,0,0,0,0,2,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['technologie', 'gaz', 'mer']",neutral
29,370233926766473_393493724440493,2017-12-13 13:40:08,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/393493724440493/?type=3,#CanadaEnChine – Mission commerciale de la ministre McKenna sur #TechnologiesPropres : l’entreprise 🇨🇦 Cypher Environmental se spécialise en contrôle des poussières et en solutions d’assainissement de l’eau et des sols. #ActionClimatique http://ow.ly/TRfj30h82FY #ActionClimatique,– Mission commerciale de la ministre McKenna sur : l’entreprise 🇨🇦 Cypher Environmental se spécialise en contrôle des poussières et en solutions d’assainissement de l’eau et des sols.,"['#CanadaEnChine', '#TechnologiesPropres', '#ActionClimatique', '#ActionClimatique']",2,0,0,1,1,0,0,0,0,0,2,Environmental,fr,0.0,EnvironnementetChangementclimatique_facebook,"['eau', 'mer']",neutral
30,370233926766473_384502115339654,2017-11-23 17:57:38,https://www.facebook.com/EnvironnementetChangementclimatique/videos/384502115339654/,"Grâce au Protocole de Montréal, 99 % de l’appauvrissement de la couche d’ozone sera éliminé au Canada et le trou se répare de lui-même. Mais le travail n’est pas terminé! Le Canada s’est engagé à un rétablissement complet de la couche d’ozone et à poser action sur les changements climatiques.","Grâce au Protocole de Montréal, % de l’appauvrissement de la couche d’ozone sera éliminé au Canada et le trou se répare de lui-même. Mais le travail n’est pas terminé! Le Canada s’est engagé à un rétablissement complet de la couche d’ozone et à poser action sur les changements climatiques.",[],1,0,1,1,0,0,0,0,0,0,2,Social,fr,0.0,EnvironnementetChangementclimatique_facebook,"['changement', 'change']",neutral
