,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name,words_matched_list,sentiment
0,632493333805962_667462033642425,2017-12-21 08:38:18,https://www.facebook.com/EnvironmentandClimateChange/videos/667462033642425/,"Canadians had plenty of weather to talk about this year! Flooding caused significant damage in parts of Quebec and Ontario, while winter storms walloped Atlantic Canada. British Columbians faced the most destructive wildfire season in the province’s history, and record hot and dry conditions in the West also meant a year of distress for farmers and ranchers.

From a list of 100 significant weather events across Canada in 2017, Environment and Climate Change Canada’s experts have drawn up their choice of the Top 10 Weather Stories from across the country. To know more: http://ow.ly/AKbo30hn2st","Canadians had plenty of weather to talk about this year! Flooding caused significant damage in parts of Quebec and Ontario, while winter storms walloped Atlantic Canada. British Columbians faced the most destructive wildfire season in the province’s history, and record hot and dry conditions in the West also meant a year of distress for farmers and ranchers. From a list of significant weather events across Canada in , Environment and Climate Change Canada’s eerts have drawn up their choice of the Top Weather Stories from across the country. To know more:",[],Environmental,56,-0.6,en,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'climate change', 'ice', 'mer', 'or']",negative
1,632493333805962_651674615221167,2017-11-23 10:11:32,https://www.facebook.com/EnvironmentandClimateChange/videos/651674615221167/,"Happening now: Environment and Climate Change Minister, Catherine McKenna, delivers remarks at the Montreal Protocol meeting.","Happening now: Environment and Climate Change Minister, Catherine McKenna, delivers remarks at the Montreal Protocol meeting.",[],Environmental,51,-0.002696078431372556,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'climat']",negative
2,632493333805962_664058260649469,2017-12-15 09:30:09,https://www.facebook.com/EnvironmentandClimateChange/videos/663786990676596/,Facebook Live: Minister McKenna announces an exciting new initiative to support a clean growth low carbon economy!,Facebook Live: Minister McKenna announces an exciting new initiative to support a clean growth low carbon economy!,[],Environmental,50,0.08136363636363636,en,EnvironmentandClimateChange_facebook,"['carbon', 'or', 'clean', 'low carbon']",positive
3,632493333805962_650044275384201,2017-11-20 10:12:23,https://www.facebook.com/EnvironmentandClimateChange/videos/650044275384201/,"Tune in now to see the Right Honourable Brian Mulroney and Minister of Environment and Climate Change, Catherine McKenna, speak at the opening of the international conference aimed at protecting the ozone layer and tackling climate change. 

LIVE from Montreal:","Tune in now to see the Right Honourable Brian Mulroney and Minister of Environment and Climate Change, Catherine McKenna, speak at the opening of the international conference aimed at protecting the ozone layer and tackling climate change. LIVE from Montreal:",[],Environmental,48,0.0630952380952381,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'climat']",positive
4,632493333805962_659802921075003,2017-12-07 18:25:00,https://www.facebook.com/EnvironmentandClimateChange/videos/659802921075003/,#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas. http://ow.ly/EtDk30h5rPt #ClimateAction,– Minister McKenna is leading a trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas.,"['#CanadaInChina', '#CleanTech', '#ClimateAction']",Economical,45,0.4796875,en,EnvironmentandClimateChange_facebook,"['energy', 'minister']",positive
5,632493333805962_648707115517917,2017-11-18 14:15:32,https://www.facebook.com/EnvironmentandClimateChange/videos/648707115517917/,"Meet Anne Marie Arko, an Environment and Climate Change Canada student, who worked closely with Canada’s negotiation team to mobilize climate action on the ground at the United Nations Framework Convention on Climate Change (COP23) in Bonn, Germany. Canada supports young people taking climate action. Youth are essential in addressing climate change. We need their innovative ideas and solutions to help build a cleaner, more prosperous Canada for generations to come.","Meet Anne Marie Arko, an Environment and Climate Change Canada student, who worked closely with Canada’s negotiation team to mobilize climate action on the ground at the United Nations Framework Convention on Climate Change (COP23) in Bonn, Germany. Canada supports young people taking climate action. Youth are essential in addressing climate change. We need their innovative ideas and solutions to help build a cleaner, more prosperous Canada for generations to come.",[],Environmental,40,0.85,en,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'climate change', 'cop23', 'clean', 'or']",positive
6,632493333805962_662218024166826,2017-12-11 21:00:26,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/662218024166826/?type=3,"Did you know that you should check the UV Index all year round, even in winter?! http://ow.ly/6SFc30h9Xr8","Did you know that you should check the UV Index all year round, even in winter?! 8",[],Social,35,-0.05833333333333333,en,EnvironmentandClimateChange_facebook,[],negative
7,632493333805962_651779198544042,2017-11-23 14:38:38,https://www.facebook.com/EnvironmentandClimateChange/videos/651779198544042/,Join us now LIVE to watch a panel discussion on the science behind repairing the ozone layer and combatting climate change under the Montreal Protocol.,Join us now LIVE to watch a panel discussion on the science behind repairing the ozone layer and combatting climate change under the Montreal Protocol.,[],Environmental,17,-0.25,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'climat', 'air']",negative
8,632493333805962_652440791811216,2017-11-24 15:59:20,https://www.facebook.com/EnvironmentandClimateChange/videos/652440791811216/,"Listen to Dr. Mona Nemer, the Chief Science Advisor of Canada, speak after the United Nations Environment Programme’s panel discussion on the scientific foundation of the Montreal Protocol. Science will continue to help us fix the ozone layer!","Listen to Dr. Mona Nemer, the Chief Science Advisor of Canada, speak after the United Nations Environment Programme’s panel discussion on the scientific foundation of the Montreal Protocol. Science will continue to help us fix the ozone layer!",[],Environmental,16,0.0,en,EnvironmentandClimateChange_facebook,"['or', 'mer']",neutral
9,632493333805962_667657650289530,2017-12-21 16:17:23,https://www.facebook.com/EnvironmentandClimateChange/videos/667657650289530/,On Dec 12 Minister McKenna attended #OnePlanetSummit and worked with leaders from public and private sectors on new and innovative #ClimateAction,On Dec Minister McKenna attended and worked with leaders from public and private sectors on new and innovative,"['#OnePlanetSummit', '#ClimateAction']",Economical,14,0.0,en,EnvironmentandClimateChange_facebook,"['minister', 'innovative']",neutral
