Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,lemmatized_text,matched_keywords,category
0,745248137435095040,2016-06-21 13:32:56,[],"RT @GCAutochtones: Aujourd'hui, célébrons et reconnaissons les contributions, cultures et l'histoire des Autochtones au pays #JNACanada htt…",RT GCAutochtones Aujourd hui brons et reconnaissons les contributions cultures et histoire des Autochtones au pays JNACanada,['#JNACanada'],76,0,76,Social,fr,0.0,Neutral,MPO_Centre_tweeter,"['jnacanada', 'gcautochtones', 'aujourd', 'hui', 'brons', 'reconnaissons', 'les', 'contribution', 'culture', 'histoire', 'autochtone', 'pays', 'jnacanada']","['culture', 'autochtone']",Social
1,877510266581389312,2017-06-21 12:55:25,[],"RT @GCAutochtones: Célébrons les #Autochtones au pays et reconnaissons leurs précieuses contributions, cultures et histoire. Bonne #JNACana…",RT GCAutochtones brons les Autochtones au pays et reconnaissons leurs cieuses contributions cultures et histoire Bonne,"['#Autochtones', '#JNACana']",66,0,66,Social,fr,0.0,Neutral,MPO_Centre_tweeter,"['autochtone', 'jnacana', 'gcautochtones', 'brons', 'les', 'autochtone', 'pays', 'reconnaissons', 'leurs', 'cieuses', 'contribution', 'culture', 'histoire', 'bonne']","['autochtone', 'autochtone', 'culture']",Social
2,750705491018407936,2016-07-06 14:58:31,[],RT @NickMurray91: Sweet time lapse of the @CCG_GCC Pierre Radisson escorting the tanker Traverstern through Frobisher Bay this week https:/…,RT NickMurray91 Sweet time lapse Pierre Radisson escorting tanker Traverstern Frobisher Bay week https,[],60,0,60,unknown,en,0.35,Positive,MPO_Centre_tweeter,"['nickmurray91', 'sweet', 'time', 'lapse', 'pierre', 'radisson', 'escorting', 'tanker', 'traverstern', 'frobisher', 'bay', 'week', 'https']",[],unknown
3,739859331173224448,2016-06-06 16:39:45,['https://t.co/gXFt\xe2\x80\xa6'],"RT @AuCanada: Aujourd'hui, souvenons-nous de ceux qui ont combattu dans la bataille de #Normandie #JourJ #nelesoubliezpas https://t.co/gXFt…",RT AuCanada Aujourd hui souvenons nous de ceux qui ont combattu dans la bataille de Normandie JourJ nelesoubliezpas https co,"['#Normandie', '#JourJ', '#nelesoubliezpas']",43,0,43,unknown,fr,0.0,Neutral,MPO_Centre_tweeter,"['normandie', 'jourj', 'nelesoubliezpas', 'aucanada', 'aujourd', 'hui', 'souvenons', 'ceux', 'combattu', 'bataille', 'normandie', 'jourj', 'nelesoubliezpas', 'https']",[],unknown
4,795706200017043456,2016-11-07 19:15:16,['https://t.co/cw2xIHG'],RT @GCAutochtones: Bonne Journée des #Inuit à tous les Inuit au Canada et de par le monde! #Inuujunga https://t.co/cw2xIHGcDc,RT GCAutochtones Bonne des Inuit tous les Inuit au Canada et de par le monde Inuujunga https co cw2xIHGcDc,"['#Inuit', '#Inuujunga']",42,0,42,Social,fr,0.0,Neutral,MPO_Centre_tweeter,"['inuit', 'inuujunga', 'gcautochtones', 'bonne', 'inuit', 'tous', 'les', 'inuit', 'canada', 'monde', 'inuujunga', 'https', 'cw2xihgcdc']","['inuit', 'inuit', 'inuit']",Social
5,740536420499066880,2016-06-08 13:30:15,['https://t.co/aEHjbL9ZPR'],RT @ParcsCanada: Voici un aperçu des aires marines nationales de conservation du #Canada : https://t.co/aEHjbL9ZPR #journéedesocéans https:…,RT ParcsCanada Voici un des aires marines nationales de conservation du Canada https co aEHjbL9ZPR ans https,"['#Canada', '#journ']",42,0,42,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['canada', 'journ', 'parcscanada', 'voici', 'aire', 'marine', 'nationale', 'conservation', 'canada', 'https', 'aehjbl9zpr', 'https']","['marine', 'conservation']",Environmental
6,798990026231017473,2016-11-16 20:44:01,[],RT @MPO_DFO: La nouvelle zone de protection marine en #Arctique du #GC a été désignée grâce aux Inuvialuit &amp; au savoir traditionnel autocht…,RT La nouvelle zone de protection marine en Arctique du GC ce aux Inuvialuit amp au savoir traditionnel,"['#Arctique', '#GC']",38,0,38,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['arctique', 'nouvelle', 'zone', 'protection', 'marine', 'arctique', 'inuvialuit', 'amp', 'savoir', 'traditionnel']",['marine'],Environmental
7,863029359577358340,2017-05-12 13:53:28,['https://t.co/\xe2\x80\xa6'],RT @MPO_Science: FLASH INFO: Toute première vidéo de #Narvals utilisant leur défense pour se nourrir dans l’#Arctique #OdySci https://t.co/…,RT FLASH INFO Toute de Narvals utilisant leur fense pour se nourrir dans Arctique OdySci https co,"['#Narvals', '#Arctique', '#OdySci']",32,0,32,unknown,fr,0.0,Neutral,MPO_Centre_tweeter,"['narval', 'arctique', 'odysci', 'flash', 'info', 'toute', 'narval', 'utilisant', 'fense', 'nourrir', 'arctique', 'odysci', 'https']",[],unknown
8,860967839318126592,2017-05-06 21:21:43,[],"RT @salledepresseGC: Déclaration du min Garneau:@Transports_gc appuie les efforts du #GC à la suite des inondations #ON, #QC et #NB https:/…",RT salledepresseGC claration du min Garneau appuie les efforts du GC la suite des inondations QC et NB https,"['#GC', '#ON', '#QC', '#NB']",30,0,30,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['salledepressegc', 'claration', 'min', 'garneau', 'appuie', 'les', 'effort', 'suite', 'inondation', 'https']",['inondation'],Environmental
9,712388972211806209,2016-03-22 21:22:21,['https://t.co/v0ejI7jiSq'],RT @FinancesCanada: Le #Budget2016 vise à stimuler la capacité d'innovation et la croissance de notre économie. https://t.co/v0ejI7jiSq,RT FinancesCanada Le Budget2016 vise stimuler la innovation et la croissance de notre conomie https co v0ejI7jiSq,['#Budget2016'],28,0,28,Economical,fr,0.0,Neutral,MPO_Centre_tweeter,"['budget2016', 'ficescanada', 'budget2016', 'vise', 'stimuler', 'innovation', 'croissance', 'conomie', 'https', 'v0eji7jisq']","['innovation', 'croissance']",Economical
