,shortcode,mediaid,caption,url,is_video,comments,typename,owner_username,tagged_users,date,owner_id,caption_mentions,id,caption_hashtags,likes,video_url
56,BQlllo_gd40,1.45173E+18,"Vicki Tschirhart, Chercheur scientifique, mesure la gravité pour le Programme de géocartographie de l’énergie et des minéraux",https://instagram.fyvr3-1.fna.fbcdn.net/vp/583f60c85e894290caca05e12df89c11/5AF8B38A/t51.2885-15/e35/16464524_233905317069869_7946341422095925248_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-16T13:18:54,4210755410,[],2017-02-16_13-18-54,"[""femmesdescience"",""autophotoscience"",""scirncan"",""femmesenstim"",""fillesetscience""]",2,
57,BQnlWSwgtwY,1.45229E+18,La chercheuse M.-C. Williamson et une collègue près de leur camp sur l’île Axel-Heiberg,https://instagram.fyvr3-1.fna.fbcdn.net/vp/34418cd3e5fdeb3c90654c1d2a68670c/5AF4521E/t51.2885-15/e35/16585005_1848745618739520_3335570669789249536_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-17T07:55:17,4210755410,[],2017-02-17_07-55-17,"[""cartespostales"",""femmesdescience"",""scirncan"",""femmesenstim"",""fillesetscience""]",0,
58,BQvsO57g2Is,1.45458E+18,La chercheuse scientifique Suzanne Paradis est l’Indiana Jones des temps modernes! Sa recherche contribue à percer les mystères des gîtes éraux,https://instagram.fyvr3-1.fna.fbcdn.net/vp/71a6735e67992446d74b1fed6cdacb89/5B26D33F/t51.2885-15/e35/16906815_387319678302926_1856836236052791296_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-20T11:29:22,4210755410,[],2017-02-20_11-29-22,"[""minéraux"",""femmesdescience"",""scirncan"",""femmesenstim"",""fillesetscience"",""indianajones""]",2,
59,BQvse3TAoPv,1.45458E+18,Joanne Gamage McEvoy et Derek Smith utilisent la micro DRX pour obtenir des données minéralogiques. ,https://instagram.fyvr3-1.fna.fbcdn.net/vp/73253357444076454db5027b67abb3b3/5AF949DE/t51.2885-15/e35/16585557_269013970187613_657078753033191424_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-20T11:31:33,4210755410,[],2017-02-20_11-31-33,"[""femmesdescience"",""autophotoscience"",""scirncan"",""femmesenstim"",""fillesetscience""]",3,
60,BQySI5igpMz,1.45531E+18,"À titre de scientifique à la Commission géologique du Canada, Michelle Côté a visité de nombreux coins de l’Arctique pour étudier les géorisques et le .",https://instagram.fyvr3-1.fna.fbcdn.net/vp/3d0109cc85ca5616f0dcf336f4cb46cf/5AEFD864/t51.2885-15/e35/16788856_1835136500058396_1379833075055198208_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-21T11:39:05,4210755410,[],2017-02-21_11-39-05,"[""changementclimatique"",""femmesdescience"",""scirncan"",""femmesenstim"",""fillesetscience"",""cgc175""]",2,
61,BQ0Q7NVAAFc,1.45586E+18,"« Je suis scientifique parce que la vie est fascinante et que des contributions tangibles et pratiques au monde sont à notre portée. » – Carolyn Smyth, chercheuse scientifique à RNCan La chercheuse Carolyne Smyth étudie comment le secteur forestier peut atténuer le en modifiant les pratiques d’aménagement forestier et l’utilisation du bois. ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/0fc2aaf5ad02ecc65ff00b4839ba8df2/5AE6C3DE/t51.2885-15/e35/16788624_178048339359216_5751386222127742976_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-22T06:06:57,4210755410,[],2017-02-22_06-06-57,"[""changementclimatique"",""femmesdescience"",""scirncan"",""femmesenstim"",""fillesetscience""]",3,
62,BQ22V7wA0OA,1.45659E+18,"Melanie Kelman, volcanologue à RNCan, étudie et surveille les volcans au Canada et se prépare à faire face à l’activité volcanique. ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/f5cf6d3bb2c53bc1100d3035d8c0fb48/5AE16659/t51.2885-15/e35/16790314_380161169017198_1822935002623508480_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-23T06:12:24,4210755410,[],2017-02-23_06-12-24,"[""femmesdescience"",""volcans"",""scirncan"",""femmesenstim"",""fillesetscience""]",2,
63,BQ3PlEKg2XO,1.4567E+18,"L’honorable Jim Carr, ministre des Ressources naturelles du Canada, prononce une allocution sur le rôle de l’énergie nucléaire dans l’économie sobre en carbone du Canada au cours du congrès et de la foire commerciale de l’Association nucléaire canadienne, à Ottawa, le février . éaire énergienucléaire",https://instagram.fyvr3-1.fna.fbcdn.net/vp/5335e71e82ac41e865549353b7af53d3/5AF437E4/t51.2885-15/e35/16584981_365889600463346_7300260053083226112_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-23T09:52:55,4210755410,[],2017-02-23_09-52-55,"[""nucléaire"",""ressourcesnaturelles"",""énergienucléaire"",""economie"",""carbone""]",2,
64,BQ3mgMWg-nL,1.4568E+18,Le ministre Carr et la secrétaire parlementaire Kim Rudd discutent du rôle de l’énergie nucléaire dans une économie sobre en carbone avec des chefs de file de l’innovation nucléaire à la foire commerciale  nucléaire ÉnergiePropre,https://instagram.fyvr3-1.fna.fbcdn.net/vp/366468e586338518cfd11c0bb6da469a/5AF3F8CA/t51.2885-15/e35/16788507_402919873391218_8950478976032178176_n.jpg,FALSE,1,GraphImage,ressourcesnaturellescanada,[],2017-02-23T13:13:13,4210755410,[],2017-02-23_13-13-13,"[""cna2017"",""bascarbone"",""innovation"",""missioninnovation"",""énergiepropre""]",4,
65,BQ54045gk4j,1.45745E+18,"Voici Lynn Johnston, chercheuse en feux de végétation. Les recherches de Lynn aident à prédire et combattre les feux de forêt qui pourraient menacer des vies humaines et les infrastructures.  égétation",https://instagram.fyvr3-1.fna.fbcdn.net/vp/77c18c08715bf8cc41b51ad4576a1507/5ADDA943/t51.2885-15/e35/16585052_132375543950435_5041930909855514624_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-24T10:31:49,4210755410,[],2017-02-24_10-31-49,"[""femmesdescience"",""scirncan"",""femmesenstim"",""fillesetscience"",""feuxdevégétation""]",3,
66,BQ6RWiyg8Hx,1.45755E+18,"Vous aimez les forêts? Emportez votre téléphone intelligent dans une forêt près de chez vous et filmez-vous en train d’eliquer l’énergie que vous donne la forêt – pour marquer la Journée internationale des forêts, le mars. éeInternationaleDesForêts êts (anglais seulement)",https://instagram.fyvr3-1.fna.fbcdn.net/vp/e4b1c8d0311d6b786b131fd71a18df56/5AEA0264/t51.2885-15/e35/16788487_412977532369849_5374246032924213248_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-02-24T14:06:08,4210755410,[],2017-02-24_14-06-08,"[""journéeinternationaledesforêts"",""forêts""]",4,
