,shortcode,mediaid,caption,url,is_video,comments,typename,owner_username,tagged_users,date,owner_id,caption_mentions,id,caption_hashtags,likes,video_url
88,BUCfZcAge3Z,1.51391E+18,NRChat partage sa vue sur son avenir énergétique à ête. Joignez-vous à la conversation énÉnergie,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3eff8ebe558eac0c256d969e9ecfcdad/5AE2A377/t51.2885-15/e35/18381895_1216723338456364_3715113124395745280_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T09:16:58,4210755410,[],2017-05-13_09-16-58,"[""sciencefête"",""génénergie"",""odysci""]",3,
89,BUCfeeZg93o,1.51391E+18,Le labo de recherche sur les elosifs de Canmet met en vedette la science derrière les feux d'artifices. Visitez-les à ête,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6a6071f4853eadbc1f585ecb4c4d22e2/5AE70115/t51.2885-15/e35/18382034_265678347229555_2356355801754370048_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T09:17:39,4210755410,[],2017-05-13_09-17-39,"[""sciencefête"",""odysci""]",3,
90,BUCiDIRgMPJ,1.51392E+18,Êtes-vous à la ête? Envoyez-nous une photo de vous sur place en utilisant !,https://instagram.fyvr3-1.fna.fbcdn.net/vp/22f1888f0b5174f37b71078d252cdb0b/5AED604C/t51.2885-15/e35/18443467_302995040122144_4557173395858391040_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T09:40:08,4210755410,[],2017-05-13_09-40-08,"[""scientifête"",""odysci""]",4,
91,BUCseyXAymy,1.51397E+18,Montrez votre amour pour la science! Venez au kiosk de photo à ête,https://instagram.fyvr3-1.fna.fbcdn.net/vp/feabad0da131120fe0f338c94b9cfd87/5ADDB5B3/t51.2885-15/e35/18382138_839859609503315_5652091629125763072_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T11:11:17,4210755410,[],2017-05-13_11-11-17,"[""scientifête"",""odysci""]",2,
92,BUCsrpWAs2g,1.51397E+18,Le Centre CDN de cartographie et d’observation de la Terre montre comment ils utilisent les pour leur recherche ête,https://instagram.fyvr3-1.fna.fbcdn.net/vp/017829c9c81766ce048d2175ba8d0351/5AE42415/t51.2885-15/e35/18381984_676835075842870_2570429105069621248_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T11:13:03,4210755410,[],2017-05-13_11-13-03,"[""drones"",""scientifête"",""odysci""]",6,
93,BUC4WwKg1Gr,1.51402E+18,RNChat montre la plus vielle roche du monde à ête & un scientifique détermine l'âge des roches à l'aide de microscope,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6b4679d721d8028ca858a3228e1dbdb2/5AFA0C1A/t51.2885-15/s1080x1080/e35/18512617_674233339428506_2193114574553612288_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-05-13T12:55:03,4210755410,[],2017-05-13_12-55-03,"[""scientifête"",""odysci"",""gsc175""]",2,
94,BUcJVciAfS6,1.52113E+18,Le chercheur Jan Klimasweski pose avec le coléoptère du,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8cbaafa4f18ed88ce16103e0c0a1475f/5AF18BF5/t51.2885-15/e35/18581155_1866646496928419_628450163190398976_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-23T08:24:26,4210755410,[],2017-05-23_08-24-26,"[""canada150"",""insectes"",""scirncan""]",4,
95,BUxKZ3BA5nx,1.52705E+18,Les gens partagent leurs idées sur notre avenir énergétique au kiosque de énÉnergie sur la rue Sparks au salon de l'innovation,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d18cbf83e94bffa57eeeab68b4f0efe3/5AF4C76C/t51.2885-15/e35/18723092_1897073197233687_2011714015171969024_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-31T12:17:50,4210755410,[],2017-05-31_12-17-50,"[""génénergie""]",8,
96,BU9_VxtA9wT,1.53066E+18,"Le ministre Carr et des délégués rencontrent le VP du conseil de CNPC, Wang Dongjin",https://instagram.fyvr3-1.fna.fbcdn.net/vp/481dc8ec93c46834c6aa02b4e8a9cd5d/5AED0673/t51.2885-15/e35/18812725_1873086016280851_5708678209797619712_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-05T11:51:17,4210755410,[],2017-06-05_11-51-17,"[""partenaires"",""canadachine""]",3,
97,BVC7qFhgi7N,1.53205E+18,"Le min. Carr et Terje Søviknes, min. norvégien du Pétrole et de l’Énergie discutent d’intérêts mutuels.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/e6337c62375b56f05e9ab6b69390c367/5AFC6AF2/t51.2885-15/e35/18888794_663650397167816_2472290957781893120_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-07T09:55:18,4210755410,[],2017-06-07_09-55-18,"[""missioninnovation"",""canadachine""]",2,
98,BVC755wgROY,1.53205E+18,"Panel IEA : le min Carr parle avec des collègues de Chine, Norvège et USA",https://instagram.fyvr3-1.fna.fbcdn.net/vp/d8bc32c125ffc25606f4cdec94737446/5AD87A53/t51.2885-15/e35/18949711_175541332980177_5254730386000314368_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-07T09:57:27,4210755410,[],2017-06-07_09-57-27,"[""canadachine"",""captageco2""]",1,
99,BVC8NUXANoA,1.53205E+18,"Hier, le min. Carr et Bai Chunli, prés. de l’Académie chinoise des sciences, ont discuté d’intérêts mutuels liés aux sciences et techno. Ils ont ensuite renouvelé le PE sur la coopération aux fins du dév. durable des .",https://instagram.fyvr3-1.fna.fbcdn.net/vp/b46acad32664c8f36cc89f5a2bee8331/5AE025F2/t51.2885-15/e35/18947611_1843390999317851_7924299757307035648_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-07T10:00:07,4210755410,[],2017-06-07_10-00-07,"[""ressourcesnaturelles"",""canadachine""]",1,
100,BVDKo77ApOZ,1.53212E+18,Le min. Carr a rencontré le min. Jiang Daming pr promouvoir le commerce bilatéral et des occasions d’investissement au Canada.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/949ca8bd3915b64be85ae493f557ddb4/5AF1437C/t51.2885-15/e35/18947739_1996231827266706_6753451561717858304_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-06-07T12:06:13,4210755410,[],2017-06-07_12-06-13,"[""canadachine""]",1,
101,BVDKx3hAG0G,1.53212E+18,Le min. Carr souligne le soutien du pour des coentreprises du SNNC pendant une réunion avec le président Wang Shoujun.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/872b1cfdb68793fdc78d9415783edce6/5AF77756/t51.2885-15/e35/18947585_152654568609863_5545200643431464960_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-07T12:07:26,4210755410,[],2017-06-07_12-07-26,"[""gc"",""canadachine""]",1,
102,BVHsxphAcSd,1.53339E+18,Le min. Carr a annoncé intention du Canada d’être l’hôte de la réunion min. sur ÉnergiePropre et en .,https://instagram.fyvr3-1.fna.fbcdn.net/vp/93fee22f34ee5ea727a72e946d508d87/5AE946AD/t51.2885-15/e35/18948062_117608808829958_300150104399020032_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-09T06:21:28,4210755410,[],2017-06-09_06-21-28,"[""énergiepropre"",""missioninnovation"",""canadachine""]",1,
103,BVHvetWAwse,1.5334E+18,Le mininstre Carr a fait la promotion de l’accès au marché pour les produits du bois canadiens en Chine auprès du vice-min. Yi Jun,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b9121bcd10937e00be35c7d0e4db40ce/5AF65D06/t51.2885-15/e35/18947406_141402469740951_5373295462172327936_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-09T06:45:05,4210755410,[],2017-06-09_06-45-05,"[""canadachine""]",1,
104,BVIT19_glZl,1.53356E+18,Vous irez au samedi? Rendez-vous au kiosque énÉnergie et dites-nous comment vous envisagez Énergétique!,https://instagram.fyvr3-1.fna.fbcdn.net/vp/de724cc578f440d8a817af60efebe98c/5A647BB4/t51.2885-15/e15/18947998_1803689119943756_2676941128619524096_n.jpg,TRUE,0,GraphVideo,ressourcesnaturellescanada,[],2017-06-09T12:02:50,4210755410,"[""festibieredegatineau""]",2017-06-09_12-02-50,"[""génénergie"",""votreavenirénergétique""]",3,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4044c5a7aeeca390be3a72ef94d9f27d/5A638C4B/t50.2886-16/19054490_1846007092387079_8386741046435905536_n.mp4
105,BVP_YLUAfDF,1.53572E+18,"À l’éco-village, le min. Carr et délégation (forêts et ) montrent l’innovation canadien des produits du bois et de la .",https://instagram.fyvr3-1.fna.fbcdn.net/vp/16103535c7cab37bfa41cc75dc6b7a2d/5AFCFD83/t51.2885-15/e35/19052045_1432688360120839_8803536200531968_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-12T11:37:56,4210755410,[],2017-06-12_11-37-56,"[""techpropre"",""techpropre"",""canadachine""]",1,
106,BVP_rPjgM_h,1.53573E+18,Le ministre Carr + délégation eliquent comment innovation des produits du bois et de contribuent aux objectifs environnement Chine,https://instagram.fyvr3-1.fna.fbcdn.net/vp/32de0726df6e3680db64af083679df5d/5AFB186C/t51.2885-15/e35/19227279_1876881585867759_3616754013925539840_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-12T11:40:32,4210755410,[],2017-06-12_11-40-32,"[""techpropre"",""canadachine""]",2,
107,BVQAGkpgfOI,1.53573E+18,Le ministre Carr et le maire Wang Dongfeng discutent de la collaboration entre Canada et Chine sur intérêts communs.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ec6d39f55c0c2ce1524e5463cfb9ab71/5AE08B81/t51.2885-15/e35/19050494_248326725651040_5087278136639356928_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-06-12T11:44:16,4210755410,[],2017-06-12_11-44-16,"[""canadachine""]",1,
108,BVnWWJ7FBpn,1.5423E+18,À quoi ressemble l’avenir énergétique du et comment le réaliser? Voyez ce qu’en pense Isabelle!Vous voulez ajouter votre mot? Participez à notre forum des idées à generationenergie.ca.énÉnergie Énergétique,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4231ffb41a4aebe80fd546b47f45ab7b/5A63A441/t51.2885-15/e15/19367283_1453727291354278_7302135948769230848_n.jpg,TRUE,0,GraphVideo,ressourcesnaturellescanada,[],2017-06-21T13:21:10,4210755410,[],2017-06-21_13-21-10,"[""canada"",""génénergie"",""votreavenirénergétique""]",4,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ede8a16d6930e8e5748a5b25d3e4864d/5A63D966/t50.2886-16/19419373_1885142735086749_4947015590062587904_n.mp4
109,BVr93ASg3SK,1.5436E+18,Écoutez Camille nous parler de ce qu’elle entrevoit de l’avenir énergétique au !Vous avez vous aussi des idées? Participez à notre forum des idées à generationenergie.ca.énÉnergie Énergétique,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f2bf1e605ab88159e559ab2baa2a46c2/5A6387A8/t51.2885-15/e15/19228759_330785627354977_6296011757710213120_n.jpg,TRUE,0,GraphVideo,ressourcesnaturellescanada,[],2017-06-23T08:23:24,4210755410,[],2017-06-23_08-23-24,"[""canada"",""génénergie"",""votreavenirénergétique""]",1,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e4ec7552292d5cbabdae404adb887fea/5A636640/t50.2886-16/19431780_1518183668226769_2344699131664007168_n.mp4
110,BWAZ1lgA79Y,1.54935E+18,"Bonne êteduCanada! Dans le cadre des célébrations , une carte interactive de Ressources naturelles Canada montre l’évolution du territoire canadien de à .http://",https://instagram.fyvr3-1.fna.fbcdn.net/vp/ad022c125011e26f319149bc4678acb6/5A645D65/t51.2885-15/e15/19534736_326323754483947_6271563141709037568_n.jpg,TRUE,0,GraphVideo,ressourcesnaturellescanada,[],2017-07-01T06:52:41,4210755410,[],2017-07-01_06-52-41,"[""fêteducanada"",""canada150""]",6,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d7be0c4781fbc52ce6765e92e8ddcc1a/5A6403A1/t50.2886-16/19181063_1792236331086425_4568847928717737984_n.mp4
111,BWaU45og-Z5,1.55665E+18,Le Canada prêt pour énergies renouvelables de l’avenir? Dites-nous comment faire transition à generationenergie.ca énÉnergie,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4cd10cf073919343c2b41a8caaeb0fb2/5AF78AB0/t51.2885-15/e35/19955167_129862420943619_1047303169261961216_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-11T08:29:42,4210755410,[],2017-07-11_08-29-42,"[""marditransformation"",""génénergie""]",2,
112,BWdGZRPA85l,1.55743E+18,Souhaitez-vous que l’éolien fasse partie du système énergétique 🇨🇦 ? Dites-le nous énÉnergie,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0949fa3c4e42beb6aadc0ca42eaa84a2/5AF7BFF0/t51.2885-15/e35/19955672_1418456684899116_9190222268083470336_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-12T10:20:46,4210755410,[],2017-07-12_10-20-46,"[""éolien"",""génénergie""]",2,
113,BWfa6zGg_6o,1.55808E+18,"La forte intensité énergétique, une chose quelque peu étro! Grands progrès depuis les années generationenergie.ca énÉnergie",https://instagram.fyvr3-1.fna.fbcdn.net/vp/87f89adefd6dd3ecaf654e8f888408a2/5AFDE63F/t51.2885-15/e35/19985927_1936165699960229_7040330105503088640_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-13T07:58:36,4210755410,[],2017-07-13_07-58-36,"[""jeudirétro"",""génénergie""]",1,
114,BWicyBsAxtN,1.55894E+18,Pensez-vous que l’ÉnergieMarine a de l’avenir dans le système énergétique 🇨🇦? Confiez-vous generationenergie.ca énÉnergie,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b6ee5c474500f5b680d523b12b638111/5AF1078A/t51.2885-15/e35/19955659_1455747481171612_4335866525803085824_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-14T12:12:36,4210755410,[],2017-07-14_12-12-36,"[""énergiemarine"",""génénergie""]",1,
115,BWp1ICdg1D9,1.56101E+18,"Le juillet, Victoria Tschirhart aura notre compte Instagram à sa disposition. Elle y montrera en quoi consiste le travail de terrain des géophysiciens en été – depuis les travaux que réalisera son équipe jusqu’aux modes de déplacement dans des endroits reculés. Soyez-là! éosciences",https://instagram.fyvr3-1.fna.fbcdn.net/vp/55378ec6b199f664217445e90a2c261c/5AEA3A68/t51.2885-15/e35/20065343_133300303931788_3522159648448708608_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-17T09:00:00,4210755410,[],2017-07-17_09-00-00,"[""travaildeterrain"",""summerfieldwork"",""scirncan"",""géosciences"",""femmesenstim""]",3,
116,BWqCEnHg0_d,1.56107E+18,"Les changements climatiques seront l’un des grands défis du Canada pour les prochaines années. Par où commencer? Tout d’abord, vous pouvez nous aider à formuler un projet d’avenir pour l’énergie au Canada en lançant des idées à énÉnergie . Aidez à définir l’avenir énergétique de la prochaine génération!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/80da94e8dc690dc58309aac54ac75b6d/5AE4B239/t51.2885-15/e35/20066759_262790740791998_4423257118727995392_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-17T10:53:07,4210755410,[],2017-07-17_10-53-07,"[""génénergie""]",2,
117,BWsUUWCgH3S,1.56171E+18,"SVQ le Canada est en pointe dans le captage et le stockage du carbone, une écotechnologie qui permet de capter les émissions de CO2 d’importantes sources ponctuelles pour les séquestrer sous terre en toute sécurité. C’est une des nombreuses solutions qui aideront le Canada à atteindre ses cibles de réduction des émissions de GES. Pensez-vous qu’elle jouera un rôle important dans la lutte contre les changements climatiques dans le futur système énergétique du Canada? Nous voulons vos idées à énÉnergie",https://instagram.fyvr3-1.fna.fbcdn.net/vp/a6a310eb47d10670f0633a4e102fe620/5ADA3580/t51.2885-15/e35/20184873_2295230454057452_3333759117008306176_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-18T08:11:02,4210755410,[],2017-07-18_08-11-02,"[""génénergie""]",2,
118,BWtT2N2AlLj,1.56199E+18,"Bonsoir à tous sur Instagram! Je m’appelle Vicki Tschirhart et je suis géophysicienne à la Commission géologique du Canada.Demain, le compte Instagram de RNCan sera mis à ma disposition pour que je puisse vous donner une idée de la vie de terrain des géophysiciens. Soyez-là! éosciences",https://instagram.fyvr3-1.fna.fbcdn.net/vp/b39a055e1fc12486bd87a9a009f270ca/5ADF80CA/t51.2885-15/e35/20066601_1859222330773282_2747922738860523520_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-07-18T17:26:10,4210755410,[],2017-07-18_17-26-10,"[""travaildeterrain"",""summerfieldwork"",""scirncan"",""géosciences"",""femmesenstim"",""femmesenscience"",""wcw""]",5,
119,BWupkO8Ahz3,1.56237E+18,"Bonjour à tous et bienvenue à ma « résidence d’été »! Je m’appelle Victoria Tschirhart et je suis géophysicienne. Le terrain où je travaille s’appelle le corridor du lac Patterson, situé au sud-ouest du bassin d’Athabasca, une région connue pour ses gisements d’uranium. Notre équipe de terrain multidisciplinaire comprend des géochimistes, des géochronologistes, des géophysiciens et des géologues. Notre objectif commun sera d’eliquer comment et pourquoi ces gisements se sont formés.  éoSciences",https://instagram.fyvr3-1.fna.fbcdn.net/vp/0611a5b582e046b60a376ff6cb071f0a/5AFCCA95/t51.2885-15/e35/20184958_1474826445896770_7722166763722375168_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-07-19T05:55:11,4210755410,[],2017-07-19_05-55-11,"[""travaildeterrain"",""summerfieldwork"",""scirncan"",""géosciences"",""exploration"",""cribs"",""bienchezsoi""]",3,
120,BWusZfNgpyq,1.56238E+18,"Lorsque nous travaillons sur le terrain, nous devons nous lever tôt, car il y a toujours beaucoup à faire le matin et il nous faut commencer par un solide et sain déjeuner pour nous sustenter tout au long de la journée.  éoSciences éine",https://instagram.fyvr3-1.fna.fbcdn.net/vp/6c69ab22a64cc7c1af3d918f71c28ddc/5AEFD0BD/t51.2885-15/e35/20181116_465307097179006_5779229322581639168_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-19T06:19:56,4210755410,[],2017-07-19_06-19-56,"[""travaildeterrain"",""summerfieldwork"",""scirncan"",""géosciences"",""exploration"",""protéine"",""enforme"",""travail""]",7,
121,BWuvy6Ig_wX,1.5624E+18,"Aujourd’hui, nous allons en forêt à la recherche de ce que l’on appelle des carottes – des échantillons d’une matière naturelle qui ont été prélevés au moyen d’une sonde. À l’endroit où nous rassemblons les carottes, nous sélectionnons des échantillons et prenons des mesures qui nous renseigneront sur la subsurface. Pour trouver les carottes, il nous faut parfois suivre des routes envahies par la végétation, de sorte que nos marches en forêt ont souvent les allures d’une eédition!  ée",https://instagram.fyvr3-1.fna.fbcdn.net/vp/0f147da58abc48b640818f9dda164a3d/5AE510BE/t51.2885-15/e35/20067282_1731803543786398_495464528163635200_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-19T06:49:37,4210755410,[],2017-07-19_06-49-37,"[""travaildeterrain"",""summerfieldwork"",""randonnée"",""scirncan""]",5,
122,BWu1k2dAt07,1.56242E+18,"Dès que nous sommes sur place, nous nous mettons au travail, chacun sait ce qu’il a à faire. Notre tâche est de collecter des données pour résoudre les questions de recherche que nous avons formulées avant notre départ. ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/ce3955356341e69daf8f5ccda14a108b/5AF3F556/t51.2885-15/e35/20066152_1235105106595693_2092646532061855744_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-07-19T07:40:08,4210755410,[],2017-07-19_07-40-08,"[""travail"",""scirncan"",""exploration"",""travaildeterrain"",""uranium""]",2,
123,BWu8RPOghfP,1.56245E+18,"Je vous présente mon collègue Jeremy Powell! Jeremy s’intéresse à l’historique des températures de l’Athabasca du Sud. Il se sert de différentes techniques pour passer son échantillon de sonde au peigne fin, à la recherche de fractures et de failles, et tenter ainsi de déterminer l’époque d’activité des structures que nous étudions. Dater le mouvement de ces structures et le passage des fluides hydrothermaux à travers elles nous aidera à déterminer comment et quand se sont formés les gisements d’uranium.  éochronologie",https://instagram.fyvr3-1.fna.fbcdn.net/vp/91376563a3a0c72ece5951c2e04feeda/5AF46B85/t51.2885-15/e35/20184238_1822595368052345_8868982066079858688_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-19T08:38:37,4210755410,[],2017-07-19_08-38-37,"[""failles"",""géochronologie"",""rockclock"",""pasmafaute"",""travaildeterrain""]",1,
124,BWvJTvigdvq,1.56251E+18,"Kathryn Bethune enseigne la géologie à l’Université de Regina. Avec Dillon Johnstone, stagiaire en doctorat, elle étudie le cadre régional des gisements d’uranium du secteur et les contrôles structuraux apparentés. L’objectif est de créer une image en deux et en trois dimensions des éléments structuraux et de leurs relations avec les gisements, et de mieux comprendre la séquence et la chronologie des structures.  éologie",https://instagram.fyvr3-1.fna.fbcdn.net/vp/94adbf787aa1a611b5c6b9baf9bd75fc/5AE0C33F/t51.2885-15/e35/20066941_106110126721872_3132115234299314176_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-19T10:32:34,4210755410,[],2017-07-19_10-32-34,"[""femmesenscience"",""géologie"",""uranium"",""canada""]",3,
125,BWvOzelgw9E,1.56253E+18,"Je vous présente Eric Potter, chercheur comme moi à la Commission géologique du Canada. Pour ce projet, Eric recherche les empreintes chimiques des fluides qui ont formé les gisements. Nous voulons définir un moyen d’identifier les failles qui ont canalisé les fluides uranifères vers le site des gisements et de résoudre la question du mode de formation de ces gisements. ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/2d8d3987fc39e1998bb61432fbcfb9fd/5AEC9A7C/t51.2885-15/e35/20067212_151129618772673_4924967573017067520_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-19T11:20:35,4210755410,[],2017-07-19_11-20-35,"[""travaildeterrain"",""uranium"",""exploration""]",3,
126,BWvZFmRgJ4Q,1.56258E+18,"Et voici Charlene, notre stagiaire d’été bien aimée! Elle entreprend une M. Sc. en géologie cet automne. Notre eédition lui donnera une précieuse eérience du travail dans des endroits reculés et lui permettra d’accroître ses connaissances en géologie économique. Charlene prendra des mesures détaillées des échantillons de sonde récoltés, elle aidera à l’organisation de nos données numériques, contribuera à la création de nos modèles de formation des gisements et mettra la main comme nous tous à la vie du camp.  éoSciences",https://instagram.fyvr3-1.fna.fbcdn.net/vp/43894cfa97886d9488ec0ac273f3e7b5/5AF3D8D2/t51.2885-15/e35/20214622_290034531466299_2050581493515812864_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-19T12:50:26,4210755410,[],2017-07-19_12-50-26,"[""femmesenstim"",""géosciences"",""wcw"",""femmesenscience""]",3,
127,BWvka5EAXGD,1.56263E+18,"Bienvenue à la cantine d’Athabasca, où les plus brillants scientifiques canadiens rivalisent d’adresse culinaire! Étant donné la taille modeste de notre camp, nous faisons notre propre cuisine, et chaque membre de l’équipe doit préparer au moins l’un de nos repas du soir. Cela donne lieu souvent à une compétition amicale qui déterminera lequel de nous est le meilleur cuisinier! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/1d159d9f89ce44bf798225894db2ea99/5AF2A194/t51.2885-15/e35/20225447_219359121922154_7194381683238371328_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-07-19T14:29:28,4210755410,[],2017-07-19_14-29-28,"[""itsdefinitelyvicki"",""comedinewithme"",""campmeals"",""travaildeterrain""]",2,
128,BWvoYdUAd0k,1.56265E+18,"Nous avons terminé nos recherches pour aujourd’hui, mais il nous reste encore à examiner les données que nous avons collectées et leur signification, ensuite préparer nos objectifs pour demain. Le travail de terrain exige souvent de faire de longues journées – mais les connaissances scientifiques que nous en tirons en valent bien la peine! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/a6fcdf4c09b9079c10abd5715e44c1bf/5AD94057/t51.2885-15/e35/20066900_1116086038490924_7999094014311661568_n.jpg,FALSE,0,GraphSidecar,ressourcesnaturellescanada,[],2017-07-19T15:04:05,4210755410,[],2017-07-19_15-04-05,"[""itsworthitfortheexercise"",""andnature"",""travaildeterrain""]",1,
129,BWvr-6OgwU2,1.56266E+18,Voilà! Merci d’avoir été avec nous aujourd’hui! Nous espérons qu’il vous a plu de vous familiariser avec notre travail de terrain en saison estivale. À la prochaine! ,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9be2a8af61c0575cd646b4037fc07c95/5AF03A77/t51.2885-15/e35/20184113_497190643958640_6041152225181433856_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-19T15:35:33,4210755410,[],2017-07-19_15-35-33,"[""aurevoir"",""travaildeterrain""]",1,
130,BW0SshIgUUW,1.56396E+18,"Des journalistes entendent un rapport des chercheurs de sur la migration de la , près de Rimouski",https://instagram.fyvr3-1.fna.fbcdn.net/vp/318fb06e662c52bbd994cbaefd22a083/5AE0B2E9/t51.2885-15/e35/20214689_112861716032379_2952858752656605184_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-21T10:30:47,4210755410,[],2017-07-21_10-30-47,"[""scirncan"",""tordeuse"",""travaildeterrain""]",3,
131,BW0bvdTgCDb,1.564E+18,"Jean-Michel Béland, technicien à RNCan, décroche un piège à à Rimouski, servant à étudier l’infestation",https://instagram.fyvr3-1.fna.fbcdn.net/vp/3defd521799a2a650e06133983910b80/5AE8D96F/t51.2885-15/e35/20181083_1756368327994868_6048757740384288768_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-07-21T11:49:50,4210755410,[],2017-07-21_11-49-50,"[""tordeuse""]",2,
132,BXS5b06Afz8,1.57257E+18,"Quel sera le tableau énergétique au Canada en ? Tel fut le thème d’une table ronde Génération Énergie à l’Université Dalhousie. Sortant du cadre actuel de leurs occupations et de leurs connaissances professionnelles, les participants étaient invités à formuler leur vision du bouquet énergétique canadien de l’avenir. De composition diversifiée – étudiants, professeurs, représentants autochtones, eerts-conseils en énergie et autres membres de la société civile – le groupe n’a pas été à court d’idées pour le ministre des Ressources naturelles, Jim Carr. Samantha Peverell, diplômée de Dalhousie, a eu cette pensée : « Génération Énergie, c’est plus qu’une simple question de production, mais aussi d’économie d’énergie. »",https://instagram.fyvr3-1.fna.fbcdn.net/vp/54536db96a5c46b314f35d75efa79524/5AEC16E7/t51.2885-15/e35/20478761_1069395589857914_8826251629725483008_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-08-02T07:46:31,4210755410,[],2017-08-02_07-46-31,[],0,
133,BXS56twAWkO,1.57257E+18,La tordeuse des bourgeons de l’épinette ferait frémir tout bon insectiphobe! Mais pas la scientifique de RNCan qui étudie sa propagation dans l’est du Canada. ,https://instagram.fyvr3-1.fna.fbcdn.net/vp/47208a35c6aa7c43b96507ab2a165075/5A6375C5/t51.2885-15/e15/20478618_107210836648091_6133401113312886784_n.jpg,TRUE,0,GraphVideo,ressourcesnaturellescanada,[],2017-08-02T07:50:44,4210755410,"[""emilyowenz""]",2017-08-02_07-50-44,"[""scirncan"",""insectes"",""sciencecitoyenne"",""budwormtrackers""]",2,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6dd2591a39b5d02e68e6a60e417a76af/5A636659/t50.2886-16/20639771_903616023128650_5743370030741979136_n.mp4
