,likes,mediaid,caption,url,shortcode,comments,typename,caption_hashtags,tagged_users,date,caption_mentions,is_video,id,owner_username,owner_id,video_url
0,1,1.40084E+18,What do the Trans Mountain Eansion project and replacement project mean for Canadians?,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e4f5e623340b13bbb71e4d4c85ac2d03/5AE31943/t51.2885-15/e35/15306784_920549001414237_5518701506963963904_n.jpg,BNwzMJJjuy2,0,GraphImage,"[""line3"",""pipeline"",""transmountain"",""jobs"",""canada"",""canadians"",""economy"",""naturalresources""]",[],2016-12-08T08:15:13,[],FALSE,2016-12-08_08-15-13,naturalresourcescanada,4211313612,
1,1,1.40085E+18,The Government of Canada approved the Trans Mountain Eansion Project. Visit our website to learn more about the decision (link in bio),https://instagram.fyvr3-1.fna.fbcdn.net/vp/c0d6aa5f3211b0f5d3406eaaf08047a1/5ADF40FC/t51.2885-15/e35/15305982_1721144378202342_6194383069026189312_n.jpg,BNwzc1PDTEo,0,GraphImage,"[""pipeline"",""canada"",""economy"",""expansion"",""tmx"",""transmountain"",""naturalresources"",""canadians"",""britishcolumbia"",""alberta""]",[],2016-12-08T08:17:30,[],FALSE,2016-12-08_08-17-30,naturalresourcescanada,4211313612,
2,2,1.40085E+18,The Government of Canada approved the Enbridge Line Replacement Project. Visit our website to learn more about the decisions (link in bio).,https://instagram.fyvr3-1.fna.fbcdn.net/vp/12beadecb48a7bc28b84826e6ece926e/5AE5E4BF/t51.2885-15/e35/15306519_256932708059005_6692938028022759424_n.jpg,BNwzv_-jlIT,0,GraphImage,"[""pipeline"",""canada"",""economy"",""replace"",""naturalresources"",""canadians"",""alberta"",""saskatchewan"",""sask"",""manitoba"",""line3""]",[],2016-12-08T08:20:07,[],FALSE,2016-12-08_08-20-07,naturalresourcescanada,4211313612,
3,3,1.40086E+18,"Funding from Budget will increase charging/refuelling infrastructure for electric, natural gas and hydrogen vehicles.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/e875d15c934f0dd3fb468e8d50907d45/5A639865/t51.2885-15/e15/15306616_108255179668603_2983581091811557376_n.jpg,BNw2nP5Degw,0,GraphVideo,"[""electricvehicles"",""naturalgas"",""electricity"",""cars"",""vroom"",""electric"",""ecofriendly"",""battery"",""electriccars"",""canada"",""driving"",""future"",""infrastructure""]",[],2016-12-08T08:45:08,[],TRUE,2016-12-08_08-45-08,naturalresourcescanada,4211313612,https://instagram.fyvr3-1.fna.fbcdn.net/vp/028b6c5e422b10449472ef37c452f362/5A6391AB/t50.2886-16/15439673_1812567962311400_5540341394742181888_n.mp4
4,28,1.40086E+18,December is Arctic Science Month! Join us in celebrating Canada’s Northern research with the hashtag,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f49177516cfb554fc77d79a5a256a160/5AFD8572/t51.2885-15/e35/15258675_180688029063542_4452934479454928896_n.jpg,BNw2_3_DrGS,5,GraphImage,"[""arcticscience"",""arctic"",""canada"",""science"",""canadianarctic"",""adventure"",""research"",""climatescience"",""ship"",""voyage""]",[],2016-12-08T08:48:30,[],FALSE,2016-12-08_08-48-30,naturalresourcescanada,4211313612,
5,4,1.40087E+18,Safety is an important aspect of Canada’s pipeline infrastructure.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9ee8687efc8b0982bdee4541262f1901/5AE8914F/t51.2885-15/e35/15306780_205731803213711_1668121738208083968_n.jpg,BNw4H7iDFTj,1,GraphImage,"[""pipeline"",""safety"",""infrastructure"",""naturalresources"",""naturalgas"",""petroleum"",""canada"",""transmountain"",""tmx"",""line3""]",[],2016-12-08T08:58:20,[],FALSE,2016-12-08_08-58-20,naturalresourcescanada,4211313612,
6,21,1.40166E+18,Our satellite station in Inuvik receives data in real time from polar-orbiting satellites,https://instagram.fyvr3-1.fna.fbcdn.net/vp/311b645f65fdcef5f5261beebd02d98c/5AE9D1BD/t51.2885-15/e35/15403481_285748735156359_6060867417855229952_n.jpg,BNztXvkjKyW,1,GraphImage,"[""arcticscience"",""arctic"",""north"",""satellite"",""inuvik"",""northernlights"",""auroraborealis"",""wow"",""science"",""canada""]",[],2016-12-09T11:22:06,[],FALSE,2016-12-09_11-22-06,naturalresourcescanada,4211313612,
7,7,1.40389E+18,Mission accomplished! was the final Arctic survey to map Canada's outer limits,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1707f96727c95ca311b4061fa5e7595c/5ADF927A/t51.2885-15/e35/15276618_111460736015333_1985213860797218816_n.jpg,BN7oXFdDxsC,0,GraphImage,"[""arcticscience"",""north"",""arctic"",""science"",""survey"",""mapping"",""map"",""canada"",""team""]",[],2016-12-12T13:12:14,[],FALSE,2016-12-12_13-12-14,naturalresourcescanada,4211313612,
8,13,1.40461E+18,Our researchers monitor accelerated coastal change in Canada’s Western Arctic using drones,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2fdde948cec07bc39ca552453f52562e/5AEE5D35/t51.2885-15/e35/15538523_1621022034866135_3244337090451734528_n.jpg,BN-LFBUg3kp,0,GraphImage,"[""arcticscience"",""north"",""science"",""drones"",""coast"",""arctic""]","[""parkscanada_ert""]",2016-12-13T12:54:05,[],FALSE,2016-12-13_12-54-05,naturalresourcescanada,4211313612,
9,18,1.40607E+18,NRCan scientists deploy seismometers on drifting ice floes in the - a first for ship-based science program! Seismometers measure sound waves as they move through the layers of Earth’s crust layers below the ocean,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ccaedb3189f6cf6656649266fccc09e8/5AF695CC/t51.2885-15/e35/14553328_358184184541614_3105923428511645696_n.jpg,BODWno-AhOJ,0,GraphImage,"[""arcticocean"",""arcticscience"",""north"",""ice"",""helicopter"",""arctic"",""science"",""canada"",""seismology"",""views"",""ocean""]",[],2016-12-15T13:11:08,[],FALSE,2016-12-15_13-11-08,naturalresourcescanada,4211313612,
