,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
82,82,82,852490154905280_857381054416190,123326971154939_852490154905280,852490154905280_855181221302840,2017-06-07 07:46:38,1,1,0,0,0,0,0,0,Funny huh?,[],[],Funny huh,"['Funny', 'huh']","[u'funni', u'huh']",Funny hut,0.25,0.25,Neutral,Neutral
83,83,83,852490154905280_859004564253839,123326971154939_852490154905280,852490154905280_855181221302840,2017-06-09 14:57:14,2,2,0,0,0,0,0,0,What a totally ignorant remark!,[],[],totally ignorant remark,"['totally', 'ignorant', 'remark']","[u'total', u'ignor', u'remark']",totally ignorant remark,0.0,0.0,Neutral,Neutral
84,84,84,852490154905280_859056220915340,123326971154939_852490154905280,852490154905280_855181221302840,2017-06-09 16:13:46,0,0,0,0,0,0,0,0,No no no stick your flag to the north pole and claim it's yours,[],[],stick flag north pole claim,"['stick', 'flag', 'north', 'pole', 'claim']","[u'stick', u'flag', u'north', u'pole', u'claim']",stick flag north pole claim,0.0,0.0,Neutral,Neutral
85,85,85,852490154905280_859955880825374,123326971154939_852490154905280,,2017-06-11 01:23:34,0,0,0,0,0,0,0,0,"We should get one of our benificeries from out of Inuvialuitliut settlement living in southern communities ,we as benificeries are always left out !!! Even our youth as future leaders they can become !!!",[],[],get one benificeries Inuvialuitliut settlement living southern communities benificeries always left Even youth future leaders become,"['get', 'one', 'benificeries', 'Inuvialuitliut', 'settlement', 'living', 'southern', 'communities', 'benificeries', 'always', 'left', 'Even', 'youth', 'future', 'leaders', 'become']","[u'get', u'one', u'benificeri', u'inuvialuitliut', u'settlement', u'live', u'southern', u'communiti', u'benificeri', u'alway', u'left', u'even', u'youth', u'futur', u'leader', u'becom']",get one benificeries Inuvialuitliut settlement living southern communities benificeries always left Even youth future leaders become,0.0,0.0,Neutral,Neutral
86,86,86,852490154905280_853011574853138,123326971154939_852490154905280,,2017-05-31 11:32:29,1,1,0,0,0,0,0,0,Melody Lily someday?,[],[],Melody Lily someday,"['Melody', 'Lily', 'someday']","[u'melodi', u'lili', u'someday']",Melody Oily someday,0.0,0.0,Neutral,Neutral
87,87,87,852490154905280_853029898184639,123326971154939_852490154905280,852490154905280_853011574853138,2017-05-31 12:23:18,0,0,0,0,0,0,0,0,Hahahah if I get smarter! Jk yeah! 🤗,[],[],Hahahah get smarter Jk yeah,"['Hahahah', 'get', 'smarter', 'Jk', 'yeah']","[u'hahahah', u'get', u'smarter', 'jk', u'yeah']",Ahahah get smarter K yeah,0.0,0.0,Neutral,Neutral
88,88,88,852490154905280_854291134725182,123326971154939_852490154905280,,2017-06-02 14:03:54,0,0,0,0,0,0,0,0,Steven,[],[],Steven,['Steven'],[u'steven'],Even,0.0,0.0,Neutral,Neutral
89,89,89,852490154905280_855769021244060,123326971154939_852490154905280,,2017-06-05 00:09:41,0,0,0,0,0,0,0,0,I need ask you same ting wrong,[],[],need ask ting wrong,"['need', 'ask', 'ting', 'wrong']","[u'need', u'ask', u'ting', u'wrong']",need ask thing wrong,-0.5,-0.5,Negative,Negative
90,90,90,852490154905280_853307831490179,123326971154939_852490154905280,,2017-05-31 22:58:28,0,0,0,0,0,0,0,0,good to hear there will be a vice chair,[],[],good hear vice chair,"['good', 'hear', 'vice', 'chair']","[u'good', u'hear', u'vice', u'chair']",good hear vice chair,0.7,0.7,Positive,Positive
91,91,91,852490154905280_857832807704348,123326971154939_852490154905280,,2017-06-07 21:38:26,1,1,0,0,0,0,0,0,Deirdre Mary-Claire for ur dad!,[],[],Deirdre Mary Claire ur dad,"['Deirdre', 'Mary', 'Claire', 'ur', 'dad']","[u'deirdr', u'mari', u'clair', 'ur', u'dad']",Deirdre Mary Clair or dad,0.0,0.0,Neutral,Neutral
