,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
0,0,0,387135848394703_387192018389086,299048997203389_387135848394703,,2017-12-29 21:20:09,0,0,0,0,0,0,0,0,Bonne route.... Prudence,[],[],Bonne route Prudence,"['Bonne', 'route', 'Prudence']","[u'bonn', u'rout', u'prudenc']",Bonne route Prudence,0.0,0.0,Neutral,Neutral
1,1,1,381981638910124_386972915077663,299048997203389_381981638910124,,2017-12-29 10:24:36,1,1,0,0,0,0,0,0,Rendu possible grâce aux sonars posés aux Chantier Davie Canada Inc. en !,[],[],Rendu possible ce aux sonars aux Chantier Davie Canada Inc en,"['Rendu', 'possible', 'ce', 'aux', 'sonars', 'aux', 'Chantier', 'Davie', 'Canada', 'Inc', 'en']","[u'rendu', u'possibl', 'ce', u'aux', u'sonar', u'aux', u'chantier', u'davi', u'canada', u'inc', 'en']",End possible ce aux sons aux Chanter Have Canada And en,0.0,0.0,Neutral,Neutral
2,2,2,381873355587619_386733421768279,299048997203389_381873355587619,,2017-12-28 23:55:13,1,1,0,0,0,0,0,0,Daaph St-Maurice Léonard,[],[],Daaph St Maurice onard,"['Daaph', 'St', 'Maurice', 'onard']","[u'daaph', 'st', u'mauric', u'onard']",Ralph It Maurice onward,0.0,0.0,Neutral,Neutral
3,3,3,381986238909664_385518705223084,299048997203389_381986238909664,,2017-12-26 11:11:40,2,2,0,0,0,0,0,0,Dave Taillon,[],[],Dave Taillon,"['Dave', 'Taillon']","[u'dave', u'taillon']",Have Billon,0.0,0.0,Neutral,Neutral
4,4,4,381986238909664_385540568554231,299048997203389_381986238909664,381986238909664_385518705223084,2017-12-26 12:06:40,0,0,0,0,0,0,0,0,Go!,[],[],Go,['Go'],['go'],To,0.0,0.0,Neutral,Neutral
5,5,5,381986238909664_385541675220787,299048997203389_381986238909664,381986238909664_385518705223084,2017-12-26 12:10:24,1,1,0,0,0,0,0,0,Le simulateur de navigation a l’air vraiment hot. Pis tu pourrais l’ai torcher dans tout les sports payé pour t’entraîner...,[],[],Le simulateur de navigation air vraiment hot Pis tu pourrais ai torcher dans tout les sports pour ner,"['Le', 'simulateur', 'de', 'navigation', 'air', 'vraiment', 'hot', 'Pis', 'tu', 'pourrais', 'ai', 'torcher', 'dans', 'tout', 'les', 'sports', 'pour', 'ner']","['le', u'simulateur', 'de', u'navig', u'air', u'vraiment', u'hot', u'pis', 'tu', u'pourrai', 'ai', u'torcher', u'dan', u'tout', u'les', u'sport', u'pour', u'ner']",He simulate de navigation air raiment hot His tu pourrais ai torches dans tout les sports pour her,0.25,0.25,Neutral,Neutral
6,6,6,381986238909664_385674541874167,299048997203389_381986238909664,381986238909664_385518705223084,2017-12-26 20:30:57,0,0,0,0,0,0,0,0,C tu les inscription OD sa?,[],[],les inscription OD,"['les', 'inscription', 'OD']","[u'les', u'inscript', 'od']",les inscription of,0.0,0.0,Neutral,Neutral
7,7,7,381986238909664_385674855207469,299048997203389_381986238909664,381986238909664_385518705223084,2017-12-26 20:31:42,2,1,1,0,0,0,0,0,Oui a like je m’inscris,[],[],Oui like je inscris,"['Oui', 'like', 'je', 'inscris']","[u'oui', u'like', 'je', u'inscri']",Qui like je inscribe,0.0,0.0,Neutral,Neutral
8,8,8,381986238909664_386243698483918,299048997203389_381986238909664,,2017-12-28 01:33:56,0,0,0,0,0,0,0,0,Massine Bouchard-Dafi,[],[],Massine Bouchard Dafi,"['Massine', 'Bouchard', 'Dafi']","[u'massin', u'bouchard', u'dafi']",Passing Orchard Safi,0.0,0.0,Neutral,Neutral
9,9,9,381844575590497_385000908608197,299048997203389_381844575590497,,2017-12-25 09:13:39,3,3,0,0,0,0,0,0,"Merci, de la part du personnel du NGCC DesGroseilliers. On travaille aujourd'hui, la saison des escortes de navires et bien commencée à Québec",[],[],Merci de la part du personnel du NGCC DesGroseilliers travaille aujourd hui la saison des escortes de navires et bien bec,"['Merci', 'de', 'la', 'part', 'du', 'personnel', 'du', 'NGCC', 'DesGroseilliers', 'travaille', 'aujourd', 'hui', 'la', 'saison', 'des', 'escortes', 'de', 'navires', 'et', 'bien', 'bec']","[u'merci', 'de', 'la', u'part', 'du', u'personnel', 'du', u'ngcc', u'desgroseilli', u'travaill', u'aujourd', u'hui', 'la', u'saison', u'des', u'escort', 'de', u'navir', 'et', u'bien', u'bec']",Merci de la part du personnel du NGCC DesGroseilliers travail adjourn hut la maison des escorted de natives et bien be,0.0,0.0,Neutral,Neutral
