,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
0,928712796136726533,2017-11-09 19:55:59,['https://t.co/Gha9IQbzQk'],"RT @VeteransENG_CA: On the 11th hour, of the 11th day, of the 11th month, remember Canada's Veterans https://t.co/Gha9IQbzQk #CanadaRemembe…",RT 11th hour 11th day 11th month remember Canada Veterans https co Gha9IQbzQk,['#CanadaRemembe'],,1580,0,1580,Social,['veterans'],en,0.0,Neutral,AAFC_Canada_tweeter
1,928273443614797824,2017-11-08 14:50:10,"['https://t.co/cGhVKRbHHp', 'https://t.\xe2\x80\xa6']",RT @VeteransENG_CA: Veterans’ Week is here! Remember Canada’s men and women in uniform. #CanadaRemembers https://t.co/cGhVKRbHHp https://t.…,RT Week Remember men women uniform CanadaRemembers https co cGhVKRbHHp https,['#CanadaRemembers'],,417,0,417,Social,"['veterans', 'woman', '#canadaremembers']",en,0.0,Neutral,AAFC_Canada_tweeter
2,935625098471661572,2017-11-28 21:43:01,[],"RT @Clerk_GC: On behalf of the Public Service of Canada, I apologize to all LGBTQ2 public servants who suffered because of past injustice.…",RT behalf Public Service Canada apologize LGBTQ2 public servants suffered past injustice,[],,416,0,416,Social,"['public', 'service', 'public', 'suffered']",en,-0.08333333333333333,Neutral,AAFC_Canada_tweeter
3,884416638086504449,2017-07-10 14:18:52,['https://\xe2\x80\xa6'],"RT @JustinTrudeau: As of September 21, 98% of #CETA will be applied, creating more jobs for people &amp; opportunities for businesses: https://…",RT JustinTrudeau September 21 98 CETA applied creating jobs people amp opportunities businesses https,['#CETA'],,317,0,317,Economical,['job'],en,0.5,Positive,AAFC_Canada_tweeter
4,839213357341126656,2017-03-07 20:37:10,['https://t.co/zggBAdXAvx'],We offer a mediation service that can help farmers get relief from their debts. Learn more. https://t.co/zggBAdXAvx,offer mediation service help farmers get relief debts Learn https co zggBAdXAvx,[],,76,218,294,Social,['service'],en,0.5,Positive,AAFC_Canada_tweeter
0,907322526858190853,2017-09-11 19:18:42,"['https://t.co/Y5xG7oMgT', 'https://t.co/\xe2\x80\xa6']",RT @FCACan: Starting your first job?  Learn to manage your finances by making a budget. https://t.co/Y5xG7oMgT8 #150MoneyTips https://t.co/…,RT FCACan Starting first job Learn manage finances making budget https co Y5xG7oMgT8 150MoneyTips https co,['#150MoneyTips'],,12,0,12,Economical,"['job', 'finance', '#150moneytips']",en,0.125,Neutral,AskISED_tweeter
0,883120228472315_1168600633257605,2017-02-09 10:10:11,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168600633257605/?type=3,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how. http://ow.ly/67Xi308QixN,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how.,[],2077,1539,5452,10780,Environmental,"['greenhouse_gas', 'emission']",en,0.05339751912883031,positive,CanadianAgriculture_facebook
1,883120228472315_1168625373255131,2017-02-09 10:50:17,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168625373255131/?type=3,Canada produces a lot of maple syrup! Learn all about this Canadian icon. http://ow.ly/oKiN308OBQ5,Canada produces a lot of maple syrup! Learn all about this Canadian icon.,[],267,1678,7988,10761,Economical,['maple'],en,0.19477726239845367,positive,CanadianAgriculture_facebook
2,883120228472315_1168515283266140,2017-02-09 08:25:11,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168515283266140/?type=3,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop. http://ow.ly/ACgQ308R6gX,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop.,[],403,872,5141,6802,unknown,[],en,0.0,neutral,CanadianAgriculture_facebook
3,883120228472315_1168458146605187,2017-02-09 07:10:15,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168458146605187/?type=3,Canadian scientists help extend the shelf life and freshness of apples. Find out how: http://ow.ly/C8ib308OA4s,Canadian scientists help extend the shelf life and freshness of apples. Find out how:,[],480,831,4890,6686,unknown,[],en,0.0,neutral,CanadianAgriculture_facebook
4,883120228472315_1167946449989690,2017-02-08 16:07:20,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1167946449989690/?type=3,Lycopene gives the tomato its red colour. Find out why our researchers are studying it. http://ow.ly/DXmn308OBu1,Lycopene gives the tomato its red colour. Find out why our researchers are studying it. u1,[],314,899,4981,6463,unknown,[],en,0.0,neutral,CanadianAgriculture_facebook
0,242079006274865_311343066015125,2017-11-23 17:12:58,https://www.facebook.com/CanadianCoastGuard/videos/311343066015125/,"Last month we participated in “Exercise Salish Sea,” which was the largest largest major incident exercise in Canadian Coast Guard history! The two-day major maritime incident training exercise took place east of Salt Spring Island, British Columbia. Day one focused on search and rescue and involved the evacuation of 100 survivors from a BC Ferry. Canadian Armed Forces Transport and Infrastructure in Canada BC Ferries Royal Canadian Marine Search and Rescue U.S. Coast Guard","Last month we participated in “Exercise Salish Sea,” which was the largest largest major incident exercise in Canadian Coast Guard history! The two-day major maritime incident training exercise took place east of Salt Spring Island, British Columbia. Day one focused on search and rescue and involved the evacuation of survivors from a BC Ferry. Canadian Armed Forces Transport and Infrastructure in Canada BC Ferries Royal Canadian Marine Search and Rescue U.S. Coast Guard",[],17,153,157,333,Environmental,"['coast', 'guard', 'guard', 'transport', 'infrastructure', 'marine', 'coast', 'guard', 'guard']",en,0.1025595238095238,positive,CanadianCoastGuard_facebook
1,242079006274865_305974303218668,2017-11-17 09:00:00,https://www.facebook.com/CanadianCoastGuard/videos/305974303218668/,"Fun Fact Friday:
We are proud to have 114 ships, 23 helos, & 4,500 members working 24/7 to protect & secure the largest coastline in the world.

We are the leading maritime authority in the country, operating 24/7 in some of the most challenging conditions on the earth to provide services that are critical to safety, security and economic growth.","Fun Fact Friday: We are proud to have ships, helos, & ,500 members working /7 to protect & secure the largest coastline in the world. We are the leading maritime authority in the country, operating /7 in some of the most challenging conditions on the earth to provide services that are critical to safety, security and economic growth.",[],13,159,132,311,Economical,"['service', 'growth']",en,0.343015873015873,positive,CanadianCoastGuard_facebook
2,242079006274865_317477928734972,2017-12-09 15:54:35,https://www.facebook.com/CanadianCoastGuard/photos/a.261340221015410.1073741829.242079006274865/317477778734987/?type=3,The launch event of the CCGS Sir John Franklin marks significant and tangible step in our fleet renewal process!,The launch event of the CCGS Sir John Franklin marks significant and tangible step in our fleet renewal process!,[],11,69,203,306,unknown,[],en,0.19404761904761905,positive,CanadianCoastGuard_facebook
3,242079006274865_267097453773020,2017-07-25 08:53:18,https://www.facebook.com/CanadianCoastGuard/photos/a.267094607106638.1073741834.242079006274865/267097447106354/?type=3,"The Inshore Rescue Boat crews don’t just rescue people, they rescue dogs too! This pup is home safe with her owners after being rescued off Conrad’s Beach in Nova Scotia.","The Inshore Rescue Boat crews don’t just rescue people, they rescue dogs too! This pup is home safe with her owners after being rescued off Conrad’s Beach in Nova Scotia.",[],4,50,172,251,Social,['safe'],en,0.0,neutral,CanadianCoastGuard_facebook
