"likes","mediaid","video_url","typename","url","shortcode","comments","id","caption","owner_username","tagged_users","date","caption_mentions","is_video","caption_hashtags","owner_id"
7,1371089064702603500,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/4239221cc86aa5ab98dc9ff1ae26d7a4/5AE5BF7E/t51.2885-15/e35/24838715_188091061743786_8607374968130371584_n.jpg","BMHFj1xBXCp",1,"2016-10-28_07-56-15","De nombreuses stations météorologiques sont isolées. En arrière-plan se trouve le phare de Pachena. Un hélicoptère 🚁de la Garde côtière amène à bon port des techniciens près de Bamfield en Colombie-Britannique pour qu’ils puissent travailler à la station météorologique. Cette station météorologique se trouve le long du sentier de la Côte-Ouest, un sentier de renommée mondiale.","environnementcan","[]","2016-10-28T07:56:15","[]",false,"[]",3913646610
6,1373229219064400600,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/941e88843ba6393bf7fdeb7d8224646d/5AD86638/t51.2885-15/e35/25016412_2250068935219625_7367678223448014848_n.jpg","BMOsLL1hUqI",1,"2016-10-31_06-48-21","« JE SUIS UN HIBOU MAGIQUE QUI TRANSMET UN MESSAGE – HOU-HOU! »  Une Chevêche des terriers qui essaye vraiment d’être effrayante…Joyeuse Hou-lloween!🎃🕸🕷","environnementcan","[]","2016-10-31T06:48:21","[]",false,"[]",3913646610
6,1374043566464378000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/8be09122290f4a159bce5a745dd9f2d9/5AFDE351/t51.2885-15/e35/24838350_1504249012963981_18891602630017024_n.jpg","BMRlVf9BSUA",1,"2016-11-01_09-46-19","Cet hiver, nous suivrons avec grand intérêt les Courlis corlieu qui s’envolent vers des airs d’hivernage aux températures chaudes.  En travaillant avec nos partenaires, nous avons muni ces oiseaux migrateurs d’émetteurs afin de suivre leur parcours de l’île Miscou, au Nouveau-Brunswick (Canada), jusqu’au Brésil. En connaissant leur destination et la durée de leur voyage, les biologistes peuvent mieux prédire les dangers auxquels ces oiseaux pourraient se heurter en cours de route. @mountallison @usfws","environnementcan","[]","2016-11-01T09:46:19","[""mountallison"",""usfws""]",false,"[]",3913646610
4,1374693245816526000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/73baedb811bd008bf5f23236e61632d3/5AE9FFDD/t51.2885-15/e35/25005428_2105678146112917_7107383285252096000_n.jpg","BMT5DlABdTu",1,"2016-11-02_07-17-06","Nous voici, les quatre biologistes (deux en pleine vue, un caché en arrière-plan et moi, derrière la caméra) qui installons une clôture dans un petit secteur marécageux bordé d’arbres dans la réserve nationale de faune du Lac-de-la-Dernière-Montagne, en Saskatchewan.🛠 Nous avons besoin de clôtures comme celle-ci pour empêcher nos « gestionnaires de la végétation » (🐄) de se promener à l’extérieur de la réserve jusqu’aux routes et aux terrains avoisinants. Ils broutent la végétation pour préserver la santé de nos prairies. Nous nous sommes retroussé les manches pour installer cette clôture d’une longueur de 3,2 km lors de nos temps libres pendant plus de trois mois. Nous devions commencer à travailler dès les petites heures du matin pour éviter la chaleur accablante du soleil d’été et parce que les cuissardes que nous portons sont chaudes peu importe la saison. Au moins, les moustiques nous tenaient compagnie!\n- Kerry","environnementcan","[]","2016-11-02T07:17:06","[]",false,"[]",3913646610
1,1375471621741275100,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/ec8e61b0449fac681aa701f9bf47b3f2/5AF602BF/t51.2885-15/e35/24838746_512422775795191_8440142135763664896_n.jpg","BMWqCcEhOfY",1,"2016-11-03_09-03-36","AVERTISSEMENT : SUPER SCIENTIFIQUE! 😎\n\nVoici Benoit, un de nos biologistes qui étudie la santé des eaux douces au cap Breton, en Nouvelle-Écosse, en utilisant la méthode *RCBA. En prélevant des échantillons d’invertébrés et en étudiant ces espèces, il peut déduire beaucoup de choses au sujet de la santé des eaux douces. * Le RCBA est le Réseau canadien de biosurveillance aquatique, un réseau de groupes qui collaborent pour évaluer la qualité des écosystèmes d’eau douce partout au Canada. En utilisant la méthode RCBA, les partenaires effectuent des observations en ayant recours à des protocoles approuvés. De plus, ils réalisent des évaluations scientifiques en suivant des normes nationales.","environnementcan","[]","2016-11-03T09:03:36","[]",false,"[]",3913646610
3,1376097817252419000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/0d95de82c05002fc721a4ef5be89bef2/5AFBC96D/t51.2885-15/e35/25011871_1991917431049004_735158166098018304_n.jpg","BMY4ayFhVYI",1,"2016-11-04_05-47-44","Bonne nouvelle en ce vendredi! 🙌🏽 Le projet d’assainissement des sédiments contaminés du récif Randle permet d’assainir le havre de Hamilton – vive l’eau propre! Cette photo illustre l’installation de confinement actif qui agit comme une boîte qui stockera les sédiments les plus sales. Lorsque le projet d’une valeur de 138,9 millions de dollars sera terminé en 2022, l’eau sera plus propre pour les poissons 🐟 et la population. Le projet permettra de créer des emplois et de favoriser le tourisme dans cette communauté – hourra!🎉 📷: Bermingham Foundation Solutions","environnementcan","[]","2016-11-04T05:47:44","[]",false,"[]",3913646610
1,1378360249509376000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/5e33f2c496c12c008485f7fd28f02e82/5AFACE7A/t51.2885-15/e35/25010723_384853828637495_2212918703115206656_n.jpg","BMg61gUhnBg",1,"2016-11-07_07-42-47","« Je cherche un nounours pour lui faire un câlin. 🐻N’est-ce pas la journée pour ça? Mais… faire un câlin à un ours, c’est un peu dangereux, à moins qu’il soit Yogi l’ours ou Winnie l’ourson. Alors que moi, je ne suis qu’un mignon caribou… Puis-je avoir un câlin? »  Ce caribou a été aperçu alors que notre équipe du Service canadien de la faune explorait les basses terres de la baie d’Hudson en Ontario.","environnementcan","[]","2016-11-07T07:42:47","[]",false,"[]",3913646610
4,1379071446508507100,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/52c64347fd39b1e6cc174f6deef8251c/5AFC92B0/t51.2885-15/e35/25012764_1194754867291737_6329920168029847552_n.jpg","BMjciyJBhB5",1,"2016-11-08_07-15-49","« Où sont passés les tuyaux » 🎶 Oups, c’est un feu de prairie soigneusement planifié! 🔥\n\nLa biologiste et commandante au feu 🚒😎 Kerry observe sa collègue Sarah s’éloigner des flammes alors qu’elle allume la première ligne de feu, waouh!\n\nUn brûlage dirigé peut aider à garder les écosystèmes en santé en réduisant le nombre d’arbustes et d’arbres, en plus d’enlever la vieille matière végétale qui s’est accumulée avec les années.","environnementcan","[]","2016-11-08T07:15:49","[]",false,"[]",3913646610
5,1379837771535337000,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/72294c7a6dc6a7a051976e60e5f4fb9c/5ADECEF4/t51.2885-15/e35/24839082_143700609617576_2332355863806738432_n.jpg","BMmKyR8B8Xt",0,"2016-11-09_08-38-22","Bonjour, c’est moi, Henry. Notre équipe responsable du dossier de la lutte contre les changements climatiques est présentement à Marrakech pour la 22e Conférence des Parties (@COP22ma). Je publierai des photos pour vous donner une idée de notre expérience comme membre de la délégation canadienne et du travail que nous faisons. #ChangementsClimatiques #COP22 #COP22CAN  #EnCoulisses","environnementcan","[]","2016-11-09T08:38:22","[""cop22ma""]",false,"[""changementsclimatiques"",""cop22"",""cop22can"",""encoulisses""]",3913646610
2,1380590186983137500,,"GraphImage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/b4a5568ba7f6608847c94d6661be8cac/5AE486AF/t51.2885-15/e35/25005690_183801642199734_3528406695560609792_n.jpg","BMo13XbhSDs",0,"2016-11-10_09-33-17","Avertissement : super scientifique!\n\nVoici Sue, une spécialiste des eaux. Elle étudie les proliférations d’algues nocives dans notre labo à Burlington. Son travail a toujours été une source d’inspiration pour elle. « Grâce à la combinaison du travail sur le terrain et en laboratoire, j’ai eu une carrière en science passionnante. »\n\nSur la photo, elle est dans sa deuxième maison, c’est-à-dire le Limnos, un navire de la Garde côtière canadienne. Sue prendra sa retraite en décembre. Nous lui souhaitons bien du bonheur! #Merci","environnementcan","[]","2016-11-10T09:33:17","[]",false,"[""merci""]",3913646610
