Account,number of posts
AAC_Canada_tweets.csv,2924
AgricultureCanadienne_facebook_statuses.csv,1096
BSTCanada_tweets.csv,1436
DemandezaISDE_tweets.csv,0
environnementcan_posts.csv,240
environnementca_tweets.csv,3132
EnvironnementetChangementclimatique_facebook_statuses.csv,154
EnvironnementetressourcesnaturellesauCanada_facebook_statuses.csv,1364
GardeCotiereCanadienne_facebook_statuses.csv,260
GCAutochtones_tweets.csv,3153
GCC_CCG_tweets.csv,3149
MineGiant_tweets.csv,35
ministre_ec_tweets.csv,3172
MPO_Centre_tweets.csv,1470
MPO_DFO_tweets.csv,2235
MPO_GCC_Quebec_tweets.csv,917
MPO_Golfe_tweets.csv,546
MPO_MAR_tweets.csv,1123
MPO_Pacifique_tweets.csv,1451
MPO_Science_tweets.csv,1471
MPO_TNL_tweets.csv,2575
OfficeDesTransportsDuCanada_facebook_statuses.csv,345
OTC_gc_tweets.csv,714
parcs.canada_posts.csv,412
ParcsCanada_facebook_statuses.csv,1245
ParcsCanada_tweets.csv,3006
PechesOceansCanada_facebook_statuses.csv,344
QuestionsdargentCanada_facebook_statuses.csv,992
ressourcenaturellescanada_posts.csv,237
RNCan_tweets.csv,3123
TransportsetInfrastructureauCanada_facebook_statuses.csv,1329
Transports_gc_tweets.csv,3047
,46697
