"shortcode","mediaid","caption","url","is_video","comments","typename","owner_username","tagged_users","date","owner_id","caption_mentions","id","caption_hashtags","likes","video_url"
"BNwzV8dBSZ6",1400845292504688000,"Que signifient les projets de remplacement de la #Line3 et d'agrandissement du réseau de Trans Mountain pour les Canadiens? #pipeline #TransMountain #emploi #Canada #canadiens #economie #ressourcesnaturelle #ressources","https://instagram.fyvr3-1.fna.fbcdn.net/vp/dc52b41af7c9ce2b8ad900ffbae95a40/5AF1D6A7/t51.2885-15/e35/15258940_703254013174681_9209084630576136192_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-08T08:16:33",4210755410,"[]","2016-12-08_08-16-33","[""line3"",""pipeline"",""transmountain"",""emploi"",""canada"",""canadiens"",""economie"",""ressourcesnaturelle"",""ressources""]",1,
"BNwzlByhUri",1400846329026268000,"Le gouvernement du Canada a approuvé le projet d'agrandissement du réseau de Trans Mountain.  Pour en savoir plus sur cette décision, visitez notre site Web #pipeline #canada #economie #expansion #TMX #ressourcesnaturelle #canadiens #TransMountain #ressources #Columbiebritannique #Alberta","https://instagram.fyvr3-1.fna.fbcdn.net/vp/41e68d0f61183b8154674a6b51a3ef8e/5AFAF6A1/t51.2885-15/e35/15403404_1788659584735061_6148835048226291712_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-08T08:18:37",4210755410,"[]","2016-12-08_08-18-37","[""pipeline"",""canada"",""economie"",""expansion"",""tmx"",""ressourcesnaturelle"",""canadiens"",""transmountain"",""ressources"",""columbiebritannique"",""alberta""]",1,
"BNwz1R7BrQX",1400847445860463600,"Le gouvernement du Canada a approuvé le projet de remplacement de la canalisation 3 d'Enbridge. Pour en savoir plus sur cette décision, visitez notre site Web #pipeline #canada #economie #remplacement  #ressourcesnaturelle #canadiens #ressources #Alberta #Saskatchewan #Sask #Manitoba #line3","https://instagram.fyvr3-1.fna.fbcdn.net/vp/b37b845b7cfc616771927f0a0d60b4ba/5AF57326/t51.2885-15/e35/15251683_215400755570440_524214669875871744_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-08T08:20:50",4210755410,"[]","2016-12-08_08-20-50","[""pipeline"",""canada"",""economie"",""remplacement"",""ressourcesnaturelle"",""canadiens"",""ressources"",""alberta"",""saskatchewan"",""sask"",""manitoba"",""line3""]",1,
"BNw2s7xBScb",1400860066453989000,"Le financement du budget 2016 améliorera l'infrastructure de chargement et de ravitaillement des véhicules propulsés à l’électricité, au gaz naturel et à l'hydrogène.\n#gaznaturel #electrique #voiture #vroom #electricite #ecofriendly #batterie #voitureelectrique #canada #auvolant #future #infrastructure","https://instagram.fyvr3-1.fna.fbcdn.net/vp/5ea19e76d6b57a1c9afb2db6e9c11349/5A63F156/t51.2885-15/e15/15305930_1870160773216998_7364087278601240576_n.jpg",true,0,"GraphVideo","ressourcesnaturellescanada","[]","2016-12-08T08:45:55",4210755410,"[]","2016-12-08_08-45-55","[""gaznaturel"",""electrique"",""voiture"",""vroom"",""electricite"",""ecofriendly"",""batterie"",""voitureelectrique"",""canada"",""auvolant"",""future"",""infrastructure""]",1,"https://instagram.fyvr3-1.fna.fbcdn.net/vp/e6da38d5e02944a4cf5bc034bde081fa/5A636634/t50.2886-16/15398024_1810545075872783_3173563150469431296_n.mp4"
"BNw3FrYBgph",1400861766841666000,"Décembre est le Mois de la science dans l'Arctique. Célébrons ensemble la recherche dans le Nord du Canada avec les mots-clics #ScienceArctique #Arctique #canada #science #Canadien #adventure #recherche #Climat #bateau #voyage","https://instagram.fyvr3-1.fna.fbcdn.net/vp/93719458b9d247a241384f27f001d724/5AF8A977/t51.2885-15/e35/14498858_233225517108215_6708344831627755520_n.jpg",false,8,"GraphImage","ressourcesnaturellescanada","[]","2016-12-08T08:49:17",4210755410,"[]","2016-12-08_08-49-17","[""sciencearctique"",""arctique"",""canada"",""science"",""canadien"",""adventure"",""recherche"",""climat"",""bateau"",""voyage""]",27,
"BNw33TnBt-W",1400865177297412000,"La sécurité est un aspect important de l'infrastructure des pipelines du Canada. #pipeline #securite #infrastructure #ressourcesnaturelle #ressources #gaznaturel #petrol #Canada #transmountain #line3 #tmx","https://instagram.fyvr3-1.fna.fbcdn.net/vp/72c0b7cb33fba6a840fd7afc4526fe14/5ADB4035/t51.2885-15/e35/15276514_346632279048508_158518055960313856_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-08T08:56:04",4210755410,"[]","2016-12-08_08-56-04","[""pipeline"",""securite"",""infrastructure"",""ressourcesnaturelle"",""ressources"",""gaznaturel"",""petrol"",""canada"",""transmountain"",""line3"",""tmx""]",1,
"BNztfYhhGRt",1401663977771263000,"La station-relais d'Inuvik reçoit des données en temps réel de satellites en orbite polaire #ScienceArctique #nord #arctique #satellite #LumieresduNord #AuroraBoreales #Inuvik #science #canada","https://instagram.fyvr3-1.fna.fbcdn.net/vp/8747b8a3e726320921c252f13716cd60/5AFA2949/t51.2885-15/e35/14624224_404720116585533_2024372404779745280_n.jpg",false,1,"GraphImage","ressourcesnaturellescanada","[]","2016-12-09T11:23:08",4210755410,"[]","2016-12-09_11-23-08","[""sciencearctique"",""nord"",""arctique"",""satellite"",""lumieresdunord"",""auroraboreales"",""inuvik"",""science"",""canada""]",2,
"BN7okRQBlHj",1403894123140108800,"On a fini en 2016 les levés pour établir les limites du continent dans l’Arctique #ScienceArctique #nord #arctique #science #cartographie #carte #canada #équipe","https://instagram.fyvr3-1.fna.fbcdn.net/vp/a32225f17b9984dbbc379a72c093bf9e/5AF95146/t51.2885-15/e35/15337283_153287051820054_6388453150570840064_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-12T13:14:02",4210755410,"[]","2016-12-12_13-14-02","[""sciencearctique"",""nord"",""arctique"",""science"",""cartographie"",""carte"",""canada"",""équipe""]",2,
"BN-LMfxhho6",1404609371048385000,"Le Canada surveille le changement accéléré du littoral dans l’Arctique à l’aide de drones #ScienceArctique #nord #science #drones #côte","https://instagram.fyvr3-1.fna.fbcdn.net/vp/a5e7cced4baef19f6d1f4fe7019d5ac6/5AE68E11/t51.2885-15/e35/14719088_229949047429543_8450813896838610944_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[""parkscanada_ert""]","2016-12-13T12:55:06",4210755410,"[]","2016-12-13_12-55-06","[""sciencearctique"",""nord"",""science"",""drones"",""côte""]",2,
"BODWumxhvW3",1406067468422018600,"RNCan déploie des sismomètres sur des floes dans l’#OcéanArctique, une 1re pour un programme scientifique en mer! Un sismomètre mesure les ondes sonores traversant la croûte terrestre sous l’océan #ScienceArctique #nord #glace #helicoptere #arctique #science #canada #sismologie #views #océan","https://instagram.fyvr3-1.fna.fbcdn.net/vp/b253f040ec8364de67829c3718d1b303/5AFDFD85/t51.2885-15/e35/14597389_2023693557857650_9142970708635156480_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-15T13:12:05",4210755410,"[]","2016-12-15_13-12-05","[""océanarctique"",""sciencearctique"",""nord"",""glace"",""helicoptere"",""arctique"",""science"",""canada"",""sismologie"",""views"",""océan""]",3,
