"shortcode","mediaid","caption","url","is_video","comments","typename","owner_username","tagged_users","date","owner_id","caption_mentions","id","caption_hashtags","likes","video_url"
"BOF5GhNBtJd",1406781595243172400,"Atterrissage d'un hélicoptère chargé de fournitures pour le camp d'observation des glaces. Même si cette photographie a été prise vers 19 h 30, le soleil est radieux, car l'été, il ne se couche jamais dans l'Arctique. #ScienceArctique 📷 : John Shimeld, Ressources naturelles Canada\n\n#science #helicoptère #camping #camp #neige #glace","https://instagram.fyvr3-1.fna.fbcdn.net/vp/3a51157fe0f8571a109dd429bafe7913/5AD998C9/t51.2885-15/e35/15535025_1183554355056307_7718820146680168448_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-16T12:50:56",4210755410,"[]","2016-12-16_12-50-56","[""sciencearctique"",""science"",""helicoptère"",""camping"",""camp"",""neige"",""glace""]",4,
"BOP-e04h7Rm",1409620005641237500,"Vous aimeriez participer à une exposition du Programme du plateau continental polaire du GC? Soumettez vos photos 📷 sur le site Web @CanGeo. Voyez ce camp de terrain pour la recherche géologique sur la péninsule de Cumberland #ScienceArctique #nord #science #Canada #glace #explore #géologie #camp","https://instagram.fyvr3-1.fna.fbcdn.net/vp/e961e36bb0cf84fb3dc02f45c72cc45a/5AFA8DB3/t51.2885-15/e35/15538916_219416148513242_868826627910402048_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-20T10:50:21",4210755410,"[""cangeo""]","2016-12-20_10-50-21","[""sciencearctique"",""nord"",""science"",""canada"",""glace"",""explore"",""géologie"",""camp""]",3,
"BOSzLSdBKWP",1410414709420893700,"Faute de route, d’autres moyens de transport amènent les scientifiques à leur travail de terrain #ScienceArctique #CartesPostales #arctique #nord #recherche #helicoptère #canada #science","https://instagram.fyvr3-1.fna.fbcdn.net/vp/358d3215b266f2c5906a5439ca6e3d01/5AF02C06/t51.2885-15/e35/15403563_719813221516907_4819298445388939264_n.jpg",false,6,"GraphImage","ressourcesnaturellescanada","[]","2016-12-21T13:09:17",4210755410,"[]","2016-12-21_13-09-17","[""sciencearctique"",""cartespostales"",""arctique"",""nord"",""recherche"",""helicoptère"",""canada"",""science""]",41,
"BOVOnsUByD3",1411098358541918500,"Le sol gelé du Nord canadien, appelé pergélisol, est en train de se réchauffer, ce qui peut causer l’effondrement du terrain et l’endommagement des bâtiments, des routes et autres infrastructures.\n\n#changementclimatique #adaptation #climat #science #environnement #innovation  #adaptationauclimat #plusvousensavez #scienceduclimat #résilienceauclimat #nord #Arctique #ArctiqueCanadien","https://instagram.fyvr3-1.fna.fbcdn.net/vp/1313f71db27633b40a6c76b2f3cd203d/5AE7503A/t51.2885-15/e35/15623917_376040972745821_9207141527241883648_n.jpg",false,3,"GraphImage","ressourcesnaturellescanada","[]","2016-12-22T11:47:34",4210755410,"[]","2016-12-22_11-47-34","[""changementclimatique"",""adaptation"",""climat"",""science"",""environnement"",""innovation"",""adaptationauclimat"",""plusvousensavez"",""scienceduclimat"",""résilienceauclimat"",""nord"",""arctique"",""arctiquecanadien""]",40,
"BOXbEwABhBI",1411716081877651500,"Que fait ce joyeux barbu à bord? Notre équipe scientifique a rendu visite au Père Noël au Pôle Nord en août! #PèreNoel #ScienceArctique #PôleNord #arctique #aventure #canada #noel","https://instagram.fyvr3-1.fna.fbcdn.net/vp/8a87e862336cc78101ba0aae51f73c0a/5AE7B205/t51.2885-15/e35/15539092_569125006620498_6533707260894380032_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2016-12-23T08:14:52",4210755410,"[]","2016-12-23_08-14-52","[""pèrenoel"",""sciencearctique"",""pôlenord"",""arctique"",""aventure"",""canada"",""noel""]",3,
"BOkRDuZB_rg",1415331205662374700,"Avis à tous les photographes! Nous cherchons des photos d’aventures scientifiques dans le #Nord canadien. Soumettez les vôtres  sur le site Web @CanGeo. Sur cette photo de #ScienceArctique, nous chargeons un avion de matériel de terrain et de carburant au bord du lac Hazen. #Arctique #science #nord #avion #Canada #glace #paysage #bagages","https://instagram.fyvr3-1.fna.fbcdn.net/vp/32ece9ad9f7b87fb3127bddad4e3b34b/5AE84EA0/t51.2885-15/e35/15801888_357059601334617_6972564012722552832_n.jpg",false,5,"GraphImage","ressourcesnaturellescanada","[]","2016-12-28T07:57:29",4210755410,"[""cangeo""]","2016-12-28_07-57-29","[""nord"",""sciencearctique"",""arctique"",""science"",""nord"",""avion"",""canada"",""glace"",""paysage"",""bagages""]",37,
"BOm4FJIBRbD",1416065776854833000,"Brise-glace, camp de glace, sous-marin autonome, nos scientifiques affrontent l’un des milieux les plus hostiles sur Terre #ScienceArctique #SousMarin #Camp #Scientist","https://instagram.fyvr3-1.fna.fbcdn.net/vp/3ee1e8bf813d0e25db5c38f2c021c829/5AFE6E54/t51.2885-15/e35/15539092_231365497273931_8777347981041991680_n.jpg",false,3,"GraphImage","ressourcesnaturellescanada","[]","2016-12-29T08:16:56",4210755410,"[]","2016-12-29_08-16-56","[""sciencearctique"",""sousmarin"",""camp"",""scientist""]",34,
"BOpa-5ThDVB",1416782229132293400,"Au nord d’Iqaluit, des scientifiques identifient des fossiles sur une crête de calcaire dénudé. #CartesPostales #ScienceArctique #Iqaluit #Fossile #Nord","https://instagram.fyvr3-1.fna.fbcdn.net/vp/f0f9f0530b667ef38eae8a9460bf9c67/5AE22C93/t51.2885-15/e35/15803456_166980250450891_8349987778628419584_n.jpg",false,4,"GraphImage","ressourcesnaturellescanada","[]","2016-12-30T08:00:24",4210755410,"[]","2016-12-30_08-00-24","[""cartespostales"",""sciencearctique"",""iqaluit"",""fossile"",""nord""]",30,
"BO0LoEoBKfl",1419810914785601500,"La société Tekle Technical Services de Drayton Valley, en Alberta, a mis au point un procédé de fabrication qui permet de produire les premiers matelas de fibre ligneuse technique dans le monde ! Les résidus de matière ligneuse et agricole peuvent dorénavant être transformés en matériaux isolants écologiques pour les bâtiments et en pièces d'auto ultralégères pour l'intérieur des voitures #Innovation #Nouveauté #Canada #Écologique #Bois #Fibres #BâtimentsVerts #Autos","https://instagram.fyvr3-1.fna.fbcdn.net/vp/eb86941ee794207a697b1ad9a062069d/5AF0462F/t51.2885-15/e35/15802895_206517659811929_6311887945406087168_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-01-03T12:17:52",4210755410,"[]","2017-01-03_12-17-52","[""innovation"",""nouveauté"",""canada"",""écologique"",""bois"",""fibres"",""bâtimentsverts"",""autos""]",6,
"BPFiyKPBICU",1424697837677216000,"Pouvez-vous trouver notre technicien de RNCan? Sébastien Dagnault, technicien en productivité forestière au Service canadien des forêts, procède à la récolte d’aiguilles pour modéliser les impacts des centrales au charbon dans l’Ouest canadien, dans le cadre de travaux réalisés en collaboration avec la Commission géologique du Canada 🌲 #forêts #travail #arbres #géographie #canada #impact #enhaut","https://instagram.fyvr3-1.fna.fbcdn.net/vp/73bacecf72f1683fd6e6bf75f655344d/5AFD10B3/t51.2885-15/e35/15802459_372615619778308_2419460875766202368_n.jpg",false,4,"GraphImage","ressourcesnaturellescanada","[]","2017-01-10T06:07:18",4210755410,"[]","2017-01-10_06-07-18","[""forêts"",""travail"",""arbres"",""géographie"",""canada"",""impact"",""enhaut""]",38,
"BPI-b6qh947",1425663879362895400,"Platine est le niveau de performance le plus élevé du système LEED de standardisation des bâtiments écologiques. Les panneaux solaires fixés au toit de notre laboratoire CanmetMATÉRIAUX sont l’un des moyens que nous avons mis en œuvre pour accroître l’efficacité énergétique de notre bâtiment. #LEED #platine #BâtimentsVerts #innovation #labo #science #Ontario #solaire #EnergieSolaire","https://instagram.fyvr3-1.fna.fbcdn.net/vp/e72d5b677fa359d05305104bee1ec63e/5AEAFAC8/t51.2885-15/e35/15877267_250229755413297_5007823831528636416_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-01-11T14:06:39",4210755410,"[]","2017-01-11_14-06-39","[""leed"",""platine"",""bâtimentsverts"",""innovation"",""labo"",""science"",""ontario"",""solaire"",""energiesolaire""]",5,
"BPK4EG-hyI7",1426198804990206500,"Saviez-vous que notre laboratoire CanmetMATÉRIAUX à Hamilton a la certification LEED Platine? Ce laboratoire vert offre du soutien technologique et de l’aide à l’innovation aux fabricants de produits minéraux et métalliques du sud-ouest de l’Ontario et d’ailleurs au pays. #LEED #platine #BâtimentsVerts #innovation #labo #science #Ontario","https://instagram.fyvr3-1.fna.fbcdn.net/vp/55290e0122396b22c37d65f60b35afc7/5AE55286/t51.2885-15/e35/15802235_1730739350589107_8984052666665533440_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-01-12T07:49:28",4210755410,"[]","2017-01-12_07-49-28","[""leed"",""platine"",""bâtimentsverts"",""innovation"",""labo"",""science"",""ontario""]",5,
"BPYK9jKhWxY",1429941091800804400,"Des chercheurs étudient les vagues au large des côtes de la Colombie-Britannique pour établir le potentiel en matière d’énergie renouvelable et répertorier les secteurs les plus prometteurs pour la conversion de l’énergie des vagues 🌊  #vagues #eau #energierenouvelable #renouvelable #energie #ScienceauTravail #CB #science #Canada","https://instagram.fyvr3-1.fna.fbcdn.net/vp/97731a9d5ca0d94b78fb0ce63069d060/5AE5284F/t51.2885-15/e35/16124098_1734186780229749_8865852374950871040_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-01-17T11:44:43",4210755410,"[]","2017-01-17_11-44-43","[""vagues"",""eau"",""energierenouvelable"",""renouvelable"",""energie"",""scienceautravail"",""cb"",""science"",""canada""]",5,
"BPf9ejaBRuL",1432133586966092800,"Un géologue travaillant sur le terrain dans les collines de Prince Albert, dans la péninsule de Melville, au Nunavut à cartographier le Nord canadien 🇨🇦 Les cartes vont aider les habitants de cette région et l’industrie à trouver des secteurs ayant un potentiel élevé en exploration des ressources. #géologie #cartographie #ScienceauTravail #carte #canada #nunavut #science #roches #terrain","https://instagram.fyvr3-1.fna.fbcdn.net/vp/154131f12c3cdf5093d91c8354f83781/5AE89D76/t51.2885-15/e35/16110396_370269760022619_2389190955581308928_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-01-20T12:20:49",4210755410,"[]","2017-01-20_12-20-49","[""géologie"",""cartographie"",""scienceautravail"",""carte"",""canada"",""nunavut"",""science"",""roches"",""terrain""]",7,
"BPswdDlh_We",1435735484172596700,"#ConseilJeunessePM Ton avenir compte! Protéger l'#environnement et stimuler l'#économie peuvent aller de pair","https://instagram.fyvr3-1.fna.fbcdn.net/vp/ee2d06b4fe5d9e4f6ae5058e0aed0380/5A6379D0/t51.2885-15/e15/14582462_884633161639855_3929000859354005504_n.jpg",true,0,"GraphVideo","ressourcesnaturellescanada","[]","2017-01-25T11:37:08",4210755410,"[]","2017-01-25_11-37-08","[""conseiljeunessepm"",""environnement"",""économie""]",4,"https://instagram.fyvr3-1.fna.fbcdn.net/vp/ce247936eea7957e1a39dbea6450f8e7/5A63D90C/t50.2886-16/16328198_1872550033025927_3719677334601596928_n.mp4"
"BPs3E1qBal4",1435764606273694000,"#ConseilJeunessePM Suivez-nous sur Instagram pour gagner un drapeau du Canada qui a été hissé au pôle Nord! #UNCLOS","https://instagram.fyvr3-1.fna.fbcdn.net/vp/bfe538571d0fcda328f73e04bd68f235/5AE03D00/t51.2885-15/e15/16110639_366579173723754_5007911951372648448_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-01-25T12:35:00",4210755410,"[]","2017-01-25_12-35-00","[""conseiljeunessepm"",""unclos""]",3,
"BP8drlKhDW5",1440156519042922000,"Bravo à @Akg78001, gagnant de notre concours Instagram! Pour recevoir votre prix, un drapeau qui a été hissé au pôle Nord, adressez-nous un message direct sur Instagram! #ConseilJeunessePM #PôleNord #Gagnant","https://instagram.fyvr3-1.fna.fbcdn.net/vp/267c1fbcaefbea600f2a177b348495e0/5AECBE7B/t51.2885-15/e35/16123963_1784254381900035_2900176061033611264_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-01-31T14:00:57",4210755410,"[""akg78001""]","2017-01-31_14-00-57","[""conseiljeunessepm"",""pôlenord"",""gagnant""]",5,
"BQBWYshBcxw",1441531809824623600,"Le ministre des Ressources naturelles du Canada, l’honorable Jim Carr, et le secrétaire Guajardo, du Mexique, signent un protocole d’entente pour promouvoir la collaboration en gouvernance des ressources minérales au Mexique le 1er février 2017.","https://instagram.fyvr3-1.fna.fbcdn.net/vp/00eecd3448439b0053261ffec98bcb30/5AFA3149/t51.2885-15/e35/16230749_1517988048211948_6298463423827017728_n.jpg",false,1,"GraphImage","ressourcesnaturellescanada","[]","2017-02-02T11:33:24",4210755410,"[]","2017-02-02_11-33-24","[]",5,
"BQBWlKsBBwH",1441532666855038000,"Le ministre des Ressources naturelles du Canada, l’honorable Jim Carr, participe à une table ronde sur les mines durables avec la délégation Canadienne au Mexique le 1er février 2017.","https://instagram.fyvr3-1.fna.fbcdn.net/vp/3ccd814697eec536a45f150dd48a4126/5AEC77DA/t51.2885-15/e35/16230132_1785211288411022_2882473429905178624_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-02T11:35:06",4210755410,"[]","2017-02-02_11-35-06","[]",1,
"BQBWtKhBrzx",1441533216426474800,"Le ministre des Ressources naturelles du Canada, l’honorable Jim Carr, s’adresse aux délégués à l’expo et congrès Energy Mexico Oil Gas Power 2017, à Mexico, au Mexique, le 2 février 2017","https://instagram.fyvr3-1.fna.fbcdn.net/vp/8b7344b84224680a53bb53cdf8cc72f7/5AF58AC8/t51.2885-15/e35/16464405_1748002628850515_5149584887900012544_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-02T11:36:12",4210755410,"[]","2017-02-02_11-36-12","[]",3,
"BQBWxjzh2We",1441533518458349000,"Le ministre des Ressources naturelles du Canada, l’honorable Jim Carr, dialogue avec des gens d’affaires, des responsables des politiques et des environnementalistes du Canada et du Mexique, le 1er février 2017, au Mexique","https://instagram.fyvr3-1.fna.fbcdn.net/vp/002ea17d71f7a148df5eacd58c515748/5AF9EFC6/t51.2885-15/e35/16228610_315001452234951_2194796247523524608_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-02T11:36:48",4210755410,"[]","2017-02-02_11-36-48","[]",3,
"BQEIZVlA79S",1442314706193989400,"Le ministre des Ressources naturelles du Canada, l’honorable Jim Carr, fait la promotion de la culture canadienne et le 150e anniversaire de la Confédération canadienne en assistant au spectacle « Pas de deux », tiré du ballet Going Home Star du Ballet royal de Winnipeg, et à la « Danse du cerf » du Ballet folklorique du Mexique, à Mexico, le 2 février 2017. #Mexique #Canada150","https://instagram.fyvr3-1.fna.fbcdn.net/vp/95bb5e4f958a694d2070e7192065b3ef/5AF63199/t51.2885-15/s1080x1080/e15/fr/16110991_411698382502884_3428059418959282176_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-03T13:28:53",4210755410,"[]","2017-02-03_13-28-53","[""mexique"",""canada150""]",0,
"BQEIhy-gN_x",1442315287515947000,"Le ministre Carr s’entretient avec des hauts responsables du gouvernement mexicain et fait la promotion de la culture canadienne\n#Mexique #Canada150","https://instagram.fyvr3-1.fna.fbcdn.net/vp/177b2d3c0e58cc07eb5a3432b190ccff/5AEFBA03/t51.2885-15/s1080x1080/e15/fr/16465333_242455766198218_874031939294593024_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-03T13:30:02",4210755410,"[]","2017-02-03_13-30-02","[""mexique"",""canada150""]",3,
"BQEKPxsA4nd",1442322845274442200,"Vendredi matin, le 10 février, ne ratez pas l’intervention de Donna Kirkwood, scientifique principale de RNCan, dans notre compte Instagram en l’honneur de la journée des #FemmesDeScience \n#Parité #Science # STEMGirls #FemmesEnTechno #FillesEtSciences","https://instagram.fyvr3-1.fna.fbcdn.net/vp/c1514d8617e865926eca934b7a1da8f1/5AEB5128/t51.2885-15/e15/16464126_246936545752261_3245364030017110016_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-03T13:45:03",4210755410,"[]","2017-02-03_13-45-03","[""femmesdescience"",""parité"",""science"",""femmesentechno"",""fillesetsciences""]",2,
"BQEKbJrAmv_",1442323626941639700,"Savez-vous la nouvelle? La scientifique principale Donna Kirkwood célébrera les #FemmesDeScience dans notre compte Instagram le 10 février! \nVenez nous voir aussi dans Twitter! Suivez-nous à @RNCan toute la matinée pour ne pas manquer les interventions de la scientifique principale. \n#Parité #Science #STEMGirls #Technofemmes #FillesEtSciences","https://instagram.fyvr3-1.fna.fbcdn.net/vp/40736b6f2555fe503b8c12860c2ac34c/5AF49449/t51.2885-15/e15/16230528_599448516917727_4557252436141539328_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-03T13:46:36",4210755410,"[""rncan""]","2017-02-03_13-46-36","[""femmesdescience"",""parité"",""science"",""stemgirls"",""technofemmes"",""fillesetsciences""]",1,
"BQLlMFTBrKB",1444411663544923000,"Rencontrez la scientifique principale, Donna Kirkwood. Elle prendra en charge nos comptes Twitter et Instagram ce vendredi, 10 février, pour célébrer les #FemmesDeScience\n#FillesEtSciences #FemmesEnTechno #PriseEnCharge #STEMGirls","https://instagram.fyvr3-1.fna.fbcdn.net/vp/f03618b42d7323b84ea575a1464f304b/5AF73037/t51.2885-15/e35/16228978_1873691039534534_2453228608727023616_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-06T10:55:09",4210755410,"[]","2017-02-06_10-55-09","[""femmesdescience"",""fillesetsciences"",""femmesentechno"",""priseencharge"",""stemgirls""]",2,
"BQQMzWIhWe7",1445711785402656800,"Le ministre des Ressources naturelles du Canada, l’honorable Jim Carr, donne un discours-programme à la conférence du Conseil canadien de l’énergie à Ottawa (Ontario), le lundi 6 février 2017.","https://instagram.fyvr3-1.fna.fbcdn.net/vp/ea30bb57fb81c1b887728945806e2265/5AE5953B/t51.2885-15/e35/16585566_1293814470701105_6712151933588602880_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-08T05:58:16",4210755410,"[]","2017-02-08_05-58-16","[]",3,
"BQQbTbIBtWv",1445775562437482000,"Notre scientifique principale, Donna Kirkwood, occupera nos comptes Twitter et Instagram vendredi matin! \nVoyez-la parler de son travail et de celui d’autres femmes de science à l’occasion de la Journée des #FemmesDeScience #SciRNCan #FemmesEnSTIM #FemmesEnTechno #FillesEtScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/49cc9895f3ced203f5359ff1c0abc717/5AFD934A/t51.2885-15/e35/16585731_876154832527256_4371853111883464704_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-08T08:04:59",4210755410,"[]","2017-02-08_08-04-59","[""femmesdescience"",""scirncan"",""femmesenstim"",""femmesentechno"",""fillesetscience""]",3,
"BQTOQzzhFjz",1446562633103989000,"Petit rappel! Demain matin, notre scientifique principale @DLEKirkwood occupera nos comptes Twitter et Instagram #FemmesDeScience #SciRNCan #FemmesEnSTIM #FemmesEnTechno #FillesEtScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/fd167010177f9518e9bb396f0df0e69f/5AF45F38/t51.2885-15/e35/16465755_1850153921930394_1261371593494364160_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-09T10:08:45",4210755410,"[""dlekirkwood""]","2017-02-09_10-08-45","[""femmesdescience"",""scirncan"",""femmesenstim"",""femmesentechno"",""fillesetscience""]",2,
"BQVXmNhhSoT",1447166636200372700,"Restez en ligne! Tout au long de la journée, j’afficherai quelques-unes des meilleures photos de travail sur le terrain par des scientifiques de RNCan – DK #FemmeDeScience #SciRNCan #FemmesEnSTIM #FemmesEnTechno #FillesEtScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/fdd14ef9b6691768b33f962a5ba7327a/5ADCA6EC/t51.2885-15/e35/16464337_216655918798974_4825836171592466432_n.jpg",false,0,"GraphImage","ressourcesnaturellescanada","[]","2017-02-10T06:08:48",4210755410,"[]","2017-02-10_06-08-48","[""femmedescience"",""scirncan"",""femmesenstim"",""femmesentechno"",""fillesetscience""]",4,
