,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name,words_matched_list,sentiment,FSDS_Goal_Category,FSDS_Goal_Category_word_list
12,2017-07-19_12-49-39,2017-07-19T12:49:39,https://instagram.fyvr3-1.fna.fbcdn.net/vp/da2ec228628104ff9c54dc955cda21bc/5AFF8C18/t51.2885-15/e35/20067298_245234859328139_6424411235248242688_n.jpg,"This is Charlene, everyone’s favourite summer student! Charlene is starting an M.Sc. degree in geology this fall, so this eedition will give her some great hands-on eerience in remote settings while learning more about economic geology. Charlene will be taking detailed measurements on drill core samples, assisting with digital data management, helping manage the camp and contributing ideas to the deposit models. ",Charlene favourite summer student nCharlene starting Sc degree geology fall expedition give great hands experience remote settings learning economic geology nCharlene taking detailed measurements drill core samples assisting digital data management helping manage camp contributing ideas deposit models STEMGirls GeoScience wcw WomenInScience,"[""stemgirls"",""geoscience"",""wcw"",""womeninscience""]",Social,33,0.4597222222222222,en,naturalresourcescanada_instagram,"['mer', 'women']",positive,Gender Equality,"['men', 'girls', 'women']"
13,2017-09-25_11-27-20,2017-09-25T11:27:20,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4c1ba56a01d4197ca20982694180941a/5AFC625C/t51.2885-15/e35/21910013_1112324928902558_7424414372060987392_n.jpg,Come enjoy our beautiful Canadian trees at the Arboretum in by the Eerimental Farm during,Come enjoy beautiful Canadian trees Arboretum Ottawa Experimental Farm NationalForestWeek,"[""ottawa"",""nationalforestweek""]",Environmental,33,0.0,en,naturalresourcescanada_instagram,"['eau', 'tree', 'or']",neutral,Gender Equality,['men']
14,2017-02-10_08-16-43,2017-02-10T08:16:43,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fa97fede8eac81eabcfd1afd47522d57/5ADCEBF7/t51.2885-15/e35/16585304_218196415312887_5468640751141257216_n.jpg,Check out that coastline! Scientist Lisa Nykolaishen uses GPS to measure the crustal motions caused by tectonic processes that generate earthquakes near Haida Gwaii BC. Sometimes I wish I could be back in the field again to see views like that! – DK,Check coastline Scientist Lisa Nykolaishen uses GPS measure crustal motions caused tectonic processes generate earthquakes near Haida Gwaii BC Sometimes wish could back field see views like DK WomenInScience NRCanSci STEMGirls WomenInTech GirlsLoveScience,"[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]",Social,33,0.84375,en,naturalresourcescanada_instagram,['women'],positive,Gender Equality,"['men', 'girls', 'women']"
15,2016-12-08_08-48-30,2016-12-08T08:48:30,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f49177516cfb554fc77d79a5a256a160/5AFD8572/t51.2885-15/e35/15258675_180688029063542_4452934479454928896_n.jpg,December is Arctic Science Month! Join us in celebrating Canada’s Northern research with the hashtag,December Arctic Science Month Join us celebrating Northern research hashtag ArcticScience arctic canada science CanadianArctic adventure research ClimateScience ship voyage,"[""arcticscience"",""arctic"",""canada"",""science"",""canadianarctic"",""adventure"",""research"",""climatescience"",""ship"",""voyage""]",Environmental,33,0.2325,en,naturalresourcescanada_instagram,"['climate', 'or', 'climat']",positive,"Industry, Innovation and Infrastructure",['research']
16,2017-07-19_07-39-12,2017-07-19T07:39:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/054968203779d6e47f6a4d0bf63b07d0/5ADC4321/t51.2885-15/e35/20066048_149209282299347_4499101980567797760_n.jpg,"When we get to the location, it’s straight to work — everyone has their targets. Each one of us seeks to collect data to solve the research questions we formulated before leaving for the field. ",get location straight work everyone targets one us seeks collect data solve research questions formulated leaving field work NRCanSci Exploration Fieldwork uranium,"[""work"",""nrcansci"",""exploration"",""fieldwork"",""uranium""]",Environmental,33,0.0,en,naturalresourcescanada_instagram,['or'],neutral,Gender Equality,['work']
17,2017-12-21_10-48-16,2017-12-21T10:48:16,https://instagram.fyvr3-1.fna.fbcdn.net/vp/18d73c4107341f643255b7a6ed424f63/5AEC2A19/t51.2885-15/e35/25037008_916782931779995_8723141641180807168_n.jpg,"Alice Wilson, the first female geologist with the Geological Survey of Canada, in her office",TBT Alice Wilson first female geologist Geological Survey Canada office WomenInScience,"[""tbt"",""womeninscience""]",Social,33,0.0,en,naturalresourcescanada_instagram,['women'],neutral,Gender Equality,"['men', 'male', 'female', 'women']"
18,2017-02-11_06-18-26,2017-02-11T06:18:26,https://instagram.fyvr3-1.fna.fbcdn.net/vp/68ae203215ecec35cd2a00a0cd589807/5AF56DD7/t51.2885-15/e35/16464705_1530212170352172_7772408921783795712_n.jpg,It’s International Day of Women and Girls in Science! Join us in celebrating as we profile some of NRCan’s own women in science!,International Day Women Girls Science Join us celebrating InternationalWomensDay profile women science WomenInScience NRCanSci IWD STEMGirls GirlsLoveScience,"[""internationalwomensday"",""womeninscience"",""nrcansci"",""iwd"",""stemgirls"",""girlslovescience""]",Social,32,0.0,en,naturalresourcescanada_instagram,['women'],neutral,Gender Equality,"['men', 'girls', 'women']"
19,2017-09-27_13-03-55,2017-09-27T13:03:55,https://instagram.fyvr3-1.fna.fbcdn.net/vp/12f35508a22d0f8803abf8c3bac8baa3/5AE98F38/t51.2885-15/e35/21984657_1968373423439878_2850353663010930688_n.jpg,Minister Jim Carr celebrated National Tree Day at a tree planting ceremony with as part of National Forest Week,Minister Jim Carr celebrated National Tree Day tree planting ceremony treecanada bytownmuseum part National Forest Week,[],Environmental,32,0.0,en,naturalresourcescanada_instagram,"['tree', 'or']",neutral,No Poverty,[]
20,2017-07-01_06-48-30,2017-07-01T06:48:30,https://instagram.fyvr3-1.fna.fbcdn.net/vp/43601e7a0491c7f084064d79f3491dc7/5A63E67D/t51.2885-15/e15/19533605_134166230498877_6410643970983985152_n.jpg,Happy ! See Canada’s interactive map showing the territorial evolution of from to as part of .http://,Happy CanadaDay See NaturalResources interactive map showing territorial evolution Canada 1867 2017 part Canada150 nhttp atlas gc ca ette en index html,"[""canadaday"",""naturalresources"",""canada"",""canada150""]",Environmental,32,0.0,en,naturalresourcescanada_instagram,"['natural', 'or', 'resources']",neutral,Peace and Justice Strong Institutions,['vol']
21,2017-07-19_06-48-59,2017-07-19T06:48:59,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fc3b7475ee8d29eda011c77ce89fdc42/5AEA2D55/t51.2885-15/e35/20066164_775454809302789_141295748204462080_n.jpg,"Today, we will be hiking through the bush to get some drill cores — samples of a natural material previously removed using a cylinder drill. While at the core storage area, we take samples and measurements from the drill core to get information about the subsurface. Sometimes the drill core is only accessible by overgrown roads, so it can be quite the journey tracking it down! ",Today hiking bush get drill cores samples natural material previously removed using cylinder drill nWhile core storage area take samples measurements drill core get information subsurface nSometimes drill core accessible overgrown roads quite journey tracking Fieldwork SummerFieldwork Hiking NRCanSci,"[""fieldwork"",""summerfieldwork"",""hiking"",""nrcansci""]",Environmental,31,0.0,en,naturalresourcescanada_instagram,"['natural', 'or', 'mer']",neutral,Quality Education,"['information', 'formation']"
