,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list,FSDS_Goal_Category,FSDS_Goal_Category_word_list
0,885876749816475648,2017-07-14 15:00:50,['https://t.co/Rs3UAsQYNW'],Rappel : Soyez prudents près de la mine Giant. https://t.co/Rs3UAsQYNW,Rappel Soyez prudents de la mine Giant https co Rs3UAsQYNW,[],3,1,4,unknown,fr,0.0,Neutral,MineGiant_tweeter,,unknown,
1,811254988701896704,2016-12-20 17:00:36,['https://t.co/QHh1n0qhoR'],"Le 14 déc., des élèves de #Yellowknife ont disséqué un poisson du Grand lac des Esclaves pour s’initier à la surveillance environnementale. https://t.co/QHh1n0qhoR",Le 14 des ves de Yellowknife ont un poisson du Grand lac des Esclaves pour initier la surveillance environnementale https co QHh1n0qhoR,['#Yellowknife'],3,1,4,Environmental,fr,0.5,Positive,MineGiant_tweeter,"['environnement', 'or']",Connecting Canadians with nature,"['environnement', 'mentale']"
2,700353804882046976,2016-02-18 16:18:53,['https://t\xe2\x80\xa6'],"RT @TPSGC_PWGSC: Joignez-vous à nous à Yellowknife! Journée de l’industrie, @MineGiant, 25 févr. #industrie #NWT #YZF @AADNCanada https://t…",RT Joignez vous nous Yellowknife de industrie MineGiant 25 vr industrie NWT YZF AADNCanada https,"['#industrie', '#NWT', '#YZF']",4,0,4,Economical,en,0.0,Neutral,MineGiant_tweeter,['industrie'],Clean growth,['industrie']
3,918536866030342146,2017-10-12 18:00:29,['https://t.co/jm8pPfgeRe'],"Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement du #MineGiant. Ce soir, 19 h, au Café du Musée à #YZF. https://t.co/jm8pPfgeRe",Mise jour de valuation des risques pour la humaine et environnement du MineGiant Ce soir 19 au du YZF https co jm8pPfgeRe,"['#MineGiant', '#YZF']",1,1,2,Environmental,fr,0.0,Neutral,MineGiant_tweeter,['environnement'],Connecting Canadians with nature,['environnement']
4,854756610534670337,2017-04-19 18:00:31,['https://t.co/eYWrhbHS3O'],Vous voulez en savoir plus sur le PSES? Joignez-vous à le Dr Chan à 19 h le 27 avril au Café du musée à Yellowknife. https://t.co/eYWrhbHS3O,Vous voulez en savoir plus sur le PSES Joignez vous le Dr Chan 19 le 27 avril au du Yellowknife https co eYWrhbHS3O,[],1,0,1,unknown,fr,0.0,Neutral,MineGiant_tweeter,,unknown,
5,788092378158604292,2016-10-17 19:00:39,['https://t.co/qp2289mRnr'],La @MineGiant a besoin de petites quantités d’aliments récoltés dans la région. Voir la photo ci-jointe pour obtenir des détails. https://t.co/qp2289mRnr,La MineGiant besoin de petites aliments dans la gion Voir la photo ci jointe pour obtenir des tails https co qp2289mRnr,[],1,0,1,unknown,fr,0.0,Neutral,MineGiant_tweeter,,Sustainable food,['aliment']
6,790586930685763585,2016-10-24 16:13:07,[],RT @MineGiant: La @MineGiant a besoin de petites quantités d’aliments récoltés dans la région. Voir la photo ci-jointe pour obtenir des dét…,RT MineGiant La MineGiant besoin de petites aliments dans la gion Voir la photo ci jointe pour obtenir des,[],1,0,1,unknown,fr,0.0,Neutral,MineGiant_tweeter,,Sustainable food,['aliment']
7,917804296678395905,2017-10-10 17:29:30,[],"RT @MineGiant: Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement. Le 12 oct, 19 h, au Café du Musée. https:/…",RT MineGiant Mise jour de valuation des risques pour la humaine et environnement Le 12 oct 19 au du https,[],1,0,1,Environmental,fr,0.0,Neutral,MineGiant_tweeter,['environnement'],Connecting Canadians with nature,['environnement']
8,834432834605572097,2017-02-22 16:01:05,"['https://t.co/9der68Sevj', 'https://t.co/DYh5cORDsq']","Tribune publique sur le  site #MineGiant. Le 2 mars, 19 h, au Café du Musée, à Yellowknife. https://t.co/9der68Sevj https://t.co/DYh5cORDsq",Tribune publique sur le site MineGiant Le mars 19 au du Yellowknife https co 9der68Sevj https co DYh5cORDsq,['#MineGiant'],1,0,1,Environmental,fr,0.0,Neutral,MineGiant_tweeter,['or'],unknown,
9,837332127708479488,2017-03-02 16:01:50,"['https://t.co/9der68Sevj', 'https://t.co/DANhkcazc3']","Tribune publique sur le site #MineGiant. Ce soir, 19 h, au Café du Musée à Yellowknife. Bienvenue. https://t.co/9der68Sevj https://t.co/DANhkcazc3",Tribune publique sur le site MineGiant Ce soir 19 au du Yellowknife Bienvenue https co 9der68Sevj https co DANhkcazc3,['#MineGiant'],1,0,1,unknown,fr,0.0,Neutral,MineGiant_tweeter,,unknown,
10,856628135193915393,2017-04-24 21:57:17,[],RT @MineGiant: Vous voulez en savoir plus sur le PSES? Joignez-vous à le Dr Chan à 19 h le 27 avril au Café du musée à Yellowknife. https:/…,RT MineGiant Vous voulez en savoir plus sur le PSES Joignez vous le Dr Chan 19 le 27 avril au du Yellowknife https,[],1,0,1,unknown,fr,0.0,Neutral,MineGiant_tweeter,,unknown,
11,913788069123379200,2017-09-29 15:30:27,"['https://t.co/IAE6bRHWD3', 'https://t.co/VGHzOaPf0e']","Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement. Le 12 oct, 19 h, au Café du Musée. https://t.co/IAE6bRHWD3 https://t.co/VGHzOaPf0e",Mise jour de valuation des risques pour la humaine et environnement Le 12 oct 19 au du https co IAE6bRHWD3 https co VGHzOaPf0e,[],1,0,1,Environmental,fr,0.0,Neutral,MineGiant_tweeter,['environnement'],Connecting Canadians with nature,['environnement']
12,759145627242622978,2016-07-29 21:56:36,['https://t.co/M4e8\xe2\x80\xa6'],RT @GCAutochtones: Travaillez comme agent des consultations dans les collectivités au #GdC! AANC embauche à Yellowknife : https://t.co/M4e8…,RT GCAutochtones Travaillez comme agent des consultations dans les au GdC AANC embauche Yellowknife https co,['#GdC'],1,0,1,Social,fr,0.0,Neutral,MineGiant_tweeter,['autochtones'],Clean drinking water,['autochtones']
13,708095203249364992,2016-03-11 01:00:26,"['https://t.co/uQB3WCpgDM', 'https://t.co/fw4lyxw0F']",Natalie Plato parle à @GiantMine à la Journée de l’industrie de SPAC à #YZF le 25 févr. https://t.co/uQB3WCpgDM https://t.co/fw4lyxw0FD,Natalie Plato parle GiantMine la de industrie de SPAC YZF le 25 vr https co uQB3WCpgDM https co fw4lyxw0FD,['#YZF'],0,0,0,Economical,fr,0.0,Neutral,MineGiant_tweeter,['industrie'],Clean growth,['industrie']
14,702278056703037440,2016-02-23 23:45:11,[],"Tribune publique sur la stabilisation du site #MineGiant. Le 3 mars, 19 h, au Café du Musée, à Yellowknife.",Tribune publique sur la stabilisation du site MineGiant Le mars 19 au du Yellowknife,['#MineGiant'],0,0,0,unknown,fr,0.0,Neutral,MineGiant_tweeter,,unknown,
15,697193407836463109,2016-02-09 23:00:36,['https://t.co/lKgAGvBtgk'],La mobilization : activité cruciale pour l’assainissement. Plus sur la programme pour la conception de la surface : https://t.co/lKgAGvBtgk,La mobilization cruciale pour assainissement Plus sur la programme pour la conception de la https co lKgAGvBtgk,[],0,0,0,unknown,fr,0.0,Neutral,MineGiant_tweeter,,Modern and resilient infrastructure,['assainissement']
16,702551100549931009,2016-02-24 17:50:09,['https://t.co/W8JW80JmL7'],La Journée de l’industrie se tiendra le 25 févr. 2016. Voyez https://t.co/W8JW80JmL7 pour infos sur le projet d’assainissement + occasions.,La de industrie se tiendra le vr 2016 Voyez https co W8JW80JmL7 pour infos sur le projet assainissement occasions,[],0,0,0,Economical,fr,0.0,Neutral,MineGiant_tweeter,['industrie'],Modern and resilient infrastructure,"['industrie', 'assainissement']"
17,694649061278924800,2016-02-02 22:30:16,['https://t.co/7EyRdwgS8t'],"En 2015, nous avons stabilisé six chambres souterraines avec presque 60 000 mètres cubes de pâte. En savoir plus : https://t.co/7EyRdwgS8t",2015 nous avons six chambres souterraines avec presque 000 tres cubes de te En savoir https co 7EyRdwgS8t,[],0,0,0,unknown,fr,0.0,Neutral,MineGiant_tweeter,,unknown,
