Unnamed: 0,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
60,"{""username"":""jpbarilguerard"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11116731_398081410353152_1592407010_a.jpg"",""id"":""1235185""}",1488585549,1.78742e+16,2017-03-03_13-26-21,,[],[],nan,['nan'],[u'nan']
61,"{""username"":""marclheller"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/21879436_1635734763149754_3661351279289958400_n.jpg"",""id"":""348255022""}",1488928901,1.78631e+16,2017-03-05_17-06-19,,[],[],nan,['nan'],[u'nan']
62,"{""username"":""emilylyoness"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/23161599_130042184426593_257558661776277504_n.jpg"",""id"":""347470341""}",1488884396,1.78744e+16,2017-03-05_17-06-19,Cool!,[],[],Cool,['Cool'],[u'cool']
63,"{""username"":""venturenorthapparel"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17126722_423720307975276_7493778364474327040_a.jpg"",""id"":""4564478015""}",1488858777,1.78741e+16,2017-03-05_17-06-19,Wow incredible!,[],[],Wow incredible,"['Wow', 'incredible']","[u'wow', u'incred']"
64,"{""username"":""nancypinsince"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16908840_1832260113713999_5865726330380746752_a.jpg"",""id"":""3411329854""}",1488847915,1.78733e+16,2017-03-05_17-06-19,Ont arrive demain,[],[],arrive demain,"['arrive', 'demain']","[u'arriv', u'demain']"
65,"{""username"":""activeanniie"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/24332511_164708317618962_2008011439830204416_n.jpg"",""id"":""3282029389""}",1488762781,1.78742e+16,2017-03-05_17-06-19,Beaucoup de jours magnifiques!! Merci!,[],[],Beaucoup jours magnifiques Merci,"['Beaucoup', 'jours', 'magnifiques', 'Merci']","[u'beaucoup', u'jour', u'magnifiqu', u'merci']"
66,"{""username"":""nick_seman"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15802237_258367097916978_1479620425360080896_a.jpg"",""id"":""272525811""}",1488855982,1.78507e+16,2017-03-06_13-27-30,Awesome pic,[],[],Awesome pic,"['Awesome', 'pic']","[u'awesom', u'pic']"
67,"{""username"":""letsgohikingcanada"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19534824_522214268110195_7600859389586571264_a.jpg"",""id"":""3565699974""}",1488841513,1.78676e+16,2017-03-06_13-27-30,,[],[],nan,['nan'],[u'nan']
68,"{""username"":""jeanneminganienne"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15876127_1890562991177620_2659022598075056128_n.jpg"",""id"":""1906552033""}",1488839335,1.78735e+16,2017-03-06_13-27-30,Wow,[],[],Wow,['Wow'],[u'wow']
69,"{""username"":""manucoveney"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25008059_1956051414657034_7015282440348368896_n.jpg"",""id"":""1702252598""}",1488835883,1.78507e+16,2017-03-06_13-27-30,Merci .canada j apprécie,[],[],Merci canada cie,"['Merci', 'canada', 'cie']","[u'merci', u'canada', u'cie']"
