Unnamed: 0,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476715448,1.78433e+16,2016-10-17_07-43-13,,"['#BehindTheScenes', '#AllAccess', '#VIP', '#InstaScience', '#Weather', '#EnvironmentCanada', '#CdnSci', '#CdnEnv', '#Canada', '#Weather', '#Wildlife', '#Science', '#Environment']",[],nan,['nan'],[u'nan']
1,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476795409,1.78644e+16,2016-10-18_05-56-05,,"['#FraserValley', '#Conservation', '#BirdNerd', '#Birds', '#TBT', '#FlashBack', '#Summer', '#Wildlife', '#PersonsDay', '#NoFilter']",[],nan,['nan'],[u'nan']
2,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476878775,1.78636e+16,2016-10-19_05-05-39,,"['#Weather', '#WeatherStation', '#WeatherNerd', '#Vancouver', '#Meteorology', '#WeatherPhotos', '#WeatherOfInstagram', '#CanadianCoastGuard', '#WeatherWednesday', '#NoFilterNeeded']",[],nan,['nan'],[u'nan']
3,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476977810,1.78638e+16,2016-10-20_07-16-34,"you are right, we are talking about the little guy on the right! We'll adjust the caption to make it more clear!",[],[],right talking little guy right adjust caption make clear,"['right', 'talking', 'little', 'guy', 'right', 'adjust', 'caption', 'make', 'clear']","[u'right', u'talk', u'littl', u'guy', u'right', u'adjust', u'caption', u'make', u'clear']"
4,"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}",1476974993,1.78533e+16,2016-10-20_07-16-34,Even the beak looks a different shape,[],[],Even beak looks different shape,"['Even', 'beak', 'looks', 'different', 'shape']","[u'even', u'beak', u'look', u'differ', u'shape']"
5,"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}",1476974950,1.78537e+16,2016-10-20_07-16-34,Are they both the same bird?The one on the right looks much darker without the striking white face,[],[],bird one right looks much darker without striking white face,"['bird', 'one', 'right', 'looks', 'much', 'darker', 'without', 'striking', 'white', 'face']","[u'bird', u'one', u'right', u'look', u'much', u'darker', u'without', u'strike', u'white', u'face']"
6,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476973070,1.78646e+16,2016-10-20_07-16-34,,"['#NewFoundland', '#EastCoast', '#Puffin', '#Atlantic', '#BirdNerd', '#AtlanticPuffin', '#NoFilter', '#PhotoOfTheDay', '#InstaBird', '#BirdsOfInstagram']",[],nan,['nan'],[u'nan']
7,"{""username"":""_kevy_93_"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22069794_1241797192593260_6765894717629530112_n.jpg"",""id"":""540335262""}",1477080518,1.78435e+16,2016-10-21_08-24-41,"I'd love to be apart of the team, such awesome adventures",[],[],love apart team awesome adventures,"['love', 'apart', 'team', 'awesome', 'adventures']","[u'love', u'apart', u'team', u'awesom', u'adventur']"
8,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477063725,1.78543e+16,2016-10-21_08-24-41,,"['#Conservation', '#Grasslands', '#BC', '#BeautifulBC', '#ExploreBC', '#Kamloops', '#Nature', '#Environmentalist', '#BirdLovers', '#Explorer', '#BiologistsOFInstagram', '#MiniVan', '#FieldTrip', '#FridayFun', '#NoFilter']",[],nan,['nan'],[u'nan']
9,"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}",1477347924,1.78436e+16,2016-10-24_07-03-53,One of my faves BUOW are the best!,[],[],One faves BUOW best,"['One', 'faves', 'BUOW', 'best']","[u'one', u'fave', u'buow', u'best']"
10,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477332901,1.78436e+16,2016-10-24_07-03-53,we ️ owls too! They are a hoot! Lowl! (Puns intended ),[],[],owls hoot Lowl Puns intended,"['owls', 'hoot', 'Lowl', 'Puns', 'intended']","[u'owl', u'hoot', u'lowl', u'pun', u'intend']"
11,"{""username"":""ryanlalonde"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20986838_495011414166396_1061706393628704768_a.jpg"",""id"":""427073""}",1477329532,1.78644e+16,2016-10-24_07-03-53,I love owls,[],[],love owls,"['love', 'owls']","[u'love', u'owl']"
12,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477317859,1.7864e+16,2016-10-24_07-03-53,,"['#MondaysGotMeLike', '#MondayGotMeLike', '#MondayMotivation', '#MondayFeeling', '#IsItFridayYet', '#Owl', '#Owls', '#InstaOwls', '#InstaBirds', '#OwlsOfInstagram', '#PhotoOfTheDay', '#Reconyx', '#Wildlife', '#Canada']",[],nan,['nan'],[u'nan']
13,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478533060,1.78549e+16,2016-10-25_08-00-33,Keep up the good work! ️,[],[],Keep good work,"['Keep', 'good', 'work']","[u'keep', u'good', u'work']"
14,"{""username"":""sunnygirl1952"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14733547_1691174404530079_2939419782807552000_a.jpg"",""id"":""4120202799""}",1478394506,1.78648e+16,2016-10-25_08-00-33,that's me! On Melville Island in . We were . Now I am and,"['#birdbanding', '#brant', '#geese', '#banding', '#canadageese', '#lovingit']",[],Melville Island,"['Melville', 'Island']","[u'melvill', u'island']"
15,"{""username"":""juliehkennedy"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13649396_1059497470802769_1846254561_a.jpg"",""id"":""52980496""}",1477514793,1.78536e+16,2016-10-25_08-00-33,Proud of my sister Barbara yrs of service and still going strong!,[],[],Proud sister Barbara yrs service still going strong,"['Proud', 'sister', 'Barbara', 'yrs', 'service', 'still', 'going', 'strong']","[u'proud', u'sister', u'barbara', u'yrs', u'servic', u'still', u'go', u'strong']"
16,"{""username"":""thatgirlmeags"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26157035_383572105420192_715266841110380544_n.jpg"",""id"":""2113949714""}",1477492801,1.78652e+16,2016-10-25_08-00-33,,[],[],nan,['nan'],[u'nan']
17,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477492468,1.78546e+16,2016-10-25_08-00-33,shout out to Barbara and her dedication!,[],[],shout Barbara dedication,"['shout', 'Barbara', 'dedication']","[u'shout', u'barbara', u'dedic']"
18,"{""username"":""redcanoe1"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12716996_1014773015276864_1749792811_a.jpg"",""id"":""3012816250""}",1477451126,1.78544e+16,2016-10-25_08-00-33,"Barbara, aka Mom, is still going strong after years and loves her bird work at CWS",[],[],Barbara aka Mom still going strong years loves bird work CWS,"['Barbara', 'aka', 'Mom', 'still', 'going', 'strong', 'years', 'loves', 'bird', 'work', 'CWS']","[u'barbara', u'aka', u'mom', u'still', u'go', u'strong', u'year', u'love', u'bird', u'work', u'cws']"
19,"{""username"":""thatgirlmeags"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26157035_383572105420192_715266841110380544_n.jpg"",""id"":""2113949714""}",1477435064,1.78582e+16,2016-10-25_08-00-33,Hey! That's our mom!,[],[],Hey mom,"['Hey', 'mom']","[u'hey', u'mom']"
20,"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}",1477411404,1.7854e+16,2016-10-25_08-00-33,Wow!! That's amazing! check this out!,[],[],Wow amazing check,"['Wow', 'amazing', 'check']","[u'wow', u'amaz', u'check']"
21,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477407679,1.78667e+16,2016-10-25_08-00-33,",","['#BecauseOfHer', '#BirdYear', '#BirdBanding', '#Nature', '#BirdsOfInstagram', '#BirdLovers', '#Birdstagram', '#WomensHistoryMonth', '#FemaleEmpowerment', '#Empowerment', '#Equality', '#GirlPower', '#TBT', '#Throwback', '#PhotoOfTheDay', '#Arctic', '#Wildlife', '#NoFilter', '#BlackAndWhite']",[],,[],[]
22,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477492111,1.7866e+16,2016-10-26_07-27-29,,"['#WildlifeWednesday', '#Wildlife', '#Nature', '#ExploreBC', '#BC', '#Canada', '#FraserRiver', '#Heron', '#Birdstagram', '#BirdNerd', '#BirdsLover', '#PhotoOfTheDay']",[],nan,['nan'],[u'nan']
