#0_word,#0_prob,#1_word,#1_prob,#2_word,#2_prob
http,4.96%,http,3.65%,http,2.87%
canada,2.08%,may,0.49%,national,1.57%
help,1.24%,recall,0.48%,canada,1.41%
cdnag,1.18%,www,0.48%,park,1.28%
learn,0.81%,could,0.45%,photo,0.87%
canadian,0.66%,ice,0.42%,canada150,0.67%
minister,0.63%,arctic,0.39%,day,0.64%
climate,0.62%,money,0.39%,know,0.54%
change,0.61%,use,0.38%,one,0.46%
amp,0.57%,ccgs,0.36%,parkscanada,0.45%
find,0.57%,drone,0.36%,year,0.44%
new,0.56%,car,0.34%,site,0.43%
environment,0.46%,vehicle,0.34%,travel,0.41%
research,0.45%,home,0.31%,time,0.40%
program,0.39%,amp,0.30%,canadian,0.38%
protect,0.38%,ship,0.28%,today,0.37%
today,0.35%,save,0.27%,historic,0.36%
safety,0.35%,energy,0.27%,like,0.36%
community,0.34%,crew,0.27%,learn,0.35%
check,0.33%,2016,0.26%,get,0.35%
indigenous,0.33%,scientist,0.25%,check,0.35%
work,0.32%,ccg,0.25%,place,0.34%
food,0.32%,water,0.25%,happy,0.33%
government,0.32%,near,0.25%,celebrate,0.32%
dyk,0.31%,light,0.24%,explorecanada,0.32%
air,0.29%,cost,0.24%,coast,0.32%
want,0.29%,ccggcc,0.22%,week,0.32%
project,0.28%,2015,0.22%,wildlife,0.30%
opportunity,0.28%,team,0.22%,see,0.30%
transportation,0.28%,vessel,0.21%,make,0.30%
future,0.28%,year,0.21%,nature,0.30%
support,0.27%,new,0.20%,summer,0.29%
working,0.27%,dyk,0.20%,taken,0.28%
world,0.26%,data,0.20%,take,0.28%
trade,0.26%,first,0.19%,parks,0.27%
marine,0.25%,emission,0.19%,come,0.27%
important,0.24%,fuel,0.18%,first,0.25%
service,0.24%,bay,0.18%,adventure,0.25%
scientist,0.24%,saving,0.18%,great,0.24%
know,0.23%,flight,0.18%,bird,0.24%
clean,0.23%,used,0.18%,wanderlust,0.24%
energy,0.23%,carrier,0.17%,visit,0.24%
newsroomgc,0.22%,seat,0.17%,new,0.23%
risk,0.22%,canadian,0.17%,area,0.23%
plan,0.22%,star,0.17%,friday,0.23%
action,0.21%,greenhouse,0.17%,find,0.22%
international,0.21%,air,0.17%,2017,0.22%
water,0.21%,womeninscience,0.17%,travelgram,0.22%
goc,0.21%,harbour,0.16%,sure,0.22%
market,0.21%,using,0.16%,specie,0.21%
health,0.20%,operation,0.16%,conservation,0.21%
canadians,0.20%,link,0.16%,winter,0.20%
agriculture,0.19%,tbt,0.15%,marine,0.20%
improve,0.19%,dfonl,0.15%,history,0.19%
business,0.19%,snow,0.15%,across,0.19%
information,0.19%,time,0.14%,video,0.19%
weather,0.19%,buy,0.14%,stay,0.19%
area,0.19%,control,0.14%,beautiful,0.19%
environmental,0.19%,station,0.14%,experience,0.19%
science,0.19%,aircraft,0.14%,instatravel,0.19%
min,0.19%,product,0.14%,want,0.18%
partner,0.19%,deal,0.14%,trip,0.18%
technology,0.18%,need,0.13%,follower,0.18%
get,0.18%,fly,0.13%,world,0.18%
sustainable,0.18%,cause,0.13%,family,0.18%
make,0.18%,nunavut,0.13%,www,0.18%
way,0.18%,make,0.13%,mountain,0.17%
development,0.18%,return,0.13%,every,0.17%
part,0.17%,weather,0.13%,apply,0.17%
funding,0.17%,buying,0.12%,join,0.17%
protection,0.17%,airport,0.12%,water,0.17%
benefit,0.17%,nrcansci,0.12%,view,0.17%
sector,0.17%,arcticscience,0.12%,island,0.17%
together,0.17%,mission,0.12%,also,0.17%
meet,0.17%,winter,0.12%,reserve,0.16%
year,0.17%,helicopter,0.12%,share,0.16%
info,0.16%,small,0.12%,last,0.16%
see,0.16%,report,0.12%,way,0.16%
fish,0.16%,laser,0.12%,many,0.16%
mckenna,0.16%,keep,0.12%,free,0.16%
company,0.16%,fire,0.12%,fun,0.16%
federal,0.16%,led,0.11%,looking,0.16%
infrastructure,0.16%,island,0.11%,hiking,0.15%
meeting,0.16%,payment,0.11%,explore,0.15%
industry,0.16%,bill,0.11%,account,0.15%
north,0.15%,flying,0.11%,activity,0.15%
agricultural,0.15%,tip,0.11%,guard,0.14%
take,0.15%,price,0.11%,online,0.14%
process,0.15%,power,0.11%,start,0.14%
2017,0.15%,work,0.11%,tip,0.14%
million,0.15%,system,0.11%,open,0.14%
natural,0.14%,charge,0.11%,lake,0.14%
role,0.14%,rock,0.11%,vacation,0.14%
