#0_word,#0_prob,#1_word,#1_prob,#2_word,#2_prob
canada,0.02701382152736187,park,0.019242336973547935,photo,0.012923293747007847
canadian,0.012291490100324154,canada,0.015572486445307732,national,0.008651028387248516
minister,0.008436283096671104,help,0.013702270574867725,energy,0.006570173427462578
environment,0.008415096439421177,know,0.012896516360342503,one,0.0063733989372849464
climate,0.008003339171409607,national,0.010500308126211166,get,0.005858898628503084
today,0.007883899845182896,learn,0.009876326657831669,day,0.005856082774698734
change,0.007181329652667046,u,0.009670727886259556,site,0.005816181190311909
work,0.006665837485343218,find,0.008296840824186802,like,0.00569956423714757
coast,0.006470066495239735,water,0.008260916918516159,time,0.005416874773800373
specie,0.006170263048261404,check,0.007593144197016954,share,0.005162412766367197
marine,0.005671368446201086,make,0.007561229635030031,historic,0.0051280721090734005
learn,0.005634892266243696,canadian,0.007025082595646381,may,0.004956016317009926
service,0.005571621470153332,air,0.004884184338152409,could,0.004450284875929356
day,0.005160458851605654,weather,0.0047089289873838425,island,0.004398385528475046
research,0.005151347257196903,information,0.004603917710483074,year,0.004351490177214146
new,0.005126370582729578,need,0.004235428757965565,take,0.004254362545907497
national,0.004925861954689026,sure,0.004208978731185198,travel,0.004207245074212551
amp,0.004905569367110729,tip,0.004143158905208111,check,0.00420020567253232
program,0.004818575922399759,keep,0.004126765299588442,transportation,0.004156047943979502
first,0.004804701544344425,see,0.003878883086144924,place,0.004138853866606951
scientist,0.0047650993801653385,new,0.0037497328594326973,taken,0.003970771096646786
area,0.004726775921881199,wildlife,0.003722521709278226,see,0.003898023860529065
st,0.004682083614170551,plan,0.00367216719314456,view,0.00380132719874382
community,0.004661202896386385,safe,0.003645863849669695,bird,0.0035459655337035656
north,0.004065855871886015,get,0.0036440854892134666,week,0.0034991952124983072
project,0.004042848013341427,year,0.0036368598230183125,u,0.0034901604522019625
across,0.0040389662608504295,time,0.0035255267284810543,recall,0.0034427684731781483
apply,0.004001234658062458,change,0.0034681104589253664,want,0.003372766310349107
people,0.003972124308347702,clean,0.003426680574193597,idea,0.003353254171088338
science,0.003916407469660044,area,0.0033541512675583363,new,0.003325605997815728
year,0.003894247580319643,info,0.003307700389996171,beautiful,0.0032892937306314707
ocean,0.0038451417349278927,stay,0.0030871557537466288,mountain,0.003216774435713887
indigenous,0.003549100598320365,sustainable,0.003080996684730053,great,0.003178879851475358
government,0.003406163537874818,way,0.0030262561049312353,future,0.0031246962025761604
river,0.003301473567262292,climate,0.0030031499918550253,vehicle,0.003119257977232337
habitat,0.003233496332541108,activity,0.0029980805702507496,home,0.0030719637870788574
protect,0.0032064325641840696,safety,0.002985130762681365,winter,0.0029290448874235153
student,0.00316489371471107,day,0.0028753760270774364,family,0.0029131919145584106
important,0.003112966427579522,one,0.002873698016628623,picture,0.0028012606780976057
lake,0.003098368411883712,take,0.00283258780837059,video,0.002779122907668352
join,0.0030660852789878845,visit,0.0027953030075877905,money,0.0027535276021808386
meet,0.003020237432792783,amp,0.0027301351074129343,nature,0.002742977812886238
fishery,0.0029540066607296467,come,0.002710837172344327,ccgs,0.0026589566841721535
arctic,0.0029496438801288605,report,0.002637852681800723,back,0.0026512693148106337
guard,0.002877173712477088,land,0.002607994480058551,happy,0.002618908416479826
opportunity,0.002808877034112811,want,0.002568310359492898,canada,0.0026153745129704475
part,0.0027850638143718243,world,0.0025485295336693525,data,0.002582848770543933
environmental,0.0027646347880363464,free,0.002510163700208068,car,0.002556887920945883
mckenna,0.0026780914049595594,reduce,0.002501244191080332,look,0.002544859889894724
celebrate,0.002656989498063922,food,0.0024355885107070208,gt,0.002452824730426073
atlantic,0.002618282800540328,right,0.00243031675927341,ice,0.002428073901683092
world,0.0026054594200104475,let,0.0023908792063593864,come,0.002385214436799288
support,0.002581928391009569,reserve,0.002344067906960845,amp,0.002356703858822584
nation,0.0025600024964660406,today,0.002309726784005761,use,0.0023497743532061577
public,0.002533797174692154,live,0.0023038664367049932,snow,0.0023206816986203194
conservation,0.00251059141010046,also,0.002190195955336094,000,0.0023093121126294136
centre,0.002508370205760002,use,0.0021813500206917524,every,0.002255563624203205
woman,0.002491482300683856,agriculture,0.002171191154047847,way,0.0022322966251522303
country,0.0024899134878069162,discover,0.0021662539802491665,love,0.002230636542662978
online,0.0024277649354189634,celebrate,0.002161584096029401,used,0.002229994861409068
th,0.0024229134432971478,summer,0.00213409261777997,save,0.00222712941467762
working,0.0023583853617310524,forest,0.002061339095234871,eerience,0.0022246530279517174
great,0.00231613009236753,drone,0.0020569192711263895,green,0.0021978712175041437
week,0.002308556577190757,risk,0.002024594694375992,first,0.0021868394687771797
funding,0.002288683084771037,website,0.002021998865529895,show,0.0021807814482599497
officer,0.0022724035661667585,road,0.0020058343652635813,company,0.0021709564607590437
partner,0.00227096164599061,available,0.001971737015992403,follower,0.002136120107024908
meeting,0.0022640260867774487,fun,0.0019570542499423027,hear,0.0021064733155071735
lawrence,0.002144444966688752,may,0.001928904326632619,product,0.0021060043945908546
federal,0.002137811155989766,season,0.0019188399892300367,elore,0.002076420933008194
international,0.00212965183891356,mean,0.0018816763767972589,credit,0.0020700690802186728
protected,0.0020885528065264225,think,0.0018788533052429557,summer,0.0020693750120699406
resource,0.0020665607880800962,condition,0.0018649387639015913,adventure,0.002052401192486286
trade,0.002026979811489582,protect,0.0018505601910874248,sky,0.0020321118645370007
development,0.0020171678625047207,account,0.0018237648764625192,field,0.002012800658121705
high,0.0019412679830566049,technology,0.0018164259381592274,light,0.002007092582061887
team,0.0019324804889038205,open,0.0018048797501251101,last,0.0019755838438868523
wildlife,0.0019292650977149606,best,0.0017705088248476386,school,0.0019692720379680395
bird,0.0019275904633104801,good,0.0017694603884592652,territory,0.0019106542458757758
dr,0.0019157188944518566,ensure,0.0017598775448277593,using,0.0019084379309788346
region,0.001910720020532608,better,0.0017556709935888648,friday,0.0019053607247769833
together,0.001908445032313466,many,0.0017542577115818858,shot,0.0018780496902763844
ecosystem,0.0018771031172946095,top,0.001731195137836039,amazing,0.0018735488411039114
natural,0.0018674979219213128,submit,0.0017221220768988132,ever,0.0018529645167291164
http,0.001824897830374539,go,0.0017177966656163335,feature,0.0018343155970796943
sea,0.0018104383489117026,lake,0.0017143661389127374,fuel,0.001783276442438364
garneau,0.0018057934939861298,emission,0.0016971305012702942,enjoy,0.0017686334904283285
board,0.0017970309127122164,weekend,0.0016849258681759238,start,0.0017159066628664732
harbour,0.001780902617610991,planning,0.0016783684259280562,city,0.0016830001259222627
member,0.0017726736841723323,happy,0.0016755820252001286,spring,0.0016757826087996364
youth,0.0017471897881478071,number,0.0016742765437811613,child,0.0016713914228603244
catherine,0.0017437267815694213,quality,0.001655620988458395,de,0.0016525674145668745
dfo,0.0017402051016688347,fishing,0.0015912321396172047,even,0.0016483832150697708
action,0.0017365464009344578,winter,0.0015804917784407735,month,0.0016448511742055416
northern,0.0016803506296128035,action,0.0015730882296338677,near,0.0016439222963526845
role,0.0016803183825686574,carbon,0.0015685561811551452,today,0.0016273612855002284
min,0.0016694205114617944,taking,0.0015673553571105003,arctic,0.0016244174912571907
animal,0.0016558957286179066,flight,0.0015566220972687006,fall,0.0015752498293295503
transport,0.0016335912514477968,like,0.0015508766518905759,trip,0.0015715663321316242
discus,0.001629907637834549,latest,0.001547561027109623,pay,0.0015486570773646235
