#0_word,#0_prob,#1_word,#1_prob,#2_word,#2_prob
le,0.040213048458099365,le,0.05545452982187271,photo,0.019077587872743607
si,0.010250968858599663,canada,0.028640957549214363,national,0.014336943626403809
plus,0.009819812141358852,plus,0.019551996141672134,parc,0.011828145012259483
être,0.0073678274638950825,parcs,0.005802193656563759,le,0.010319321416318417
peut,0.006301411893218756,environnement,0.004936555400490761,aujourd,0.008335965685546398
eau,0.005886860657483339,découvrez,0.004324028268456459,hui,0.008322085253894329
faire,0.00487823411822319,national,0.003981399815529585,cette,0.006831441540271044
sécurité,0.004439563024789095,cette,0.003923661541193724,lieu,0.005185582675039768
temp,0.004047861322760582,saviez,0.0037973960861563683,semaine,0.004000475630164146
avant,0.003947251942008734,canadiens,0.0037111076526343822,ngcc,0.0036926136817783117
conseils,0.0036654521245509386,service,0.003508039517328143,journée,0.0036545624025166035
air,0.0035444903187453747,savoir,0.0034705190919339657,recherche,0.003596775932237506
ministre,0.0033885501325130463,pay,0.003417090279981494,historique,0.0035678802523761988
cette,0.0031495855655521154,site,0.00336753879673779,côtière,0.003538150805979967
comment,0.0031245907302945852,espèces,0.0033031697385013103,garde,0.0035159061662852764
tout,0.0031146628316491842,climatique,0.0032511309254914522,vendredi,0.003506707027554512
bien,0.003018906805664301,changement,0.0032105178106576204,arctique,0.003483325242996216
il,0.002814044477418065,tous,0.0031442944891750813,prise,0.003339190036058426
fait,0.002712007611989975,marine,0.0030852139461785555,équipe,0.0032816724851727486
sans,0.0025905813090503216,année,0.0030468974728137255,vedette,0.003279100637882948
pouvez,0.002551975892856717,protection,0.003041439224034548,seulement,0.0032773835118860006
encore,0.002548466669395566,canadien,0.0030191855039447546,histoire,0.003209723625332117
savoir,0.0024927351623773575,journée,0.0029723080806434155,port,0.003067580284550786
près,0.002462024101987481,an,0.0028982991352677345,mois,0.0030105372425168753
où,0.0024453275837004185,carte,0.0028719671536237,amp,0.0030019369442015886
pourrait,0.002442220924422145,davantage,0.002865171292796731,anglais,0.0028659796807914972
parc,0.0024215709418058395,nationaux,0.002828022697940469,île,0.002810930833220482
changements,0.0023949623573571444,conservation,0.0028273763600736856,service,0.0027646070811897516
nord,0.002380076330155134,leurs,0.0028266683220863342,visite,0.002653819741681218
argent,0.002349835354834795,canadienne,0.002822860376909375,lieux,0.0025666949804872274
voici,0.002335731638595462,comment,0.0027629961259663105,navire,0.0025316039100289345
renseignements,0.002331686904653907,parc,0.002715951530262828,jour,0.002512250794097781
mieux,0.0023092462215572596,aussi,0.002647913759574294,nouvelle,0.002498177345842123
aider,0.0022942866198718548,comme,0.0026173738297075033,st,0.002433731220662594
protéger,0.0022744627203792334,transport,0.002572673372924328,lors,0.0023852731101214886
peuvent,0.0022361837327480316,eaux,0.0025702861603349447,demain,0.0023687216453254223
santé,0.0021656544413417578,autres,0.002540542744100094,voir,0.002336921403184533
mesures,0.002145785605534911,apprenez,0.0024958723224699497,canadienne,0.002318412298336625
lorsque,0.00213564932346344,tout,0.0024674544110894203,dès,0.0022733211517333984
ca,0.002114018192514777,gouvernement,0.0024666201788932085,bord,0.0022729020565748215
autres,0.0020917102228850126,prenez,0.002426245715469122,scientifique,0.002271335804834962
prendre,0.0020852654706686735,faire,0.002426108345389366,historiques,0.0022689003963023424
rappel,0.002084716223180294,faune,0.002398268086835742,science,0.0022502467036247253
comme,0.002063864842057228,monde,0.002369642723351717,lac,0.002226682147011161
voyez,0.0020488000009208918,zone,0.002290627220645547,sauvetage,0.002203637734055519
consultez,0.0020359863992780447,ainsi,0.0022738699335604906,ministre,0.0021888399496674538
besoin,0.0019955034367740154,activités,0.002249239943921566,message,0.002162636024877429
transport,0.0019903567153960466,oiseaux,0.00224607833661139,venez,0.002120268763974309
avenir,0.001963953021913767,renseignez,0.002234534127637744,travail,0.002037128433585167
vidéo,0.0019548838026821613,énergie,0.002226815093308687,site,0.0020066869910806417
saviez,0.0018910598009824753,produits,0.002179437782615423,dernière,0.001992760458961129
connaître,0.0018626779783517122,recherche,0.0021673254668712616,célébrer,0.001966293202713132
elles,0.0018520726589486003,endroits,0.0021507912315428257,fin,0.001965724630281329
toute,0.0018381999107077718,nationale,0.0021379359532147646,îles,0.001963685965165496
cet,0.0018219255143776536,programme,0.002115336712449789,sou,0.0019624156411737204
animaux,0.0017955518560484052,consultez,0.0021067147608846426,comme,0.0019423896446824074
ligne,0.0017798763001337647,afin,0.0020999563857913017,glace,0.0019395356066524982
assurez,0.0017794594168663025,dont,0.0020826212130486965,merci,0.0018946153577417135
données,0.0017696638824418187,cadre,0.002067558467388153,soleil,0.0018807018641382456
quel,0.0017583501758053899,canadiennes,0.002064215252175927,oiseaux,0.0018697857158258557
lac,0.0017438369104638696,aider,0.002062941202893853,près,0.0018585239304229617
habitat,0.001740173902362585,protéger,0.0020021984819322824,date,0.0018481703009456396
min,0.0016986568225547671,mondiale,0.0019550432916730642,maintenant,0.0018448062473908067
pensez,0.0016969640273600817,frais,0.0019439130555838346,après,0.001841121818870306
nature,0.0016763802850618958,ici,0.0019289962947368622,magnifique,0.0018335540080443025
grand,0.0016638165106996894,famille,0.00192049250472337,centre,0.0018214760348200798
moins,0.0016591880703344941,où,0.0018973525147885084,joyeux,0.001805629930458963
espèces,0.0016527579864487052,réserve,0.0018906075274571776,ici,0.00180427439045161
faites,0.0016309997299686074,depuis,0.0018801989499479532,québec,0.0017996164970099926
regardez,0.0016225790604948997,information,0.0018395083025097847,médias,0.001789731439203024
possible,0.0016179000958800316,secteur,0.0018367331940680742,mer,0.0017795568564906716
long,0.0016163790132850409,il,0.0018269815482199192,processus,0.0017247586511075497
aide,0.0015988026279956102,info,0.001804440631531179,comptes,0.0017106791492551565
enfants,0.0015974114648997784,climatiques,0.0017674537375569344,voyage,0.0016664827708154917
amp,0.0015721427043899894,déjà,0.0017644423060119152,agent,0.001665238756686449
espèce,0.001566608203575015,développement,0.0017583779990673065,tous,0.0016643739072605968
façon,0.001561044016852975,hiver,0.0017550813499838114,aide,0.0016534347087144852
toujours,0.0015568612143397331,web,0.0017483411356806755,profitez,0.0016430701361969113
droits,0.0015414099907502532,plan,0.0017239309381693602,pêche,0.0016424154164269567
avoir,0.001526101608760655,projet,0.0016979078063741326,nord,0.0016212037298828363
baleines,0.0015228292904794216,apprendre,0.0016752737574279308,admin,0.001619860646314919
endroit,0.0015183989889919758,compte,0.0016663643764331937,sociaux,0.0015858097467571497
semaine,0.0015134625136852264,commentaires,0.0016583430115133524,participer,0.0015845817979425192
plein,0.00150747736915946,ressources,0.0016389356460422277,article,0.0015831998316571116
péril,0.0014949302421882749,idées,0.0016306329052895308,pendant,0.0015705687692388892
aérien,0.0014673324767500162,ligne,0.0016276282258331776,aimeriez,0.0015613837167620659
fonds,0.001457035425119102,agriculture,0.0016064554220065475,prix,0.0015595047734677792
ci,0.0014392293523997068,propre,0.001605282654054463,direct,0.0015482252929359674
vol,0.001439139130525291,nouvelle,0.0015869312919676304,joignez,0.0015413826331496239
quelle,0.001436723629012704,grand,0.0015852294163778424,belle,0.0015270174480974674
marin,0.001425531110726297,océans,0.0015834849327802658,nunavut,0.0015231982106342912
peu,0.0014237514697015285,durable,0.0015834295190870762,bureau,0.0015176926972344518
culture,0.001387827331200242,contre,0.0015772420447319746,cap,0.0015166918747127056
laurent,0.0013824907364323735,années,0.0015348601154983044,prince,0.0015133185079321265
pourquoi,0.0013821799075230956,part,0.001494418946094811,nature,0.0015056143747642636
allez,0.001370794023387134,nouveau,0.0014775580493733287,abonnés,0.0015012274961918592
britannique,0.0013573004398494959,plusieurs,0.0014747027307748795,cet,0.0014835357433184981
voir,0.001351795974187553,pouvez,0.001472468487918377,mpo,0.0014814032474532723
colombie,0.0013177543878555298,aire,0.0014669509837403893,envoyée,0.0014798952033743262
rouge,0.0013145265402272344,obtenir,0.0014655129052698612,partagez,0.0014779611956328154
