Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category
10,370233926766473_393560777767121,2017-12-13 18:17:01,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/393560777767121/?type=3,"Le Canada va de l’avant avec l’élaboration de la Norme sur les carburants propres pour réduire une quantité d’émissions annuelles équivalant au retrait de 7 millions de véhicules de la circulation!
Une des actions clés de notre plan canadien de lutte contre les changements climatiques sera de consulter les provinces, territoires, industrie et organismes non gouvernementaux pour leur demander leur avis. 
Consulter le cadre pour voir comment nous protégeons notre environnement, notre santé et notre prospérité future.
http://ow.ly/bmRG30hddEL","Le Canada va de l’avant avec l’élaboration de la Norme sur les carburants propres pour réduire une quantité d’émissions annuelles équivalant au retrait de millions de véhicules de la circulation! Une des actions clés de notre plan canadien de lutte contre les changements climatiques sera de consulter les provinces, territoires, industrie et organismes non gouvernementaux pour leur demander leur avis. Consulter le cadre pour voir comment nous protégeons notre environnement, notre santé et notre prospérité future.",[],0,0,4,0,0,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'propre', 'or', 'climatique', 'climat']",neutral,"['propre', 'changement', 'industrie', 'environnement']",Environmental
11,370233926766473_390423974747468,2017-12-06 20:44:56,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/390423844747481/?type=3,"La ministre de l’Environnement et du Changement climatique, Catherine McKenna, a visité le Shanghai Environment and Energy Exchange. Cette organisation aide à bâtir un avenir plus durable en appuyant l’échange de droits d’émission de carbone en Chine.","La ministre de l’Environnement et du Changement climatique, Catherine McKenna, a visité le Shanghai Environment and Energy Exchange. Cette organisation aide à bâtir un avenir plus durable en appuyant l’échange de droits d’émission de carbone en Chine.",[],2,1,1,2,0,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'climat', 'durable', 'changement climatique', 'climatique', 'carbon', 'or']",neutral,"['ministre', 'changement', 'climatique', 'mckenna', 'avenir', 'durable', 'droits']",Environmental
12,370233926766473_384142418708957,2017-11-22 20:19:29,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/384142418708957/?type=3,"Regardez la conseillère scientifique en chef, Dre Mona Nemer, animer une table ronde sur le fondement scientifique du Protocole de Montréal.

Les membres de la table ronde faisant partie de la communauté scientifique sont : Dr. Vitali Fioletov et Dr. Nathan Gillett d’Environnement et Changement climatique Canada, Dre Amanda Maycock de l’ University of Leeds au Royaume-Uni, Dr. Guus Velders de l’  Utrecht University  et de l’Institut national de santé publique et d’environnement des Pays-Bas, et Dre Anne Thompson du Centre de recherche NASA Goddard aux États-Unis. UN Environment","Regardez la conseillère scientifique en chef, Dre Mona Nemer, animer une table ronde sur le fondement scientifique du Protocole de Montréal. Les membres de la table ronde faisant partie de la communauté scientifique sont : Dr. Vitali Fioletov et Dr. Nathan Gillett d’Environnement et Changement climatique Canada, Dre Amanda Maycock de l’ University of Leeds au Royaume-Uni, Dr. Guus Velders de l’ Utrecht University et de l’Institut national de santé publique et d’environnement des Pays-Bas, et Dre Anne Thompson du Centre de recherche NASA Goddard aux États-Unis. UN Environment",[],2,0,2,2,0,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'mer', 'changement climatique', 'climatique', 'climat']",neutral,"['scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'scientifique', 'changement', 'climatique', 'publique']",Social
13,370233926766473_384883121968220,2017-11-24 13:15:29,https://www.facebook.com/EnvironnementetChangementclimatique/videos/384883121968220/,"Au cas où vous l’auriez manqué, la délégation du Canada a travaillé très fort à la COP23 à Bonn en Allemagne pour créer une planète durable pour les générations futures. Nous sommes tous unis pour l’#ActionClimatique.","Au cas où vous l’auriez manqué, la délégation du Canada a travaillé très fort à la COP23 à Bonn en Allemagne pour créer une planète durable pour les générations futures. Nous sommes tous unis pour l’.",['#ActionClimatique'],4,0,0,4,0,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,"['cop23', 'durable', 'or']",neutral,"['cop23', 'durable']",Environmental
14,370233926766473_384452442011288,2017-11-23 13:48:21,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/384452382011294/?type=3,"Ne manquez pas la diffusion aujourd’hui, à 14 h 30 (HNE), de la discussion du groupe d’experts sur la science qui a contribué à rétablir la couche d’ozone et à lutter contre les changements climatiques en vertu du Protocole de Montréal.
 
Des scientifiques du monde entier, dont Vitali Fioletov et Nathan Gillet d’Environnement et Changement climatique Canada, en feront partie.","Ne manquez pas la diffusion aujourd’hui, à h (HNE), de la discussion du groupe d’eerts sur la science qui a contribué à rétablir la couche d’ozone et à lutter contre les changements climatiques en vertu du Protocole de Montréal. Des scientifiques du monde entier, dont Vitali Fioletov et Nathan Gillet d’Environnement et Changement climatique Canada, en feront partie.",[],3,0,1,3,0,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'vert', 'changement climatique', 'climatique', 'climat']",neutral,"['changement', 'scientifique', 'scientifique', 'scientifique', 'changement', 'climatique']",Social
15,370233926766473_392068424583023,2017-12-10 08:40:03,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/392068424583023/?type=3,#CanadaEnChine – Mission commerciale de la ministre McKenna sur #TechnologiesPropres : l’entreprise 🇨🇦 #ShellCansolv capte la pollution par le carbone avant qu’elle ne se retrouve dans l’atmosphère. http://ow.ly/w1nW30h7XPF #ActionClimatique,– Mission commerciale de la ministre McKenna sur : l’entreprise 🇨🇦 capte la pollution par le carbone avant qu’elle ne se retrouve dans l’atmosphère.,"['#CanadaEnChine', '#TechnologiesPropres', '#ShellCansolv', '#ActionClimatique']",0,0,4,0,0,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,"['carbon', 'mer', 'pollution']",neutral,"['ministre', 'mckenna', '#technologiespropres', '#technologiespropres', 'pollution']",Environmental
16,370233926766473_397148524075013,2017-12-21 16:20:07,https://www.facebook.com/EnvironnementetChangementclimatique/videos/397148524075013/,"Le 12 décembre, la ministre McKenna a participé à #OnePlanetSummit et a travaillé avec des leaders des secteurs public et privé sur une nouvelle et innovatrice #ActionClimatique.","Le décembre, la ministre McKenna a participé à et a travaillé avec des leaders des secteurs public et privé sur une nouvelle et innovatrice .","['#OnePlanetSummit', '#ActionClimatique']",2,0,2,2,0,0,0,0,0,0,4,fr,0.0,EnvironnementetChangementclimatique_facebook,"['secteur', 'novatrice', 'ministre']",neutral,"['ministre', 'mckenna', 'secteur']",Economical
17,370233926766473_386279601828572,2017-11-27 16:51:41,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/386279558495243/?type=3,"La semaine dernière, Philippe Chemouny, gestionnaire à Environnement et changement climatique Canada, a gagné un Prix Ozone au cours de la 29e réunion des Parties du Protocole de Montréal. Il a été l’un des négociateurs clés du Canada dans certaines des négociations les plus difficiles relatives au Protocole de Montréal au cours des 20 dernières années, notamment l’Amendement de Kigali de 2016 visant à réduire progressivement les HFC. Pour en apprendre davantage au sujet de M. Chemouny : http://ow.ly/cnO930gQT6d","La semaine dernière, Philippe Chemouny, gestionnaire à Environnement et changement climatique Canada, a gagné un Prix Ozone au cours de la e réunion des Parties du Protocole de Montréal. Il a été l’un des négociateurs clés du Canada dans certaines des négociations les plus difficiles relatives au Protocole de Montréal au cours des dernières années, notamment l’Amendement de Kigali de visant à réduire progressivement les HFC. Pour en apprendre davantage au sujet de M. Chemouny : d",[],2,0,1,2,0,0,0,0,0,0,3,fr,0.0,EnvironnementetChangementclimatique_facebook,"['climat', 'environnement', 'changement climatique', 'climatique', 'air']",neutral,"['environnement', 'changement_climatique']",Environmental
18,370233926766473_387170871739445,2017-11-29 16:10:51,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/387170788406120/?type=3,"Aujourd’hui, la ministre de l’Environnement et du Changement climatique, Catherine McKenna, était à la Chambre de commerce de la région de Toronto pour discuter de la façon dont les entreprises du Canada peuvent favoriser la croissance propre!","Aujourd’hui, la ministre de l’Environnement et du Changement climatique, Catherine McKenna, était à la Chambre de commerce de la région de Toronto pour discuter de la façon dont les entreprises du Canada peuvent favoriser la croissance propre!",[],3,0,0,3,0,0,0,0,0,0,3,fr,0.0,EnvironnementetChangementclimatique_facebook,"['environnement', 'climat', 'changement climatique', 'climatique', 'mer', 'propre', 'or']",neutral,"['ministre', 'changement', 'climatique', 'mckenna', 'commerce', 'entreprise', 'croissance', 'propre']",Economical
19,370233926766473_390765104713355,2017-12-07 14:22:35,https://www.facebook.com/EnvironnementetChangementclimatique/photos/a.377494369373762.1073741828.370233926766473/390764648046734/?type=3,"Dans le cadre de la campagne Déployez vos ailes avec les 4-H, 4-H Canada aide les enfants à devenir des champions de l’environnement. En tant que membres des 4-H, vous pouvez participer en vous inscrivant à l’Expo-Sciences des 4-H Canada!
Renseignez-vous : http://ow.ly/zWcs30h59Wn","Dans le cadre de la campagne Déployez vos ailes avec les -H, -H Canada aide les enfants à devenir des champions de l’environnement. En tant que membres des -H, vous pouvez participer en vous inscrivant à l’E-Sciences des -H Canada! Renseignez-vous :",[],2,0,1,2,0,0,0,0,0,0,3,fr,0.0,EnvironnementetChangementclimatique_facebook,['enfants'],neutral,['enfant'],Social
