,owner,created_at,id,post_id,text_cleaned,hashtags,urls
0,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476715448,1.78433E+16,2016-10-17_07-43-13,,"['#BehindTheScenes', '#AllAccess', '#VIP', '#InstaScience', '#Weather', '#EnvironmentCanada', '#CdnSci', '#CdnEnv', '#Canada', '#Weather', '#Wildlife', '#Science', '#Environment']",[]
1,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476795409,1.78644E+16,2016-10-18_05-56-05,,"['#FraserValley', '#Conservation', '#BirdNerd', '#Birds', '#TBT', '#FlashBack', '#Summer', '#Wildlife', '#PersonsDay', '#NoFilter']",[]
2,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476878775,1.78636E+16,2016-10-19_05-05-39,,"['#Weather', '#WeatherStation', '#WeatherNerd', '#Vancouver', '#Meteorology', '#WeatherPhotos', '#WeatherOfInstagram', '#CanadianCoastGuard', '#WeatherWednesday', '#NoFilterNeeded']",[]
3,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476977810,1.78638E+16,2016-10-20_07-16-34,"you are right, we are talking about the little guy on the right! We'll adjust the caption to make it more clear!",[],[]
4,"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}",1476974993,1.78533E+16,2016-10-20_07-16-34,Even the beak looks a different shape,[],[]
5,"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}",1476974950,1.78537E+16,2016-10-20_07-16-34,Are they both the same bird?The one on the right looks much darker without the striking white face,[],[]
6,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476973070,1.78646E+16,2016-10-20_07-16-34,,"['#NewFoundland', '#EastCoast', '#Puffin', '#Atlantic', '#BirdNerd', '#AtlanticPuffin', '#NoFilter', '#PhotoOfTheDay', '#InstaBird', '#BirdsOfInstagram']",[]
7,"{""username"":""_kevy_93_"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22069794_1241797192593260_6765894717629530112_n.jpg"",""id"":""540335262""}",1477080518,1.78435E+16,2016-10-21_08-24-41,"I'd love to be apart of the team, such awesome adventures",[],[]
8,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477063725,1.78543E+16,2016-10-21_08-24-41,,"['#Conservation', '#Grasslands', '#BC', '#BeautifulBC', '#ExploreBC', '#Kamloops', '#Nature', '#Environmentalist', '#BirdLovers', '#Explorer', '#BiologistsOFInstagram', '#MiniVan', '#FieldTrip', '#FridayFun', '#NoFilter']",[]
9,"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}",1477347924,1.78436E+16,2016-10-24_07-03-53,One of my faves BUOW are the best!,[],[]
