,owner,created_at,id,post_id,text_cleaned,hashtags,urls
14,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478096284,1.78545E+16,2016-11-02_07-17-06,égée ôture,"['#MilieuHumide', '#MilieuxHumides', '#TerreHumide', '#TerresHumides', '#CanEnvironment', '#AireProt', '#Alberta', '#Cl', '#Faune', '#Biologistes']",[]
15,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478189063,1.78439E+16,2016-11-03_09-03-36,,"['#EauDouce', '#Science', '#Scientifiques', '#Insectes', '#NouvelleEcosse', '#Automne', '#EnvironnementCan']",[]
16,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478263704,1.7844E+16,2016-11-04_05-47-44,,"['#HamOnt', '#Eau', '#GrandsLacs', '#Ontario', '#RandleReef', '#Poisson', '#Tourisme', '#Vendredi', '#Ontario']",[]
17,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478533387,1.78658E+16,2016-11-07_07-42-47,,"['#Caribou', '#Toundra', '#Ontario', '#Faune', '#AnimauxSauvages', '#Animaux', '#Photo', '#EnvironnementCan', '#Lundi']",[]
18,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478618186,1.78652E+16,2016-11-08_07-15-49,étro égée éserveFaunique,"['#Feux', '#Feu', '#Pompiers', '#Prairies', '#Faune', '#Saskatchewan', '#Biologistes', '#MardiR', '#AireProt', '#R']",[]
19,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478799360,1.78648E+16,2016-11-10_09-34-27,éeDeLaScience,"['#Journ', '#Science', '#Scientifique', '#Eau', '#EauDouce', '#EauPropre', '#Bateau', '#Laboratoire', '#EnvironnementCan', '#GrandsLacs']",[]
20,"{""username"":""thekjglobe"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11271050_1565083593756634_129365333_a.jpg"",""id"":""11257375""}",1479578397,1.78445E+16,2016-11-10_11-06-40,I'm traveling the world!! Witch country do you suggest me going to?!! Looking forward!!,[],[]
21,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1479582210,1.78445E+16,2016-11-19_11-03-05,,"['#ActionClimatJeunesse', '#ActionClimat', '#ActionClimatCAN', '#ActionPourLeClimat', '#SolutionClimat', '#Canada', '#JeunesCan', '#JeunesCanadiens', '#EnvironnementCAN']",[]
22,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1479762352,1.78665E+16,2016-11-21_13-03-43,,"['#ChangementClimatique', '#Jeunes', '#Jeunesse', '#ActionClimat', '#Climat', '#Environnement', '#Canada', '#JeunesCanadiens']",[]
23,"{""username"":""summerbelliveau"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26152093_543101172717738_4020178170324975616_n.jpg"",""id"":""857715574""}",1479916218,1.78558E+16,2016-11-23_07-40-27,What makes Canada so special according to pollution why does our country make such a big impact on the other countries?,[],[]
