,owner,created_at,id,post_id,text_cleaned,hashtags,urls
0,"{""username"":""i.lloyd_irl"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15251776_719839148180878_6264989281945649152_a.jpg"",""id"":""1262217193""}",1482142939,1.78568E+16,2016-12-08_08-48-30,Amazing!,[],[]
1,"{""username"":""drilldeck"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16228526_1639189286387336_5821544873685155840_a.jpg"",""id"":""3889034985""}",1481944479,1.7847E+16,2016-12-08_08-48-30,,[],[]
2,"{""username"":""flexusmyplexus"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/1390306_1576801132638714_932864236_a.jpg"",""id"":""2996600962""}",1481691131,1.78675E+16,2016-12-08_08-48-30,Terrific!,[],[]
3,"{""username"":""orlinasbra"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14582304_377759459235406_1170057711153315840_a.jpg"",""id"":""1649730007""}",1481526684,1.78671E+16,2016-12-08_08-48-30,Thanks for sharing. waiting for more!,[],[]
4,"{""username"":""spinnables"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15625305_1162933027093341_2339693342985551872_a.jpg"",""id"":""3415634172""}",1481280605,1.78566E+16,2016-12-08_08-48-30,,[],[]
5,"{""username"":""gchamberlainaz"",""profile_pic_url"":""https://scontent-lax3-1.cdninstagram.com/t51.2885-19/11906329_960233084022564_1448528159_a.jpg"",""id"":""4274358001""}",1481899912,1.78702E+16,2016-12-08_08-58-20,"When the government says safely it does not include assessing the damage to our planets atmosphere, oceans and ecosystems, the web of life, commonly called climate change",[],[]
6,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1481558719,1.78565E+16,2016-12-09_11-22-06,Stunning,[],[]
7,"{""username"":""alterabrand_"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17819120_1867552986866159_1927379008010321920_a.jpg"",""id"":""2246298117""}",1482749984,1.78576E+16,2016-12-21_13-08-37,,[],[]
8,"{""username"":""bhuwan_chauhan_ifbbpro"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26385573_165716367529833_8033108115186515968_n.jpg"",""id"":""344498067""}",1482385546,1.78467E+16,2016-12-21_13-08-37,,[],[]
9,"{""username"":""ch9seeds"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12558430_1001872556517958_1273974577_a.jpg"",""id"":""884696440""}",1482373200,1.7867E+16,2016-12-21_13-08-37,cool,[],[]
10,"{""username"":""arseguin"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15276694_787472344724595_6068061028514529280_a.jpg"",""id"":""404674113""}",1482365573,1.78475E+16,2016-12-21_13-08-37,Best of luck,[],[]
11,"{""username"":""finishfirstfootball"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13696455_536847793184500_1713701396_a.jpg"",""id"":""258410485""}",1482359402,1.78677E+16,2016-12-21_13-08-37,Strive for Greatness,['#HBT'],[]
12,"{""username"":""gabrielackleymarquee"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16585340_614306368773589_936417833917612032_a.jpg"",""id"":""51117776""}",1484247562,1.7847E+16,2016-12-22_11-46-09,Very good!,[],[]
13,"{""username"":""greeny.towels"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19379538_480889642249786_826896348258238464_a.jpg"",""id"":""3080413606""}",1482644052,1.78617E+16,2016-12-22_11-46-09,Beautiful sweet home!! You might like something we do!!,[],[]
14,"{""username"":""gettingtothemz"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15876441_357826917933658_8962360367401402368_n.jpg"",""id"":""4160686097""}",1482513508,1.78562E+16,2016-12-22_11-46-09,Great,[],[]
15,"{""username"":""official_spydergrip"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14515756_184157941993061_5599471351967514624_a.jpg"",""id"":""1968434852""}",1482476552,1.78682E+16,2016-12-22_11-46-09,Looks good!,[],[]
16,"{""username"":""trapworldjgoode"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14574134_740374776115863_2630867682995470336_a.jpg"",""id"":""2090976186""}",1482453348,1.7856E+16,2016-12-22_11-46-09,follow me bacc tho,[],[]
17,"{""username"":""soulsu76"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22499809_1558160640894443_3919617871935700992_n.jpg"",""id"":""325103323""}",1482443921,1.78677E+16,2016-12-22_11-46-09,"The north: strong, free, and melting.",[],[]
18,"{""username"":""arseguin"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15276694_787472344724595_6068061028514529280_a.jpg"",""id"":""404674113""}",1483985189,1.7857E+16,2016-12-29_08-13-56,Awesome!,[],[]
19,"{""username"":""strangerwatches"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12081061_1010226609047568_492725747_a.jpg"",""id"":""1467510992""}",1485150842,1.78475E+16,2016-12-30_07-53-07,you have great posts,[],[]
20,"{""username"":""ethosathlete"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25035687_164624307600748_100398859158552576_n.jpg"",""id"":""4164569700""}",1483171649,1.78463E+16,2016-12-30_07-53-07,This is amazing,[],[]
21,"{""username"":""roguerefined"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11352120_934080946633536_1854911905_a.jpg"",""id"":""2110681397""}",1483168427,1.78479E+16,2016-12-30_07-53-07,Nice,[],[]
