,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type,category
0,0,0,0,918536866030342146,1,1,2017-10-12 18:00:29,"Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement du . Ce soir, h, au Café du Musée à .","['#MineGiant', '#YZF']",['https://t.co/jm8pPfgeRe'],Mise jour de valuation des risques pour la humaine et environnement du MineGiant Ce soir 19 au du YZF https co jm8pPfgeRe,"['Mise', 'jour', 'de', 'valuation', 'des', 'risques', 'pour', 'la', 'humaine', 'et', 'environnement', 'du', 'MineGiant', 'Ce', 'soir', '19', 'au', 'du', 'YZF', 'https', 'co', 'jm8pPfgeRe']","[u'mise', u'jour', 'de', u'valuat', u'des', u'risqu', u'pour', 'la', u'humain', 'et', u'environn', 'du', u'minegi', 'ce', u'soir', '19', 'au', 'du', u'yzf', u'https', 'co', u'jm8ppfgere']","Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement du #MineGiant. Ce soir, 19 h, au Café du Musée à #YZF. https://t.co/jm8pPfgeRe",0.0,Neutral,Environmental
1,1,1,1,917804296678395905,1,0,2017-10-10 17:29:30,": Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement. Le oct, h, au Café du Musée. https:/…",[],[],RT MineGiant Mise jour de valuation des risques pour la humaine et environnement Le 12 oct 19 au du https,"['RT', 'MineGiant', 'Mise', 'jour', 'de', 'valuation', 'des', 'risques', 'pour', 'la', 'humaine', 'et', 'environnement', 'Le', '12', 'oct', '19', 'au', 'du', 'https']","['rt', u'minegi', u'mise', u'jour', 'de', u'valuat', u'des', u'risqu', u'pour', 'la', u'humain', 'et', u'environn', 'le', '12', u'oct', '19', 'au', 'du', u'https']","RT @MineGiant: Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement. Le 12 oct, 19 h, au Café du Musée. https:/…",0.0,Neutral,Environmental
2,2,2,2,913788069123379200,1,0,2017-09-29 15:30:27,"Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement. Le oct, h, au Café du Musée.",[],"['https://t.co/IAE6bRHWD3', 'https://t.co/VGHzOaPf0e']",Mise jour de valuation des risques pour la humaine et environnement Le 12 oct 19 au du https co IAE6bRHWD3 https co VGHzOaPf0e,"['Mise', 'jour', 'de', 'valuation', 'des', 'risques', 'pour', 'la', 'humaine', 'et', 'environnement', 'Le', '12', 'oct', '19', 'au', 'du', 'https', 'co', 'IAE6bRHWD3', 'https', 'co', 'VGHzOaPf0e']","[u'mise', u'jour', 'de', u'valuat', u'des', u'risqu', u'pour', 'la', u'humain', 'et', u'environn', 'le', '12', u'oct', '19', 'au', 'du', u'https', 'co', u'iae6brhwd3', u'https', 'co', u'vghzoapf0']","Mise à jour de l’évaluation des risques pour la santé humaine et l’environnement. Le 12 oct, 19 h, au Café du Musée. https://t.co/IAE6bRHWD3 https://t.co/VGHzOaPf0e",0.0,Neutral,Environmental
3,3,3,3,890242841624104960,0,0,2017-07-26 16:10:08,Un plaisir géant durant la journée annuelle Des rivières aux océans avec la !,['#MineGiant'],['https://t.co/9ciaU6ZiYf'],Un plaisir ant durant la annuelle Des res aux ans avec la MineGiant https co 9ciaU6ZiYf,"['Un', 'plaisir', 'ant', 'durant', 'la', 'annuelle', 'Des', 'res', 'aux', 'ans', 'avec', 'la', 'MineGiant', 'https', 'co', '9ciaU6ZiYf']","['un', u'plaisir', u'ant', u'durant', 'la', u'annuell', u'des', u'res', u'aux', u'an', u'avec', 'la', u'minegi', u'https', 'co', u'9ciau6ziyf']",Un plaisir géant durant la journée annuelle Des rivières aux océans avec la #MineGiant! https://t.co/9ciaU6ZiYf,0.0,Neutral,Social
4,4,4,4,885876749816475648,3,1,2017-07-14 15:00:50,Rappel : Soyez prudents près de la mine Giant.,[],['https://t.co/Rs3UAsQYNW'],Rappel Soyez prudents de la mine Giant https co Rs3UAsQYNW,"['Rappel', 'Soyez', 'prudents', 'de', 'la', 'mine', 'Giant', 'https', 'co', 'Rs3UAsQYNW']","[u'rappel', u'soyez', u'prudent', 'de', 'la', u'mine', u'giant', u'https', 'co', u'rs3uasqynw']",Rappel : Soyez prudents près de la mine Giant. https://t.co/Rs3UAsQYNW,0.0,Neutral,Social
5,5,5,5,881173184229367808,0,0,2017-07-01 15:30:33,Rappel : Soyez prudents près de la mine Giant.,[],[],Rappel Soyez prudents de la mine Giant,"['Rappel', 'Soyez', 'prudents', 'de', 'la', 'mine', 'Giant']","[u'rappel', u'soyez', u'prudent', 'de', 'la', u'mine', u'giant']",Rappel : Soyez prudents près de la mine Giant.,0.0,Neutral,Social
6,6,6,6,880565336789049344,0,0,2017-06-29 23:15:11,Rappel : Soyez prudents près de la mine Giant.,[],['https://t.co/jUEQqLiZqZ'],Rappel Soyez prudents de la mine Giant https co jUEQqLiZqZ,"['Rappel', 'Soyez', 'prudents', 'de', 'la', 'mine', 'Giant', 'https', 'co', 'jUEQqLiZqZ']","[u'rappel', u'soyez', u'prudent', 'de', 'la', u'mine', u'giant', u'https', 'co', u'jueqqlizqz']",Rappel : Soyez prudents près de la mine Giant. https://t.co/jUEQqLiZqZ,0.0,Neutral,Social
7,7,7,7,863393712377917440,0,0,2017-05-13 14:01:16,Nous sommes au salon! Passez à notre kiosque les et mai pour vous renseigner sur le PAMG!,[],['https://t.co/yTUbizG6it'],Nous sommes au salon Passez notre kiosque les 13 et 14 mai pour vous renseigner sur le PAMG https co yTUbizG6it,"['Nous', 'sommes', 'au', 'salon', 'Passez', 'notre', 'kiosque', 'les', '13', 'et', '14', 'mai', 'pour', 'vous', 'renseigner', 'sur', 'le', 'PAMG', 'https', 'co', 'yTUbizG6it']","[u'nous', u'somm', 'au', u'salon', u'passez', u'notr', u'kiosqu', u'les', '13', 'et', '14', u'mai', u'pour', u'vous', u'renseign', u'sur', 'le', u'pamg', u'https', 'co', u'ytubizg6it']",Nous sommes au salon! Passez à notre kiosque les 13 et 14 mai pour vous renseigner sur le PAMG! https://t.co/yTUbizG6it,0.0,Neutral,Social
8,8,8,8,862781938310025222,0,0,2017-05-11 21:30:18,Nous sommes au salon! Passez à notre kiosque les et mai pour vous renseigner sur le PAMG!,[],['https://t.co/yTUbizG6it'],Nous sommes au salon Passez notre kiosque les 13 et 14 mai pour vous renseigner sur le PAMG https co yTUbizG6it,"['Nous', 'sommes', 'au', 'salon', 'Passez', 'notre', 'kiosque', 'les', '13', 'et', '14', 'mai', 'pour', 'vous', 'renseigner', 'sur', 'le', 'PAMG', 'https', 'co', 'yTUbizG6it']","[u'nous', u'somm', 'au', u'salon', u'passez', u'notr', u'kiosqu', u'les', '13', 'et', '14', u'mai', u'pour', u'vous', u'renseign', u'sur', 'le', u'pamg', u'https', 'co', u'ytubizg6it']",Nous sommes au salon! Passez à notre kiosque les 13 et 14 mai pour vous renseigner sur le PAMG! https://t.co/yTUbizG6it,0.0,Neutral,Social
9,9,9,9,860633993359872000,0,0,2017-05-05 23:15:08,Vous voulez savoir comment la se prépare au printemps? Visitez :,['#MineGiant'],['https://t.co/zHASd7yQ8H'],Vous voulez savoir comment la MineGiant se pare au printemps Visitez https co zHASd7yQ8H,"['Vous', 'voulez', 'savoir', 'comment', 'la', 'MineGiant', 'se', 'pare', 'au', 'printemps', 'Visitez', 'https', 'co', 'zHASd7yQ8H']","[u'vous', u'voulez', u'savoir', u'comment', 'la', u'minegi', 'se', u'pare', 'au', u'printemp', u'visitez', u'https', 'co', u'zhasd7yq8h']",Vous voulez savoir comment la #MineGiant se prépare au printemps? Visitez : https://t.co/zHASd7yQ8H,0.0,Neutral,Social
