,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
0,0,946803208168595457,6,12,2017-12-29 18:00:50,Have you seen the new evidence for the extent of sea ice? Check it out:,"['#Arctic', '#ArcticScience', '#openmaps']","['https://t.co/V7sjRPRLOK', 'https://t.co/hJf8OikKng']",seen new evidence extent sea ice Check,"['seen', 'new', 'evidence', 'extent', 'sea', 'ice', 'Check']","[u'seen', u'new', u'evid', u'extent', u'sea', u'ice', u'check']",Have you seen the new evidence for the extent of #Arctic sea ice? Check it out: https://t.co/V7sjRPRLOK  #ArcticScience #openmaps https://t.co/hJf8OikKng
1,1,946760590365790208,32,0,2017-12-29 15:11:29,: It’s Month. Our scientists use geospatial mapping to monitor the effects of on Arctic perm…,"['#ArcticScience', '#ClimateChange']",[],Month scientists use geospatial mapping monitor effects Arctic,"['Month', 'scientists', 'use', 'geospatial', 'mapping', 'monitor', 'effects', 'Arctic']","[u'month', u'scientist', u'use', u'geospati', u'map', u'monitor', u'effect', u'arctic']",RT @environmentca: It’s #ArcticScience Month. Our scientists use geospatial mapping to monitor the effects of #ClimateChange on Arctic perm…
2,2,946735111155875872,5,14,2017-12-29 13:30:14,GSC was awarded the Gold Medal for its contribution to the development of Canada since 08,['#GSC175'],"['https://t.co/ALD9KIJa', 'https://t.co/1XG7E5JaHL']",GSC awarded Gold Medal contribution development Canada since 08,"['GSC', 'awarded', 'Gold', 'Medal', 'contribution', 'development', 'Canada', 'since', '08']","[u'gsc', u'award', u'gold', u'medal', u'contribut', u'develop', u'canada', u'sinc', '08']",GSC was awarded the @RCGS_SGRC Gold Medal for its contribution to the development of Canada since 1842 #GSC175 https://t.co/ALD9KIJa08 https://t.co/1XG7E5JaHL
3,3,946468543897403393,26,0,2017-12-28 19:51:00,: Can’t decide on a ? Here’s one: lower your energy use to help reduce impacts. …,"['#NewYearsResolution', '#ClimateChange', '#Winte']",[],decide one lower energy use help reduce impacts,"['decide', 'one', 'lower', 'energy', 'use', 'help', 'reduce', 'impacts']","[u'decid', u'one', u'lower', u'energi', u'use', u'help', u'reduc', u'impact']",RT @ENERGYSTAR_CAN: Can’t decide on a #NewYearsResolution? Here’s one:  lower your energy use to help reduce #ClimateChange impacts. #Winte…
4,4,946455795922821120,1,5,2017-12-28 19:00:20,"The Geological Survey’s Sherard Bay Camp on Melville Island shrouded in snow, Nunavut, .",['#TBT'],['https://t.co/rFHgUqGVXj'],Geological Sherard Bay Camp Melville Island shrouded snow Nunavut,"['Geological', 'Sherard', 'Bay', 'Camp', 'Melville', 'Island', 'shrouded', 'snow', 'Nunavut']","[u'geolog', u'sherard', u'bay', u'camp', u'melvill', u'island', u'shroud', u'snow', u'nunavut']","#TBT The Geological Survey’s Sherard Bay Camp on Melville Island shrouded in snow, Nunavut, 1973. https://t.co/rFHgUqGVXj"
5,5,946440829245231104,6,6,2017-12-28 18:00:52,Thanks to satellite radar we’re making Canada’s northern winter roads safer U,['#ArcticScience'],"['https://t.co/UwBsNJbcQW', 'https://t.co/Kv3F7zJi3']",Thanks satellite radar making northern winter roads safer,"['Thanks', 'satellite', 'radar', 'making', 'northern', 'winter', 'roads', 'safer']","[u'thank', u'satellit', u'radar', u'make', u'northern', u'winter', u'road', u'safer']",Thanks to satellite radar 📡 we’re making Canada’s northern winter roads safer #ArcticScience https://t.co/UwBsNJbcQW https://t.co/Kv3F7zJi3U
6,6,946372753946546176,4,5,2017-12-28 13:30:21,This unmanned aerial vehicle is a valuable tool for geological mapping and,"['#MineralExploration', '#Drones', '#GSC175']","['https://t.co/1yxkhTjgft', 'https://t.co/MImBYDmjce']",unmanned aerial vehicle valuable tool geological mapping,"['unmanned', 'aerial', 'vehicle', 'valuable', 'tool', 'geological', 'mapping']","[u'unman', u'aerial', u'vehicl', u'valuabl', u'tool', u'geolog', u'map']",This unmanned aerial vehicle is a valuable tool for geological mapping and #MineralExploration #Drones #GSC175 https://t.co/1yxkhTjgft https://t.co/MImBYDmjce
7,7,946081940075089921,15,0,2017-12-27 18:14:46,: It’s Month! Our scientists combine and Indigenous knowledge to help conserve the caribou. https:…,"['#ArcticScience', '#science']",[],Month scientists combine Indigenous knowledge help conserve caribou https,"['Month', 'scientists', 'combine', 'Indigenous', 'knowledge', 'help', 'conserve', 'caribou', 'https']","[u'month', u'scientist', u'combin', u'indigen', u'knowledg', u'help', u'conserv', u'caribou', u'https']",RT @environmentca: It’s #ArcticScience Month! Our scientists combine #science and Indigenous knowledge to help conserve the caribou. https:…
8,8,946078301063401474,7,20,2017-12-27 18:00:18,- Aerial photography records the ever-changing cultural and natural features on the Earth's surface. Here’s a pic of Resolute Bay in,"['#TBT', '#ArcticScience']",['https://t.co/2bPkB60Vkp'],Aerial photography records ever changing cultural natural features Earth surface pic Resolute Bay,"['Aerial', 'photography', 'records', 'ever', 'changing', 'cultural', 'natural', 'features', 'Earth', 'surface', 'pic', 'Resolute', 'Bay']","[u'aerial', u'photographi', u'record', u'ever', u'chang', u'cultur', u'natur', u'featur', u'earth', u'surfac', u'pic', u'resolut', u'bay']",#TBT - Aerial photography records the ever-changing cultural and natural features on the Earth's surface. Here’s a pic of Resolute Bay in 1993 #ArcticScience https://t.co/2bPkB60Vkp
9,9,946048362121482240,2,3,2017-12-27 16:01:20,almost half of 🇨🇦 is underlain with permafrost?,"['#DYK', '#ArcticScience']",['https://t.co/ugre5CqxEQ'],almost half underlain permafrost,"['almost', 'half', 'underlain', 'permafrost']","[u'almost', u'half', u'underlain', u'permafrost']",#DYK almost half of 🇨🇦 is underlain with permafrost? #ArcticScience https://t.co/ugre5CqxEQ
10,10,946010373144096768,9,15,2017-12-27 13:30:23,The GSC has been acquiring aeromagnetic data since to produce like these,"['#maps', '#GSC175']","['https://t.co/OnriQXLgJZ', 'https://t.co/odC1wIAHkf']",GSC acquiring aeromagnetic data since produce like,"['GSC', 'acquiring', 'aeromagnetic', 'data', 'since', 'produce', 'like']","[u'gsc', u'acquir', u'aeromagnet', u'data', u'sinc', u'produc', u'like']",The GSC has been acquiring aeromagnetic data since 1947 to produce #maps like these #GSC175 https://t.co/OnriQXLgJZ https://t.co/odC1wIAHkf
