,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,946803193060700160,0,0,2017-12-29 18:00:46,Avez-vous vu les nouveaux éléments de preuve concernant l’étendue de la glace de mer ? Regardez U,"['#Arctique', '#ScienceArctique', '#CartesOuvertes']","['https://t.co/2FtRv9iHr', 'https://t.co/ucJ2c5pPmT']",Avez vous vu les nouveaux ments de preuve concernant tendue de la glace de mer Regardez,"['Avez', 'vous', 'vu', 'les', 'nouveaux', 'ments', 'de', 'preuve', 'concernant', 'tendue', 'de', 'la', 'glace', 'de', 'mer', 'Regardez']","[u'avez', u'vous', 'vu', u'les', u'nouveaux', u'ment', 'de', u'preuv', u'concern', u'tendu', 'de', 'la', u'glace', 'de', u'mer', u'regardez']",Avez-vous vu les nouveaux éléments de preuve concernant l’étendue de la glace de mer #Arctique? Regardez https://t.co/2FtRv9iHrU  #ScienceArctique #CartesOuvertes https://t.co/ucJ2c5pPmT,0.0,Neutral
1,1,1,946760770171408386,9,0,2017-12-29 15:12:12,: C’est le mois de la science dans l’Arctique. Nos scientifiques utilisent la cartographie géospatiale pour étudier les…,[],[],est le mois de la science dans Arctique Nos scientifiques utilisent la cartographie ospatiale pour tudier,"['est', 'le', 'mois', 'de', 'la', 'science', 'dans', 'Arctique', 'Nos', 'scientifiques', 'utilisent', 'la', 'cartographie', 'ospatiale', 'pour', 'tudier']","[u'est', 'le', u'moi', 'de', 'la', u'scienc', u'dan', u'arctiqu', u'nos', u'scientifiqu', u'utilis', 'la', u'cartographi', u'ospatial', u'pour', u'tudier']",RT @environnementca: C’est le mois de la science dans l’Arctique. Nos scientifiques utilisent la cartographie géospatiale pour étudier les…,0.0,Neutral
2,2,2,946735139496910848,1,2,2017-12-29 13:30:21,La CGC a reçu la médaille d’or de la pour son apport au développement du Canada depuis,['#CGC175'],"['https://t.co/mTfdkVvRQ4', 'https://t.co/WN64O6tlpS']",La CGC la daille de la pour son apport au veloppement du Canada depuis,"['La', 'CGC', 'la', 'daille', 'de', 'la', 'pour', 'son', 'apport', 'au', 'veloppement', 'du', 'Canada', 'depuis']","['la', u'cgc', 'la', u'daill', 'de', 'la', u'pour', u'son', u'apport', 'au', u'velopp', 'du', u'canada', u'depui']",La CGC a reçu la médaille d’or de la @RCGS_SGRC pour son apport au développement du Canada depuis 1842 #CGC175 https://t.co/mTfdkVvRQ4 https://t.co/WN64O6tlpS,0.0,Neutral
3,3,3,946468778908569600,4,0,2017-12-28 19:51:56,: Pas d’idée de ésolution? En voici une : baissez votre consommation d’énergie pour atténuer les effets des …,"['#bonner', '#chang']",[],Pas de solution En voici une baissez votre consommation nergie pour nuer les effets des,"['Pas', 'de', 'solution', 'En', 'voici', 'une', 'baissez', 'votre', 'consommation', 'nergie', 'pour', 'nuer', 'les', 'effets', 'des']","[u'pas', 'de', u'solut', 'en', u'voici', u'une', u'baissez', u'votr', u'consomm', u'nergi', u'pour', u'nuer', u'les', u'effet', u'des']",RT @ENERGYSTAR_CDN: Pas d’idée de #bonnerésolution? En voici une : baissez votre consommation d’énergie pour atténuer les effets des #chang…,0.0,Neutral
4,4,4,946455793905356800,0,0,2017-12-28 19:00:20,"étro Le camp enneigé de la Commission géologique à Sherard Bay sur l’île Melville, au Nunavut, en",['#JeudiR'],['https://t.co/lHFZydVu6r'],tro Le camp de la Commission ologique Sherard Bay sur le Melville au Nunavut en,"['tro', 'Le', 'camp', 'de', 'la', 'Commission', 'ologique', 'Sherard', 'Bay', 'sur', 'le', 'Melville', 'au', 'Nunavut', 'en']","[u'tro', 'le', u'camp', 'de', 'la', u'commiss', u'ologiqu', u'sherard', u'bay', u'sur', 'le', u'melvill', 'au', u'nunavut', 'en']","#JeudiRétro Le camp enneigé de la Commission géologique à Sherard Bay sur l’île Melville, au Nunavut, en 1973 https://t.co/lHFZydVu6r",0.0,Neutral
5,5,5,946440890427592704,0,0,2017-12-28 18:01:06,"Grâce au satellite-radar, nous rendons les routes d’hiver du Nord canadien plus sûres",['#ScienceArctique'],"['https://t.co/XQoOto045Q', 'https://t.co/7gw0ic2FZF']",ce au satellite radar nous rendons les routes hiver du Nord canadien plus res,"['ce', 'au', 'satellite', 'radar', 'nous', 'rendons', 'les', 'routes', 'hiver', 'du', 'Nord', 'canadien', 'plus', 'res']","['ce', 'au', u'satellit', u'radar', u'nous', u'rendon', u'les', u'rout', u'hiver', 'du', u'nord', u'canadien', u'plus', u'res']","Grâce au 📡 satellite-radar, nous rendons les routes d’hiver du Nord canadien plus sûres #ScienceArctique https://t.co/XQoOto045Q https://t.co/7gw0ic2FZF",0.0,Neutral
6,6,6,946372716080267265,0,0,2017-12-28 13:30:12,Ce est un outil précieux pour la cartographie géologique et l’ère cu,"['#drone', '#ExplorationMini', '#CGC175']","['https://t.co/bSLjKr8R', 'https://t.co/YO3yNfV4Em']",Ce est un outil cieux pour la cartographie ologique et cu,"['Ce', 'est', 'un', 'outil', 'cieux', 'pour', 'la', 'cartographie', 'ologique', 'et', 'cu']","['ce', u'est', 'un', u'outil', u'cieux', u'pour', 'la', u'cartographi', u'ologiqu', 'et', 'cu']",Ce #drone est un outil précieux pour la cartographie géologique et l’#ExplorationMinière #CGC175 https://t.co/bSLjKr8Rcu https://t.co/YO3yNfV4Em,0.0,Neutral
7,7,7,946081558854885376,4,0,2017-12-27 18:13:15,: C’est le mois de la science dans l’Arctique! Nos scientifiques combinent la au savoir autochtone pour mieux p…,['#science'],[],est le mois de la science dans Arctique Nos scientifiques combinent la au savoir autochtone pour mieux,"['est', 'le', 'mois', 'de', 'la', 'science', 'dans', 'Arctique', 'Nos', 'scientifiques', 'combinent', 'la', 'au', 'savoir', 'autochtone', 'pour', 'mieux']","[u'est', 'le', u'moi', 'de', 'la', u'scienc', u'dan', u'arctiqu', u'nos', u'scientifiqu', u'combin', 'la', 'au', u'savoir', u'autochton', u'pour', u'mieux']",RT @environnementca: C’est le mois de la science dans l’Arctique! Nos scientifiques combinent la #science au savoir autochtone pour mieux p…,0.0,Neutral
8,8,8,946078288614653952,0,0,2017-12-27 18:00:15,étro – La photographie aérienne témoigne de l’évolution constante des éléments anthropiques et naturels de la surface terrestre. On voit ici la baie Resolute en,"['#JeudiR', '#ScienceArctique']",['https://t.co/q5Ghwd4mgx'],tro La photographie rienne moigne de volution constante des ments anthropiques et naturels de la surface terrestre voit ici la baie Resolute en,"['tro', 'La', 'photographie', 'rienne', 'moigne', 'de', 'volution', 'constante', 'des', 'ments', 'anthropiques', 'et', 'naturels', 'de', 'la', 'surface', 'terrestre', 'voit', 'ici', 'la', 'baie', 'Resolute', 'en']","[u'tro', 'la', u'photographi', u'rienn', u'moign', 'de', u'volut', u'constant', u'des', u'ment', u'anthropiqu', 'et', u'naturel', 'de', 'la', u'surfac', u'terrestr', u'voit', u'ici', 'la', u'baie', u'resolut', 'en']",#JeudiRétro – La photographie aérienne témoigne de l’évolution constante des éléments anthropiques et naturels de la surface terrestre. On voit ici la baie Resolute en 1993 #ScienceArctique https://t.co/q5Ghwd4mgx,0.0,Neutral
9,9,9,946048314365050882,0,0,2017-12-27 16:01:09,: Près de la moitié du 🇨🇦 repose sur du pergélisol,"['#LSV', '#ScienceArctique']",['https://t.co/6cY8ojVf4g'],de la du repose sur du lisol,"['de', 'la', 'du', 'repose', 'sur', 'du', 'lisol']","['de', 'la', 'du', u'repos', u'sur', 'du', u'lisol']",#LSV : Près de la moitié du 🇨🇦 repose sur du pergélisol #ScienceArctique https://t.co/6cY8ojVf4g,0.0,Neutral
