,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
0,0,947542990825848832,9,37,2017-12-31 19:00:28,Immerse yourself in a true winter wilderness in the inspirational surroundings of the Yukon and Canada’s largest icefield at Kluane NP and NPR. 1,"['#WinterCamping', '#ExploreYukon']","['https://t.co/82ikpjBdX', 'https://t.co/xNSQvTVBNx']",Immerse true winter wilderness inspirational surroundings Yukon largest icefield Kluane NP NPR,"['Immerse', 'true', 'winter', 'wilderness', 'inspirational', 'surroundings', 'Yukon', 'largest', 'icefield', 'Kluane', 'NP', 'NPR']","[u'immers', u'true', u'winter', u'wilder', u'inspir', u'surround', u'yukon', u'largest', u'icefield', u'kluan', 'np', u'npr']","Immerse yourself in a true winter wilderness in the inspirational surroundings of the Yukon and Canada’s largest icefield at Kluane NP and NPR. ⛺ #WinterCamping @ParksCanYukon #ExploreYukon
https://t.co/82ikpjBdX1 https://t.co/xNSQvTVBNx"
1,1,947512987694321664,6,21,2017-12-31 17:01:14,? Book early! Our reservations start soon!,"['#NewYearResolution', '#2018camping', '#PlanAhead']","['https://t.co/ePsOQZnx5q', 'https://t.co/v3o70k9oyB']",Book early reservations start soon,"['Book', 'early', 'reservations', 'start', 'soon']","[u'book', u'earli', u'reserv', u'start', u'soon']",#NewYearResolution? Book early! Our #2018camping reservations start soon! ⛺ https://t.co/ePsOQZnx5q #PlanAhead https://t.co/v3o70k9oyB
2,2,947225931952939009,14,44,2017-12-30 22:00:35,"Put a Canadian twist on your plans, and cue up this stunning music video of performed by . Breathtaking scenery locations and . 8","['#NewYearsEve', '#AuldLangSyne', '#CapeSpearNHS', '#GrosMorneNP']",['https://t.co/1mhZwqP9A'],Put Canadian twist plans cue stunning music video performed Breathtaking scenery locations,"['Put', 'Canadian', 'twist', 'plans', 'cue', 'stunning', 'music', 'video', 'performed', 'Breathtaking', 'scenery', 'locations']","[u'put', u'canadian', u'twist', u'plan', u'cue', u'stun', u'music', u'video', u'perform', u'breathtak', u'sceneri', u'locat']","Put a Canadian twist on your #NewYearsEve plans, and cue up this stunning music video of #AuldLangSyne performed by @TenorsMusic. Breathtaking scenery @ParksCanadaNL locations #CapeSpearNHS and #GrosMorneNP. https://t.co/1mhZwqP9A8"
3,3,947150587883347969,7,33,2017-12-30 17:01:12,"We know you’ve had some great in our this year, so tell us all about it! Share your best eerience of ! ️","['#adventures', '#places', '#ParksCanada', '#Canada150']",['https://t.co/pPqT7pWZAq'],know great year tell us Share best eerience,"['know', 'great', 'year', 'tell', 'us', 'Share', 'best', 'eerience']","[u'know', u'great', u'year', u'tell', 'us', u'share', u'best', u'eerienc']","We know you’ve had some great #adventures in our #places this year, so tell us all about it! Share your best #ParksCanada experience of 2017! #Canada150 🏞️ https://t.co/pPqT7pWZAq"
4,4,947120242572054533,7,29,2017-12-30 15:00:37,"From starry backcountry nights to cozy rustic shelters, we’ve got Adventures to help you get your on all year round! ️ 1 c","['#WinterCamping', '#campvibes']","['https://t.co/82ikpjBdX', 'https://t.co/OCf86NJkV']",starry backcountry nights cozy rustic shelters got Adventures help get year round,"['starry', 'backcountry', 'nights', 'cozy', 'rustic', 'shelters', 'got', 'Adventures', 'help', 'get', 'year', 'round']","[u'starri', u'backcountri', u'night', u'cozi', u'rustic', u'shelter', u'got', u'adventur', u'help', u'get', u'year', u'round']","From starry backcountry nights to cozy rustic shelters, we’ve got 10 #WinterCamping Adventures to help you get your #campvibes on all year round! ⛺️  @ExploreCanada
https://t.co/82ikpjBdX1 https://t.co/OCf86NJkVc"
5,5,946848436569149442,7,28,2017-12-29 21:00:33,"Looking for getaway? Four hours from Toronto, unwind among the ancient cedars on the rugged Georgian Bay shoreline . Enjoy a slow-paced weekend of hiking, snowshoeing or skiing. 1","['#WinterCamping', '#YYZ']","['https://t.co/82ikpjBdX', 'https://t.co/RosQB5Gokj']",Looking getaway Four hours Toronto unwind among ancient cedars rugged Georgian Bay shoreline Enjoy slow paced weekend hiking snowshoeing skiing,"['Looking', 'getaway', 'Four', 'hours', 'Toronto', 'unwind', 'among', 'ancient', 'cedars', 'rugged', 'Georgian', 'Bay', 'shoreline', 'Enjoy', 'slow', 'paced', 'weekend', 'hiking', 'snowshoeing', 'skiing']","[u'look', u'getaway', u'four', u'hour', u'toronto', u'unwind', u'among', u'ancient', u'cedar', u'rug', u'georgian', u'bay', u'shorelin', u'enjoy', u'slow', u'pace', u'weekend', u'hike', u'snowsho', u'ski']","Looking for #WinterCamping getaway? Four hours from Toronto, unwind among the ancient cedars 🌲 on the rugged Georgian Bay shoreline @BrucePNP. Enjoy a slow-paced weekend of hiking, snowshoeing or skiing. @TourismON #YYZ
https://t.co/82ikpjBdX1 https://t.co/RosQB5Gokj"
6,6,946818267636695043,6,9,2017-12-29 19:00:40,"our Family/Group is % off until December , ? Don’t miss this opportunity to save on your next adventure! 0U8 See you in !","['#DidYouKnow', '#DiscoveryPass']","['https://t.co/U8DWrr6', 'https://t.co/WKkwA9XNee']",Family Group December miss opportunity save next adventure 0U8 See,"['Family', 'Group', 'December', 'miss', 'opportunity', 'save', 'next', 'adventure', '0U8', 'See']","[u'famili', u'group', u'decemb', u'miss', u'opportun', u'save', u'next', u'adventur', u'0u8', u'see']","#DidYouKnow our Family/Group #DiscoveryPass is 20% off until December 31, 2017? Don’t miss this opportunity to save on your next adventure! https://t.co/U8DWrr60U8 See you in 2018! 👋 https://t.co/WKkwA9XNee"
7,7,946788104144281605,11,72,2017-12-29 17:00:49,"was full of and and we want to hear about it! For our final , we want you to show us your best eerience of !","['#Canada150', '#adventure', '#discovery', '#ParksChallenge', '#ParksCanada']",['https://t.co/2mC3oZDW2n'],full want hear final want show us best eerience,"['full', 'want', 'hear', 'final', 'want', 'show', 'us', 'best', 'eerience']","[u'full', u'want', u'hear', u'final', u'want', u'show', 'us', u'best', u'eerienc']","#Canada150 was full of #adventure and #discovery and we want to hear about it! For our final #ParksChallenge, we want you to show us your best #ParksCanada experience of 2017! https://t.co/2mC3oZDW2n"
8,8,946764037966180354,16,34,2017-12-29 15:25:11,"It’s , which means the year is coming to an end… ⏰ Our is to spend as much time in the great outdoors as possible in , how about you?","['#TickTockDay', '#NewYearsResolution', '#GetOutside']",['https://t.co/bQCROMJCuN'],means year coming spend much time great outdoors possible,"['means', 'year', 'coming', 'spend', 'much', 'time', 'great', 'outdoors', 'possible']","[u'mean', u'year', u'come', u'spend', u'much', u'time', u'great', u'outdoor', u'possibl']","It’s #TickTockDay, which means the year is coming to an end… ⏰ Our #NewYearsResolution is to spend as much time in the great outdoors as possible in 2018, how about you? #GetOutside https://t.co/bQCROMJCuN"
9,9,946512381756264449,10,39,2017-12-28 22:45:11,Did bring you new gear? The only thing left is for you to book – reservations start in January!,"['#Santa', '#camping', '#2018camping']","['https://t.co/ePsOQZnx5q', 'https://t.co/nNb9KUeSfP']",bring new gear thing left book reservations start January,"['bring', 'new', 'gear', 'thing', 'left', 'book', 'reservations', 'start', 'January']","[u'bring', u'new', u'gear', u'thing', u'left', u'book', u'reserv', u'start', u'januari']",Did #Santa bring you new #camping gear? The only thing left is for you to book – reservations start in January! https://t.co/ePsOQZnx5q #2018camping https://t.co/nNb9KUeSfP
10,10,946472108955262976,499,1471,2017-12-28 20:05:10,"A big thank you for an incredible year, on behalf of the entire network. dC","['#Canada150', '#ParksCanada']",['https://t.co/UXkwnRTw'],big thank incredible year behalf entire network dC,"['big', 'thank', 'incredible', 'year', 'behalf', 'entire', 'network', 'dC']","[u'big', u'thank', u'incred', u'year', u'behalf', u'entir', u'network', 'dc']","A big thank you 🎈 for an incredible #Canada150 year, on behalf of the entire #ParksCanada network. https://t.co/UXkwnRTwdC"
11,11,946448278199132161,11,27,2017-12-28 18:30:28,"Winter activities by day 🥅, campfire stories by night: if you’ve never tried camping in the colder months before, you’re in for a treat! Here are Adventures to get you started! U",['#WinterCamping'],"['https://t.co/s5C2ARtEP', 'https://t.co/dg8vwufSym']",Winter activities day campfire stories night never tried camping colder months treat Adventures get started,"['Winter', 'activities', 'day', 'campfire', 'stories', 'night', 'never', 'tried', 'camping', 'colder', 'months', 'treat', 'Adventures', 'get', 'started']","[u'winter', u'activ', u'day', u'campfir', u'stori', u'night', u'never', u'tri', u'camp', u'colder', u'month', u'treat', u'adventur', u'get', u'start']","Winter activities by day 🥅🏒, campfire stories by night: if you’ve never tried camping in the colder months before, you’re in for a treat! Here are 10 #WinterCamping Adventures to get you started! @CampInCanada
https://t.co/s5C2ARtEPU https://t.co/dg8vwufSym"
12,12,946425799141396482,10,57,2017-12-28 17:01:08,"Wow, what a year it’s been! We’ve seen some amazing photos from your adventures at our across 🇨🇦, but which was your favourite? For this final , we want to hear about your best eerience of ! ️","['#places', '#Canada', '#ParksChallenge', '#ParksCanada', '#Canada150']",['https://t.co/kZEf3iG1FJ'],Wow year seen amazing photos adventures across favourite final want hear best eerience,"['Wow', 'year', 'seen', 'amazing', 'photos', 'adventures', 'across', 'favourite', 'final', 'want', 'hear', 'best', 'eerience']","[u'wow', u'year', u'seen', u'amaz', u'photo', u'adventur', u'across', u'favourit', u'final', u'want', u'hear', u'best', u'eerienc']","Wow, what a year it’s been! We’ve seen some amazing photos from your adventures at our #places across #Canada 🇨🇦, but which was your favourite? For this final #ParksChallenge, we want to hear about your best #ParksCanada experience of 2017! 🏞️ #Canada150 https://t.co/kZEf3iG1FJ"
13,13,946410724917641217,0,3,2017-12-28 16:01:14,"Last year, we brought you to the of Canada with our Big Red Balloon as a countdown to . Stay tuned later today to see where the travelled in !","['#4corners', '#Canada150']",['https://t.co/hTFKXQkp2b'],Last year brought Canada Big Red Balloon countdown Stay tuned later today see travelled,"['Last', 'year', 'brought', 'Canada', 'Big', 'Red', 'Balloon', 'countdown', 'Stay', 'tuned', 'later', 'today', 'see', 'travelled']","[u'last', u'year', u'brought', u'canada', u'big', u'red', u'balloon', u'countdown', u'stay', u'tune', u'later', u'today', u'see', u'travel']","Last year, we brought you to the #4corners of Canada with our Big Red Balloon as a countdown to #Canada150. Stay tuned later today to see where the 🎈 travelled in 2017! https://t.co/hTFKXQkp2b @ExploreCanada"
