,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
0,0,0,947573148446285824,3,12,2017-12-31 21:00:18,"As you countdown tonight, remember to add to your . There’s nothing like celebrating lower utility bills &amp; saving the environment! 0","['#EnergyEfficiency', '#NewYearsResolution', '#NYE']","['https://t.co/y0gpqUBDn', 'https://t.co/8TWm3rdurm']",countdown tonight remember add nothing like celebrating lower utility bills amp saving environment,"['countdown', 'tonight', 'remember', 'add', 'nothing', 'like', 'celebrating', 'lower', 'utility', 'bills', 'amp', 'saving', 'environment']","[u'countdown', u'tonight', u'rememb', u'add', u'noth', u'like', u'celebr', u'lower', u'util', u'bill', u'amp', u'save', u'environ']",countdown tonight remember add nothing like celebrating lower utility bills amp saving environment,0.0,0.0,Neutral,Neutral
1,1,1,947497635488915457,0,4,2017-12-31 16:00:14,Ring in the with your loved ones the right way. with ENERGY STAR certified LED bulbs to create the perfect mood,"['#NewYear', '#LightTheMoment', '#NewYearsEve']","['https://t.co/mZE4MPw6aK', 'https://t.co/PMfEyHJl3b']",Ring loved ones right way ENERGY STAR certified LED bulbs create perfect mood,"['Ring', 'loved', 'ones', 'right', 'way', 'ENERGY', 'STAR', 'certified', 'LED', 'bulbs', 'create', 'perfect', 'mood']","[u'ring', u'love', u'one', u'right', u'way', u'energi', u'star', u'certifi', u'led', u'bulb', u'creat', u'perfect', u'mood']",King loved ones right way ENERGY STAR terrified LED bulb create perfect mood,0.6619047619047619,0.6619047619047619,Positive,Positive
2,2,2,947210775130791938,0,6,2017-12-30 21:00:21,"New year, new windows! Make it your to keep the heat in with new, high performing ENERGY STAR certified windows. Start your search here:",['#NewYearsResolution'],"['https://t.co/dpXZY6phPl', 'https://t.co/yzFGqXHuog']",New year new windows Make keep heat new high performing ENERGY STAR certified windows Start search,"['New', 'year', 'new', 'windows', 'Make', 'keep', 'heat', 'new', 'high', 'performing', 'ENERGY', 'STAR', 'certified', 'windows', 'Start', 'search']","[u'new', u'year', u'new', u'window', u'make', u'keep', u'heat', u'new', u'high', u'perform', u'energi', u'star', u'certifi', u'window', u'start', u'search']",New year new windows Take keep heat new high performing ENERGY STAR terrified windows Start search,0.14227272727272727,0.14227272727272727,Neutral,Neutral
3,3,3,947135286181552129,1,5,2017-12-30 16:00:23,"Cooking for your party tomorrow? in the kitchen by keeping the oven door shut to save % of heat from escaping. For more cooking tips, visit: u","['#NewYearsEve', '#SaveEnergy', '#EnergyEfficient']","['https://t.co/MKUp7Ktw1t', 'https://t.co/W5xL8Yj9B']",Cooking party tomorrow kitchen keeping oven door shut save heat escaping cooking tips visit,"['Cooking', 'party', 'tomorrow', 'kitchen', 'keeping', 'oven', 'door', 'shut', 'save', 'heat', 'escaping', 'cooking', 'tips', 'visit']","[u'cook', u'parti', u'tomorrow', u'kitchen', u'keep', u'oven', u'door', u'shut', u'save', u'heat', u'escap', u'cook', u'tip', u'visit']",Looking party tomorrow kitchen keeping oven door shut save heat escaping cooking tips visit,0.0,0.0,Neutral,Neutral
4,4,4,946848407880196096,1,2,2017-12-29 21:00:26,"! Pumped about the yet? If not, saving up to $4000 on an ENERGY STAR certified heat pump from will do the trick Check it out: c","['#ON', '#NewYear']","['https://t.co/p2Xfzso00R', 'https://t.co/znK1SYjBA']",Pumped yet saving 4000 ENERGY STAR certified heat pump trick Check,"['Pumped', 'yet', 'saving', '4000', 'ENERGY', 'STAR', 'certified', 'heat', 'pump', 'trick', 'Check']","[u'pump', u'yet', u'save', u'4000', u'energi', u'star', u'certifi', u'heat', u'pump', u'trick', u'check']",Jumped yet saving 4000 ENERGY STAR terrified heat pump trick Check,0.0,0.0,Neutral,Neutral
5,5,5,946773384016334849,1,7,2017-12-29 16:02:19,We sure hope so! Nothing like a with energy savings to look forward to in the 🥂 0cc,"['#RockinEve', '#NewYear']",['https://t.co/ZK1HDrq'],sure hope Nothing like energy savings look forward 0cc,"['sure', 'hope', 'Nothing', 'like', 'energy', 'savings', 'look', 'forward', '0cc']","[u'sure', u'hope', u'noth', u'like', u'energi', u'save', u'look', u'forward', u'0cc']",sure hope Nothing like energy savings look forward act,0.5,0.5,Positive,Positive
6,6,6,946773034974793728,2,6,2017-12-29 16:00:56,"Hosting a NYE party? As you stock up on bubbly, finger foods and decorations, don’t forget to add these tips to your to-do list to keep your bills low:",['#EnergySaving'],"['https://t.co/2XDqpbt2WO', 'https://t.co/h94OxVRQme']",Hosting NYE party stock bubbly finger foods decorations forget add tips list keep bills low,"['Hosting', 'NYE', 'party', 'stock', 'bubbly', 'finger', 'foods', 'decorations', 'forget', 'add', 'tips', 'list', 'keep', 'bills', 'low']","[u'host', u'nye', u'parti', u'stock', u'bubbl', u'finger', u'food', u'decor', u'forget', u'add', u'tip', u'list', u'keep', u'bill', u'low']",Costing NYE party stock bubble finger foods decorations forget add tips list keep bills low,0.0,0.0,Neutral,Neutral
7,7,7,946764644793929728,0,7,2017-12-29 15:27:36,"! Start off the with a lower energy bill &amp; a rebate up to $4,000 when you upgrade to an ENERGY STAR certified heat pump because","['#Ontario', '#NewYear', '#ItsSoCold', '#FridayFeeling']","['https://t.co/0mJ1I1gH1q', 'https://t.co/J6lCjCgPHk']",Start lower energy bill amp rebate 000 upgrade ENERGY STAR certified heat pump,"['Start', 'lower', 'energy', 'bill', 'amp', 'rebate', '000', 'upgrade', 'ENERGY', 'STAR', 'certified', 'heat', 'pump']","[u'start', u'lower', u'energi', u'bill', u'amp', u'rebat', u'000', u'upgrad', u'energi', u'star', u'certifi', u'heat', u'pump']",Start lower energy bill amp debate 000 upgrade ENERGY STAR terrified heat pump,0.0,0.0,Neutral,Neutral
8,8,8,946758225428406272,1,7,2017-12-29 15:02:05,"And if those simple home weatherization tips can’t do the trick, it’s time to replace them with new ENERGY STAR certified windows! Start your search here:",[],"['https://t.co/dpXZY6phPl', 'https://t.co/s6TpXQ3zlj']",simple home weatherization tips trick time replace new ENERGY STAR certified windows Start search,"['simple', 'home', 'weatherization', 'tips', 'trick', 'time', 'replace', 'new', 'ENERGY', 'STAR', 'certified', 'windows', 'Start', 'search']","[u'simpl', u'home', u'weather', u'tip', u'trick', u'time', u'replac', u'new', u'energi', u'star', u'certifi', u'window', u'start', u'search']",simple home weatherization tips trick time replace new ENERGY STAR terrified windows Start search,0.06818181818181818,0.06818181818181818,Neutral,Neutral
9,9,9,946756023154601984,2,0,2017-12-29 14:53:20,: Installing windows can save /4 of a tonne of greenhouse gas emissions annually. That's the carbon offset…,[],[],Installing windows save tonne greenhouse gas emissions annually carbon,"['Installing', 'windows', 'save', 'tonne', 'greenhouse', 'gas', 'emissions', 'annually', 'carbon']","[u'instal', u'window', u'save', u'tonn', u'greenhous', u'gas', u'emiss', u'annual', u'carbon']",Installing windows save tonne greenhouse gas missions annually carbon,0.0,0.0,Neutral,Neutral
