Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,918536891091292162,1,2,2017-10-12 18:00:35,Human Health and Ecological Risk Assessment update meeting at pm tonight at the Museum Café in . Everyone welcome.,"['#GiantMine', '#YZF']",['https://t.co/nbRa1d9Vd3'],GiantMine Human Health Ecological Risk Assessment update meeting 7pm tonight Museum YZF Everyone welcome https co nbRa1d9Vd3,"['GiantMine', 'Human', 'Health', 'Ecological', 'Risk', 'Assessment', 'update', 'meeting', '7pm', 'tonight', 'Museum', 'YZF', 'Everyone', 'welcome', 'https', 'co', 'nbRa1d9Vd3']","[u'giantmin', u'human', u'health', u'ecolog', u'risk', u'assess', u'updat', u'meet', u'7pm', u'tonight', u'museum', u'yzf', u'everyon', u'welcom', u'https', 'co', u'nbra1d9vd3']",#GiantMine Human Health and Ecological Risk Assessment update meeting at 7pm tonight at the Museum Café in #YZF. Everyone welcome. https://t.co/nbRa1d9Vd3,0.4000000000000001,Positive
1,1,1,917804255829995520,3,0,2017-10-10 17:29:21,: Human Health and Ecological Risk Assessment update meeting at pm Oct at the Museum Café in .,"['#GiantMine', '#YZF']",['https://t.co\xe2\x80\xa6'],RT GiantMine GiantMine Human Health Ecological Risk Assessment update meeting 7pm Oct 12 Museum YZF https,"['RT', 'GiantMine', 'GiantMine', 'Human', 'Health', 'Ecological', 'Risk', 'Assessment', 'update', 'meeting', '7pm', 'Oct', '12', 'Museum', 'YZF', 'https']","['rt', u'giantmin', u'giantmin', u'human', u'health', u'ecolog', u'risk', u'assess', u'updat', u'meet', u'7pm', u'oct', '12', u'museum', u'yzf', u'https']",RT @GiantMine: #GiantMine Human Health and Ecological Risk Assessment update meeting at 7pm Oct 12 at the Museum Café in #YZF. https://t.co…,0.2,Neutral
2,2,2,913786728187654150,3,0,2017-09-29 15:25:07,Human Health and Ecological Risk Assessment update meeting at pm Oct at the Museum Café in .,"['#GiantMine', '#YZF']","['https://t.co/ij8mw43GCj', 'https://t.co/qk1JnBwXEy']",GiantMine Human Health Ecological Risk Assessment update meeting 7pm Oct 12 Museum YZF https co ij8mw43GCj https co qk1JnBwXEy,"['GiantMine', 'Human', 'Health', 'Ecological', 'Risk', 'Assessment', 'update', 'meeting', '7pm', 'Oct', '12', 'Museum', 'YZF', 'https', 'co', 'ij8mw43GCj', 'https', 'co', 'qk1JnBwXEy']","[u'giantmin', u'human', u'health', u'ecolog', u'risk', u'assess', u'updat', u'meet', u'7pm', u'oct', '12', u'museum', u'yzf', u'https', 'co', u'ij8mw43gcj', u'https', 'co', u'qk1jnbwxey']",#GiantMine Human Health and Ecological Risk Assessment update meeting at 7pm Oct 12 at the Museum Café in #YZF. https://t.co/ij8mw43GCj https://t.co/qk1JnBwXEy,0.2,Neutral
3,3,3,890242838453202950,0,0,2017-07-26 16:10:07,A giant amount of fun at the annual Rivers to Oceans Day with ! 9,['#GiantMine'],['https://t.co/ZxVhnIrdw'],giant amount fun annual Rivers Oceans Day GiantMine https co ZxVhnIrdw9,"['giant', 'amount', 'fun', 'annual', 'Rivers', 'Oceans', 'Day', 'GiantMine', 'https', 'co', 'ZxVhnIrdw9']","[u'giant', u'amount', u'fun', u'annual', u'river', u'ocean', u'day', u'giantmin', u'https', 'co', u'zxvhnirdw9']",A giant amount of fun at the annual Rivers to Oceans Day with #GiantMine! https://t.co/ZxVhnIrdw9,0.1875,Neutral
4,4,4,885876837171302400,3,1,2017-07-14 15:01:11,Reminder: Stay safe near Giant Mine.,[],['https://t.co/YEUGvTe3eQ'],Reminder Stay safe near Giant Mine https co YEUGvTe3eQ,"['Reminder', 'Stay', 'safe', 'near', 'Giant', 'Mine', 'https', 'co', 'YEUGvTe3eQ']","[u'remind', u'stay', u'safe', u'near', u'giant', u'mine', u'https', 'co', u'yeugvte3eq']",Reminder: Stay safe near Giant Mine. https://t.co/YEUGvTe3eQ,0.2,Neutral
5,5,5,881173089698099200,0,0,2017-07-01 15:30:10,Reminder: Stay safe near Giant Mine. c0,[],['https://t.co/CmHcTugP'],Reminder Stay safe near Giant Mine https co CmHcTugPc0,"['Reminder', 'Stay', 'safe', 'near', 'Giant', 'Mine', 'https', 'co', 'CmHcTugPc0']","[u'remind', u'stay', u'safe', u'near', u'giant', u'mine', u'https', 'co', u'cmhctugpc0']",Reminder: Stay safe near Giant Mine. https://t.co/CmHcTugPc0,0.2,Neutral
6,6,6,880565327876075520,1,1,2017-06-29 23:15:08,Reminder: Stay safe near Giant Mine.,[],['https://t.co/HDcfTYSpMP'],Reminder Stay safe near Giant Mine https co HDcfTYSpMP,"['Reminder', 'Stay', 'safe', 'near', 'Giant', 'Mine', 'https', 'co', 'HDcfTYSpMP']","[u'remind', u'stay', u'safe', u'near', u'giant', u'mine', u'https', 'co', u'hdcftyspmp']",Reminder: Stay safe near Giant Mine. https://t.co/HDcfTYSpMP,0.2,Neutral
7,7,7,877610270188871680,3,0,2017-06-21 19:32:48,: The Project team was excited to show students a real-life application of their classroom science!,[],['https://t.co/\xe2\x80\xa6'],RT GovCanNorth GiantMine Project team excited show students real life application classroom science https co,"['RT', 'GovCanNorth', 'GiantMine', 'Project', 'team', 'excited', 'show', 'students', 'real', 'life', 'application', 'classroom', 'science', 'https', 'co']","['rt', u'govcannorth', u'giantmin', u'project', u'team', u'excit', u'show', u'student', u'real', u'life', u'applic', u'classroom', u'scienc', u'https', 'co']",RT @GovCanNorth: The @GiantMine Project team was excited to show students a real-life application of their classroom science! https://t.co/…,0.46875,Positive
8,8,8,863393712583344128,0,0,2017-05-13 14:01:16,We’re at the Tradeshow! Stop by our booth May and to learn more about GMRP!,[],['https://t.co/JNwaJU6XLq'],Tradeshow Stop booth May 13 14 learn GMRP https co JNwaJU6XLq,"['Tradeshow', 'Stop', 'booth', 'May', '13', '14', 'learn', 'GMRP', 'https', 'co', 'JNwaJU6XLq']","[u'tradeshow', u'stop', u'booth', u'may', '13', '14', u'learn', u'gmrp', u'https', 'co', u'jnwaju6xlq']",We’re at the Tradeshow! Stop by our booth May 13 and 14 to learn more about GMRP! https://t.co/JNwaJU6XLq,0.625,Positive
9,9,9,862781938544906241,0,0,2017-05-11 21:30:18,We’re at the Tradeshow! Stop by our booth May and to learn more about GMRP!,[],['https://t.co/JNwaJU6XLq'],Tradeshow Stop booth May 13 14 learn GMRP https co JNwaJU6XLq,"['Tradeshow', 'Stop', 'booth', 'May', '13', '14', 'learn', 'GMRP', 'https', 'co', 'JNwaJU6XLq']","[u'tradeshow', u'stop', u'booth', u'may', '13', '14', u'learn', u'gmrp', u'https', 'co', u'jnwaju6xlq']",We’re at the Tradeshow! Stop by our booth May 13 and 14 to learn more about GMRP! https://t.co/JNwaJU6XLq,0.625,Positive
