,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category
10,10,10,10,10,10,123326971154939_964241180396843,Photos from GovCan - North's post,photo,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/964240610396900/?type=3,2017-12-20 13:00:01,10,0,8,10,0,0,0,0,0,0,"Construction of the Canadian High Arctic Research Station (CHARS) in Cambridge Bay, Nunavut! This station is being built by Canadians to serve the world, and engage Northerners in cutting-edge science and technology.","['#ArcticScience', '#ArcticTogether']",['http://ow.ly/s1Dg30hlHW3'],Construction Canadian High Arctic Research Station CHARS Cambridge Bay Nunavut station built Canadians serve world engage Northerners cutting edge science technology http ow ly s1Dg30hlHW3 ArcticScience ArcticTogether,"['Construction', 'Canadian', 'High', 'Arctic', 'Research', 'Station', 'CHARS', 'Cambridge', 'Bay', 'Nunavut', 'station', 'built', 'Canadians', 'serve', 'world', 'engage', 'Northerners', 'cutting', 'edge', 'science', 'technology', 'http', 'ow', 'ly', 's1Dg30hlHW3', 'ArcticScience', 'ArcticTogether']","[u'construct', u'canadian', u'high', u'arctic', u'research', u'station', u'char', u'cambridg', u'bay', u'nunavut', u'station', u'built', u'canadian', u'serv', u'world', u'engag', u'northern', u'cut', u'edg', u'scienc', u'technolog', u'http', 'ow', 'ly', u's1dg30hlhw3', u'arcticsci', u'arctictogeth']","Construction of the Canadian High Arctic Research Station (CHARS) in Cambridge Bay, Nunavut! This station is being built by Canadians to serve the world, and engage Northerners in cutting-edge science and technology. http://ow.ly/s1Dg30hlHW3 #ArcticScience #ArcticTogether",Economical
11,11,11,11,11,11,123326971154939_964266113727683,,photo,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/964265513727743/?type=3,2017-12-20 12:13:42,75,6,51,74,1,0,0,0,0,0,"Check out job opportunities in areas such as land administration, communications, environmental regulation and more! ᖃᐅᔨᒋᐊᑭᒃ ᐃᖅᑲᓇᐃᔮᔅᓴᐃᑦ ᒪᑐᐃᖓᔪᑦ ᓄᓇᒧᑦ ᐊᐅᓚᑦᑎᔨᐅᓂᕐᒧᑦ, ᑐᓴᖅᑎᑦᑎᒌᖕᓂᕐᒧᑦ, ᐊᕙᑎᓕᕆᓂᕐᒧᑦ ᐊᑐᐊᒐᓂᒃ ᐊᒻᒪᓗ ᐊᒥᓱᑦ ᐃᓚᒋᔭᐅᔪᑦ! Naunaiyaqlugit havakhat pilaqnit hunani tahapkuatut nunaliginiqmun aulatyutit, tuhaumatyutit, avatiliqutit aulatyutai ilavaliilu!",[],['http://ow.ly/IM6h30hlQGw'],Check job opportunities areas land administration communications environmental regulation http ow ly IM6h30hlQGw Naunaiyaqlugit havakhat pilaqnit hunani tahapkuatut nunaliginiqmun aulatyutit tuhaumatyutit avatiliqutit aulatyutai ilavaliilu,"['Check', 'job', 'opportunities', 'areas', 'land', 'administration', 'communications', 'environmental', 'regulation', 'http', 'ow', 'ly', 'IM6h30hlQGw', 'Naunaiyaqlugit', 'havakhat', 'pilaqnit', 'hunani', 'tahapkuatut', 'nunaliginiqmun', 'aulatyutit', 'tuhaumatyutit', 'avatiliqutit', 'aulatyutai', 'ilavaliilu']","[u'check', u'job', u'opportun', u'area', u'land', u'administr', u'communic', u'environment', u'regul', u'http', 'ow', 'ly', u'im6h30hlqgw', u'naunaiyaqlugit', u'havakhat', u'pilaqnit', u'hunani', u'tahapkuatut', u'nunaliginiqmun', u'aulatyutit', u'tuhaumatyutit', u'avatiliqutit', u'aulatyutai', u'ilavaliilu']","Check out job opportunities in areas such as land administration, communications, environmental regulation and more!  http://ow.ly/IM6h30hlQGw

ᖃᐅᔨᒋᐊᑭᒃ ᐃᖅᑲᓇᐃᔮᔅᓴᐃᑦ ᒪᑐᐃᖓᔪᑦ ᓄᓇᒧᑦ ᐊᐅᓚᑦᑎᔨᐅᓂᕐᒧᑦ, ᑐᓴᖅᑎᑦᑎᒌᖕᓂᕐᒧᑦ, ᐊᕙᑎᓕᕆᓂᕐᒧᑦ ᐊᑐᐊᒐᓂᒃ ᐊᒻᒪᓗ ᐊᒥᓱᑦ ᐃᓚᒋᔭᐅᔪᑦ! 

Naunaiyaqlugit havakhat pilaqnit hunani tahapkuatut nunaliginiqmun aulatyutit, tuhaumatyutit, avatiliqutit aulatyutai ilavaliilu!",Environmental
12,12,12,12,12,12,123326971154939_963782723776022,Green Humour,photo,https://www.facebook.com/GreenHumour/photos/a.303668696394964.63673.303335063094994/1517853818309773/?type=3,2017-12-19 11:15:03,19,0,1,19,0,0,0,0,0,0,All about Rudolph and his family!,[],[],Rudolph family,"['Rudolph', 'family']","[u'rudolph', u'famili']",All about Rudolph and his family!,Social
13,13,13,13,13,13,123326971154939_963381883816106,Timeline Photos,photo,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/963381883816106/?type=3,2017-12-18 13:25:05,5,0,1,5,0,0,0,0,0,0,"The Arctic fox, or “tiriganiaq” in Inuktitut, can be found roaming across the northern tip of Ellesmere Island in the Qikiqtaaluk region of Nunavut. Learn more about 🦊 here:",['#ArcticAnimals'],['http://ow.ly/M8Nx30hiGnK'],Arctic fox Inuktitut found roaming across northern tip Ellesmere Island Qikiqtaaluk region Nunavut Learn http ow ly M8Nx30hiGnK ArcticAnimals,"['Arctic', 'fox', 'Inuktitut', 'found', 'roaming', 'across', 'northern', 'tip', 'Ellesmere', 'Island', 'Qikiqtaaluk', 'region', 'Nunavut', 'Learn', 'http', 'ow', 'ly', 'M8Nx30hiGnK', 'ArcticAnimals']","[u'arctic', u'fox', u'inuktitut', u'found', u'roam', u'across', u'northern', u'tip', u'ellesmer', u'island', u'qikiqtaaluk', u'region', u'nunavut', u'learn', u'http', 'ow', 'ly', u'm8nx30hignk', u'arcticanim']","The Arctic fox, or “tiriganiaq” in Inuktitut, can be found roaming across the northern tip of Ellesmere Island in the Qikiqtaaluk region of Nunavut. Learn more about 🦊 here: http://ow.ly/M8Nx30hiGnK #ArcticAnimals",Social
14,14,14,14,14,14,123326971154939_962893790531582,Timeline Photos,photo,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/962893790531582/?type=3,2017-12-17 12:00:20,5,0,2,5,0,0,0,0,0,0,"The dancing bear is one of the most well-known subjects in Inuit art ─ and the most challenging to carve. The entire stone has to be balanced on one leg without tipping over, but still look graceful as if it is in movement. One of the most renowned carvers of dancing bears is Nuna Parr. Check out some of his work:",[],['http://ow.ly/cA6L30hfVgH'],dancing bear one well known subjects Inuit art challenging carve entire stone balanced one leg without tipping still look graceful movement One renowned carvers dancing bears Nuna Parr Check work http ow ly cA6L30hfVgH,"['dancing', 'bear', 'one', 'well', 'known', 'subjects', 'Inuit', 'art', 'challenging', 'carve', 'entire', 'stone', 'balanced', 'one', 'leg', 'without', 'tipping', 'still', 'look', 'graceful', 'movement', 'One', 'renowned', 'carvers', 'dancing', 'bears', 'Nuna', 'Parr', 'Check', 'work', 'http', 'ow', 'ly', 'cA6L30hfVgH']","[u'danc', u'bear', u'one', u'well', u'known', u'subject', u'inuit', u'art', u'challeng', u'carv', u'entir', u'stone', u'balanc', u'one', u'leg', u'without', u'tip', u'still', u'look', u'grace', u'movement', u'one', u'renown', u'carver', u'danc', u'bear', u'nuna', u'parr', u'check', u'work', u'http', 'ow', 'ly', u'ca6l30hfvgh']","The dancing bear is one of the most well-known subjects in Inuit art ─ and the most challenging to carve. The entire stone has to be balanced on one leg without tipping over, but still look graceful as if it is in movement. One of the most renowned carvers of dancing bears is Nuna Parr. Check out some of his work: http://ow.ly/cA6L30hfVgH",Social
15,15,15,15,15,15,123326971154939_962355743918720,Timeline Photos,photo,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/962355743918720/?type=3,2017-12-16 12:00:44,6,0,2,5,0,1,0,0,0,0,"Sirmilik National Park was named after the Inuktitut word for 'the place of glaciers.' It is located in the northern geographic area of Baffin Island, Nunavut. You can enjoy one of the most ecologically diverse areas in the Arctic, which also happens to be home to the largest snow geese colony in the world! Parks Canada",['#IndigenousLanguages'],['http://ow.ly/H75D30hfTxF'],Sirmilik National Park named Inuktitut word place glaciers located northern geographic area Baffin Island Nunavut enjoy one ecologically diverse areas Arctic also happens home largest snow geese colony world http ow ly H75D30hfTxF IndigenousLanguages Parks Canada,"['Sirmilik', 'National', 'Park', 'named', 'Inuktitut', 'word', 'place', 'glaciers', 'located', 'northern', 'geographic', 'area', 'Baffin', 'Island', 'Nunavut', 'enjoy', 'one', 'ecologically', 'diverse', 'areas', 'Arctic', 'also', 'happens', 'home', 'largest', 'snow', 'geese', 'colony', 'world', 'http', 'ow', 'ly', 'H75D30hfTxF', 'IndigenousLanguages', 'Parks', 'Canada']","[u'sirmilik', u'nation', u'park', u'name', u'inuktitut', u'word', u'place', u'glacier', u'locat', u'northern', u'geograph', u'area', u'baffin', u'island', u'nunavut', u'enjoy', u'one', u'ecolog', u'divers', u'area', u'arctic', u'also', u'happen', u'home', u'largest', u'snow', u'gees', u'coloni', u'world', u'http', 'ow', 'ly', u'h75d30hftxf', u'indigenouslanguag', u'park', u'canada']","Sirmilik National Park was named after the Inuktitut word for 'the place of glaciers.' It is located in the northern geographic area of Baffin Island, Nunavut. You can enjoy one of the most ecologically diverse areas in the Arctic, which also happens to be home to the largest snow geese colony in the world! http://ow.ly/H75D30hfTxF #IndigenousLanguages Parks Canada",Economical
16,16,16,16,16,16,123326971154939_961904470630514,,status,,2017-12-15 16:30:12,1,0,1,1,0,0,0,0,0,0,"This Northern Contaminants Program project is monitoring levels of mercury in the air in Alert, Nunavut, and in Little Fox Lake, Yukon, to inform national and international policy to reduce levels of pollutants in the North.",[],['http://ow.ly/x6Ld30hfKXR'],Northern Contaminants Program project monitoring levels mercury air Alert Nunavut Little Fox Lake Yukon inform national international policy reduce levels pollutants North http ow ly x6Ld30hfKXR,"['Northern', 'Contaminants', 'Program', 'project', 'monitoring', 'levels', 'mercury', 'air', 'Alert', 'Nunavut', 'Little', 'Fox', 'Lake', 'Yukon', 'inform', 'national', 'international', 'policy', 'reduce', 'levels', 'pollutants', 'North', 'http', 'ow', 'ly', 'x6Ld30hfKXR']","[u'northern', u'contamin', u'program', u'project', u'monitor', u'level', u'mercuri', u'air', u'alert', u'nunavut', u'littl', u'fox', u'lake', u'yukon', u'inform', u'nation', u'intern', u'polici', u'reduc', u'level', u'pollut', u'north', u'http', 'ow', 'ly', u'x6ld30hfkxr']","This Northern Contaminants Program project is monitoring levels of mercury in the air in Alert, Nunavut, and in Little Fox Lake, Yukon, to inform national and international policy to reduce levels of pollutants in the North. http://ow.ly/x6Ld30hfKXR",Environmental
17,17,17,17,17,17,123326971154939_961903813963913,Canada's 150th Anniversary of Confederation,video,https://vimeo.com/64586456,2017-12-15 16:27:27,2,0,0,2,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social
18,18,18,18,18,18,123326971154939_961855087302119,,status,,2017-12-15 14:10:12,1,0,0,1,0,0,0,0,0,0,Healthy Caribou means healthy Northerners. This Northern Contaminants Program project teams up with to monitor and address mercury levels in caribou.,['#Northerners'],['http://ow.ly/QYqo30hfKNA'],Healthy Caribou means healthy Northerners Northern Contaminants Program project teams Northerners monitor address mercury levels caribou http ow ly QYqo30hfKNA,"['Healthy', 'Caribou', 'means', 'healthy', 'Northerners', 'Northern', 'Contaminants', 'Program', 'project', 'teams', 'Northerners', 'monitor', 'address', 'mercury', 'levels', 'caribou', 'http', 'ow', 'ly', 'QYqo30hfKNA']","[u'healthi', u'caribou', u'mean', u'healthi', u'northern', u'northern', u'contamin', u'program', u'project', u'team', u'northern', u'monitor', u'address', u'mercuri', u'level', u'caribou', u'http', 'ow', 'ly', u'qyqo30hfkna']",Healthy Caribou means healthy Northerners. This Northern Contaminants Program  project teams up with #Northerners to monitor and address mercury levels in caribou. http://ow.ly/QYqo30hfKNA,Social
19,19,19,19,19,19,123326971154939_961742007313427,Polar Knowledge Canada,link,http://ow.ly/rKeN30hfqLq,2017-12-15 10:08:12,2,1,0,2,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social
