,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
0,0,745248137435095040,76,0,2016-06-21 13:32:56,": Aujourd'hui, célébrons et reconnaissons les contributions, cultures et l'histoire des Autochtones au pays htt…",['#JNACanada'],[],RT GCAutochtones Aujourd hui brons et reconnaissons les contributions cultures et histoire des Autochtones au pays JNACanada,"['RT', 'GCAutochtones', 'Aujourd', 'hui', 'brons', 'et', 'reconnaissons', 'les', 'contributions', 'cultures', 'et', 'histoire', 'des', 'Autochtones', 'au', 'pays', 'JNACanada']","['rt', u'gcautochton', u'aujourd', u'hui', u'bron', 'et', u'reconnaisson', u'les', u'contribut', u'cultur', 'et', u'histoir', u'des', u'autochton', 'au', u'pay', u'jnacanada']","RT @GCAutochtones: Aujourd'hui, célébrons et reconnaissons les contributions, cultures et l'histoire des Autochtones au pays #JNACanada htt…",Social,fr,76,0.0,Neutral
1,1,877510266581389312,66,0,2017-06-21 12:55:25,": Célébrons les au pays et reconnaissons leurs précieuses contributions, cultures et histoire. Bonne …","['#Autochtones', '#JNACana']",[],RT GCAutochtones brons les Autochtones au pays et reconnaissons leurs cieuses contributions cultures et histoire Bonne,"['RT', 'GCAutochtones', 'brons', 'les', 'Autochtones', 'au', 'pays', 'et', 'reconnaissons', 'leurs', 'cieuses', 'contributions', 'cultures', 'et', 'histoire', 'Bonne']","['rt', u'gcautochton', u'bron', u'les', u'autochton', 'au', u'pay', 'et', u'reconnaisson', u'leur', u'cieus', u'contribut', u'cultur', 'et', u'histoir', u'bonn']","RT @GCAutochtones: Célébrons les #Autochtones au pays et reconnaissons leurs précieuses contributions, cultures et histoire. Bonne #JNACana…",Social,fr,66,0.0,Neutral
2,2,750705491018407936,60,0,2016-07-06 14:58:31,: Sweet time lapse of the Pierre Radisson escorting the tanker Traverstern through Frobisher Bay this week https:/…,[],[],RT NickMurray91 Sweet time lapse Pierre Radisson escorting tanker Traverstern Frobisher Bay week https,"['RT', 'NickMurray91', 'Sweet', 'time', 'lapse', 'Pierre', 'Radisson', 'escorting', 'tanker', 'Traverstern', 'Frobisher', 'Bay', 'week', 'https']","['rt', u'nickmurray91', u'sweet', u'time', u'laps', u'pierr', u'radisson', u'escort', u'tanker', u'traverstern', u'frobish', u'bay', u'week', u'https']",RT @NickMurray91: Sweet time lapse of the @CCG_GCC Pierre Radisson escorting the tanker Traverstern through Frobisher Bay this week https:/…,Environmental,en,60,0.35,Positive
3,3,739859331173224448,43,0,2016-06-06 16:39:45,": Aujourd'hui, souvenons-nous de ceux qui ont combattu dans la bataille de","['#Normandie', '#JourJ', '#nelesoubliezpas']",['https://t.co/gXFt\xe2\x80\xa6'],RT AuCanada Aujourd hui souvenons nous de ceux qui ont combattu dans la bataille de Normandie JourJ nelesoubliezpas https co,"['RT', 'AuCanada', 'Aujourd', 'hui', 'souvenons', 'nous', 'de', 'ceux', 'qui', 'ont', 'combattu', 'dans', 'la', 'bataille', 'de', 'Normandie', 'JourJ', 'nelesoubliezpas', 'https', 'co']","['rt', u'aucanada', u'aujourd', u'hui', u'souvenon', u'nous', 'de', u'ceux', u'qui', u'ont', u'combattu', u'dan', 'la', u'bataill', 'de', u'normandi', u'jourj', u'nelesoubliezpa', u'https', 'co']","RT @AuCanada: Aujourd'hui, souvenons-nous de ceux qui ont combattu dans la bataille de #Normandie #JourJ #nelesoubliezpas https://t.co/gXFt…",Environmental,fr,43,0.0,Neutral
4,4,795706200017043456,42,0,2016-11-07 19:15:16,: Bonne Journée des à tous les Inuit au Canada et de par le monde! cDc,"['#Inuit', '#Inuujunga']",['https://t.co/cw2xIHG'],RT GCAutochtones Bonne des Inuit tous les Inuit au Canada et de par le monde Inuujunga https co cw2xIHGcDc,"['RT', 'GCAutochtones', 'Bonne', 'des', 'Inuit', 'tous', 'les', 'Inuit', 'au', 'Canada', 'et', 'de', 'par', 'le', 'monde', 'Inuujunga', 'https', 'co', 'cw2xIHGcDc']","['rt', u'gcautochton', u'bonn', u'des', u'inuit', u'tous', u'les', u'inuit', 'au', u'canada', 'et', 'de', u'par', 'le', u'mond', u'inuujunga', u'https', 'co', u'cw2xihgcdc']",RT @GCAutochtones: Bonne Journée des #Inuit à tous les Inuit au Canada et de par le monde! #Inuujunga https://t.co/cw2xIHGcDc,Social,fr,42,0.0,Neutral
5,5,740536420499066880,42,0,2016-06-08 13:30:15,: Voici un aperçu des aires marines nationales de conservation du : éedesocéans https:…,"['#Canada', '#journ']",['https://t.co/aEHjbL9ZPR'],RT ParcsCanada Voici un des aires marines nationales de conservation du Canada https co aEHjbL9ZPR ans https,"['RT', 'ParcsCanada', 'Voici', 'un', 'des', 'aires', 'marines', 'nationales', 'de', 'conservation', 'du', 'Canada', 'https', 'co', 'aEHjbL9ZPR', 'ans', 'https']","['rt', u'parcscanada', u'voici', 'un', u'des', u'air', u'marin', u'national', 'de', u'conserv', 'du', u'canada', u'https', 'co', u'aehjbl9zpr', u'an', u'https']",RT @ParcsCanada: Voici un aperçu des aires marines nationales de conservation du #Canada : https://t.co/aEHjbL9ZPR #journéedesocéans https:…,Environmental,fr,42,0.0,Neutral
6,6,798990026231017473,38,0,2016-11-16 20:44:01,: La nouvelle zone de protection marine en du a été désignée grâce aux Inuvialuit &amp; au savoir traditionnel autocht…,"['#Arctique', '#GC']",[],RT La nouvelle zone de protection marine en Arctique du GC ce aux Inuvialuit amp au savoir traditionnel,"['RT', 'La', 'nouvelle', 'zone', 'de', 'protection', 'marine', 'en', 'Arctique', 'du', 'GC', 'ce', 'aux', 'Inuvialuit', 'amp', 'au', 'savoir', 'traditionnel']","['rt', 'la', u'nouvell', u'zone', 'de', u'protect', u'marin', 'en', u'arctiqu', 'du', 'gc', 'ce', u'aux', u'inuvialuit', u'amp', 'au', u'savoir', u'traditionnel']",RT @MPO_DFO: La nouvelle zone de protection marine en #Arctique du #GC a été désignée grâce aux Inuvialuit &amp; au savoir traditionnel autocht…,Environmental,fr,38,0.0,Neutral
7,7,863029359577358340,32,0,2017-05-12 13:53:28,: FLASH INFO: Toute première vidéo de utilisant leur défense pour se nourrir dans l’,"['#Narvals', '#Arctique', '#OdySci']",['https://t.co/\xe2\x80\xa6'],RT FLASH INFO Toute de Narvals utilisant leur fense pour se nourrir dans Arctique OdySci https co,"['RT', 'FLASH', 'INFO', 'Toute', 'de', 'Narvals', 'utilisant', 'leur', 'fense', 'pour', 'se', 'nourrir', 'dans', 'Arctique', 'OdySci', 'https', 'co']","['rt', u'flash', u'info', u'tout', 'de', u'narval', u'utilis', u'leur', u'fens', u'pour', 'se', u'nourrir', u'dan', u'arctiqu', u'odysci', u'https', 'co']",RT @MPO_Science: FLASH INFO: Toute première vidéo de #Narvals utilisant leur défense pour se nourrir dans l’#Arctique #OdySci https://t.co/…,Social,fr,32,0.0,Neutral
8,8,860967839318126592,30,0,2017-05-06 21:21:43,": Déclaration du min Garneau: appuie les efforts du à la suite des inondations , et https:/…","['#GC', '#ON', '#QC', '#NB']",[],RT salledepresseGC claration du min Garneau appuie les efforts du GC la suite des inondations QC et NB https,"['RT', 'salledepresseGC', 'claration', 'du', 'min', 'Garneau', 'appuie', 'les', 'efforts', 'du', 'GC', 'la', 'suite', 'des', 'inondations', 'QC', 'et', 'NB', 'https']","['rt', u'salledepressegc', u'clarat', 'du', u'min', u'garneau', u'appui', u'les', u'effort', 'du', 'gc', 'la', u'suit', u'des', u'inond', 'qc', 'et', 'nb', u'https']","RT @salledepresseGC: Déclaration du min Garneau:@Transports_gc appuie les efforts du #GC à la suite des inondations #ON, #QC et #NB https:/…",Environmental,fr,30,0.0,Neutral
9,9,712388972211806209,28,0,2016-03-22 21:22:21,: Le vise à stimuler la capacité d'innovation et la croissance de notre économie.,['#Budget2016'],['https://t.co/v0ejI7jiSq'],RT FinancesCanada Le Budget2016 vise stimuler la innovation et la croissance de notre conomie https co v0ejI7jiSq,"['RT', 'FinancesCanada', 'Le', 'Budget2016', 'vise', 'stimuler', 'la', 'innovation', 'et', 'la', 'croissance', 'de', 'notre', 'conomie', 'https', 'co', 'v0ejI7jiSq']","['rt', u'financescanada', 'le', u'budget2016', u'vise', u'stimul', 'la', u'innov', 'et', 'la', u'croissanc', 'de', u'notr', u'conomi', u'https', 'co', u'v0eji7jisq']",RT @FinancesCanada: Le #Budget2016 vise à stimuler la capacité d'innovation et la croissance de notre économie. https://t.co/v0ejI7jiSq,Economical,fr,28,0.0,Neutral
