,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
1123,1123,839601460321091584,0,2,2017-03-08 22:19:21,This we're celebrating d2,"['#InternationalWomensDay', '#WomeninScience']",['https://t.co/yyXovb5l'],InternationalWomensDay celebrating WomeninScience https co yyXovb5ld2,"['InternationalWomensDay', 'celebrating', 'WomeninScience', 'https', 'co', 'yyXovb5ld2']","[u'internationalwomensday', u'celebr', u'womeninsci', u'https', 'co', u'yyxovb5ld2']",This #InternationalWomensDay we're celebrating #WomeninScience https://t.co/yyXovb5ld2,Social,en,2,0.0,Neutral
1124,1124,714799860155871232,0,2,2016-03-29 13:02:21,Read about youth connecting with nature. See StreamTalk:,[],"['https://t.co/MRyBQQMZ97', 'https://t.co/FlkNffGr7i']",Read youth connecting nature See StreamTalk https co MRyBQQMZ97 https co FlkNffGr7i,"['Read', 'youth', 'connecting', 'nature', 'See', 'StreamTalk', 'https', 'co', 'MRyBQQMZ97', 'https', 'co', 'FlkNffGr7i']","[u'read', u'youth', u'connect', u'natur', u'see', u'streamtalk', u'https', 'co', u'mrybqqmz97', u'https', 'co', u'flknffgr7i']",Read about youth connecting with nature. See StreamTalk: https://t.co/MRyBQQMZ97 https://t.co/FlkNffGr7i,Social,en,2,0.0,Neutral
1125,1125,786981277811499008,2,0,2016-10-14 17:25:32,Let’s hear from you! Consultation on potential SARA listing of Central Pacific Coast on now D,['#Eulachon'],['https://t.co/sLWCnalIf'],hear Consultation potential SARA listing Central Pacific Coast Eulachon https co sLWCnalIfD,"['hear', 'Consultation', 'potential', 'SARA', 'listing', 'Central', 'Pacific', 'Coast', 'Eulachon', 'https', 'co', 'sLWCnalIfD']","[u'hear', u'consult', u'potenti', u'sara', u'list', u'central', u'pacif', u'coast', u'eulachon', u'https', 'co', u'slwcnalifd']",Let’s hear from you! Consultation on potential SARA listing of Central Pacific Coast #Eulachon on now https://t.co/sLWCnalIfD,Environmental,en,2,0.0,Neutral
1126,1126,944718611498917894,0,2,2017-12-23 23:57:23,Will your sport caught salmon be a holiday season gift? Make sure you package it right. The bow on top is optional!,[],"['https://t.co/sSb0umWk3l', 'https://t.co/75GJWLsTCz']",sport caught salmon holiday season gift Make sure package right bow top optional https co sSb0umWk3l https co 75GJWLsTCz,"['sport', 'caught', 'salmon', 'holiday', 'season', 'gift', 'Make', 'sure', 'package', 'right', 'bow', 'top', 'optional', 'https', 'co', 'sSb0umWk3l', 'https', 'co', '75GJWLsTCz']","[u'sport', u'caught', u'salmon', u'holiday', u'season', u'gift', u'make', u'sure', u'packag', u'right', u'bow', u'top', u'option', u'https', 'co', u'ssb0umwk3l', u'https', 'co', u'75gjwlstcz']",Will your sport caught salmon be a holiday season gift? Make sure you package it right. The bow on top is optional! https://t.co/sSb0umWk3l https://t.co/75GJWLsTCz,Environmental,en,2,0.4702380952380952,Positive
1127,1127,930499424362614784,0,2,2017-11-14 18:15:25,We're now on Facebook! Dive into our content! 9,[],"['https://t.co/8jhagjaGl5', 'https://t.co/HuUQHjyWF']",Facebook Dive content https co 8jhagjaGl5 https co HuUQHjyWF9,"['Facebook', 'Dive', 'content', 'https', 'co', '8jhagjaGl5', 'https', 'co', 'HuUQHjyWF9']","[u'facebook', u'dive', u'content', u'https', 'co', u'8jhagjagl5', u'https', 'co', u'huuqhjywf9']",We're now on Facebook! Dive into our content! 🌊 https://t.co/8jhagjaGl5 https://t.co/HuUQHjyWF9,Social,en,2,0.0,Neutral
1128,1128,946112262821031936,0,2,2017-12-27 20:15:16,"Areas may be closed to fishing for many reasons, including for purposes. Check to see if the spot you’re interested in falls in a restricted area.","['#conservation', '#fishing']","['https://t.co/HNbLjKzbjF', 'https://t.co/y0f6j8l4Oh']",Areas may closed fishing many reasons including conservation purposes Check see spot interested falls restricted fishing area https co HNbLjKzbjF https co y0f6j8l4Oh,"['Areas', 'may', 'closed', 'fishing', 'many', 'reasons', 'including', 'conservation', 'purposes', 'Check', 'see', 'spot', 'interested', 'falls', 'restricted', 'fishing', 'area', 'https', 'co', 'HNbLjKzbjF', 'https', 'co', 'y0f6j8l4Oh']","[u'area', u'may', u'close', u'fish', u'mani', u'reason', u'includ', u'conserv', u'purpos', u'check', u'see', u'spot', u'interest', u'fall', u'restrict', u'fish', u'area', u'https', 'co', u'hnbljkzbjf', u'https', 'co', u'y0f6j8l4oh']","Areas may be closed to fishing for many reasons, including for #conservation purposes. Check to see if the spot you’re interested in falls in a restricted #fishing area. https://t.co/HNbLjKzbjF https://t.co/y0f6j8l4Oh",Environmental,en,2,0.21666666666666667,Neutral
1129,1129,707283603181477889,2,0,2016-03-08 19:15:26,"Women’s Empowerment, in the words of ’s Catherine Sumi d","['#InternationalWomansDay', '#IWD2016']",['https://t.co/YWaExWS2K'],Empowerment words Catherine Sumi InternationalWomansDay IWD2016 https co YWaExWS2Kd,"['Empowerment', 'words', 'Catherine', 'Sumi', 'InternationalWomansDay', 'IWD2016', 'https', 'co', 'YWaExWS2Kd']","[u'empower', u'word', u'catherin', u'sumi', u'internationalwomansday', u'iwd2016', u'https', 'co', u'ywaexws2kd']","Women’s Empowerment, in the words of @DFO_MPO ’s Catherine Sumi #InternationalWomansDay #IWD2016 https://t.co/YWaExWS2Kd",Social,en,2,0.0,Neutral
1130,1130,685537821176807424,1,1,2016-01-08 19:05:27,Fisheries Act and Species at Risk Act offences and convictions are online:,[],['https://t.co/MEgtHDFtxM'],Fisheries Act Species Risk Act offences convictions online https co MEgtHDFtxM,"['Fisheries', 'Act', 'Species', 'Risk', 'Act', 'offences', 'convictions', 'online', 'https', 'co', 'MEgtHDFtxM']","[u'fisheri', u'act', u'speci', u'risk', u'act', u'offenc', u'convict', u'onlin', u'https', 'co', u'megthdftxm']",Fisheries Act and Species at Risk Act offences and convictions are online: https://t.co/MEgtHDFtxM,Environmental,en,2,0.0,Neutral
1131,1131,718545440753467396,1,1,2016-04-08 21:05:57,"Just a reminder, if you spot a whale, remember to 'be whalewise'.",[],['https://t.co/umBEAqIYqS'],reminder spot whale remember whalewise https co umBEAqIYqS,"['reminder', 'spot', 'whale', 'remember', 'whalewise', 'https', 'co', 'umBEAqIYqS']","[u'remind', u'spot', u'whale', u'rememb', u'whalewis', u'https', 'co', u'umbeaqiyq']","Just a reminder, if you spot a whale, remember to 'be whalewise'. https://t.co/umBEAqIYqS",Social,en,2,0.0,Neutral
1132,1132,768585756193460224,2,0,2016-08-24 23:08:18,New Red Tide/PSP bivalve closure: Area . See all closures in effect:,['#shellfish'],"['https://t.co/8UeYlZIgoA', 'https://t.co/icnzipi2RF']",New Red Tide PSP bivalve shellfish closure Area 25 See closures effect https co 8UeYlZIgoA https co icnzipi2RF,"['New', 'Red', 'Tide', 'PSP', 'bivalve', 'shellfish', 'closure', 'Area', '25', 'See', 'closures', 'effect', 'https', 'co', '8UeYlZIgoA', 'https', 'co', 'icnzipi2RF']","[u'new', u'red', u'tide', u'psp', u'bivalv', u'shellfish', u'closur', u'area', '25', u'see', u'closur', u'effect', u'https', 'co', u'8ueylzigoa', u'https', 'co', u'icnzipi2rf']",New Red Tide/PSP bivalve #shellfish closure: Area 25. See all closures in effect:  https://t.co/8UeYlZIgoA https://t.co/icnzipi2RF,Social,en,2,0.06818181818181818,Neutral
1133,1133,930923889152200704,0,2,2017-11-15 22:22:05,Does your project impact aquatic ? Check our online maps!,"['#SpeciesAtRisk', '#GISDay']","['https://t.co/epM33AFpCn', 'https://t.co/friqWF1FXp']",project impact aquatic SpeciesAtRisk Check online maps GISDay https co epM33AFpCn https co friqWF1FXp,"['project', 'impact', 'aquatic', 'SpeciesAtRisk', 'Check', 'online', 'maps', 'GISDay', 'https', 'co', 'epM33AFpCn', 'https', 'co', 'friqWF1FXp']","[u'project', u'impact', u'aquat', u'speciesatrisk', u'check', u'onlin', u'map', u'gisday', u'https', 'co', u'epm33afpcn', u'https', 'co', u'friqwf1fxp']",Does your project impact aquatic #SpeciesAtRisk? Check our online maps! #GISDay https://t.co/epM33AFpCn https://t.co/friqWF1FXp,Environmental,en,2,0.0,Neutral
1134,1134,796412467693944836,1,1,2016-11-09 18:01:43,Opportunity at today from :30-9:00pm to collaborate w. on the,"['#Kamloops', '#WildSalmonPolicy']","['https://t.co/gZ33qWiOTo', 'https://t.co/vZMoNLyVdH']",Opportunity thompsonriversu Kamloops today 30 00pm collaborate WildSalmonPolicy https co gZ33qWiOTo https co vZMoNLyVdH,"['Opportunity', 'thompsonriversu', 'Kamloops', 'today', '30', '00pm', 'collaborate', 'WildSalmonPolicy', 'https', 'co', 'gZ33qWiOTo', 'https', 'co', 'vZMoNLyVdH']","[u'opportun', u'thompsonriversu', u'kamloop', u'today', '30', u'00pm', u'collabor', u'wildsalmonpolici', u'https', 'co', u'gz33qwioto', u'https', 'co', u'vzmonlyvdh']",Opportunity at @thompsonriversu #Kamloops today from 6:30-9:00pm to collaborate w. @DFO_MPO on the #WildSalmonPolicy https://t.co/gZ33qWiOTo https://t.co/vZMoNLyVdH,Environmental,en,2,0.0,Neutral
1135,1135,931214095797415938,1,1,2017-11-16 17:35:16,- public open house for the implementation plan tonight at centre,"['#Chilliwack', '#WildSalmonPolicy', '#Tzeachten']","['https://t.co/62G5LeWgtX', 'https://t.co/mjpWAwH4NI']",Chilliwack public open house WildSalmonPolicy implementation plan tonight Tzeachten centre https co 62G5LeWgtX https co mjpWAwH4NI,"['Chilliwack', 'public', 'open', 'house', 'WildSalmonPolicy', 'implementation', 'plan', 'tonight', 'Tzeachten', 'centre', 'https', 'co', '62G5LeWgtX', 'https', 'co', 'mjpWAwH4NI']","[u'chilliwack', u'public', u'open', u'hous', u'wildsalmonpolici', u'implement', u'plan', u'tonight', u'tzeachten', u'centr', u'https', 'co', u'62g5lewgtx', u'https', 'co', u'mjpwawh4ni']",#Chilliwack - public open house for the #WildSalmonPolicy implementation plan tonight at #Tzeachten centre https://t.co/62G5LeWgtX https://t.co/mjpWAwH4NI,Economical,en,2,0.0,Neutral
