,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,score,sentiment_score,sentiment_type
710,933444564265963520,1,4,2017-11-22 21:18:21,Excellent tips– especially Learn more about ENERGY STAR certified decorative light strings here: U,"['#energysaving', '#1']","['https://t.co/2XDqpbt2WO', 'https://t.co/Go4cEarDN']",Excellent energysaving especially Learn ENERGY STAR certified decorative light strings https co 2XDqpbt2WO https co Go4cEarDNU,"['Excellent', 'energysaving', 'especially', 'Learn', 'ENERGY', 'STAR', 'certified', 'decorative', 'light', 'strings', 'https', 'co', '2XDqpbt2WO', 'https', 'co', 'Go4cEarDNU']","[u'excel', u'energysav', u'especi', u'learn', u'energi', u'star', u'certifi', u'decor', u'light', u'string', u'https', 'co', u'2xdqpbt2wo', u'https', 'co', u'go4ceardnu']",Excellent #energysaving tips– especially #1 :) Learn more about ENERGY STAR certified decorative light strings here: https://t.co/2XDqpbt2WO https://t.co/Go4cEarDNU,Economical,en,5,0.48,Positive
711,946113692705443840,0,5,2017-12-27 20:20:56,Learn more about keeping your home comfy with ENERGY STAR certified windows here: u,[],"['https://t.co/x9WCpBhBHL', 'https://t.co/HxpQC4wF5']",Learn keeping home comfy ENERGY STAR certified windows https co x9WCpBhBHL https co HxpQC4wF5u,"['Learn', 'keeping', 'home', 'comfy', 'ENERGY', 'STAR', 'certified', 'windows', 'https', 'co', 'x9WCpBhBHL', 'https', 'co', 'HxpQC4wF5u']","[u'learn', u'keep', u'home', u'comfi', u'energi', u'star', u'certifi', u'window', u'https', 'co', u'x9wcpbhbhl', u'https', 'co', u'hxpqc4wf5u']",Learn more about keeping your home comfy with ENERGY STAR certified windows here: https://t.co/x9WCpBhBHL https://t.co/HxpQC4wF5u,Economical,en,5,0.5,Positive
712,780044558411374592,2,3,2016-09-25 14:01:29,our program is powered by a voluntary partnership between industry and GoC?,"['#DYK', '#EnergyEfficiency']",['https://t.co/fyJa98V99i'],DYK program powered voluntary partnership industry GoC EnergyEfficiency https co fyJa98V99i,"['DYK', 'program', 'powered', 'voluntary', 'partnership', 'industry', 'GoC', 'EnergyEfficiency', 'https', 'co', 'fyJa98V99i']","[u'dyk', u'program', u'power', u'voluntari', u'partnership', u'industri', u'goc', u'energyeffici', u'https', 'co', u'fyja98v99i']",#DYK our program is powered by a voluntary partnership between industry and GoC? #EnergyEfficiency https://t.co/fyJa98V99i,Economical,en,5,0.0,Neutral
713,946063902185582597,1,4,2017-12-27 17:03:05,Learn more about ENERGY STAR Buildings certification here: u u0,[],"['https://t.co/NFOckoPvg', 'https://t.co/JK4zvtwT']",Learn ENERGY STAR Buildings certification https co NFOckoPvgu https co JK4zvtwTu0,"['Learn', 'ENERGY', 'STAR', 'Buildings', 'certification', 'https', 'co', 'NFOckoPvgu', 'https', 'co', 'JK4zvtwTu0']","[u'learn', u'energi', u'star', u'build', u'certif', u'https', 'co', u'nfockopvgu', u'https', 'co', u'jk4zvtwtu0']",Learn more about ENERGY STAR Buildings certification here: https://t.co/NFOckoPvgu https://t.co/JK4zvtwTu0,Environmental,en,5,0.5,Positive
714,834870831247462400,1,4,2017-02-23 21:01:31,Here’s a bright idea: Make the switch to LEDs! They last x longer than incandescent bulbs!,['#ENERGYSTARCanada'],"['https://t.co/u1dvIUxpG7', 'https://t.co/xsJ6PGwnty']",bright idea Make switch ENERGYSTARCanada LEDs last 15x longer incandescent bulbs https co u1dvIUxpG7 https co xsJ6PGwnty,"['bright', 'idea', 'Make', 'switch', 'ENERGYSTARCanada', 'LEDs', 'last', '15x', 'longer', 'incandescent', 'bulbs', 'https', 'co', 'u1dvIUxpG7', 'https', 'co', 'xsJ6PGwnty']","[u'bright', u'idea', u'make', u'switch', u'energystarcanada', u'led', u'last', u'15x', u'longer', u'incandesc', u'bulb', u'https', 'co', u'u1dviuxpg7', u'https', 'co', u'xsj6pgwnti']",Here’s a bright idea: Make the switch to #ENERGYSTARCanada LEDs! They last 15x longer than incandescent bulbs! https://t.co/u1dvIUxpG7 https://t.co/xsJ6PGwnty,Economical,en,5,0.4375000000000001,Positive
715,931628443682398208,1,4,2017-11-17 21:01:44,ENERGY STAR cert windows can help make your home comfortable &amp; lower your energy bills along the way!,['#FactFriday'],"['https://t.co/P2xeA0qY5m', 'https://t.co/HZOlamosmG']",ENERGY STAR cert windows help make home comfortable amp lower energy bills along way FactFriday https co P2xeA0qY5m https co HZOlamosmG,"['ENERGY', 'STAR', 'cert', 'windows', 'help', 'make', 'home', 'comfortable', 'amp', 'lower', 'energy', 'bills', 'along', 'way', 'FactFriday', 'https', 'co', 'P2xeA0qY5m', 'https', 'co', 'HZOlamosmG']","[u'energi', u'star', u'cert', u'window', u'help', u'make', u'home', u'comfort', u'amp', u'lower', u'energi', u'bill', u'along', u'way', u'factfriday', u'https', 'co', u'p2xea0qy5m', u'https', 'co', u'hzolamosmg']","ENERGY STAR cert windows can help make your home comfortable &amp; lower your energy bills along the way! #FactFriday 
https://t.co/P2xeA0qY5m https://t.co/HZOlamosmG",Economical,en,5,0.5,Positive
716,835595538196234240,3,2,2017-02-25 21:01:15,! Find out which appliances in your home are old &amp; could be inflating your energy bills.,"['#KnowledgeIsPower', '#Savings']","['https://t.co/fMW9Uxjvzg', 'https://t.co/N51JNXeBGo']",KnowledgeIsPower Find appliances home old amp could inflating energy bills Savings https co fMW9Uxjvzg https co N51JNXeBGo,"['KnowledgeIsPower', 'Find', 'appliances', 'home', 'old', 'amp', 'could', 'inflating', 'energy', 'bills', 'Savings', 'https', 'co', 'fMW9Uxjvzg', 'https', 'co', 'N51JNXeBGo']","[u'knowledgeispow', u'find', u'applianc', u'home', u'old', u'amp', u'could', u'inflat', u'energi', u'bill', u'save', u'https', 'co', u'fmw9uxjvzg', u'https', 'co', u'n51jnxebgo']",#KnowledgeIsPower! Find out which appliances in your home are old &amp; could be inflating your energy bills. #Savings https://t.co/fMW9Uxjvzg https://t.co/N51JNXeBGo,Economical,en,5,0.1,Neutral
717,837306601694453765,2,3,2017-03-02 14:20:24,Great piece on stylish energy savings using products! U See 0U !,"['#ENERGYSTARCanada', '#SaveOnEnergy']","['https://t.co/X485fhXaH', 'https://t.co/5LJnkG67']",Great piece stylish energy savings using ENERGYSTARCanada products https co X485fhXaHU See https co 5LJnkG670U SaveOnEnergy,"['Great', 'piece', 'stylish', 'energy', 'savings', 'using', 'ENERGYSTARCanada', 'products', 'https', 'co', 'X485fhXaHU', 'See', 'https', 'co', '5LJnkG670U', 'SaveOnEnergy']","[u'great', u'piec', u'stylish', u'energi', u'save', u'use', u'energystarcanada', u'product', u'https', 'co', u'x485fhxahu', u'see', u'https', 'co', u'5ljnkg670u', u'saveonenergi']",Great piece on stylish energy savings using #ENERGYSTARCanada products! https://t.co/X485fhXaHU See https://t.co/5LJnkG670U #SaveOnEnergy!,Economical,en,5,0.790625,Positive
718,782943417080934401,2,3,2016-10-03 14:00:31,With one week away give back to the planet this holiday season by using less energy.,['#Thanksgiving'],['https://t.co/jozzt9xSqz'],Thanksgiving one week away give back planet holiday season using less energy https co jozzt9xSqz,"['Thanksgiving', 'one', 'week', 'away', 'give', 'back', 'planet', 'holiday', 'season', 'using', 'less', 'energy', 'https', 'co', 'jozzt9xSqz']","[u'thanksgiv', u'one', u'week', u'away', u'give', u'back', u'planet', u'holiday', u'season', u'use', u'less', u'energi', u'https', 'co', u'jozzt9xsqz']",With #Thanksgiving one week away give back to the planet this holiday season by using less energy. https://t.co/jozzt9xSqz,Economical,en,5,-0.08333333333333333,Neutral
719,929015962317320192,1,4,2017-11-10 16:00:40,The future is here… Replace your old inefficient fridge w/ a new ENERGY STAR certified smart fridge &amp;,['#SaveOnEnergy'],"['https://t.co/0e5eEy9pXj', 'https://t.co/9hWSPCbSK3']",future Replace old inefficient fridge new ENERGY STAR certified smart fridge amp SaveOnEnergy https co 0e5eEy9pXj https co 9hWSPCbSK3,"['future', 'Replace', 'old', 'inefficient', 'fridge', 'new', 'ENERGY', 'STAR', 'certified', 'smart', 'fridge', 'amp', 'SaveOnEnergy', 'https', 'co', '0e5eEy9pXj', 'https', 'co', '9hWSPCbSK3']","[u'futur', u'replac', u'old', u'ineffici', u'fridg', u'new', u'energi', u'star', u'certifi', u'smart', u'fridg', u'amp', u'saveonenergi', u'https', 'co', u'0e5eey9pxj', u'https', 'co', u'9hwspcbsk3']",The future is here… Replace your old inefficient fridge w/ a new ENERGY STAR certified smart fridge &amp; #SaveOnEnergy https://t.co/0e5eEy9pXj https://t.co/9hWSPCbSK3,Social,en,5,0.11266233766233764,Neutral
