comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
862335157241383_865445656930333,485734081568161_862335157241383,,Et comment fait-on une plainte qui sera traité au gouvernement u canada?,2017-01-18 10:05:24,0,0,0,0,0,0,0,0
857661047708794_862269870581245,485734081568161_857661047708794,,Conseil utile! Aimez ENERGY STAR Canada pour plus de renseignements de renseignements sur les produits et des conseils sur les moyens écoénergétiques d’économiser de l’argent. http://ow.ly/XlKc307YjCR,2017-01-13 09:20:57,1,1,0,0,0,0,0,0
857038847771014_858754557599443,485734081568161_857038847771014,,As-tu vu ça Frédéric Turgeon :p wow on peut consommer des trucs  dont la date est passée :p dossier réglé :p,2017-01-07 10:19:44,1,1,0,0,0,0,0,0
857038847771014_857233444418221,485734081568161_857038847771014,,Tres bons conseils a suivre.,2017-01-04 19:30:48,0,0,0,0,0,0,0,0
857038847771014_857293214412244,485734081568161_857038847771014,,Lindy Lepage,2017-01-04 22:11:15,0,0,0,0,0,0,0,0
856433481164884_856455707829328,485734081568161_856433481164884,,Est ce normal de ne pas recevoir de confirmation après avoir passer ma commande?,2017-01-03 12:21:46,0,0,0,0,0,0,0,0
856433481164884_856752514466314,485734081568161_856433481164884,856433481164884_856455707829328,C'est normal j'ai recu ma confirmation 1 semaine après ma commande et mon passeport 2 jour après avoir recu le courriel de confirmation.,2017-01-04 00:23:49,1,1,0,0,0,0,0,0
856433481164884_857770764364489,485734081568161_856433481164884,856433481164884_856455707829328,"Bonjour Justine Tétreault, étant donné le volume élevé de commandes, il semble y avoir un délai de quelques semaines pour recevoir la confirmation. Certaines personnes ont même reçu leur carte avant leur confirmation. Si vous avez eu un numéro de confirmation à la fin de votre commande, le tout a bel et bien été reçu! Merci et bonne journée!",2017-01-05 15:48:42,0,0,0,0,0,0,0,0
856433481164884_856626457812253,485734081568161_856433481164884,,Eli Morin ;),2017-01-03 19:07:18,0,0,0,0,0,0,0,0
856433481164884_856569247817974,485734081568161_856433481164884,,Stela Montenegro Yu,2017-01-03 16:35:01,1,1,0,0,0,0,0,0
855304801277752_892791754195723,485734081568161_855304801277752,,merci beaucoup et bonne Année à toute votre équipe et merci pour tout ces très bons renseignements .,2017-02-28 18:51:18,0,0,0,0,0,0,0,0
854069864734579_854306844710881,485734081568161_854069864734579,,le quizz est fermé!,2016-12-30 22:18:21,0,0,0,0,0,0,0,0
847689578705941_851089205032645,485734081568161_847689578705941,,bjr je veux un peux d'eclaircissement aux sujets de questions d'argent ce quoi et ce comment?,2016-12-25 10:07:42,0,0,0,0,0,0,0,0
844782452329987_844842712323961,485734081568161_844782452329987,,Mina Ha Sab Rina,2016-12-14 13:54:11,2,2,0,0,0,0,0,0
843491915792374_843519902456242,485734081568161_843491915792374,,"Je ne suis pas certaine de comprendre quand l'article est plus de 10$. Si le prix affiché est de 75$ et que le prix a la caisse affiche 100$, quel montant me remboursera le magasin?",2016-12-12 13:19:17,0,0,0,0,0,0,0,0
843491915792374_843522975789268,485734081568161_843491915792374,843491915792374_843519902456242,Ils vous chargeront 75$ - 10$ de rabais pour l'erreur seulement si la pancarte est toujours valide et que c'est pour le bon produit et non un similaire,2016-12-12 13:27:28,1,1,0,0,0,0,0,0
843491915792374_844125759062323,485734081568161_843491915792374,843491915792374_843519902456242,"Brigitte Lavigne ils doivent enlever plus si la différence est plus de 10$ sinon c'est illogique. Un article de 150$ qui te fait payer 200$, tu dois avoir au moins le 50$ de différence",2016-12-13 11:21:35,0,0,0,0,0,0,0,0
843491915792374_845406252267607,485734081568161_843491915792374,843491915792374_843519902456242,Si c afficher 75 mais scan 100 bein y prenne le 75 et deduis 10$,2016-12-15 10:57:54,1,1,0,0,0,0,0,0
843491915792374_843832352424997,485734081568161_843491915792374,,Je me suis faite répondre par une commis lorsque le prix était plus élevé a la caisse que sur la tablette... Elle navait pas le temps de niaiser avec la politique des prix... Dans un IGA...,2016-12-12 23:29:35,0,0,0,0,0,0,0,0
843491915792374_845406408934258,485734081568161_843491915792374,843491915792374_843832352424997,Iga font tjrs ca mais si personne ne dit jamais rien ya rien qui va changer,2016-12-15 10:58:22,1,1,0,0,0,0,0,0
