id,full_text,retweet_count,favorite_count,created_at
946113479731228672,RT @LimageHome: Thinking of ways to save money in the New Year? Switch to Energy Star certified energy efficient lighting: https://t.co/q5X…,1,0,2017-12-27 20:20:06
946106294712389632,#BoxingDay sales are still on! Don’t miss out 😀 https://t.co/jNgbedRtD1,0,2,2017-12-27 19:51:33
946063902185582597,Learn more about ENERGY STAR Buildings certification here: https://t.co/NFOckoPvgu https://t.co/JK4zvtwTu0,1,4,2017-12-27 17:03:05
946063706638749696,"Important message for #BoxingDay, #BoxingWeek and all year through! https://t.co/bNzYRTEr27",0,4,2017-12-27 17:02:19
946063421178597376,"#BC! An additional $250 rebate for home energy upgrades, including some ENERGY STAR certified products: https://t.co/OgmHKcPrdJ https://t.co/0b90RDVqrM",0,3,2017-12-27 17:01:11
946052716584980480,#ENERGYSTARCanada loves this no-cost tip! #WonderfulWednesday #WednesdayWisdom https://t.co/sC2Sc4S0bI,0,2,2017-12-27 16:18:39
946050658985299968,"RT @bchydro: When buying products for your home, look for the @ENERGYSTAR_CAN label. Check out the variety of products available: https://t…",1,0,2017-12-27 16:10:28
946049258540752896,Winter freeze is in full effect! Keep warm for the rest of winter when you replace those drafty windows with ENERGY STAR certified models https://t.co/P2xeA0qY5m https://t.co/rLhddvFBz1,0,4,2017-12-27 16:04:54
946048333298139136,Gone during the #Holidays? Follow these tips to #SaveEnergy while you’re away: #WednesdayWisdom https://t.co/rT8HuTduZf,3,6,2017-12-27 16:01:14
945761236523864065,Didn’t get the ENERGY STAR certified TV you wanted for Christmas? Get your hands on it today at a discounted price! #BoxingDay #Savings https://t.co/1ZvWBVPerz https://t.co/mT3iqilrj2,0,4,2017-12-26 21:00:24
945685723520303105,"Happy #BoxingDay! While shopping, remember to snatch deals on ENERGY STAR certified products for even more savings #EnergyEfficiency
https://t.co/OgmHKcPrdJ https://t.co/pHQZ4hjILI",2,6,2017-12-26 16:00:21
945323434988527617,#HappyHolidays!  Best wishes from ENERGY STAR Canada to you and your family during the holiday season 🎄 🎅 https://t.co/Q6RK68ewSA,0,3,2017-12-25 16:00:44
945036501733257216,Keep the heat in! Remember to close your doors promptly after your guests arrive for dinner #EnergyEfficiency #HappyHolidays https://t.co/updYfvfY7C,1,6,2017-12-24 21:00:34
944961074654310401,"Use your dimmer switch to dim the lights, set the mood and #SaveEnergy at your #ChristmasEve dinner tonight #HappyHolidays #MerryChristmas
https://t.co/OGbblsZ6ZZ https://t.co/LzmRoyNk03",1,5,2017-12-24 16:00:51
944674058775547905,"School is out but that doesn’t mean the learning stops. Over the #WinterBreak, teach your kids about #EnergyEfficiency with these tips: https://t.co/KPN7WOR3TR",0,5,2017-12-23 21:00:21
944598617423273984,"#EnergyEfficiency is easier than you think. Here’s why you should choose to invest in an EnerGuide home evaluation:
https://t.co/SoJd0HpOcY https://t.co/ALX9zJwXE3",1,6,2017-12-23 16:00:34
944311707995910150,"Binge-watching #Christmas classics tonight? Stream on a tablet to use 4x less energy than a laptop or television #FactFriday #HappyHolidays
https://t.co/E4geQ0fnV0 https://t.co/Qu9oL4D4zl",2,5,2017-12-22 21:00:30
944236388744081408,"Preparing for your big dinner this weekend? Follow these simple, no-cost tips to cook up the savings: https://t.co/MKUp7Ktw1t #ChristmasEve https://t.co/Yb8atyufZc",3,10,2017-12-22 16:01:12
943959672188489730,RT @takeCHARGENL: A well-insulated attic keeps your home warm and cozy. https://t.co/lpySth6WTU,2,0,2017-12-21 21:41:38
943959548024573952,#Ontario: Keep your family warm over the #holidays. See how ENERGY STAR Canada can help: https://t.co/LPpzNPHdFn https://t.co/oryXGkigEr,0,6,2017-12-21 21:41:08
943949341034778624,It’s time to head home for the holidays! Be the perfect guest &amp; avoid running up the bill in your hosts’ home with these tips: #ThursdayThoughts https://t.co/84eWzFyuGC,0,7,2017-12-21 21:00:35
943949272877281280,"RT @EnergyPlusInc: #DYK that for every degree lower you turn your thermostat, you'll save up to 3% on heating costs?  #EnergyEfficient http…",3,0,2017-12-21 21:00:19
943948409509220353,RT @EnergyPlusInc: Entertaining guests for the holidays? Follow these tips to #SaveONEnergy when guests are over. https://t.co/WIywbUfPjl,4,0,2017-12-21 20:56:53
943948318303862784,Shortest day = lights on longer. Thankfully ENERGY STAR certified LEDs can help keep the energy bill down on the #FirstDayOfWinter 😀 https://t.co/X6FfaXf2ZG,0,7,2017-12-21 20:56:31
943919158961623040,Going away for #ChristmasBreak? Here’s a simple tip to save even more on your energy bill: #WinterTips https://t.co/1nbrznCOsh https://t.co/FLIr41kxrP,10,9,2017-12-21 19:00:39
943873886210453504,"Happy #FirstDayOfWinter! It’s still not too late to winterize your home. Follow these tips to make sure your home is #winter ready:
https://t.co/LPpzNPHdFn https://t.co/pJnBqwMSjM",3,6,2017-12-21 16:00:45
943604155586961408,"RT @TorontoHydro: Looking for simple, yet meaningful gift ideas? How about the gift of emergency preparedness? Help your loved ones feel sa…",2,0,2017-12-20 22:08:56
943604107797032960,RT @GuelphHydro: Gwelf says turn off holiday lights and decorations when you leave the house or go to bed.  #Guelph #esaholidaytips https:/…,5,0,2017-12-20 22:08:45
943603813835001856,Help your business #SaveEnergy and reduce its operating costs when you make the simple switch to ENERGY STAR certified LED bulbs to use up to 90% less energy https://t.co/mZE4MPw6aK https://t.co/xk59BRgJS1,0,5,2017-12-20 22:07:35
943587028247240706,"If you drive an electric vehicle, you can now #SaveMoreEnergy with ENERGY STAR certified EV chargers! #WednesdayWisdom 
https://t.co/ngMLV3Ai5X https://t.co/npNBwRoEez",1,6,2017-12-20 21:00:53
943585800436047880,#Ontario! There’s no better time to invest in ENERGY STAR certified windows to increase your home’s #EnergyEfficiency &amp; comfort while getting a rebate in return https://t.co/P2xeA0qY5m https://t.co/nu3Av61IWw,1,4,2017-12-20 20:56:00
943585187115433984,We agree! That’s why you should buy ENERGY STAR certified holiday lights. They use 75% less energy and last up to 10x longer🎄 #HolidayLights https://t.co/2XDqpbt2WO https://t.co/7h7C2zfvq8,0,6,2017-12-20 20:53:34
943584479100178432,"#Alberta! Upgrade to ENERGY STAR certified windows and get an @efficiencyAB #rebate back! Your utility bill will thank you 😀
https://t.co/P2xeA0qY5m https://t.co/lauNgDfRrZ",0,4,2017-12-20 20:50:45
943584357306044416,RT @takeCHARGENL: Some #takeCHARGEKaraoke is bound to put you in the holiday spirit! #energyefficiency https://t.co/oMTclxmk0U,1,0,2017-12-20 20:50:16
943583785089748992,Great tips to #SaveOnEnergy this holiday season! https://t.co/AJvbvvHjsY,0,2,2017-12-20 20:47:59
943583377868894208,RT @ONenergy: #BoxingDay sales are just around the corner. Choose @ENERGYSTAR_CAN certified products to save money and #energy! https://t.c…,4,0,2017-12-20 20:46:22
943580131490222080,"""It’s an enormous reduction in electricity, the less electricity that is used the less the environmental impact"": 1 of the many reasons we ❤️ #ENERGYSTAR certified Xmas lights https://t.co/lC8gVvRdc0 https://t.co/SdIwhvKuTM",0,2,2017-12-20 20:33:28
943577307842740226,RT @ec_minister: 🇨🇦 is working with industry to improve energy efficiency and help Canadians save money! Check out @ENERGYSTAR_CAN products…,6,0,2017-12-20 20:22:15
943511402802761728,"Don’t get on Santa’s naughty list– unplug all electronics before you leave for the holidays to #SaveEnergy. #WinterBreak 
https://t.co/Y8FRWIoHdu https://t.co/UhFClLQzEz",7,17,2017-12-20 16:00:22
943224572136083456,"Finally decorating your home or business? #LightTheMoment with ENERGY STAR certified Christmas lights &amp; use 75% less energy. #BetterLateThanNever
https://t.co/2XDqpbt2WO https://t.co/gRfe5m8ige",4,6,2017-12-19 21:00:36
943222026478739460,It's #rebate time with @EnergyPlusInc 😀 Have a look at ENERGY STAR certified heating and ventilation products and #savemoney https://t.co/mAlOcPB65q https://t.co/S1PTSB2riE,0,4,2017-12-19 20:50:29
943220037082640386,Sage advice from @YourMoneyCanada. Learn how #ENERGYSTARCanada can help you #SaveMoney this holiday season. 🎄https://t.co/LPpzNPHdFn https://t.co/ydau3cnF4T,0,4,2017-12-19 20:42:35
943214885135179776,Stay LIT and #SaveMoney with ENERGY STAR certified LEDs and decorative light strings. Learn more here: https://t.co/UzZnV3MwVZ https://t.co/CgWiUt2mtt,0,4,2017-12-19 20:22:07
943209777861201921,RT @hydroottawa: Turn on the oven light to look through the glass window instead of opening the oven door to check food. #TipTuesday #Holid…,1,0,2017-12-19 20:01:49
943209720999043072,"Keep the mood right with ENERGY STAR certified LEDs, even if the power’s off 🙂https://t.co/mZE4MPw6aK https://t.co/pNbyy48Pbn",0,4,2017-12-19 20:01:36
943209431487188992,Let the good times last with ENERGY STAR certified LEDs 😀https://t.co/UzZnV3MwVZ https://t.co/fiLuialUQn,0,2,2017-12-19 20:00:27
943172430780092416,RT @AWWCanada: Last minute stocking stuffer idea: @EnergyStar_Can certified LED bulbs! #TipTuesday #SaveEnergy,2,0,2017-12-19 17:33:25
943149195095101440,"Don’t let #TheGrinch steal your energy! Follow these tips to keep your #holidays shiny and bright: https://t.co/pI3cqJcprj
#TipTuesday https://t.co/e5LCkODYLl",5,7,2017-12-19 16:01:05
943128231833726982,RT @FortisBC: A new high-efficiency @ENERGYSTAR_CAN fridge saves energy AND our rebate can save you $100!  https://t.co/XSfcSsS5ny #RebateF…,1,0,2017-12-19 14:37:47
943128194437271558,"RT @bchydro: This holiday season, choose @ENERGYSTAR_CAN  LED lights. They're 75% more energy efficient and don't heat up - so they're safe…",1,0,2017-12-19 14:37:38
942881670306332672,Great deal on Canada’s only ENERGY STAR certified EV charger. Learn more about EV chargers here: https://t.co/aFp30Ylpl4 https://t.co/376t9JJQaw,0,3,2017-12-18 22:18:02
942862133443878912,"Last minute shopping? Buy ENERGY STAR certified electronics to help your loved ones #SaveEnergy or buy energy-free gifts to #SaveThePlanet.
https://t.co/KFtgXlDcgQ https://t.co/aTeVRMl7kQ",5,10,2017-12-18 21:00:24
942786793417658368,#SaveEnergy where you can to spend less on your utility bill and more on gifts for your loved ones this #HolidaySeason. It’s ok to be a scrooge every now and then. https://t.co/1c1yxYKVDr,0,11,2017-12-18 16:01:02
942499681199943680,"Is your #NewYearsResolution to cut down on costs? If so, ENERGY STAR is the way to go! By upgrading to #EnergyEfficient products, you will #SaveEnergy &amp; in return #SaveMoney.
https://t.co/y0gpqUBDn0 https://t.co/3LQBmGOKjS",7,12,2017-12-17 21:00:09
942482041668538368,IT's Day 7 of @carrot_rewards ! Answer an #EnergyEfficiency brain buster for your chance to win an ENERGY STAR certified Philips Hue smart bulb starter kit from @tweethue  https://t.co/5ve44ubKdY https://t.co/FxcCaTSsX4,4,7,2017-12-17 19:50:03
942424316150460418,Enjoying a ski day with your crew? Let’s work together to protect Canadian winters for future generations. Join forces with ENERGY STAR to help! https://t.co/YThrjOOlU2 https://t.co/Qy4oExwhIj,2,6,2017-12-17 16:00:41
942137385177010176,"No more space on your computer to save upcoming #Holiday pictures? Buy yourself an ENERGY STAR certified external storage drive! #Savings
https://t.co/vYW4Z0mLWg https://t.co/6sHhQTdwS5",1,3,2017-12-16 21:00:31
942061844990132225,"With snow, comes many outdoor activities. With outdoor activities, come many wet clothes! Here are some tips to help you #SaveEnergy:  https://t.co/xSllxCjTKb https://t.co/iSeavRULmX",0,5,2017-12-16 16:00:21
941779338508238850,Own a restaurant or know someone who does? Tell them to check out these @FortisBC #rebates and get ENERGY STAR certified fryers while they’re hot: https://t.co/ypystAi4Ws https://t.co/3e8Ul7RNpe,0,3,2017-12-15 21:17:46
941779184933916673,ENERGY STAR certified windows and doors can certainly help curb energy waste. Check out our website for more options: https://t.co/x9WCpBhBHL https://t.co/OP0ZJejTlu,0,2,2017-12-15 21:17:09
941779067740794885,#BusinessOwners: here’s a sweet treat for you 😀 Take a look at ENERGY STAR certified products to help your business grow: https://t.co/8GC8SAzMx3 https://t.co/MMrsZkaIo3,0,4,2017-12-15 21:16:41
941774953950711808,"#HolidayTip: To #SaveOnEnergy, put your ENERGY STAR Christmas lights on a timer, or buy certified light strings with a built-in timer. #FactFriday
https://t.co/2XDqpbt2WO https://t.co/u8q5eXAWzT",1,2,2017-12-15 21:00:21
941759180926521345,RT @efficiencyns: It's the most wonderful time of the year! Keep this tip in mind and don't let the holiday spirit be bogged down by high e…,4,0,2017-12-15 19:57:40
941759117395361793,#BC! Keep the cold out and the heat in with an ENERGY STAR certified furnace to stay cozy all winter long ❄️☕️https://t.co/bAkiJQi80X https://t.co/O6c5b0WxM2,0,4,2017-12-15 19:57:25
941758970825408512,"RT @EMRYukon: In Yukon, we offer homeowners a #GoodEnergy rebate on qualifying ENERGY STAR® windows and doors https://t.co/GB9BjqMv2v https…",1,0,2017-12-15 19:56:50
941758928303591425,"Power bars are an excellent way to avoid standby power consumption. For more tips on how to reduce standby power and your utility bill, visit: https://t.co/Y8FRWIoHdu #LiveUnplugged https://t.co/VdUTthhzV2",0,6,2017-12-15 19:56:40
941758817355919362,RT @greenONfund: Looking for ways to reduce your carbon footprint? Our trusted experts can help. Call GreenON Support for customized advice…,5,0,2017-12-15 19:56:13
941757951454400512,RT @ONenergy: Happy #UglyChristmasSweaterDay! https://t.co/ckEgTPiv5A,5,0,2017-12-15 19:52:47
941699472031125506,"#Students! While studying for exams, don’t lose focus on saving energy. After pulling an all-night cram session, turn off your laptop to #SaveEnergy. #FridayFeeling
https://t.co/Y8FRWIoHdu https://t.co/N8BWVNJxVI",2,5,2017-12-15 16:00:24
941419975654412290,RT @SJENERGY: If you are planning to buy a new appliance this holiday season make sure it has the @ENERGYSTAR_CAN logo! Save money and ener…,3,0,2017-12-14 21:29:47
941412565170737153,Happy #WorldEnergyConservationDay! Use less energy when you upgrade to ENERGY STAR certified products or purchase an ENERGY STAR certified new home. The planet will thank you. #EnergyEfficiency https://t.co/YThrjOOlU2 https://t.co/FOKzT1nifa,3,10,2017-12-14 21:00:20
941408537124720641,Squeeze in a 7th tip: upgrade to ENERGY STAR certified windows and doors to keep #winter❄️ out of your home 😀 https://t.co/x9WCpBhBHL https://t.co/1x5pWa8yhn,0,5,2017-12-14 20:44:20
941408070076387339,"#BC—here’s a present for you! 🎁 Enjoy your #holiday rebates by @FortisBC. To learn more about ENERGY STAR certified smart thermostats, visit: https://t.co/uwo8ghqUy9 https://t.co/VgjQ2DbgGR",0,3,2017-12-14 20:42:29
941405235905486848,Small #BusinessOwners—don’t miss this amazing opportunity to get ENERGY STAR certified lighting products https://t.co/8GC8SAzMx3 https://t.co/ksY67rZk0P,0,3,2017-12-14 20:31:13
941403615289401344,Want to #SaveMoney this #HolidaySeason? Check out this video from @SaveonEnergyOnt featuring @Bryan_Baeumler ! #EnergyEfficiency https://t.co/8GC8SAzMx3 https://t.co/AnploqRtVL,0,2,2017-12-14 20:24:46
941403332672917505,"Check out this great rebate by @SaveonEnergyOnt to stay in your comfort zone, whenever and wherever. It pairs well with ENERGY STAR certified smart thermostats 😁https://t.co/uwo8ghqUy9 @greenONfund https://t.co/cVXuDiZtaa",0,2,2017-12-14 20:23:39
941382433999671297,Don’t let warm air and your hard-earned money sneak out the window! Lower your bills with ENERGY STAR. #WinterTips https://t.co/1SotVqcDJo https://t.co/8ID24OViBX,2,6,2017-12-14 19:00:36
941345065724710912,Want to save #Money on your electricity bill? Check out this program by @ONenergy for more details. https://t.co/yqJosy4B3n,0,3,2017-12-14 16:32:07
941344636626505733,Fantastic rebate program from @greenONfund—no better time to invest in ENERGY STAR certified products to make your home #energyefficient and combat #climatechange https://t.co/8GC8SAzMx3 https://t.co/cC4Mggax6r,1,5,2017-12-14 16:30:25
941337281927045120,Hosting a #ChristmasParty this weekend? Keep these low-cost tips in mind to keep your bills low this #HolidaySeason: #ThursdayThoughts https://t.co/38q7LYSvQx,2,5,2017-12-14 16:01:11
941324603523239937,Helpful tips to conquer the cold from our friends at @enbridgegas! https://t.co/aZG9c4Bv4H,0,3,2017-12-14 15:10:49
941319167164272640,MORE REBATES from @efficiencyAB! It’s the perfect time to #SaveMoney with ENERGY STAR certified products https://t.co/8GC8SAzMx3 https://t.co/SgIX07y2lS,0,3,2017-12-14 14:49:12
941318567655505922,Great #savings program announced! Renovate your home with ENERGY STAR certified products to save even more AND reduce your carbon footprint. #ClimateAction #EnergyEfficiency https://t.co/8GC8SAzMx3 https://t.co/451Xr9OpqP,1,3,2017-12-14 14:46:50
941309275946864646,Selling your home in #NovaScotia and want to know its value and #energyefficiency rating? Check out this exciting news! https://t.co/BQ3KS6nygP,0,2,2017-12-14 14:09:54
941308698642862085,RT @LimageHome: Broken Christmas lights? Don't throw them away! Here's a way to easily to fix them! Save $!! https://t.co/e8UzVwfnEv https:…,1,0,2017-12-14 14:07:37
941307538204692480,#BC– Time’s ticking… End of year is almost here! Get up to a $100 rebate when you upgrade to an ENERGY STAR certified thermostat #Savings https://t.co/uwo8ghqUy9 https://t.co/b4bnqJdIUx,0,2,2017-12-14 14:03:00
941307458282315776,"#Ontario! If you’re due for a new heating system, the time to buy is now! Upgrade to ENERGY STAR certified HVAC products &amp; get a #rebate 💰#HolidaySavings
https://t.co/LPpzNPHdFn https://t.co/CKHAsTU3M5",0,3,2017-12-14 14:02:41
941306569454694400,"Some very helpful #WinterTips from @TorontoHydro! Investing in ENERGY STAR certified windows are definitely wise, especially when it comes to comfort and reducing energy costs. https://t.co/P2xeA0qY5m https://t.co/b6OCeGRRdO",0,2,2017-12-14 13:59:09
941306449694806016,RT @HydroOne: Clear the space around your radiator or baseboard heater to make sure that it allows heat to circulate efficiently. Don’t blo…,6,0,2017-12-14 13:58:40
941050277548974090,"Saving energy at home is nice, but don’t forget about your office! Plug your printer &amp; computer into a power bar to turn everything off with one simple flick of a switch!
https://t.co/IIcsB1ARDT https://t.co/VdnI7H1rWb",0,7,2017-12-13 21:00:44
940974953255657472,"Going on vacation for the #WinterBreak? Manage your home’s energy use remotely while you’re away with an ENERGY STAR certified smart thermostat. 
https://t.co/uwo8ghqUy9 https://t.co/h9Vf8U36AJ",0,8,2017-12-13 16:01:25
940687769038450689,"Buy ENERGY STAR certified light strings to #SaveEnergy &amp; #ProtectThePlanet. That’s a gift our planet will love this #Christmas!
https://t.co/2XDqpbt2WO https://t.co/7yZ2FXn14O",1,6,2017-12-12 21:00:15
940660289837719557,Choose ENERGY STAR certified LED bulbs for your hair salon to be an energy ⭐️ and use up to 90% less energy! https://t.co/mZE4MPw6aK https://t.co/XRIR2GNHwy,1,3,2017-12-12 19:11:04
940660125450285056,RT @ONenergy: Are you a business owner in @CityWaterloo and want to reduce your #energy costs? You may qualify for the free Advanced Power…,4,0,2017-12-12 19:10:25
940658970418728960,"Wow, that’s a lot of money back in your pockets! Consider ENERGY STAR certified commercial fridges and freezers for your business to use 40% less energy! https://t.co/wnNG9w5rN1 https://t.co/i5DL1RNNnc",0,7,2017-12-12 19:05:49
940623763892310017,RT @EnergyPlusInc: Struggling to keep your home at the right temperature now that the cold weather is here? These 5 easy tips will keep you…,5,0,2017-12-12 16:45:55
940623134511845377,"Thanks for the shoutout @efficiencyAB ! It’s always an #EnergyEfficient choice when you look for the little blue logo when shopping for new appliances. To learn more about ENERGY STAR certified appliances, visit https://t.co/uY4xuKoWKJ https://t.co/CCayWqngcG",0,3,2017-12-12 16:43:25
940620615094063104,Great #EnergySaving tip to pair with ENERGY STAR certified smart thermostats! #Savings https://t.co/uwo8ghqUy9 https://t.co/SOOmRUFXf9,0,3,2017-12-12 16:33:25
940620519312945152,RT @EMRYukon: Yukoneres who purchase an ENERGY STAR® washing machine qualify for a rebate. Get more info at #GoodEnergy https://t.co/tNgOCH…,1,0,2017-12-12 16:33:02
940620410709790720,#BC business owners! Get lots of $$$ back in @FortisBC #rebates when you upgrade to ENERGY STAR certified heating equipment and appliances #TisTheSeason for #EnergySaving❄️ https://t.co/OgmHKcPrdJ https://t.co/hrhLVmCAYC,0,4,2017-12-12 16:32:36
940620310071607297,"#Yukoners! Learn more about @NRCan’s energy assessment here:
https://t.co/eFXBtCS4lc https://t.co/bJsHvIglX1",1,2,2017-12-12 16:32:12
940612560998592512,"Gift your family with a new ENERGY STAR certified TV just in time to watch the #PyeongChang2018 Olympics #Peace4Me
https://t.co/2wPpJ5Yhnv https://t.co/Mc9CJP7hTt",0,3,2017-12-12 16:01:24
940325396943462404,"As temperatures continue to drop, stay cozy by insulating and sealing outer walls, ceilings, windows and floors. #MondayMotivation 
https://t.co/KZL0PnettN https://t.co/XblrqOjvNg",1,8,2017-12-11 21:00:19
940306479478988800,Purchase green-certified electronics for your loved ones during #GreenMonday! There’s nothing like a gift that gives back to the environment 🌎 🎁 https://t.co/KFtgXlDcgQ https://t.co/cn1v7PrbUt,2,8,2017-12-11 19:45:09
940282669073608706,RT @AWWCanada: Give the gift that keeps on giving with @EnergyStar_Can electronics!  Save your loved ones energy &amp; money: https://t.co/pj6q…,1,0,2017-12-11 18:10:32
940282617622122496,"RT @AWWCanada: It's not too late to winterize! There are still a few months of cold ahead. 

Learn about @ENERGYSTAR_CAN's approved window…",2,0,2017-12-11 18:10:20
940249897089060865,"#SaveEnergy by purchasing ENERGY STAR certified products to get on #Santa’s nice list and he’ll grant you a lower utility bill! #MondayMotivation 
https://t.co/OgmHKcPrdJ https://t.co/1ov8OI0jFM",0,7,2017-12-11 16:00:19
939963001788084224,"Avoid an ice cold bath this winter with an ENERGY STAR certified tankless water heater and use 30% less energy!
https://t.co/V7I3VbXAQN https://t.co/yuhsdOPXd1",6,6,2017-12-10 21:00:17
