,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
782,913750545722208256,1,1,2017-09-29 13:01:21,We bring your ideas to life on . Think more Indigenous community-owned projects &amp; green homes,"['#GenEnergy', '#CleanEnergy']","['https://t.co/BGrWyv3tiw', 'https://t.co/iGChE7PEG3']"
783,913742745822474240,1,4,2017-09-29 12:30:21,The National Seismograph Network was first established during the -58 International Geophysical Year,['#GSC175'],"['https://t.co/OrfQP1VCqt', 'https://t.co/iPYDzRsYDn']"
784,913509172708302850,16,24,2017-09-28 21:02:13,. had a lot to say about our energy future! Check it out,['#GenEnergy'],"['https://t.co/qpXvkID6tb', 'https://t.co/dd1Y3KLrni']"
785,913493791545413632,4,2,2017-09-28 20:01:06,YOU are a key to getting 🇨🇦 to a low-carbon future. Take the poll and tell us what actions you’re excited to take!,[],['https://t.co/13NAiiEqzv']
786,913488348563505153,52,0,2017-09-28 19:39:28,: Prime Minister Justin Trudeau attends ’s Farewell to Parliament.,[],['https://t.co/Sk0o7okDqr']
787,913488245001928704,153,0,2017-09-28 19:39:04,: Prime Minister Justin Trudeau thanks for his service to Canada and Canadians:,[],['https://t.co/z4w1K0dfgF']
788,913479536376975360,5,7,2017-09-28 19:04:27,"Our capital Ottawa, originally known as Bytown, flourished as a result of 🇨🇦’s growing timber trade","['#TBT', '#NationalForestWeek']",['https://t.co/1kQHnh0RLt']
789,913455815926968320,3,8,2017-09-28 17:30:12,"Get your copy of the redesigned Trees in Canada, now available for purchase at your bookseller",[],"['https://t.co/WmuyCtqs7I', 'https://t.co/GPQOP0uXoG']"
790,913436636058390528,6,2,2017-09-28 16:13:59,. encourages Canadians to participate in the conversation! 9u,['#GenEnergy'],"['https://t.co/HRkDQuKL6Z', 'https://t.co/e6WZNXxe']"
791,913420953782296581,5,11,2017-09-28 15:11:40,Min Carr speaks at the Sustainable Forestry Initiative Annual Conference,"['#SFIconf', '#NationalForestWeek']",['https://t.co/l4a7H1rpIn']
792,913414830467448834,6,0,2017-09-28 14:47:20,: &amp; speak to the forests of the future &amp; exciting opportunities for in the forest…,['#CdnInnovation'],[]
793,913414593908760576,1,0,2017-09-28 14:46:24,: Planting of a white spruce at Laurentian Forestry Centre to celebrate,['#NatTreeDay'],['https://t.co/gmvjQtGIVy']
794,913414393504964608,5,0,2017-09-28 14:45:36,": ""A healthy planet needs healthy forests. That's why we at are working every day to make the planet healthier. Forests…",['#CFS'],[]
795,913414333752840193,15,0,2017-09-28 14:45:22,": ""If you're not collaborating, you're not in the game. It's in collaboration that you start to find the answers to all the c…",[],[]
796,913412054228377601,2,0,2017-09-28 14:36:18,: James Dyson &amp; Elon Musk have this in common: -Dyson has begun work on a battery electric vehicle &amp; it's due https:…,['#EVs'],[]
797,913411879946551297,10,0,2017-09-28 14:35:37,: could be the new source of ! ️ | …,"['#Evaporation', '#renewableenergy', '#cleanenergy', '#electricity', '#inno']",['https://t.co/SZzpYUXP2X']
798,913411791128023041,1,0,2017-09-28 14:35:16,: . discusses how Generation Energy and are charting 's low-carbon future,"['#Canada', '#energy']",['https://t.co/m5QLb\xe2\x80\xa6']
799,913411520993923073,16,0,2017-09-28 14:34:11,: Here are Canadian energy trends compared with Germany.,[],['https://t.co/Pvw1J\xe2\x80\xa6']
800,913410680950329344,1,2,2017-09-28 14:30:51,Calling all media: join the conversation on October -12 in,"['#GenEnergy', '#Winnipeg']",['https://t.co/VCzgfi26Pr']
801,913388022682591239,22,29,2017-09-28 13:00:49,Learn cool facts about our forests! Check out the latest State of Canada's Annual Report 0,"['#forests', '#NRCanSci']","['https://t.co/cDh8YMHoE', 'https://t.co/E2flmAsDJS']"
802,913380329192337408,2,2,2017-09-28 12:30:14,The Canadian Scientific Ship (CSS) Hudson is one of the world’s oldest active research vessels,['#GSC175'],"['https://t.co/XmQuFhGR1L', 'https://t.co/PH2dSGwMOa']"
803,913149306449924097,7,9,2017-09-27 21:12:14,Its out! We're happy to release our latest State of Canada's Forests Annual Report on 2,['#NationalTreeDay'],"['https://t.co/9oezSGHOKO', 'https://t.co/EWjIQPuGt']"
804,913137882671575041,4,6,2017-09-27 20:26:51,. says the youth of 🇨🇦 are going to change the way we power our lives! See what else she said,['#GenEnergy'],['https://t.co/ZgRrfAbXFo']
805,913135726237306880,4,0,2017-09-27 20:18:17,: kicking off the CIF conference in an impactful way - 'change is the new constant',['#CIF2017'],['https://t.co/\xe2\x80\xa6']
806,913135674232119296,15,0,2017-09-27 20:18:04,: Happy ! We help protect our beautiful forests by monitoring for plant pests.,"['#NationalTreeDay', '#invasive', '#NTD2017']",['https://t.\xe2\x80\xa6']
807,913135555893956608,66,0,2017-09-27 20:17:36,: Find out about the role &amp; responsibilities of ’s new : …,"['#Canada', '#ChiefScienceAdvisor', '#CdnSci']",['https://t.co/njv7JU8Q0J']
808,913131307412131840,7,7,2017-09-27 20:00:43,Your ideas come alive as we imagine net-zero campuses &amp; car-sharing centres in a clean energy future U,['#GenEnergy'],"['https://t.co/V1Yb6KSA5J', 'https://t.co/nZA6Az6oo']"
809,913129808829263872,0,1,2017-09-27 19:54:46,The Canada Youth Champion project is in full swing! Check out one of the,['#EnerNerds'],['https://t.co/b2YW4vmDLj']
810,913129698665861120,2,3,2017-09-27 19:54:19,Check out to see more like Shakti talk about why they are so passionate about Canada’s future!,"['#EnerNerds', '#RenewableEnergy']",['https://t.co/RepHwBWpHB']
811,913122669884735488,4,0,2017-09-27 19:26:24,: What is an EnerGuide home label and how it can help appeal to energy-conscious buyers: é …,['#CREACaf'],['https://t.co/VMMPk4Kwp3']
812,913119227489505281,7,11,2017-09-27 19:12:43,Min Carr celebrated at a tree planting ceremony with as part of,"['#NationalTreeDay', '#NationalForestWeek']",['https://t.co/Nk10sm83FF']
813,913116418018877445,1,0,2017-09-27 19:01:33,The Sustainable Forestry Initiative Annual Conference starts today,[],"['https://t.co/VX0CDXIACw', 'https://t.co/MgmLqP15v5']"
814,913086865967808517,1,2,2017-09-27 17:04:07,,['#NationalForestWeek'],['https://t.co/oZiCIkGXbg']
815,913078137965170694,2,2,2017-09-27 16:29:26,Join in helping move Canada forward! Submit your ideas for our national dialogue,['#GenEnergy'],"['https://t.co/HRkDQuKL6Z', 'https://t.co/MaRiKIMLiw']"
816,913071426479034369,2,3,2017-09-27 16:02:46,Whitesand First Nation switched from diesel to biomass to fuel their community? 0,"['#DYK', '#Indigenous', '#GenEnergy']","['https://t.co/YGVfNxo7p', 'https://t.co/6AYbLAK9AA']"
817,913058243202752512,1,0,2017-09-27 15:10:23,: is a growing plight in North American forests. Learn what can be done limits it's spread!,['#EmeraldAshBorer'],['https://t.co/PrvEH\xe2\x80\xa6']
818,913058176249028608,19,0,2017-09-27 15:10:07,: Can you beLEAF it? has a new app to help you learn about trees!,['#NationalForestWeek'],['https://t.co/MF3tgQHRdM']
819,913058016794202113,267,0,2017-09-27 15:09:29,: It’s an honour to have been chosen as ’s new . I look forward to my new role.,"['#Canada', '#ChiefScienceAdvisor']",['https://t.co/Cq0O\xe2\x80\xa6']
820,913042251336634369,0,1,2017-09-27 14:06:50,Here’s one of the Youth Champions selected to host a dialogue in their local community!,['#GenEnergy'],['https://t.co/heokMLgFqv']
821,913030909196193792,212,0,2017-09-27 13:21:46,: Aged -24? Want to make a difference in your community and country? Apply for the now!,['#PMYouthCouncil'],['https://t.co/x9KrnQ\xe2\x80\xa6']
822,913017993646526464,1,1,2017-09-27 12:30:27,GSC began geological and geophysical subsurface studies of older rocks below the seafloor in the s,['#GSC175'],"['https://t.co/4CbMKbvjSa', 'https://t.co/dkvEktYi3i']"
823,913017748313305089,1,0,2017-09-27 12:29:28,: Canadian research community coming together at event. …,"['#geothermal', '#sustainable']",[]
824,913017663806459905,2,0,2017-09-27 12:29:08,: It's National Forest Week in Canada - a great time to revisit these great articles by Cc http…,[],['https://t.co/stBJMgQs']
825,913016989328838657,2,0,2017-09-27 12:26:27,: Congratulations to Dr. Mona Nemer on her appointment as for Canada,"['#ChiefScienceAdvisor', '#NRCanSci', '#CdnSci']",['https://t.co/N4k\xe2\x80\xa6']
826,912784057456570370,0,0,2017-09-26 21:00:52,We asked Ministers to tell us what Canada’s energy future looks like to them! Here’s what Min Hehr had to say,"['#GoC', '#GenEnergy']",['https://t.co/O6ypLBlDnI']
827,912774697485570050,41,0,2017-09-26 20:23:41,: Watch Prime Minister Justin Trudeau and Kirsty Duncan’s announcement live:,[],['https://t.co/74ePRteK2O']
828,912758369009700864,5,0,2017-09-26 19:18:48,: Our team talked &amp; national strategy for ’s transition with today! …,"['#GR', '#coppertheft', '#Canada', '#energy', '#Alberta']",[]
829,912758126088253440,3,0,2017-09-26 19:17:50,: New blog: 's pushing 🇨🇦's energy conversation fwd &amp; highlighting need to decarbonize economy,['#GenEnergy'],['https://t.co/XBA\xe2\x80\xa6']
830,912757994663874561,4,0,2017-09-26 19:17:18,: About % of Cdns are interested in buying an &amp; with good reason. Find out why …,"['#ElectricVehicle', '#N']",['https://t.co/e60ru5FBai']
831,912757825767649280,3,0,2017-09-26 19:16:38,: Canadas provides key minerals/metals crucial for making ? …,"['#DYK', '#miningindustry', '#electricvehicles', '#N']",['https://t.co/e60ru5FBai']
832,912757718875873280,3,0,2017-09-26 19:16:13,: Here's your chance to have your say on the future of in Can. Go to to find out how …,"['#energy', '#Genera']",['https://t.co/w16Vq651pz']
833,912739580591394816,11,9,2017-09-26 18:04:08,Doing anything cool for ? Tell us and our followers!,['#NationalForestWeek'],['https://t.co/AAKXpEvluK']
834,912739573276581889,1,1,2017-09-26 18:04:06,Min Hehr asks CDNs from coast-to-coast-to-coast to join us in helping move 🇨🇦’s energy future forward!,['#GenEnergy'],"['https://t.co/HRkDQuKL6Z', 'https://t.co/6JXSOhhRKg']"
835,912738433562488832,2,0,2017-09-26 17:59:35,: Learn about the different types of information &amp; how to use it in decision-making. Visit 's resource: ht…,['#climate'],[]
836,912728285469138944,4,0,2017-09-26 17:19:15,: Starting the day on a panel discussion with Justin Nathwani and Linda Nazar …,"['#generationenergy', '#NRCanSci']",[]
837,912728242573991936,3,0,2017-09-26 17:19:05,: Getting ready to talk serious science on Looking forward to some amazing…,['#generationenergy'],[]
838,912728030396784645,3,0,2017-09-26 17:18:14,": . with , &amp; Linda Nazar discussing impact of frontier science on …",['#generationenergy'],[]
839,912727810141298690,5,0,2017-09-26 17:17:22,: PFC houses an internationally recognized pathology herbarium and an insect collection dating back a century …,"['#NRCanSci', '#Nationa']",[]
840,912727664057835520,32,0,2017-09-26 17:16:47,: The Fort McMurray wildfires caused air pollution spikes as far away as Massachusetts.,['#ymmwildfire'],['https://t.co/K3NZkaCRP4']
841,912727423447441408,44,0,2017-09-26 17:15:50,": Ontario has million hectares of forest – an area equal to Germany, Italy and the Netherlands combined. …","['#DYK', '#NationalFo']",[]
842,912727192295165952,15,0,2017-09-26 17:14:54,": Did you know it’s ? will be “treeting” about it, check them out! 🤣",['#NationalForestWeek'],[]
843,912727065388109824,7,0,2017-09-26 17:14:24,: …,[],[]
844,912678639938015232,2,2,2017-09-26 14:01:59,is about engaging all Canadians! We want to hear from peoples during our virtual forum:,"['#GenEnergy', '#Indigenous']","['https://t.co/UfKGbn03Am', 'https://t.co/aD9Al41YcK']"
845,912676810076426240,11,8,2017-09-26 13:54:42,Now available - Download the latest version of My Tree app,['#NationalForestWeek'],"['https://t.co/njmAIx71Ko', 'https://t.co/iQ7XHEqLDz']"
846,912655539594760193,0,4,2017-09-26 12:30:11,GSC scientists used the IBM to produce its first digital Open File,['#GSC175'],"['https://t.co/WzJ6wCmeao', 'https://t.co/wCpHX2uMiB']"
