comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
390423974747468_390665151390017,370233926766473_390423974747468,,Belle photo!👍🤗👌😀,2017-12-07 09:30:59,0,0,0,0,0,0,0,0
381405128982686_381432802313252,370233926766473_381405128982686,,"En raison de difficultés techniques, il nous est impossible de diffuser en direct.",2017-11-16 06:46:19,0,0,0,0,0,0,0,0
