Unnamed: 0,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
352,377625007887_10155638977572888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155638977572888/?type=3,2017-08-18 19:00:27,1,0,3,1,0,0,0,0,0,0,Très drôle jusqu’à ce que vous aveugliez un pilote… Ne dirigez pas un laser vers le ciel. C’est pas brillant comme idée.,['#PasBrillant'],[],le ce que vous aveugliez un Ne dirigez pas un laser vers le ciel est pas brillant comme,"['le', 'ce', 'que', 'vous', 'aveugliez', 'un', 'Ne', 'dirigez', 'pas', 'un', 'laser', 'vers', 'le', 'ciel', 'est', 'pas', 'brillant', 'comme']","['le', 'ce', u'que', u'vous', u'aveugliez', 'un', 'ne', u'dirigez', u'pas', 'un', u'laser', u'ver', 'le', u'ciel', u'est', u'pas', u'brillant', u'comm']"
353,377625007887_10155638536482888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155638536482888/?type=3,2017-08-18 15:01:01,1,1,10,1,0,0,0,0,0,0,"Rappel : Mercedes GLE. Lorsque les freins sont appliqués, le moteur pourrait s’arrêter avant l’immobilisation du véhicule.",[],['http://ow.ly/mbXF30ew8sK'],Rappel Mercedes GLE Lorsque les freins sont le moteur pourrait avant immobilisation du hicule,"['Rappel', 'Mercedes', 'GLE', 'Lorsque', 'les', 'freins', 'sont', 'le', 'moteur', 'pourrait', 'avant', 'immobilisation', 'du', 'hicule']","[u'rappel', u'merced', u'gle', u'lorsqu', u'les', u'frein', u'sont', 'le', u'moteur', u'pourrait', u'avant', u'immobilis', 'du', u'hicul']"
354,377625007887_10155637463637888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155637463637888/?type=3,2017-08-18 07:01:08,0,0,0,0,0,0,0,0,0,0,éressant : Il y a près de passages à niveau publics et privés sur plus de km de voies ferrées au Canada.,['#FaitInt'],[],ressant Il de passages niveau publics et sur plus de km de voies es au Canada,"['ressant', 'Il', 'de', 'passages', 'niveau', 'publics', 'et', 'sur', 'plus', 'de', 'km', 'de', 'voies', 'es', 'au', 'Canada']","[u'ressant', 'il', 'de', u'passag', u'niveau', u'public', 'et', u'sur', u'plus', 'de', 'km', 'de', u'voi', 'es', 'au', u'canada']"
355,377625007887_10155631262587888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155631262587888/?type=3,2017-08-15 19:00:45,1,0,0,0,1,0,0,0,0,0,Qu’est-ce que éTV? C’est notre programme écoTECHNOLOGIE pour véhicules. En savoir plus :,[],['http://ow.ly/rqNV30cWN2T'],est ce que TV est notre programme coTECHNOLOGIE pour hicules En savoir plus,"['est', 'ce', 'que', 'TV', 'est', 'notre', 'programme', 'coTECHNOLOGIE', 'pour', 'hicules', 'En', 'savoir', 'plus']","[u'est', 'ce', u'que', 'tv', u'est', u'notr', u'programm', u'cotechnologi', u'pour', u'hicul', 'en', u'savoir', u'plus']"
356,377625007887_10155629779422888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155629779422888/?type=3,2017-08-15 07:01:02,0,1,0,0,0,0,0,0,0,0,"Mardi-devinette : Dans l’eau froide, quelle partie du corps perd sa chaleur le plus rapidement? A. La tête B. Le buste C. L’aine D. Toutes ces réponses",[],[],Mardi devinette Dans eau froide quelle partie du corps perd sa chaleur le plus rapidement La Le buste aine Toutes ces ponses,"['Mardi', 'devinette', 'Dans', 'eau', 'froide', 'quelle', 'partie', 'du', 'corps', 'perd', 'sa', 'chaleur', 'le', 'plus', 'rapidement', 'La', 'Le', 'buste', 'aine', 'Toutes', 'ces', 'ponses']","[u'mardi', u'devinett', u'dan', u'eau', u'froid', u'quell', u'parti', 'du', u'corp', u'perd', 'sa', u'chaleur', 'le', u'plus', u'rapid', 'la', 'le', u'bust', u'ain', u'tout', u'ces', u'pons']"
357,377625007887_10155628583452888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155628583452888/?type=3,2017-08-14 19:00:43,1,0,2,1,0,0,0,0,0,0,Parlez de sécurité ferroviaire avec vos enfants. Voici quelques conseils :,[],['http://ow.ly/Tyg730cWMET'],Parlez de ferroviaire avec vos enfants Voici quelques conseils,"['Parlez', 'de', 'ferroviaire', 'avec', 'vos', 'enfants', 'Voici', 'quelques', 'conseils']","[u'parlez', 'de', u'ferroviair', u'avec', u'vos', u'enfant', u'voici', u'quelqu', u'conseil']"
358,377625007887_10155627010792888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155627010792888/?type=3,2017-08-14 07:01:21,2,0,2,2,0,0,0,0,0,0,Ne mettez pas votre vie en jeu. Portez toujours un gilet de sauvetage à bord d’une embarcation!,[],['http://ow.ly/duVY30ejOBr'],Ne mettez pas votre vie en jeu Portez toujours un gilet de sauvetage bord une embarcation,"['Ne', 'mettez', 'pas', 'votre', 'vie', 'en', 'jeu', 'Portez', 'toujours', 'un', 'gilet', 'de', 'sauvetage', 'bord', 'une', 'embarcation']","['ne', u'mettez', u'pas', u'votr', u'vie', 'en', u'jeu', u'portez', u'toujour', 'un', u'gilet', 'de', u'sauvetag', u'bord', u'une', u'embarc']"
359,377625007887_10155624095232888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155624095232888/?type=3,2017-08-13 07:00:50,6,1,1,6,0,0,0,0,0,0,"Le contrôle de stabilité en roulis, ça vous dit quelque chose? Si vous répondez non, visitez :",[],['http://ow.ly/7owt30aCMU7'],Le le de en roulis vous dit quelque chose Si vous pondez non visitez,"['Le', 'le', 'de', 'en', 'roulis', 'vous', 'dit', 'quelque', 'chose', 'Si', 'vous', 'pondez', 'non', 'visitez']","['le', 'le', 'de', 'en', u'rouli', u'vous', u'dit', u'quelqu', u'chose', 'si', u'vous', u'pondez', u'non', u'visitez']"
360,377625007887_10155620217972888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155620217972888/?type=3,2017-08-11 19:00:48,7,0,1,7,0,0,0,0,0,0,Les bateaux peuvent couper leur moteur et se brancher au réseau électrique alimenté par des sources d’énergie renouvelable au Port de Montréal,['#GES'],[],Les bateaux peuvent couper leur moteur et se brancher au seau lectrique par des sources nergie renouvelable au Port de al,"['Les', 'bateaux', 'peuvent', 'couper', 'leur', 'moteur', 'et', 'se', 'brancher', 'au', 'seau', 'lectrique', 'par', 'des', 'sources', 'nergie', 'renouvelable', 'au', 'Port', 'de', 'al']","[u'les', u'bateaux', u'peuvent', u'couper', u'leur', u'moteur', 'et', 'se', u'brancher', 'au', u'seau', u'lectriqu', u'par', u'des', u'sourc', u'nergi', u'renouvel', 'au', u'port', 'de', 'al']"
361,377625007887_10155619290507888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155619290507888/?type=3,2017-08-11 11:30:45,3,1,1,3,0,0,0,0,0,0,Les ministres Garneau et LeBlanc prennent des mesures pour éviter la mort de baleines noires dans le golfe du Saint-Laurent,[],[],Les ministres Garneau et LeBlanc prennent des mesures pour viter la mort de baleines noires dans le golfe du Saint Laurent,"['Les', 'ministres', 'Garneau', 'et', 'LeBlanc', 'prennent', 'des', 'mesures', 'pour', 'viter', 'la', 'mort', 'de', 'baleines', 'noires', 'dans', 'le', 'golfe', 'du', 'Saint', 'Laurent']","[u'les', u'ministr', u'garneau', 'et', u'leblanc', u'prennent', u'des', u'mesur', u'pour', u'viter', 'la', u'mort', 'de', u'balein', u'noir', u'dan', 'le', u'golf', 'du', u'saint', u'laurent']"
