,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
423,423,401846167974_10154032734707975,2016-02-24 08:03:11,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154032734707975/?type=3,"Did you know the MV Fundy Rose is named after the Bay of Fundy and Rose Fortune? Rose Fortune was a woman born into slavery who relocated to the Annapolis Valley during the American Revolution and made a significant impact in her community.
(Image courtesy of the Nova Scotia Archives)",Did you know the MV Fundy Rose is named after the Bay of Fundy and Rose Fortune? Rose Fortune was a woman born into slavery who relocated to the Annapolis Valley during the American Revolution and made a significant impact in her community. (Image courtesy of the Nova Scotia Archives),[],11,1,1,11,0,0,0,0,0,0,13,Social,en,0.0,TransportandInfrastructureinCanada_facebook,"['archives', 'community', 'mer']",neutral
493,493,401846167974_10154006535272975,2016-02-12 20:02:16,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154006535272975/?type=3,"Did you know, by the mid-1800s, Great Lakes steamers, scows, and sailboats were regularly used by Underground Railroad agents to transport freed slaves to Canadian shores? http://ow.ly/XBCF3","Did you know, by the mid-1800s, Great Lakes steamers, scows, and sailboats were regularly used by Underground Railroad agents to transport freed slaves to Canadian shores?",[],8,1,2,8,0,0,0,0,0,0,11,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['or', 'lakes', 'mer']",neutral
565,565,401846167974_10154031142407975,2016-02-23 14:01:29,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154031142407975/?type=3,"This is not a lake. It’s wastewater infrastructure in Meadow Lake, Saskatchewan. The storm retention pond, funded by the Government of Canada, helps protect the wastewater system from high storm water volumes.","This is not a lake. It’s wastewater infrastructure in Meadow Lake, Saskatchewan. The storm retention pond, funded by the Government of Canada, helps protect the wastewater system from high storm water volumes.",[],10,0,0,10,0,0,0,0,0,0,10,Economical,en,0.0,TransportandInfrastructureinCanada_facebook,"['infrastructure', 'government']",neutral
573,573,401846167974_10154044098102975,2016-02-28 20:01:36,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154044098102975/?type=3,"Ring, ring? Nope! Leave the phone alone when driving. http://www.tc.gc.ca/s87c3","Ring, ring? Nope! Leave the phone alone when driving.",[],6,1,3,6,0,0,0,0,0,0,10,unknown,en,0.0,TransportandInfrastructureinCanada_facebook,,neutral
685,685,401846167974_10153985526862975,2016-02-03 11:00:41,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153985526862975/?type=3,Recall: 2016 Lexus RX 350 & 450H  SUVs. The driver's knee air bag may have been improperly assembled. http://www.tc.gc.ca/zyusc,Recall: Lexus RX & H SUVs. The driver's knee air bag may have been improperly assembled. c,[],5,0,3,5,0,0,0,0,0,0,8,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,['air'],neutral
716,716,401846167974_10153981127322975,2016-02-07 12:00:01,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153981127322975/?type=3,"Make the right play this Super Bowl Sunday. If you plan on drinking, plan ahead for a sober ride home. MADD Canada","Make the right play this Super Bowl Sunday. If you plan on drinking, plan ahead for a sober ride home. MADD Canada",[],5,1,2,5,0,0,0,0,0,0,8,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,['or'],neutral
706,706,401846167974_10153981129152975,2016-02-05 16:00:01,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153981129152975/?type=3,"Plan ahead for your Super Bowl celebrations. Drive safe, drive sober and MADD Canada, Ontario Provincial Police, RCMP-GRC, Royal Newfoundland Constabulary Police","Plan ahead for your Super Bowl celebrations. Drive safe, drive sober and MADD Canada, Ontario Provincial Police, RCMP-GRC, Royal Newfoundland Constabulary Police",[],7,0,1,7,0,0,0,0,0,0,8,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['or', 'ice']",neutral
667,667,401846167974_10154017810937975,2016-02-17 20:02:35,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154017810937975/?type=3,Winter blues have you dreaming of summer? Why not get your Pleasure Craft Operator Card? http://www.tc.gc.ca/6i6qg,Winter blues have you dreaming of summer? Why not get your Pleasure Craft Operator Card?,[],7,0,1,7,0,0,0,0,0,0,8,Social,en,0.0,TransportandInfrastructureinCanada_facebook,"['ami', 'mer']",neutral
662,662,401846167974_10154004287132975,2016-02-11 20:02:22,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154004287132975/?type=3,Did you know that child seats have expiry dates? Make sure you replace yours when it expires. http://www.tc.gc.ca/4a3wm,Did you know that child seats have eiry dates? Make sure you replace yours when it eires.,[],4,1,3,4,0,0,0,0,0,0,8,unknown,en,0.0,TransportandInfrastructureinCanada_facebook,,neutral
736,736,401846167974_10153989593392975,2016-02-08 18:00:01,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153989593392975/?type=3,"Carnaval de Québec runs from Jan 29 to Feb 14. Come see Bonhomme, but leave your drone at home.","Carnaval de Québec runs from Jan to Feb . Come see Bonhomme, but leave your drone at home.",[],7,0,0,7,0,0,0,0,0,0,7,unknown,fr,0.0,TransportandInfrastructureinCanada_facebook,,neutral
737,737,401846167974_10153991426667975,2016-02-06 08:02:42,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153991426667975/?type=3,Planning a road trip for Hockey Day in Canada? Pack an emergency kit. Check your tire pressure.Clear your vehicle of snow/ice.,Planning a road trip for Hockey Day in Canada? Pack an emergency kit. Check your tire pressure.Clear your vehicle of snow/ice.,[],6,0,1,6,0,0,0,0,0,0,7,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['or', 'ice', 'mer']",neutral
745,745,401846167974_10153989315227975,2016-02-05 08:03:07,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153989315227975/?type=3,"Fun Fact Friday: Until 1970, the Canadian Meteorology Service operated under Transport Canada. http://www.tc.gc.ca/jgmx3 
National Weather Persons Day!","Fun Fact Friday: Until , the Canadian Meteorology Service operated under Transport Canada. National Weather Persons Day!",[],6,0,1,6,0,0,0,0,0,0,7,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['or', 'ice']",neutral
826,826,401846167974_10154045483832975,2016-02-29 12:03:39,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154045483832975/?type=3,"Automobile safety has improved by leaps & bounds over the years! This leap day, learn how far we’ve come. http://ow.ly/Y5ish","Automobile safety has improved by leaps & bounds over the years! This leap day, learn how far we’ve come.",[],5,0,1,5,0,0,0,0,0,0,6,Social,en,0.0,TransportandInfrastructureinCanada_facebook,['safe'],neutral
836,836,401846167974_10153989622212975,2016-02-10 08:00:08,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153989622212975/?type=3,Railway porters championed human rights and ended discrimination in railway employment. Learn more: http://ow.ly/XBzNn Canadian Immigration and Citizenship,Railway porters championed human rights and ended discrimination in railway employment. Learn more: Canadian Immigration and Citizenship,[],6,0,0,6,0,0,0,0,0,0,6,Social,en,0.0,TransportandInfrastructureinCanada_facebook,"['human rights', 'discrimination']",neutral
843,843,401846167974_10153986395352975,2016-02-03 20:01:57,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10153986395352975/?type=3,"Before driving, make sure to remove all snow and ice from your vehicle! 
http://www.tc.gc.ca/ta5dm","Before driving, make sure to remove all snow and ice from your vehicle!",[],6,0,0,6,0,0,0,0,0,0,6,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,"['or', 'ice']",neutral
927,927,401846167974_10154006097832975,2016-02-12 16:00:33,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154006097832975/?type=3,Recall: 2013-2016 Scion FR-S cars. The automatic transmission & ignition key may not meet Canadian standards. http://www.tc.gc.ca/dztjs,Recall: -2016 Scion FR-S cars. The automatic transmission & ignition key may not meet Canadian standards.,[],2,0,3,2,0,0,0,0,0,0,5,unknown,en,0.0,TransportandInfrastructureinCanada_facebook,,neutral
1056,1056,401846167974_10154005876217975,2016-02-12 14:00:54,https://www.facebook.com/TransportandInfrastructureinCanada/photos/a.10151569797817975.1073741825.401846167974/10154005876217975/?type=3,Driver’s frontal Takata air bag recalled on several years of SAAB & Saturn cars. http://www.tc.gc.ca/9hcms,Driver’s frontal Takata air bag recalled on several years of SAAB & Saturn cars.,[],2,0,2,2,0,0,0,0,0,0,4,Environmental,en,0.0,TransportandInfrastructureinCanada_facebook,['air'],neutral
