,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
17,17,925046744576090113,2017-10-30 17:08:25,['https://t.co/\xe2\x80\xa6'],RT @MPO_DFO: Le Canada a atteint son objectif de #ConservationMarine visant à protéger 5% de ses #océans avant la fin 2017 🇨🇦 https://t.co/…,RT Le Canada atteint son objectif de ConservationMarine visant ger de ses ans avant la fin 2017 https co,"['#ConservationMarine', '#oc']",16,0,16,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['conservation', 'marine']"
95,95,921066089777385472,2017-10-19 17:30:43,['https://t\xe2\x80\xa6'],RT @MPO_DFO: Est-ce que votre projet risque de nuire aux espèces aquatiques en péril? Vérifiez les cartes à jour en ligne du MPO! https://t…,RT Est ce que votre projet risque de nuire aux ces aquatiques en ril rifiez les cartes jour en ligne du MPO https,[],8,0,8,unknown,fr,0.0,Neutral,MPO_Centre_tweeter,
82,82,925046789408993280,2017-10-30 17:08:35,['https://\xe2\x80\xa6'],RT @MPO_DFO: Merci à tous nos partenaires &amp; intervenants qui nous ont aidés à remplir nos objectifs visant à protéger nos #océans! https://…,RT Merci tous nos partenaires amp intervenants qui nous ont remplir nos objectifs visant ger nos ans https,['#oc'],8,0,8,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['mer', 'air']"
245,245,915698730501902336,2017-10-04 22:02:44,['https://t\xe2\x80\xa6'],RT @GCC_CCG: NGCC Pierre Radisson de retour à Québec demain après voyage en Islande pour Forum des gardes côtières de l’Arctique. https://t…,RT NGCC Pierre Radisson de retour bec demain voyage en Islande pour Forum des gardes res de Arctique https,[],5,0,5,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,['or']
255,255,920749208847646720,2017-10-18 20:31:32,[],"RT @GCC_CCG: Pour l’#affairepersonne, Nous sommes fiers de présenter CA Gascon, dédiée à assurer des opportunités égales chaque employé! #P…",RT Pour affairepersonne Nous sommes fiers de senter CA Gascon assurer des gales chaque,"['#affairepersonne', '#P']",5,0,5,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['gas', 'air']"
260,260,921120603997986816,2017-10-19 21:07:20,[],RT @GCC_CCG: Deux #HarfangDesNeiges à bord du NGCC Sir Wilfrid Laurier dans la mer des Tchouktches. Joli gros plan de l'un d'eux sur la clo…,RT Deux HarfangDesNeiges bord du NGCC Sir Wilfrid Laurier dans la mer des Tchouktches Joli gros plan de un eux sur la,['#HarfangDesNeiges'],5,0,5,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['or', 'mer']"
271,271,917845123152666624,2017-10-10 20:11:44,[],RT @GCC_CCG: NGCC DesGroseilliers de retour à #Québec demain après sa mission annuelle en #Arctique. A aidé au ravitaillement de la station…,RT NGCC DesGroseilliers de retour bec demain sa mission annuelle en Arctique au ravitaillement de la,"['#Qu', '#Arctique']",5,0,5,unknown,fr,0.0,Neutral,MPO_Centre_tweeter,
290,290,915301340523450369,2017-10-03 19:43:39,[],RT @GCC_CCG: Octobre est le mois de l’Histoire des Femmes! Nous célèbrerons les réalisations de femmes à la GCC. #histoiredesfemmes #prendr…,RT Octobre est le mois de Histoire des Femmes Nous brerons les alisations de femmes la GCC histoiredesfemmes,"['#histoiredesfemmes', '#prendr']",5,0,5,Social,fr,0.0,Neutral,MPO_Centre_tweeter,['femmes']
339,339,925017600903532544,2017-10-30 15:12:36,[],RT @GCC_CCG: Céline Gagnon #PrendreSaPlace comme Matelot en travaillant à bord de NGCC Amundsen. @femme_Canada #GCCFière #FaireSaMarque htt…,RT line Gagnon PrendreSaPlace comme Matelot en travaillant bord de NGCC Amundsen FaireSaMarque,"['#PrendreSaPlace', '#GCCFi', '#FaireSaMarque']",4,0,4,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['or', 'air']"
341,341,925017620302258183,2017-10-30 15:12:41,[],RT @GCC_CCG: #BravoZulu à nos nouveaux diplômés du programme de service de communication et de trafic maritime! Nous vous souhaitons le mei…,RT BravoZulu nos nouveaux du programme de service de communication et de trafic maritime Nous vous souhaitons le,['#BravoZulu'],4,0,4,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['eau', 'ice']"
344,344,925511687419121664,2017-10-31 23:55:56,[],RT @grcrcmppolice: Oct. 1942 : la goélette St-Roch de la #GRC devient le 2e navire à franchir le passage du Nord-Ouest et le 1er à le faire…,RT grcrcmppolice Oct 1942 la lette St Roch de la GRC devient le 2e navire franchir le passage du Nord Ouest et le 1er le,['#GRC'],4,0,4,Environmental,fr,0.0,Neutral,MPO_Centre_tweeter,"['or', 'ice']"
334,334,923976864103837697,2017-10-27 18:17:05,[],RT @GCC_CCG: Lisa Earle est responsable des opérations de 45 navires &amp; 8 hélicoptères @Femmes_Canada  #PrendreSaPlace #HistoireDesFemmes #G…,RT Lisa Earle est responsable des rations de 45 navires amp res PrendreSaPlace HistoireDesFemmes,"['#PrendreSaPlace', '#HistoireDesFemmes', '#G']",4,0,4,Social,fr,0.0,Neutral,MPO_Centre_tweeter,['femmes']
297,297,915698603888439302,2017-10-04 22:02:14,[],"RT @GCC_CCG: Voici la trévire, une technique de sauvetage, contribuant à éliminer les barrières de genre! #prendresaplace @Femmes_Canada ht…",RT Voici la vire une technique de sauvetage contribuant liminer les res de genre prendresaplace,['#prendresaplace'],4,0,4,unknown,fr,0.0,Neutral,MPO_Centre_tweeter,
573,573,915698531092062208,2017-10-04 22:01:57,['https://t.co/jmSgsYAAk4'],RT @Transports_gc: Vous voulez enlever un #BateauAbandonné? Notre #PlanDeProtectionDesOcéans pourrait vous aider. https://t.co/jmSgsYAAk4 h…,RT Vous voulez enlever un Notre ans pourrait vous aider https co jmSgsYAAk4,"['#BateauAbandonn', '#PlanDeProtectionDesOc']",3,0,3,unknown,fr,0.0,Neutral,MPO_Centre_tweeter,
587,587,918555512714784768,2017-10-12 19:14:34,['https://\xe2\x80\xa6'],"RT @salledepresseGC: Les opérations de la GCC en Arctique prendront fin bientôt, après une saison prolongée et occupée. #GCCFière! https://…",RT salledepresseGC Les rations de la GCC en Arctique prendront fin une saison et https,['#GCCFi'],3,0,3,unknown,fr,0.0,Neutral,MPO_Centre_tweeter,
