,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
26,26,2017-08-31_13-42-45,2017-08-31 13:42:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c2e78340c5259dcbc3117503afa809fc/5AE7FE67/t51.2885-15/e35/21224251_336991996754984_9092887584622772224_n.jpg,"A helicopter flies over the Canadian Shield in the district of Keewatin, Northwest Territories, west of Hudson Bay, in",TBT helicopter flies Canadian Shield district Keewatin Northwest Territories west Hudson Bay 1952,"[""tbt""]",0,29,29,Environmental,en,0.0,naturalresourcescanada_instagram,['or'],neutral
31,31,2017-08-04_10-51-32,2017-08-04 10:51:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8bbcdc57acbce3a930544d2ce8874145/5AFC8B76/t51.2885-15/e35/20589955_869287163237656_2750481624540905472_n.jpg,"Student research assistants Nicolas Piette-Lauziere and Zoik Brault are in the field at the edge of Cape Breton Highlands National Park. They are proudly displaying their commemorative t-shirts! Over the last month, Nicolas and Zoik have been mapping a fault zone on Cape Breton Island that separates rocks with different geological histories on either side. By studying the fault zone in the field, and collecting samples to study in the lab, Nicolas hopes to discover when and why it formed, and how it may have created a pathway for magma deep in the Earth’s crust to rise and form granite.",Student research assistants Nicolas Piette Lauziere Zoik Brault field edge Cape Breton Highlands National Park proudly displaying GSC175 commemorative shirts nOver last month Nicolas Zoik mapping fault zone Cape Breton Island separates rocks different geological histories either side studying fault zone field collecting samples study lab Nicolas hopes discover formed may created pathway magma deep crust rise form granite,"[""gsc175""]",0,26,26,Environmental,en,0.0,naturalresourcescanada_instagram,"['lands', 'park', 'or']",neutral
38,38,2017-08-14_11-23-11,2017-08-14 11:23:11,https://instagram.fyvr3-1.fna.fbcdn.net/vp/65338329897f6d0dc51dbe4db45145b6/5AF2B655/t51.2885-15/e35/20766486_902503283231568_2575036969323069440_n.jpg,PS Rudd joins panel discussion on how to increase women’s employment in the sector,PS Rudd joins panel discussion increase employment NaturalResources sector EMMC2017,"[""naturalresources"",""emmc2017""]",0,24,24,Environmental,en,0.0,naturalresourcescanada_instagram,"['natural', 'or', 'resources']",neutral
42,42,2017-08-15_07-41-45,2017-08-15 07:41:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3c4c46440ee3997ff8965b6819167d15/5AF01B55/t51.2885-15/e35/20901994_1964857143760580_406993819683258368_n.jpg,Minister Carr delivers address on the federal vision for the transition to a clean economy in the sector,Minister Carr delivers address federal vision transition clean economy NaturalResources sector EMMC2017,"[""naturalresources"",""emmc2017""]",0,23,23,Environmental,en,0.0,naturalresourcescanada_instagram,"['natural', 'resources', 'clean', 'or']",neutral
61,61,2017-08-02_07-43-57,2017-08-02 07:43:57,https://instagram.fyvr3-1.fna.fbcdn.net/vp/aa944c6dff41d6d86f553ab5d4eeb97a/5AF3DC56/t51.2885-15/e35/20479332_460114744364886_1006986049261404160_n.jpg,"“What will Canada’s energy picture look like in the year ?” Looking beyond their current work and eertise, participants of the Generation Energy roundtable at Dalhousie University were asked for their vision of Canada’s future energy mix. A diverse group — students, academics, Indigenous representatives, energy consultants, members of civil society — they had plenty of insights ready for Natural Resources Canada’s Minister, Jim Carr. Dal graduate Samantha Peverell provided her thoughts: “GenEnergy isn’t just about generating energy — it’s about saving energy, too.”",energy picture look like year 2040 Looking beyond current work expertise participants Generation Energy roundtable Dalhousie University asked vision future energy mix nA diverse group students academics Indigenous representatives energy consultants members civil society plenty insights ready Natural Resources Minister Jim Carr nDal graduate Samantha Peverell provided thoughts GenEnergy generating energy saving energy,[],0,21,21,Social,en,0.0,naturalresourcescanada_instagram,"['civil', 'students', 'future', 'futur', 'indigenous']",neutral
66,66,2017-08-14_11-12-58,2017-08-14 11:12:58,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e991acb191d81d068f47c5b1dfa10776/5AE2B0E0/t51.2885-15/e35/20759808_1909919879331740_4269044243495911424_n.jpg,"Minister Carr welcomes colleagues from across Canada to with Minister Doucet in St. Andrews, NB",Minister Carr welcomes colleagues across Canada EMMC2017 Minister Doucet St Andrews NB,"[""emmc2017""]",0,20,20,Economical,en,0.0,naturalresourcescanada_instagram,['minister'],neutral
88,88,2017-08-15_08-05-09,2017-08-15 08:05:09,https://instagram.fyvr3-1.fna.fbcdn.net/vp/82d07b6610361f86bad1a3800b29665c/5ADE30DD/t51.2885-15/e35/20766393_177210866156098_2107434821721522176_n.jpg,"Min Carr & Min Doucet present award to JoAnne Nelson, recipient of the CPGeologists’ Medal",Min Carr Min Doucet present award JoAnne Nelson recipient Medal EMMC2017,"[""emmc2017""]",0,17,17,unknown,en,0.0,naturalresourcescanada_instagram,,neutral
115,115,2017-08-29_13-24-30,2017-08-29 13:24:30,https://instagram.fyvr3-1.fna.fbcdn.net/vp/24b8e52169dbe00cb7f5336cc1027e3d/5AE63CB9/t51.2885-15/e35/21107883_142323436365971_11920080434626560_n.jpg,Great ideas on Canada's opportunities & challenges from today's Halifax workshop w/ Maritimes Energy,Great ideas Canada EnergyFuture opportunities challenges today GenEnergy Halifax workshop Maritimes Energy,"[""energyfuture"",""genenergy""]",0,14,14,Social,en,0.0,naturalresourcescanada_instagram,"['future', 'futur']",neutral
114,114,2017-08-24_13-06-05,2017-08-24 13:06:05,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b3bf407419a7502344badda184c95739/5B26DA80/t51.2885-15/e35/21041502_1636842569659291_1052908007093960704_n.jpg,"A geologist looks out over the peaks of the Cassiar Mountains in B.C., .",TBT geologist looks peaks Cassiar Mountains 1994,"[""tbt""]",0,14,14,unknown,et,0.0,naturalresourcescanada_instagram,,neutral
112,112,2017-08-16_05-41-13,2017-08-16 05:41:13,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d54625cbab31cb12be8d855b4e930569/5AD8E570/t51.2885-15/e35/20902206_1438639849562666_6115185980916891648_n.jpg,"Minister Carr and Minister Doucet test out from New Brunswick Power, showcasing commitment to a coast-to-coast alternative fuel network",Minister Carr Minister Doucet test EV New Brunswick Power showcasing commitment coast coast alternative fuel network EMMC2017,"[""ev"",""emmc2017""]",0,14,14,Economical,en,0.0,naturalresourcescanada_instagram,"['alternative', 'minister']",neutral
