,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
14,14,377625007887_10155546702027888,2017-07-18 17:00:58,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155546702027888/?type=3,Rappel : VTT Kawasaki. Fuite possible du robinet de carburant. http://ow.ly/K6LP30dJg9E,Rappel : VTT Kawasaki. Fuite possible du robinet de carburant.,[],3,9,113,3,0,0,0,0,0,0,125,unknown,en,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
33,33,377625007887_10155535470242888,2017-07-15 15:00:49,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155535470242888/?type=3,Transports Canada prend de l’expansion! Nous embauchons des analystes des politiques et des économistes. Postulez dès aujourd’hui pour faire partie de l’avenir des transports! tc.gc.ca/emplois,Transports Canada prend de l’eansion! Nous embauchons des analystes des politiques et des économistes. Postulez dès aujourd’hui pour faire partie de l’avenir des transports!,[],5,0,44,5,0,0,0,0,0,0,49,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,"['or', 'air']",neutral
43,43,377625007887_10155556522107888,2017-07-21 14:45:11,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155556522107888/?type=3,"Pendant une patrouille aérienne, notre équipe du Programme national de surveillance aérienne a aperçu le Terry Fox de la Garde côtière canadienne en train d’escorter un bateau dans la baie Frobisher.","Pendant une patrouille aérienne, notre équipe du Programme national de surveillance aérienne a aperçu le Terry Fox de la Garde côtière canadienne en train d’escorter un bateau dans la baie Frobisher.",[],16,3,17,14,0,2,0,0,0,0,36,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,"['eau', 'or']",neutral
58,58,377625007887_10155530633757888,2017-07-14 07:32:45,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155530633757888/?type=3,Rappel : Véhicules Ford et Lincoln. Problème de soudure : le convertisseur de couple pourrait se détacher du disque d’entraînement. http://ow.ly/EE4T30dD5uc,Rappel : Véhicules Ford et Lincoln. Problème de soudure : le convertisseur de couple pourrait se détacher du disque d’entraînement. uc,[],5,0,23,5,0,0,0,0,0,0,28,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,"['or', 'vert']",neutral
72,72,377625007887_10155553540882888,2017-07-20 17:00:58,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155553540882888/?type=3,"Rappel : VUS Honda CR-V. Le tuyau d’alimentation et la conduite de carburant pourraient se séparer : fuite possible.  
http://ow.ly/rCAg30dN0lE",Rappel : VUS Honda CR-V. Le tuyau d’alimentation et la conduite de carburant pourraient se séparer : fuite possible.,[],4,0,20,4,0,0,0,0,0,0,24,Social,fr,0.0,TransportsetInfrastructureauCanada_facebook,['alimentation'],neutral
80,80,377625007887_10155567248602888,2017-07-24 17:01:04,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155567248602888/?type=3,Les rappels concernant les coussins gonflables Takata au Canada ont été élargis. Vérifiez si votre véhicule est visé par ces rappels : http://www.tc.gc.ca/azhzw,Les rappels concernant les coussins gonflables Takata au Canada ont été élargis. Vérifiez si votre véhicule est visé par ces rappels :,[],3,2,15,2,0,0,0,0,1,0,20,unknown,fr,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
93,93,377625007887_10155524120142888,2017-07-12 11:00:00,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10155524120142888/,Votre petit laser pourrait vous coûter jusqu’à 100 000$. Pourquoi? Regardez ceci pour le savoir. www.canada.ca/PasBrillant,Votre petit laser pourrait vous coûter jusqu’à $. Pourquoi? Regardez ceci pour le savoir.,[],9,1,8,9,0,0,0,0,0,0,18,unknown,fr,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
96,96,377625007887_10155525813622888,2017-07-12 19:00:48,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155525813622888/?type=3,En ce jour en 1836 : Mise en service du chemin de fer Champlain et Saint-Laurent entre La Prairie et Saint-Jean-sur-Richelieu.,En ce jour en : Mise en service du chemin de fer Champlain et Saint-Laurent entre La Prairie et Saint-Jean-sur-Richelieu.,[],8,2,8,6,2,0,0,0,0,0,18,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,"['ice', 'air']",neutral
121,121,377625007887_10155570881847888,2017-07-25 17:01:26,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155570881847888/?type=3,"Rappel : Véhicules Toyota, Lexus et Scion. Les cordons d’alimentation du chauffe-bloc posé par le concessionnaire pourraient provoquer un court-circuit. 
http://ow.ly/38P130dUj0t","Rappel : Véhicules Toyota, Lexus et Scion. Les cordons d’alimentation du chauffe-bloc posé par le concessionnaire pourraient provoquer un court-circuit.",[],3,0,13,3,0,0,0,0,0,0,16,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,"['or', 'air']",neutral
127,127,377625007887_10155589525492888,2017-07-31 19:00:39,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155589525492888/?type=3,Vous vous demandez ce que vous pouvez apporter en avion? Voici une liste de ce qui est INTERDIT : http://ow.ly/S6gm30cWLsV,Vous vous demandez ce que vous pouvez apporter en avion? Voici une liste de ce qui est INTERDIT :,[],1,0,14,0,1,0,0,0,0,0,15,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,['or'],neutral
