,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
486,486,831563980997025794,2017-02-14 18:01:17,['https://t.co/JiQdXCsM5P'],"RT @DFO_Science: Interested in climate change impacts on planktonic ecosystems? So is DFO scientist, Diane Lavoie https://t.co/JiQdXCsM5P #…",RT Interested climate change impacts planktonic ecosystems DFO scientist Diane Lavoie https co JiQdXCsM5P,['#'],6,0,6,Environmental,en,0.25,Neutral,DFO_CCG_Quebec_tweeter,"['climate change', 'climate', 'climat', 'ecosystem']"
487,487,834065646384209920,2017-02-21 15:42:00,['https://t.co/x4WBLPh0l'],"RT @DFO_Science: Hydrographer, Julie Larrivée, ensures boat safety in the St. Lawrence #WomenInScience https://t.co/x4WBLPh0lu",RT Hydrographer Julie ensures boat safety St Lawrence WomenInScience https co x4WBLPh0lu,['#WomenInScience'],6,0,6,Social,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['safe', 'women']"
541,541,829723044000198656,2017-02-09 16:06:03,[],"RT @CCG_GCC: 3/4 They are steaming towards Sydney Harbour, NS. Approx. 50 NM from destination.",RT steaming towards Sydney Harbour NS Approx 50 NM destination,[],5,0,5,Social,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,['ami']
544,544,829723023934648322,2017-02-09 16:05:59,[],RT @CCG_GCC: 2/4 The tow has been successfully transferred to private tug this morning.,RT tow successfully transferred private tug morning,[],5,0,5,Environmental,en,0.375,Positive,DFO_CCG_Quebec_tweeter,['or']
548,548,831205315442069505,2017-02-13 18:16:04,"['https://t.co/NppilMEVH', 'https://t.co/\xe2\x80\xa6']","RT @CCG_GCC: #WorkHard, learn lots, have fun and get a great job out of it! Join the #CCGCollege now: https://t.co/NppilMEVHd https://t.co/…",RT WorkHard learn lots fun get great job Join CCGCollege https co NppilMEVHd https co,"['#WorkHard', '#CCGCollege']",5,0,5,Environmental,en,0.65,Positive,DFO_CCG_Quebec_tweeter,['or']
549,549,829723003919486976,2017-02-09 16:05:54,[],RT @CCG_GCC: 1/4 CCGS #SirWilliamAlexander successfully secured the MV Thorco Crown overnight with a tow line.,RT CCGS SirWilliamAlexander successfully secured MV Thorco Crown overnight tow line,['#SirWilliamAlexander'],5,0,5,Social,en,0.75,Positive,DFO_CCG_Quebec_tweeter,['crown']
631,631,833004008923099140,2017-02-18 17:23:26,[],"RT @CCG_GCC: 2/2 The #CCG prioritizes operations to ensure safety and environmental needs are met for Canadians, including industry.",RT CCG prioritizes operations ensure safety environmental needs met Canadians including industry,['#CCG'],4,0,4,Social,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,['safe']
627,627,831591061298540544,2017-02-14 19:48:53,['https://t.co/\xe2\x80\xa6'],"RT @DFO_Science: Learn how DFO scientist, Diane Lavoie, analyzes climate impacts on marine ecosystems #WomenInScience #cdnsci https://t.co/…",RT Learn DFO scientist Diane Lavoie analyzes climate impacts marine ecosystems WomenInScience cdnsci https co,"['#WomenInScience', '#cdnsci']",4,0,4,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['ecosystem', 'climate', 'marine', 'climat']"
626,626,833004037503143936,2017-02-18 17:23:33,[],"RT @CCG_GCC: 3/3 The #CCG will maintain #icebreaker capacity in other areas along the #StLawrenceRiver for safety, traffic flow and flood p…",RT CCG maintain icebreaker capacity areas along StLawrenceRiver safety traffic flow flood,"['#CCG', '#icebreaker', '#StLawrenceRiver']",4,0,4,Social,en,-0.125,Neutral,DFO_CCG_Quebec_tweeter,['safe']
610,610,834419311569682432,2017-02-22 15:07:21,['https://t.co/bCd0VApIW'],"RT @DFO_Science: Learn how DFO scientist, Nancy Shackell, is keeping tabs on climate change impacts on halibut https://t.co/bCd0VApIWC 
#Wo…",RT Learn DFO scientist Nancy Shackell keeping tabs climate change impacts halibut https co bCd0VApIWC,['#Wo'],4,0,4,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['climate change', 'climate', 'climat']"
