,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
591,591,757607279084658689,2016-07-25 16:03:45,['https://t.co/CiuBJXDcLa'],#DYK China is the world’s 3rd-largest importer of fish and seafood products. #CdnAg is its 5th-largest supplier: https://t.co/CiuBJXDcLa,DYK China 3rd largest importer fish seafood products CdnAg 5th largest supplier https co CiuBJXDcLa,"['#DYK', '#CdnAg']",5,3,8,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,['import']
596,596,756575896727916548,2016-07-22 19:45:24,"['https://t.co/kGrJBrfjSS', 'https://t.co/gHGucfF3z']",#AgFPT16 wraps-up with Mins agreeing on the direction for the Next Agricultural Framework https://t.co/kGrJBrfjSS https://t.co/gHGucfF3zD,AgFPT16 wraps Mins agreeing direction Next Agricultural Framework https co kGrJBrfjSS https co gHGucfF3zD,['#AgFPT16'],5,3,8,Environmental,en,0.0,Neutral,AAFC_Canada_tweeter,['or']
609,609,755809734981218304,2016-07-20 17:00:57,"['https://t.co/RmLM5kJrTK', 'https://t.co/27OiCKN5JL']",We’re all ears! Share your ideas to best serve #CdnAg: https://t.co/RmLM5kJrTK #AgFPT16 #AgNPF https://t.co/27OiCKN5JL,ears Share ideas best serve CdnAg https co RmLM5kJrTK AgFPT16 AgNPF https co 27OiCKN5JL,"['#CdnAg', '#AgFPT16', '#AgNPF']",5,3,8,unknown,en,1.0,Positive,AAFC_Canada_tweeter,
590,590,757622424791871492,2016-07-25 17:03:56,['https://t.co/A7uiqz35S7'],Want your #CdnAg #SME to find market success? Our funding can help you: https://t.co/A7uiqz35S7,Want CdnAg SME find market success funding help https co A7uiqz35S7,"['#CdnAg', '#SME']",3,5,8,Economical,en,0.3,Neutral,AAFC_Canada_tweeter,['funding']
719,719,756202911118532608,2016-07-21 19:03:18,['https://t.co/8MtShnNZrn'],#CdnAg Ministers from across the country convene in #Calgary for Annual Conference #AgFPT16 https://t.co/8MtShnNZrn,CdnAg Ministers across country convene Calgary Annual Conference AgFPT16 https co 8MtShnNZrn,"['#CdnAg', '#Calgary', '#AgFPT16']",3,4,7,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,['minister']
749,749,758345579793612800,2016-07-27 16:57:30,"['https://t.co/NBdwtyKUjJ', 'https://t.co/IFxHCF9S1T']",Find out how scientists are using wind tunnels to help corn grow and thrive: https://t.co/NBdwtyKUjJ #DiscoverAg https://t.co/IFxHCF9S1T,Find scientists using wind tunnels help corn grow thrive https co NBdwtyKUjJ DiscoverAg https co IFxHCF9S1T,['#DiscoverAg'],4,3,7,Environmental,en,0.0,Neutral,AAFC_Canada_tweeter,['or']
895,895,759093895770898432,2016-07-29 18:31:02,['https://t.co/Bzkf25Bohr'],#GoC invests $3.4 million in #CdnAg biotech innovator developing #nanobodies to improve poultry health &amp; food safety https://t.co/Bzkf25Bohr,GoC invests million CdnAg biotech innovator developing nanobodies improve poultry health amp food safety https co Bzkf25Bohr,"['#GoC', '#CdnAg', '#nanobodies']",3,3,6,Social,en,0.0,Neutral,AAFC_Canada_tweeter,"['safe', 'health']"
932,932,755820888482865152,2016-07-20 17:45:16,['https://t.co/sd1023CQ8Y'],#GoC invests $6M to help promote #CdnAg #beef in global markets: https://t.co/sd1023CQ8Y,GoC invests 6M help promote CdnAg beef global markets https co sd1023CQ8Y,"['#GoC', '#CdnAg', '#beef']",4,2,6,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,"['invest', 'global']"
934,934,756183376671936513,2016-07-21 17:45:40,['https://t.co/e4EROabrWV'],Expanding #NB’s #CdnAg with $37 million in #GF2 investments! @Gov_NB #AgFPT16 https://t.co/e4EROabrWV,Expanding CdnAg 37 million GF2 investments AgFPT16 https co e4EROabrWV,"['#NB', '#CdnAg', '#GF2', '#AgFPT16']",4,2,6,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,['invest']
952,952,759053705559674881,2016-07-29 15:51:20,"['https://t.co/2FnDYH38B', 'https://t.co/lqGxNnA3UE']","DYK North America has been growing sweet corn for over 1,200 years? Learn more: https://t.co/2FnDYH38Bc #DiscoverAg https://t.co/lqGxNnA3UE",DYK North America growing sweet corn 200 years Learn https co 2FnDYH38Bc DiscoverAg https co lqGxNnA3UE,['#DiscoverAg'],3,3,6,Environmental,en,0.425,Positive,AAFC_Canada_tweeter,"['or', 'mer']"
