,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
16,16,2017-09-25_11-28-46,2017-09-25 11:28:46,https://instagram.fyvr3-1.fna.fbcdn.net/vp/853333a7bdbd2270ea9149d7280a3551/5AD9F382/t51.2885-15/e35/22069631_954954957992001_4738380896460079104_n.jpg,Venez profiter de nos beaux arbres canadien à l’Arboretum d’ près de la Ferme eérimentale pendant la êts,Venez profiter de nos beaux arbres canadien Arboretum Ottawa de la Ferme rimentale pendant la,"[""ottawa"",""semainenatforêts""]",0,6,6,Environmental,ca,0.0,ressourcenaturellescanada_instagram,"['arbre', 'eau', 'or', 'arbres']",neutral
21,21,2017-09-14_13-34-22,2017-09-14 13:34:22,https://instagram.fyvr3-1.fna.fbcdn.net/vp/58013ed8c108c4657d7c9e18fd0fe53a/5AD89238/t51.2885-15/e35/21689961_1947275848880249_8512042091616927744_n.jpg,Les participants à un atelier énÉnergie tenu aujourd’hui parlent de l’avenir de l’électricité et des au Canada,Les participants un atelier nergie tenu hui parlent de avenir de et des renouvelables au Canada Ottawa,"[""génénergie"",""électricité"",""renouvelables"",""ottawa""]",0,5,5,Social,fr,0.0,ressourcenaturellescanada_instagram,['avenir'],neutral
51,51,2017-09-14_13-45-46,2017-09-14 13:45:46,https://instagram.fyvr3-1.fna.fbcdn.net/vp/730d5b3b3e21ad105f5f06af917463bd/5AF77DD7/t51.2885-15/e35/21576488_192403404634187_4383661080786763776_n.jpg,On demande aux participants : « Quels changements ont marqué le secteur de l’électricité et des renouvelables depuis ans? » énÉnergie,demande aux participants Quels changements ont le secteur de et des renouvelables depuis 30 ans nergie,"[""génénergie""]",0,3,3,Social,fr,0.0,ressourcenaturellescanada_instagram,"['changement', 'change']",neutral
53,53,2017-09-13_13-47-02,2017-09-13 13:47:02,https://instagram.fyvr3-1.fna.fbcdn.net/vp/19d2aca2f60d7abd573a7dc26c32c4c1/5AF8B7D4/t51.2885-15/e35/21576887_466159810422300_6666440987499298816_n.jpg,Le SMA Glenn Mason du service canadien des forêts salue les membres d’un atelier énÉnergie sur le rôle de la bioénergie forestière dans notre avenir énergétique,Le SMA Glenn Mason du service canadien des salue les membres un atelier nergie sur le le de la nergie dans notre avenir tique Ottawa,"[""génénergie"",""ottawa""]",0,3,3,Social,fr,0.0,ressourcenaturellescanada_instagram,['avenir'],neutral
56,56,2017-09-27_13-11-45,2017-09-27 13:11:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/46ff2314c11baefc41ae7ca7e8dc5cd4/5AF699A0/t51.2885-15/e35/21985464_1114394015360390_7045176980391591936_n.jpg,Pour la Journée nationale de l'abre : le ministre Jim Carr plante un arbre à une cérémonie avec dans le cadre de la Semaine nationale des forêts,Pour la nationale de abre le ministre Jim Carr plante un arbre une monie avec treecanada bytownmuseum dans le cadre de la Semaine nationale des,[],0,3,3,Environmental,fr,0.0,ressourcenaturellescanada_instagram,"['arbre', 'tree']",neutral
65,65,2017-09-08_11-18-45,2017-09-08 11:18:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/34e7771c1ec94f4b667bec0caf04da5b/5AFC183B/t51.2885-15/e35/21435683_129718810986195_2252753339374632960_n.jpg,"Des membres de l’industrie, Canada West Fdn et CAPP OilGasCanada discutent de l’avenir des hydrocarbures à une table ronde énÉnergie à",Des membres de industrie Canada West Fdn et CAPP OilGasCanada discutent de avenir des hydrocarbures une table ronde nergie Calgary,"[""génénergie"",""calgary""]",0,3,3,Economical,fr,0.0,ressourcenaturellescanada_instagram,"['industrie', 'oil']",neutral
102,102,2017-09-27_10-10-32,2017-09-27 10:10:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8c8d8f2ff78029207efba5ab17f67f59/5A63728F/t51.2885-15/e15/21980532_154369068490388_2686874340003151872_n.jpg,Contribuez à l’avancement du Canada en joignant ! Erimez vos idées durant notre dialogue national énÉnergie,Contribuez avancement du Canada en joignant mindessciences Exprimez vos es durant notre dialogue national nergie www generationenergie ca,"[""génénergie""]",0,2,2,unknown,fr,0.0,ressourcenaturellescanada_instagram,,neutral
103,103,2017-09-26_14-46-23,2017-09-26 14:46:23,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c88b36cbbb1c8ea3d58ebc39370aec57/5A63FCA6/t51.2885-15/e15/22070809_125646658040607_4628518313087991808_n.jpg,Le ministre Hehr invite tous les Canadiens à nous aider à concrétiser l’avenir énergétique du Canada! énÉnergie,Le ministre Hehr invite tous les Canadiens nous aider tiser avenir tique du Canada nergie www generationenergie ca,"[""génénergie""]",0,2,2,Social,fr,0.0,ressourcenaturellescanada_instagram,['avenir'],neutral
186,186,2017-09-20_13-54-44,2017-09-20 13:54:44,https://instagram.fyvr3-1.fna.fbcdn.net/vp/29dd21365a762002a8e68d7035e18a69/5AFBD98A/t51.2885-15/e35/21910158_1968889023335833_8102428509386833920_n.jpg,"Voyez comment inspire un secteur des transports plus écoénergétique, un étudiant à la fois: generationenergie.ca énÉnergie",Voyez comment inspire un secteur des transports plus tique un tudiant la fois generationenergie ca nergie,"[""écoénergétique"",""génénergie""]",0,1,1,Economical,fr,0.0,ressourcenaturellescanada_instagram,"['secteur', 'transport']",neutral
208,208,2017-09-29_14-33-29,2017-09-29 14:33:29,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a145c44a04a9c56a726b50f82b9bcc53/5A647C81/t51.2885-15/e15/22069711_2010623255837977_3812642696292466688_n.jpg,Faites partie de la génération qui dessine l’avenir énergétique du Canada avec Min Sohi! énÉnergie,Faites partie de la ration qui dessine avenir tique du Canada avec Min Sohi www generationenergy ca nergie,"[""génénergie""]",0,1,1,Social,fr,0.0,ressourcenaturellescanada_instagram,['avenir'],neutral
209,209,2017-09-29_11-16-19,2017-09-29 11:16:19,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a552199524054331b9601821773f0a5b/5A64563E/t51.2885-15/e15/22070786_367983233631279_3943742346755047424_n.jpg,Min Sohi imagine un avenir où les sources d’énergie seront diversifiées au Canada. Participez à la conversation! énÉnergie,Min Sohi imagine un avenir les sources nergie seront es au Canada Participez la conversation nergie,"[""génénergie""]",0,1,1,Social,fr,0.0,ressourcenaturellescanada_instagram,['avenir'],neutral
219,219,2017-09-28_09-19-43,2017-09-28 09:19:43,https://instagram.fyvr3-1.fna.fbcdn.net/vp/42f150e44d387f9c5e6864fe4ffa2bcc/5A640173/t51.2885-15/e15/22069866_2022120624688626_4364286539149082624_n.jpg,La ministre McKenna encourage les Canadiens à participer à la conversation énÉnergie!,La ministre McKenna encourage les Canadiens participer la conversation nergie,"[""génénergie""]",0,1,1,Economical,fr,0.0,ressourcenaturellescanada_instagram,['ministre'],neutral
221,221,2017-09-28_14-18-41,2017-09-28 14:18:41,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b92f4fec311328521235a7bbe09eb967/5AFF0673/t51.2885-15/e35/22071379_122629768437416_5264806546780454912_n.jpg,Le ministre Jim Carr prend la parole au congrès annuel de la SFI (Sustainable Forestry Initiative) durant la Semaine nationale de l’arbre et des,Le ministre Jim Carr prend la parole au annuel de la SFI Sustainable Forestry Initiative durant la Semaine nationale de arbre et des forets,"[""forets""]",0,0,0,Environmental,fr,0.0,ressourcenaturellescanada_instagram,"['sustainable', 'arbre', 'or']",neutral
224,224,2017-09-11_12-57-01,2017-09-11 12:57:01,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8f5f8e4d59f8a7827caf4e7965bcaf0b/5AEE4F07/t51.2885-15/e35/21568790_300996613715010_7964193608280571904_n.jpg,Un autre atelier énÉnergie réussi! Merci à csiTO pour son aide dans la de solutions énergétiques!,Un autre atelier nergie ussi Merci csiTO pour son aide dans la ProductionParticipative de solutions tiques,"[""génénergie"",""productionparticipative""]",0,0,0,Environmental,fr,0.0,ressourcenaturellescanada_instagram,['mer'],neutral
234,234,2017-09-27_13-33-25,2017-09-27 13:33:25,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1591bf7f80e5c50fa4142a90bf0c0ecd/5A63EA34/t51.2885-15/e15/21981010_133745697366763_5703290899174260736_n.jpg,a dit que les jeunes du CA changeront notre façon d’utiliser l’énergie! Voici ce qu’elle a dit d’autre énÉnergie,mindessciences dit que les jeunes du CA changeront notre utiliser nergie Voici ce elle dit autre nergie,"[""génénergie""]",0,0,0,Social,fr,0.0,ressourcenaturellescanada_instagram,"['jeunes', 'change']",neutral
235,235,2017-09-28_14-11-35,2017-09-28 14:11:35,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f026bb78307900d9d1bb23206213296e/5A6370EF/t51.2885-15/e15/22069537_1384722438314678_5937004426509156352_n.jpg,La ministre McKenna avait beaucoup à dire au sujet de notre avenir énergétique! Voyez sa vidéo! énÉnergie,La ministre McKenna avait beaucoup dire au sujet de notre avenir tique Voyez sa nergie,"[""génénergie""]",0,0,0,Social,fr,0.0,ressourcenaturellescanada_instagram,['avenir'],neutral
