,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
63,63,632493333805962_657866821268613,2017-12-04 11:47:29,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/657866821268613/?type=3,"2018 marks the Canada-China Year of Tourism. Canadian Prime Minister, Justin Trudeau, Canadian Minister of Small Business and Tourism, Bardish Chagger and Minister of Environment and Climate Change, Catherine McKenna, welcome Chinese tourists to our beautiful Parks Canada places ‒ Canadian national treasures! Plan your trip here: http://ow.ly/6g0V30h06Vz","marks the Canada-China Year of Tourism. Canadian Prime Minister, Justin Trudeau, Canadian Minister of Small Business and Tourism, Bardish Chagger and Minister of Environment and Climate Change, Catherine McKenna, welcome Chinese tourists to our beautiful Parks Canada places ‒ Canadian national treasures! Plan your trip here:",[],3,0,0,3,0,0,0,0,0,0,3,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['eau', 'climate change', 'climate', 'park', 'climat']",neutral
69,69,632493333805962_663674177354544,2017-12-14 16:07:35,https://www.facebook.com/G7Canada/videos/353112805154634/,,,[],3,0,0,3,0,0,0,0,0,0,3,unknown,tl,0.0,EnvironmentandClimateChange_facebook,,neutral
97,97,632493333805962_659790677742894,2017-12-07 16:57:14,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/659790677742894/?type=3,"Clean technology will help us fight climate change and create high-skilled jobs!

The Government of Canada has invested $2.2 M in the Montreal-based technology company Spark Microsystems. This company is making our cell phones even more energy efficient with their innovative battery technology. 

With this technology, Canadians could be using their mobile devices for much longer without draining the battery. 

Learn more about the company to get excited about the future of clean technology! http://ow.ly/Z1yw30h5mM5","Clean technology will help us fight climate change and create high-skilled jobs! The Government of Canada has invested $2.2 M in the Montreal-based technology company Spark Microsystems. This company is making our cell phones even more energy efficient with their innovative battery technology. With this technology, Canadians could be using their mobile devices for much longer without draining the battery. Learn more about the company to get excited about the future of clean technology!",[],2,0,0,2,0,0,0,0,0,0,2,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'government', 'climate change', 'park', 'ice', 'clean', 'or']",neutral
103,103,632493333805962_661384464250182,2017-12-10 08:40:04,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/661384464250182/?type=3,#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: #ShellCansolv is a 🇨🇦 company specializing in capturing carbon pollution before it is released into the atmosphere. http://ow.ly/gheJ30h7XOo #ClimateAction,– Minister McKenna is leading a trade mission: is a 🇨🇦 company specializing in capturing carbon pollution before it is released into the atmosphere.,"['#CanadaInChina', '#CleanTech', '#ShellCansolv', '#ClimateAction']",0,0,2,0,0,0,0,0,0,0,2,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['carbon', 'or', 'pollution']",neutral
102,102,632493333805962_660328967689065,2017-12-08 14:53:26,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/660328967689065/?type=3,"Global challenges like climate change require global solutions. Minister McKenna sat down with Special Envoy Xie Zhenhua to discuss increased collaboration towards advancing the Paris Agreement, climate action and clean growth.","Global challenges like climate change require global solutions. Minister McKenna sat down with Special Envoy Xie Zhenhua to discuss increased collaboration towards advancing the Paris Agreement, climate action and clean growth.",[],1,0,1,1,0,0,0,0,0,0,2,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'or', 'clean', 'climat']",neutral
101,101,632493333805962_658017527920209,2017-12-04 18:26:48,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/658017527920209/?type=3,"Canada is a climate leader and we’re open for business, ready to make the world a more sustainable place! We’re here with Canadian #CleanTech companies ready to do business in China. Canada’s International Trade - Global Affairs Canada","Canada is a climate leader and we’re open for business, ready to make the world a more sustainable place! We’re here with Canadian companies ready to do business in China. Canada’s International Trade - Global Affairs Canada",['#CleanTech'],2,0,0,2,0,0,0,0,0,0,2,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['sustainable', 'climate', 'or', 'climat', 'air']",neutral
100,100,632493333805962_662152094173419,2017-12-11 17:06:12,https://www.facebook.com/EnvironmentandClimateChange/videos/662152094173419/,Minister McKenna concluded the #CanadaInChina clean technologies trade mission and participated at the #ChinaCouncil meetings.,Minister McKenna concluded the clean technologies trade mission and participated at the meetings.,"['#CanadaInChina', '#ChinaCouncil']",1,0,1,1,0,0,0,0,0,0,2,Economical,en,0.0,EnvironmentandClimateChange_facebook,"['technologies', 'technologie', 'minister']",neutral
98,98,632493333805962_660301957691766,2017-12-08 13:44:53,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/660301957691766/?type=3,#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas http://ow.ly/O1yU30h6wId #ClimateAction,– Minister McKenna is leading a trade mission: Energy Saving Products Ltd. is a 🇨🇦 company specializing in air purifiers capable of maintaining high quality air standards in large areas d,"['#CanadaInChina', '#CleanTech', '#ClimateAction']",1,0,1,1,0,0,0,0,0,0,2,Economical,en,0.0,EnvironmentandClimateChange_facebook,"['energy', 'minister']",neutral
99,99,632493333805962_660327904355838,2017-12-08 14:49:15,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/660327904355838/?type=3,"The prairies are home to all types of farms, why not harvest some wind as well? 

The St. Leon Wind Farm in Manitoba consists of 63 turbines drawing emission-free power from the prairie winds, producing the equivalent amount of electricity consumed by 26,000 Canadian homes per year.

Manitoba currently has four wind energy facilities in operation. Wind farms harvest clean and renewable energy, while creating jobs for Canadians.","The prairies are home to all types of farms, why not harvest some wind as well? The St. Leon Wind Farm in Manitoba consists of turbines drawing emission-free power from the prairie winds, producing the equivalent amount of electricity consumed by ,000 Canadian homes per year. Manitoba currently has four wind energy facilities in operation. Wind farms harvest clean and renewable energy, while creating jobs for Canadians.",[],2,0,0,2,0,0,0,0,0,0,2,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['or', 'wind energy', 'clean', 'air']",neutral
96,96,632493333805962_667581956963766,2017-12-21 12:43:46,https://www.facebook.com/EnvironmentandClimateChange/videos/667581956963766/,"More waste is generated during the holiday season than any other time of the year. What will you do this year to reduce the amount of waste you produce?

Here are some small things you can do daily to help reduce your impact on the environment: http://ow.ly/NU4g30hnrbS",More waste is generated during the holiday season than any other time of the year. What will you do this year to reduce the amount of waste you produce? Here are some small things you can do daily to help reduce your impact on the environment:,[],1,0,1,1,0,0,0,0,0,0,2,Environmental,en,0.0,EnvironmentandClimateChange_facebook,['or'],neutral
95,95,632493333805962_667601930295102,2017-12-22 14:00:00,https://www.facebook.com/EnvironmentandClimateChange/videos/667601930295102/,"Wrapping gifts in reusable materials, like comics, old maps, or magazines is fun, and saves you money. You can also cut up old holiday cards to make gift tags or decorations to hang.","Wrapping gifts in reusable materials, like comics, old maps, or magazines is fun, and saves you money. You can also cut up old holiday cards to make gift tags or decorations to hang.",[],1,0,1,1,0,0,0,0,0,0,2,Environmental,en,0.0,EnvironmentandClimateChange_facebook,"['or', 'gaz', 'reusable materials']",neutral
