,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
12,12,2017-01-26_10-32-16,2017-01-26 10:32:16,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7de3f72d8224902fd2f4d57865a7d7d4/5ADE376D/t51.2885-15/e35/25017321_779054055617194_904650134082551808_n.jpg,"« Chut, je crois qu’on nous a repérés. »Ces anticlocapres forment un groupe très enthousiaste et rapide! Seul un guépard peut distancer ces démons de la course. Heureusement, un océan les sépare! ",Chut je crois nous nCes anticlocapres forment un groupe enthousiaste et rapide Seul un pard peut distancer ces mons de la course Heureusement un les pare Faune Nature VieSauvage FauneCanadienne EnvironnementCanada EnvironnementCan Biologie PhotoDuJour,"[""faune"",""nature"",""viesauvage"",""faunecanadienne"",""environnementcanada"",""environnementcan"",""biologie"",""photodujour""]",1,18,19,Environmental,fr,0.125,environnementcan_instagram,"['environnement', 'or', 'faune', 'nature']",positive
26,26,2017-01-27_07-45-40,2017-01-27 07:45:40,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4a94aaa32dc8a6fd2b906cfac2661e0c/5AFB3B95/t51.2885-15/e35/25007177_1966432166968223_4636266373960433664_n.jpg,"Psssst…Vous devez déjà le savoir, mais… nous sommes un peu obsédés par les 🦉 TOUS LES HIBOUX-HOU-HOU! (Comment ne pas l’être?) Nous avons pensé vous montrer cette photo d’un des neiges qui se repose sur une balle de . Il n’y a rien là!",Vous devez le savoir nous sommes un peu par les hiboux TOUS LES HIBOUX HOU HOU Comment ne pas Nous avons vous montrer cette photo un Harfang des neiges qui se repose sur une balle de foin Il rien PhotoDuJour EnvironnementCanada EnvironnementCan Faune Animaux Adorable,"[""hiboux"",""harfang"",""foin"",""photodujour"",""environnementcanada"",""environnementcan"",""faune"",""animaux"",""adorable""]",0,17,17,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'or', 'faune']",neutral
38,38,2017-01-17_06-57-26,2017-01-17 06:57:26,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7e0025d8b585079018f359c87ee0ecbb/5AE55E2A/t51.2885-15/e35/25015584_154195515212796_2356278213170167808_n.jpg,"Nous utilisons des caméras à détecteurs de mouvements afin de photographier les espèces sauvages dans leurs habitats naturels. Il semblerait que notre bâton appât soit très populaire chez les différentes espèces, qu’elles aient des ailes, des pattes ou des sabots. Restez à l'affût pour d'autres photos d’espèces sauvages canadiennes prisent sur le vif! Égoportraits ériqueDuNord",Nous utilisons des ras tecteurs de mouvements afin de photographier les ces sauvages dans leurs habitats naturels Il semblerait que notre ton soit populaire chez les rentes ces elles aient des ailes des pattes ou des sabots nRestez pour autres photos ces sauvages canadiennes prisent sur le vif Faune FauneCanadienne goportraits riqueDuNord EnvironnementCanada EnvironnementCan Animaux,"[""faune"",""faunecanadienne"",""égoportraits"",""amériquedunord"",""environnementcanada"",""environnementcan"",""animaux""]",0,15,15,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'air', 'or', 'faune', 'nature']",neutral
47,47,2017-01-18_06-46-45,2017-01-18 06:46:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8e784c8b90d5ba430c496b821ef7ed70/5AEBAEDF/t51.2885-15/e35/25008545_518060625241186_8746057877275279360_n.jpg,.,,[],3,11,14,unknown,error,0.3333333333333333,environnementcan_instagram,,positive
52,52,2017-01-06_06-48-35,2017-01-06 06:48:35,https://instagram.fyvr3-1.fna.fbcdn.net/vp/256450a7dd6e64824c7e31f13cc6b52c/5AE92B8F/t51.2885-15/e35/25007003_145737356079213_7070331384073551872_n.jpg,"Reconnaissez-vous cet oiseau? .....Nous avons aperçu un à épaulettes! Tous les jeudis, nous procédons à l’inventaire de la population d’hiver des aquatiques tout près de nos bureaux à Delta en .",Reconnaissez vous cet oiseau nNous avons un Carouge paulettes nTous les jeudis nous dons inventaire de la population hiver des oiseaux aquatiques tout de nos bureaux Delta en ColombieBritannique,"[""carouge"",""épaulettes"",""oiseaux"",""colombiebritannique""]",2,12,14,Environmental,fr,0.0,environnementcan_instagram,"['oiseau', 'eau', 'oiseaux', 'air']",neutral
62,62,2017-01-25_08-07-05,2017-01-25 08:07:05,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a690de41d0089b60cd872171b328aa86/5AD83798/t51.2885-15/e35/24327210_216615895547520_2182892191611879424_n.jpg,"Ce magnifique wapiti mâle va bientôt perdre ses bois! Ceci peut sembler tragique, mais ne vous inquiétez pas… des bois encore plus gros vont repousser. ",Ce magnifique wapiti le va perdre ses bois Ceci peut sembler tragique mais ne vous tez des bois encore plus gros vont repousser EnvironnementCanada EnvironnementCan Faune MercrediFaune,"[""environnementcanada"",""environnementcan"",""faune"",""mercredifaune""]",0,13,13,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'or', 'faune', 'mer']",neutral
70,70,2017-01-23_08-08-02,2017-01-23 08:08:02,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bd12f9d86e9a0382f69cd4e29a6d9be6/5AE0A721/t51.2885-15/e35/25013088_417857351965584_8218677636113629184_n.jpg,« C’est à moi! » « Non à moi! »Deux jeunes se disputent le bâton avec leurs bois. Ces jeunes ont besoin de pratique avant que leurs matchs de ne comptent vraiment. ,est moi Non moi nDeux jeunes wapitis se disputent le ton avec leurs bois Ces jeunes ont besoin de pratique avant que leurs matchs de lutte ne comptent vraiment Nature EnvironnementCanada EnvironnementCan Faune Fun,"[""wapitis"",""lutte"",""nature"",""environnementcanada"",""environnementcan"",""faune"",""fun""]",0,12,12,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'faune', 'nature']",neutral
72,72,2017-01-16_06-17-27,2017-01-16 06:17:27,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0d49461e0dfcdb696c3430d2e887db6b/5A637BD0/t51.2885-15/e15/25006391_759972767519835_298549434512310272_n.jpg,"Voici le ékan, l’un des édateurs les plus trompeur et charmeur de l’ériqueDuNord.Les pékans sont parmis les terrestres les plus voraces, surtout lorsque l’on considère leur taille. Le porc-épic est leur met favori. En voilà un repas qui a du mordant!Sur cette photo, nous pouvons apercevoir un pékan s’approcher de note bâton appat et y apposer son odeur, à l’aide des ses glandes odorantes qui sont situées près de sa queue, avant se s’attarder sur nos caméras qui le prennent en photo.",Voici le kan un des dateurs les plus trompeur et charmeur de riqueDuNord nLes kans sont parmis les carnivores terrestres les plus voraces surtout lorsque leur taille Le porc pic est leur met favori En un repas qui du mordant nSur cette photo nous pouvons apercevoir un kan approcher de note ton appat et apposer son odeur aide des ses glandes odorantes qui sont es de sa queue avant se attarder sur nos ras qui le prennent en photo,"[""pékan"",""prédateurs"",""amériquedunord"",""carnivores""]",0,12,12,Social,fr,0.0,environnementcan_instagram,"['race', 'nord']",neutral
89,89,2017-01-11_08-19-08,2017-01-11 08:19:08,https://instagram.fyvr3-1.fna.fbcdn.net/vp/90ff411f2b9d10c98392a110c6342f79/5AF07825/t51.2885-15/e35/25009670_392316257864826_6196946485897068544_n.jpg,Ces canards étaient parfaitement heureux de nager dans la réserve nationale de faune d’Alaksen l’automne dernier.ècesSauvages égée,Ces canards taient parfaitement heureux de nager dans la serve nationale de faune Alaksen automne dernier cesSauvages colombiebritannique MilieuxHumides Photographie Canards Canard EnvironnementCan ornithologie Canada Nature,"[""espècessauvages"",""colombiebritannique"",""milieuxhumides"",""photographie"",""canards"",""canard"",""environnementcan"",""ornithologie"",""aireprotégée"",""canada"",""nature""]",0,11,11,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'or', 'faune', 'nature']",neutral
114,114,2017-01-30_08-01-35,2017-01-30 08:01:35,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ba4430c3bb455cb737e8a858ed53b7a3/5AE09877/t51.2885-15/e35/25011384_2065217210426372_396468431093760_n.jpg,". Cette êche des terriers fait de son mieux pour imiter la splendeur de notre bon ami le Plongeon illustré sur le panneau sur lequel elle est perchée.Ce petit vit dans l’une des réserves nationales de faune du , où des habitats importants de plantes, d’animaux et d’humains sont protégés. égées éservesNationalesDeFaune",PrendLaPose Cette des terriers fait de son mieux pour imiter la splendeur de notre bon ami le Plongeon huard sur le panneau sur lequel elle est nCe petit oiseau vit dans une des 54 serves nationales de faune du Canada des habitats importants de plantes animaux et humains sont es servesNationalesDeFaune EnvironnementCanada EnvironnementCan,"[""prendlapose"",""chevêche"",""huard"",""oiseau"",""canada"",""airesprotégées"",""réservesnationalesdefaune"",""environnementcanada"",""environnementcan""]",1,8,9,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'plantes', 'oiseau', 'eau', 'or', 'faune']",neutral
