,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
0,899648169008664576,2017-08-21 15:03:32,['https://t.co/c\xe2\x80\xa6'],"RT @NASA: Experience #Eclipse2017 with us! We’ll have live coverage of unique views, NASA experts + more from noon – 4pm ET: https://t.co/c…",RT NASA Experience Eclipse2017 us live coverage unique views NASA experts noon 4pm ET https co,['#Eclipse2017'],4639,0,4639,unknown,fr,0.3371212121212121,Positive,environmentca_tweeter,
1,929131971271385088,2017-11-10 23:41:39,[],"RT @CanadianPM: 117,000 poppies, one for each of Canada’s Fallen, cascade down Centre Block on Parliament Hill in Ottawa. #CanadaRemembers…",RT CanadianPM 117 000 poppies one Fallen cascade Centre Block Parliament Hill Ottawa,['#CanadaRemembers'],2372,0,2372,unknown,en,-0.1555555555555556,Neutral,environmentca_tweeter,
2,930827930275598337,2017-11-15 16:00:47,[],"RT @UNFCCC: 12-year-old Timoci Naulusala from Fiji  gives speech at #COP23  

""The sea is swallowing villages, eating away at shorelines, w…",RT UNFCCC 12 year old Timoci Naulusala Fiji gives speech COP23 sea swallowing villages eating away shorelines,['#COP23'],1292,0,1292,Environmental,en,0.0,Neutral,environmentca_tweeter,"['cop23', 'or']"
3,866721131188846593,2017-05-22 18:23:15,[],"RT @WildlifeDay: On #BiodiversityDay, let us celebrate all #species, big and small, as they all have a role to play. Protect #biodiversity…",RT WildlifeDay BiodiversityDay let us celebrate species big small role play Protect,"['#BiodiversityDay', '#species', '#biodiversity']",1044,0,1044,Environmental,en,-0.125,Neutral,environmentca_tweeter,"['wildlife', 'biodiversity', 'species']"
4,871705724254130176,2017-06-05 12:30:14,['https://t.co\xe2\x80\xa6'],RT @UNEP: Show your children why we must connect #withnature &amp; protect it this #WorldEnvironmentDay by exploring the outdoors&gt; https://t.co…,RT UNEP Show children must connect withnature amp protect WorldEnvironmentDay exploring outdoors gt https,"['#withnature', '#WorldEnvironmentDay']",1001,0,1001,Environmental,en,0.0,Neutral,environmentca_tweeter,"['or', 'nature']"
5,890548768956985344,2017-07-27 12:25:46,['https://t.co/DkcXghhofQ'],RT @UNEP: RT if you agree: #ClimateChange is a SOLVABLE problem https://t.co/DkcXghhofQ,RT UNEP RT agree ClimateChange SOLVABLE problem https co DkcXghhofQ,['#ClimateChange'],947,0,947,Environmental,en,0.0,Neutral,environmentca_tweeter,"['climate', 'climat']"
6,927886597001015296,2017-11-07 13:12:58,['https://t.co/\xe2\x80\xa6'],"RT @UNEP: By 2030, the world will require: 
40% more water 💧
50% more food 🍅🥦
40% more energy ⚡
It's time for new approaches: https://t.co/…",RT UNEP 2030 world require 40 water 50 food 40 energy time new approaches https co,[],872,0,872,Environmental,en,0.40909090909090906,Positive,environmentca_tweeter,"['water', 'or']"
7,927883454712295424,2017-11-07 13:00:29,[],"RT @UNFCCC: ""I want to save the world because I live in the world"". Wise words from one of our smaller performers at the #COP23 opening. @C…",RT UNFCCC want save world live world Wise words one smaller performers COP23 opening,['#COP23'],742,0,742,Environmental,en,0.27878787878787875,Neutral,environmentca_tweeter,"['cop23', 'or', 'mer']"
8,871411207047139329,2017-06-04 16:59:56,[],RT @UNEP: We're thrilled to be in Canada for #WorldEnvironmentDay! Stay tuned for live events today &amp; tomorrow and share your best #WithNat…,RT UNEP thrilled Canada WorldEnvironmentDay Stay tuned live events today amp tomorrow share best,"['#WorldEnvironmentDay', '#WithNat']",716,0,716,Environmental,en,0.6287878787878788,Positive,environmentca_tweeter,['or']
9,909062009093853184,2017-09-16 14:30:47,['https://t.co/Ni5HYPWiqQ'],RT @UN: Happy #OzoneDay! Protecting the ozone layer required all of us coming together-- we are all #OzoneHeroes. https://t.co/Ni5HYPWiqQ h…,RT UN Happy OzoneDay Protecting ozone layer required us coming together OzoneHeroes https co Ni5HYPWiqQ,"['#OzoneDay', '#OzoneHeroes']",684,0,684,unknown,en,1.0,Positive,environmentca_tweeter,
