comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10156116586357975_10156116830562975,401846167974_10156116586357975,,"10 knots is way to slow for Santa. 
I think you meant to say slow to 100 knots. 😉  
I'm sure our good friends @ NORAD will say 10 knots is much too slow.",2017-12-23 11:31:53,0,0,0,0,0,0,0,0
10156116586357975_10156117145932975,401846167974_10156116586357975,,"Graphic depicting all the kit F.A.A. requires of a foreign aircraft entering North America having originating from the arctic, one that is equipped to circumnavigate the earth with limited refueling consisting of carrots, cookies and milk, an aircraft that does many touch and goes - a flying sleigh with eight tiny reindeer and, occasionally, when landings are low visibility, one with a red nose. [[PHOTO]]",2017-12-23 13:31:40,0,0,0,0,0,0,0,0
10156116586357975_10156118544417975,401846167974_10156116586357975,,"Does this apply to the harbour water ways in Vancouver as well? Resident Killer Whales have issues with boat noise in this high traffic area, or does Santa have a sleigh that will not interfere with the orcas echolocation?",2017-12-24 01:15:01,0,0,0,0,0,0,0,0
10156115098957975_10156115181797975,401846167974_10156115098957975,,Bonjour,2017-12-22 20:48:05,0,0,0,0,0,0,0,0
10156114490382975_10156114703492975,401846167974_10156114490382975,,Quintin Grant,2017-12-22 17:19:37,0,0,0,0,0,0,0,0
10156114490382975_10156114717237975,401846167974_10156114490382975,,Have you been talking to santa clause?,2017-12-22 17:27:28,1,1,0,0,0,0,0,0
10156114305682975_10156114311417975,401846167974_10156114305682975,,and in the mean time in saskachewan brad wall screwed the province gave us over a billion and a half dollar debt and destroyed the STC and jacked up taxes then he moved out of the province!!! real nice jackass,2017-12-22 14:38:18,0,0,0,0,0,0,0,0
10156113907992975_10156113943907975,401846167974_10156113907992975,,Mike Bell,2017-12-22 12:13:05,0,0,0,0,0,0,0,0
10156113907992975_10156114026767975,401846167974_10156113907992975,,"If a Bic Lighter has compressed gas and explodes like a half stick of dynamite, how much will a bus explode like.  Mmmmmmm, bye bye city block.",2017-12-22 12:34:34,0,0,0,0,0,0,0,0
10156113907992975_10156115369732975,401846167974_10156113907992975,10156113907992975_10156114026767975,They have failsafes built into them to release pressure. I've seen a few videos it's dramatic,2017-12-22 22:14:25,0,0,0,0,0,0,0,0
