status_id,comment_id,parent_id,comment_published,num_reactions_comment,num_likes_comment,num_loves_comment,num_wows_comment,num_hahas_comment,num_sads_comment,num_angrys_comment,num_special_comment,comment_message_cleaned,hashtags_comment,urls_comment,text_filtered_comment,text_tokenized_comment,text_stemmed_comment,text_original_comment,text_sentiment_original_scores,text_sentiment_original_scores_type,link_name,status_type,status_link,status_published,num_reactions_post,num_comments,num_shares,num_likes_post,num_loves_post,num_wows_post,num_hahas_post,num_sads_post,num_angrys_post,num_special_post,status_message_cleaned,hashtags_post,urls_post,text_filtered_post,text_tokenized_post,text_stemmed_post,text_original_post,category
123326971154939_642296745924623,642296745924623_642828599204771,,2016-05-31 23:29:15,0,0,0,0,0,0,0,0,Long over due but I'm glad to see it happening. Anything is an improvement! As a nation I'm ashamed when I see how they have to live. It's almost like the government is still trying to force them off the reservations so they will no longer be responsible for their sub-standard living conditions.,[],[],Long due glad see happening Anything improvement nation ashamed see live almost like government still trying force reservations longer responsible sub standard living conditions,"['Long', 'due', 'glad', 'see', 'happening', 'Anything', 'improvement', 'nation', 'ashamed', 'see', 'live', 'almost', 'like', 'government', 'still', 'trying', 'force', 'reservations', 'longer', 'responsible', 'sub', 'standard', 'living', 'conditions']","[u'long', u'due', u'glad', u'see', u'happen', u'anyth', u'improv', u'nation', u'asham', u'see', u'live', u'almost', u'like', u'govern', u'still', u'tri', u'forc', u'reserv', u'longer', u'respons', u'sub', u'standard', u'live', u'condit']",Long over due but I'm glad to see it happening. Anything is an improvement! As a nation I'm ashamed when I see how they have to live. It's almost like the government is still trying to force them off the reservations so they will no longer be responsible for their sub-standard living conditions.,0.1572727272727273,Neutral,,status,,2016-05-30 15:05:10,3,2,5,3,0,0,0,0,0,0,The Government of Canada is listening to and learning from Northern residents about improving the Nutrition North Canada (NNC) program. Engagement sessions will be held in Northern communities in the coming weeks. Learn more:,[],['http://ow.ly/mGbb300JpKZ'],Government Canada listening learning Northern residents improving Nutrition North Canada NNC program Engagement sessions held 20 Northern communities coming weeks Learn http ow ly mGbb300JpKZ,"['Government', 'Canada', 'listening', 'learning', 'Northern', 'residents', 'improving', 'Nutrition', 'North', 'Canada', 'NNC', 'program', 'Engagement', 'sessions', 'held', '20', 'Northern', 'communities', 'coming', 'weeks', 'Learn', 'http', 'ow', 'ly', 'mGbb300JpKZ']","[u'govern', u'canada', u'listen', u'learn', u'northern', u'resid', u'improv', u'nutrit', u'north', u'canada', u'nnc', u'program', u'engag', u'session', u'held', '20', u'northern', u'communiti', u'come', u'week', u'learn', u'http', 'ow', 'ly', u'mgbb300jpkz']",The Government of Canada is listening to and learning from Northern residents about improving the Nutrition North Canada (NNC) program. Engagement sessions will be held in 20 Northern communities in the coming weeks. Learn more: http://ow.ly/mGbb300JpKZ,Social
123326971154939_642296745924623,642296745924623_678389942315303,,2016-08-15 13:24:51,0,0,0,0,0,0,0,0,(Why do you torcher your citizens and have cops look the other way?),[],[],torcher citizens cops look way,"['torcher', 'citizens', 'cops', 'look', 'way']","[u'torcher', u'citizen', u'cop', u'look', u'way']",(Why do you torcher your citizens and have cops look the other way?),-0.125,Neutral,,status,,2016-05-30 15:05:10,3,2,5,3,0,0,0,0,0,0,The Government of Canada is listening to and learning from Northern residents about improving the Nutrition North Canada (NNC) program. Engagement sessions will be held in Northern communities in the coming weeks. Learn more:,[],['http://ow.ly/mGbb300JpKZ'],Government Canada listening learning Northern residents improving Nutrition North Canada NNC program Engagement sessions held 20 Northern communities coming weeks Learn http ow ly mGbb300JpKZ,"['Government', 'Canada', 'listening', 'learning', 'Northern', 'residents', 'improving', 'Nutrition', 'North', 'Canada', 'NNC', 'program', 'Engagement', 'sessions', 'held', '20', 'Northern', 'communities', 'coming', 'weeks', 'Learn', 'http', 'ow', 'ly', 'mGbb300JpKZ']","[u'govern', u'canada', u'listen', u'learn', u'northern', u'resid', u'improv', u'nutrit', u'north', u'canada', u'nnc', u'program', u'engag', u'session', u'held', '20', u'northern', u'communiti', u'come', u'week', u'learn', u'http', 'ow', 'ly', u'mgbb300jpkz']",The Government of Canada is listening to and learning from Northern residents about improving the Nutrition North Canada (NNC) program. Engagement sessions will be held in 20 Northern communities in the coming weeks. Learn more: http://ow.ly/mGbb300JpKZ,Social
123326971154939_649118348575796,649118348575796_678389855648645,,2016-08-15 13:24:24,0,0,0,0,0,0,0,0,(Why do you torcher your citizens and have cops look the other way?),[],[],torcher citizens cops look way,"['torcher', 'citizens', 'cops', 'look', 'way']","[u'torcher', u'citizen', u'cop', u'look', u'way']",(Why do you torcher your citizens and have cops look the other way?),-0.125,Neutral,Timeline Photos,photo,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/649118348575796/?type=3,2016-06-15 11:54:10,5,1,3,5,0,0,0,0,0,0,"Do you live in Hopedale, Newfoundland and Labrador? We are seeking your input on how to improve the Nutrition North Canada program. Come participate in an engagement session at the Nanuk Community Centre on June from :00-9:00 PM.",[],['http://ow.ly/V02u301icXF'],live Hopedale Newfoundland Labrador seeking input improve Nutrition North Canada program Come participate engagement session Nanuk Community Centre June 22 00 00 PM http ow ly V02u301icXF,"['live', 'Hopedale', 'Newfoundland', 'Labrador', 'seeking', 'input', 'improve', 'Nutrition', 'North', 'Canada', 'program', 'Come', 'participate', 'engagement', 'session', 'Nanuk', 'Community', 'Centre', 'June', '22', '00', '00', 'PM', 'http', 'ow', 'ly', 'V02u301icXF']","[u'live', u'hopedal', u'newfoundland', u'labrador', u'seek', u'input', u'improv', u'nutrit', u'north', u'canada', u'program', u'come', u'particip', u'engag', u'session', u'nanuk', u'communiti', u'centr', u'june', '22', '00', '00', 'pm', u'http', 'ow', 'ly', u'v02u301icxf']","Do you live in Hopedale, Newfoundland and Labrador? We are seeking your input on how to improve the Nutrition North Canada program. Come participate in an engagement session at the Nanuk Community Centre on June 22 from 7:00-9:00 PM. http://ow.ly/V02u301icXF",Social
123326971154939_650078245146473,650078245146473_678386235649007,,2016-08-15 13:11:20,0,0,0,0,0,0,0,0,(Why do you torcher your citizens and have cops look the other way?),[],[],torcher citizens cops look way,"['torcher', 'citizens', 'cops', 'look', 'way']","[u'torcher', u'citizen', u'cop', u'look', u'way']",(Why do you torcher your citizens and have cops look the other way?),-0.125,Neutral,,status,,2016-06-17 15:00:36,0,1,0,0,0,0,0,0,0,0,An engagement session for the Nutrition North Canada program is coming to NL. Join us at Northern Lights Academy Gymnaisum in Rigolet on June at :00 PM.,[],['http://ow.ly/GluX301na7P'],engagement session Nutrition North Canada program coming NL Join us Northern Lights Academy Gymnaisum Rigolet June 20 00 PM http ow ly GluX301na7P,"['engagement', 'session', 'Nutrition', 'North', 'Canada', 'program', 'coming', 'NL', 'Join', 'us', 'Northern', 'Lights', 'Academy', 'Gymnaisum', 'Rigolet', 'June', '20', '00', 'PM', 'http', 'ow', 'ly', 'GluX301na7P']","[u'engag', u'session', u'nutrit', u'north', u'canada', u'program', u'come', 'nl', u'join', 'us', u'northern', u'light', u'academi', u'gymnaisum', u'rigolet', u'june', '20', '00', 'pm', u'http', 'ow', 'ly', u'glux301na7p']",An engagement session for the Nutrition North Canada program is coming to NL. Join us at Northern Lights Academy Gymnaisum in Rigolet on June 20 at 7:00 PM. http://ow.ly/GluX301na7P,Social
123326971154939_650858935068404,650858935068404_683348001819497,,2016-08-24 22:30:16,0,0,0,0,0,0,0,0,Start by making food affordable.,[],[],Start making food affordable,"['Start', 'making', 'food', 'affordable']","[u'start', u'make', u'food', u'afford']",Start by making food affordable.,0.0,Neutral,,status,,2016-06-19 11:01:20,1,1,0,1,0,0,0,0,0,0,"Are you living in Hopedale, NL? We are seeking your input on how to improve the Nutrition North Canada program. Come participate in an engagement session on June at the Nanuk Community Centre starting at :00 PM.",[],['http://ow.ly/P2ml301nayx'],living Hopedale NL seeking input improve Nutrition North Canada program Come participate engagement session June 22 Nanuk Community Centre starting 00 PM http ow ly P2ml301nayx,"['living', 'Hopedale', 'NL', 'seeking', 'input', 'improve', 'Nutrition', 'North', 'Canada', 'program', 'Come', 'participate', 'engagement', 'session', 'June', '22', 'Nanuk', 'Community', 'Centre', 'starting', '00', 'PM', 'http', 'ow', 'ly', 'P2ml301nayx']","[u'live', u'hopedal', 'nl', u'seek', u'input', u'improv', u'nutrit', u'north', u'canada', u'program', u'come', u'particip', u'engag', u'session', u'june', '22', u'nanuk', u'communiti', u'centr', u'start', '00', 'pm', u'http', 'ow', 'ly', u'p2ml301nayx']","Are you living in Hopedale, NL? We are seeking your input on how to improve the Nutrition North Canada program. Come participate in an engagement session on June 22 at the Nanuk Community Centre starting at  7:00 PM. http://ow.ly/P2ml301nayx",Social
123326971154939_651318355022462,651318355022462_678386215649009,,2016-08-15 13:11:13,0,0,0,0,0,0,0,0,(Why do you torcher your citizens and have cops look the other way?),[],[],torcher citizens cops look way,"['torcher', 'citizens', 'cops', 'look', 'way']","[u'torcher', u'citizen', u'cop', u'look', u'way']",(Why do you torcher your citizens and have cops look the other way?),-0.125,Neutral,,status,,2016-06-20 10:01:58,0,1,0,0,0,0,0,0,0,0,"You are invited to attend the Nutrition North Canada engagement session tonight in Rigolet, NL. Come to the Northern Lights Acaedmy Gymnasium at :00 PM to have your say about changes to improve the program. d",[],['http://ow.ly/eQUE301nam'],invited attend Nutrition North Canada engagement session tonight Rigolet NL Come Northern Lights Acaedmy Gymnasium 00 PM say changes improve program http ow ly eQUE301namd,"['invited', 'attend', 'Nutrition', 'North', 'Canada', 'engagement', 'session', 'tonight', 'Rigolet', 'NL', 'Come', 'Northern', 'Lights', 'Acaedmy', 'Gymnasium', '00', 'PM', 'say', 'changes', 'improve', 'program', 'http', 'ow', 'ly', 'eQUE301namd']","[u'invit', u'attend', u'nutrit', u'north', u'canada', u'engag', u'session', u'tonight', u'rigolet', 'nl', u'come', u'northern', u'light', u'acaedmi', u'gymnasium', '00', 'pm', u'say', u'chang', u'improv', u'program', u'http', 'ow', 'ly', u'eque301namd']","You are invited to attend the Nutrition North Canada engagement session tonight in Rigolet, NL. Come to the Northern Lights Acaedmy Gymnasium at 7:00 PM to have your say about changes to improve the program. http://ow.ly/eQUE301namd",Social
123326971154939_659069027580728,659069027580728_678386132315684,,2016-08-15 13:11:07,0,0,0,0,0,0,0,0,(Why do you torcher your citizens and have cops look the other way?),[],[],torcher citizens cops look way,"['torcher', 'citizens', 'cops', 'look', 'way']","[u'torcher', u'citizen', u'cop', u'look', u'way']",(Why do you torcher your citizens and have cops look the other way?),-0.125,Neutral,,status,,2016-07-07 11:10:19,1,1,2,0,1,0,0,0,0,0,"Find out what was discussed during the Nutrition North Canada program engagement session in Rigolet, NL. C",['#NNCMySay'],['http://ow.ly/fpBn3020UE'],Find discussed Nutrition North Canada program engagement session Rigolet NL http ow ly fpBn3020UEC NNCMySay,"['Find', 'discussed', 'Nutrition', 'North', 'Canada', 'program', 'engagement', 'session', 'Rigolet', 'NL', 'http', 'ow', 'ly', 'fpBn3020UEC', 'NNCMySay']","[u'find', u'discuss', u'nutrit', u'north', u'canada', u'program', u'engag', u'session', u'rigolet', 'nl', u'http', 'ow', 'ly', u'fpbn3020uec', u'nncmysay']","Find out what was discussed during the Nutrition North Canada program engagement session in Rigolet, NL. http://ow.ly/fpBn3020UEC #NNCMySay",Social
123326971154939_664411863713111,664411863713111_678386038982360,,2016-08-15 13:11:00,1,1,0,0,0,0,0,0,(Why do you torcher your citizens and have cops look the other way?),[],[],torcher citizens cops look way,"['torcher', 'citizens', 'cops', 'look', 'way']","[u'torcher', u'citizen', u'cop', u'look', u'way']",(Why do you torcher your citizens and have cops look the other way?),-0.125,Neutral,GovCan - Indigenous Peoples,photo,https://www.facebook.com/GCIndigenous/photos/a.409618582497626.1073741828.218581684934651/917031468422999/?type=3,2016-07-18 13:38:20,0,2,0,0,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social
123326971154939_664411863713111,664411863713111_683347845152846,,2016-08-24 22:29:31,0,0,0,0,0,0,0,0,Nutrition North my ass. Not according to APTN Investigates.,[],[],Nutrition North ass according APTN Investigates,"['Nutrition', 'North', 'ass', 'according', 'APTN', 'Investigates']","[u'nutrit', u'north', u'ass', u'accord', u'aptn', u'investig']",Nutrition North my ass. Not according to APTN Investigates.,0.0,Neutral,GovCan - Indigenous Peoples,photo,https://www.facebook.com/GCIndigenous/photos/a.409618582497626.1073741828.218581684934651/917031468422999/?type=3,2016-07-18 13:38:20,0,2,0,0,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social
123326971154939_698373546983609,698373546983609_702410546579909,,2016-09-29 07:37:47,0,0,0,0,0,0,0,0,I would like to send a few little books to you about lunch boxes for kids if that would be appropriate I am in Australia but you could adapt using the food groups,[],[],would like send little books lunch boxes kids would appropriate Australia could adapt using food groups,"['would', 'like', 'send', 'little', 'books', 'lunch', 'boxes', 'kids', 'would', 'appropriate', 'Australia', 'could', 'adapt', 'using', 'food', 'groups']","[u'would', u'like', u'send', u'littl', u'book', u'lunch', u'box', u'kid', u'would', u'appropri', u'australia', u'could', u'adapt', u'use', u'food', u'group']",I would like to send a few little books to you about lunch boxes for kids if that would be appropriate I am in Australia but you could adapt using the food groups,0.0375,Neutral,Timeline Photos,photo,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/698373546983609/?type=3,2016-09-21 15:16:18,23,2,23,23,0,0,0,0,0,0,"An engagement session for the Nutrition North Canada program is coming to Pond Inlet, Nunavut. Join us at Attakaalik Hall on September , at :00 PM.",['#NNCMySay'],['http://ow.ly/ggon304r7uf'],engagement session Nutrition North Canada program coming Pond Inlet Nunavut Join us Attakaalik Hall September 28 2016 00 PM http ow ly ggon304r7uf NNCMySay,"['engagement', 'session', 'Nutrition', 'North', 'Canada', 'program', 'coming', 'Pond', 'Inlet', 'Nunavut', 'Join', 'us', 'Attakaalik', 'Hall', 'September', '28', '2016', '00', 'PM', 'http', 'ow', 'ly', 'ggon304r7uf', 'NNCMySay']","[u'engag', u'session', u'nutrit', u'north', u'canada', u'program', u'come', u'pond', u'inlet', u'nunavut', u'join', 'us', u'attakaalik', u'hall', u'septemb', '28', u'2016', '00', 'pm', u'http', 'ow', 'ly', u'ggon304r7uf', u'nncmysay']","An engagement session for the Nutrition North Canada program is coming to Pond Inlet, Nunavut. Join us at Attakaalik Hall on September 28, 2016 at 7:00 PM. http://ow.ly/ggon304r7uf #NNCMySay",Social
