,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls
30,1955677267792301_1974328905927137,134615279898518_1955677267792301,,2017-12-29 10:26:16,0,0,0,0,0,0,0,0,"Karyne Robillard , ça tombe bien",[],[]
31,1955677267792301_1974355719257789,134615279898518_1955677267792301,1955677267792301_1974328905927137,2017-12-29 11:01:56,0,0,0,0,0,0,0,0,Coool!,[],[]
32,1955677267792301_1974377589255602,134615279898518_1955677267792301,,2017-12-29 11:31:07,0,0,0,0,0,0,0,0,Bastien Vezina,[],[]
33,1955677267792301_1975260682500626,134615279898518_1955677267792301,,2017-12-30 08:02:43,1,0,1,0,0,0,0,0,Marie-Christine Wondermonomom Lessard,[],[]
34,1955677267792301_1976395655720462,134615279898518_1955677267792301,,2017-12-31 08:34:40,0,0,0,0,0,0,0,0,Kamlia Wood,[],[]
35,1954703727889655_1972629982763696,134615279898518_1954703727889655,,2017-12-27 18:26:23,1,1,0,0,0,0,0,0,"Wow, quelle belle photo! 🤗",[],[]
36,1954703727889655_1972651609428200,134615279898518_1954703727889655,,2017-12-27 18:59:24,0,0,0,0,0,0,0,0,Et au Lac Louise en Alberta. C’est sur la plaine des glaciers que j’ai vu de très près un porc-épics,[],[]
37,1954703727889655_1972661472760547,134615279898518_1954703727889655,,2017-12-27 19:17:15,0,0,0,0,0,0,0,0,"quelle curieuse bestiole, avant de voir celles du canada j'avais tj cru que les porcs épics étaient ....piquants.",[],[]
38,1954703727889655_1972922566067771,134615279898518_1954703727889655,,2017-12-28 02:51:38,0,0,0,0,0,0,0,0,Cloé Loh'loo,[],[]
39,1954703727889655_1973198812706813,134615279898518_1954703727889655,1954703727889655_1972922566067771,2017-12-28 09:28:47,0,0,0,0,0,0,0,0,Mdrr,[],[]
40,1954703727889655_1973226189370742,134615279898518_1954703727889655,,2017-12-28 10:03:08,1,1,0,0,0,0,0,0,Oh wow quelle belle photo! Trop mignon,[],[]
41,1966964056663622_1972322966127731,134615279898518_1966964056663622,,2017-12-27 11:38:01,2,2,0,0,0,0,0,0,Igor Urban t'es famous,[],[]
42,1966964056663622_1972372056122822,134615279898518_1966964056663622,,2017-12-27 12:39:55,1,0,1,0,0,0,0,0,Maude Zulauff,[],[]
43,1966964056663622_1972945029398858,134615279898518_1966964056663622,,2017-12-28 03:36:50,0,0,0,0,0,0,0,0,Merci à vous surtout Parcs Canada,[],[]
44,1966964056663622_1973637772662917,134615279898518_1966964056663622,,2017-12-28 18:57:26,1,1,0,0,0,0,0,0,Merci pour vos pass gratuits de cette année cela m'a permis de découvrir vos magnifiques parcs.. Pour y revenir,[],[]
45,1966964056663622_1975838055776222,134615279898518_1966964056663622,,2017-12-30 19:57:46,0,0,0,0,0,0,0,0,Bravo corinne,[],[]
46,1954699751223386_1971154876244540,134615279898518_1954699751223386,,2017-12-26 11:20:03,0,0,0,0,0,0,0,0,Merci Amandine De Kesel,[],[]
47,1954696687890359_1970369612989733,134615279898518_1954696687890359,,2017-12-25 16:16:46,0,0,0,0,0,0,0,0,wow ! la randonné dans la neige,[],[]
