,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
12,566325673547435_808437742669559,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/808437742669559/?type=3,2017-12-17 14:00:31,0,0,0,0,0,0,0,0,0,0,Votre voyage en avion ne s'est pas déroulé comme prévu? Communiquez avec nous > érien,"['#a', '#canada']",['http://ow.ly/JVzk304E8BA']
13,566325673547435_807951059384894,"Limites relatives aux bagages, frais et responsabilité",video,http://ow.ly/L4vf306W0Yf,2017-12-16 12:00:54,0,0,0,0,0,0,0,0,0,0,Assurez-vous de connaître les politiques sur les bagages de votre ligne aérienne >,['#AvantVotreVol'],['http://ow.ly/L4vf306W0Yf']
14,566325673547435_788315658015101,Outils pratiques pour votre voyage,video,https://www.facebook.com/OfficeDesTransportsDuCanada/videos/788315658015101/,2017-12-15 12:00:00,0,0,0,0,0,0,0,0,0,0,Outils pratiques pour votre voyage >,[],['http://ow.ly/q9Ck307iUhH']
15,566325673547435_807399159440084,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/807399159440084/?type=3,2017-12-15 10:01:14,0,0,0,0,0,0,0,0,0,0,> Comprenez les règles tarifaires de votre billet Notez ou imprimez les règles tarifaires de votre billet avant de procéder à l'achat de votre billet et gardez-les sur vous lorsque vous voyagez – elles peuvent servir en cas de différend avec votre transporteur aérien. > Prenez l'air averti > Dix conseils clés >,['#Astucesvoyage'],['http://ow.ly/4nk1SM']
16,566325673547435_806946632818670,"Transports accessibles pour tous, module 1: Introduction",video,http://ow.ly/u8M4307vd8s,2017-12-14 14:00:47,0,0,0,0,0,0,0,0,0,0,"Comme fournisseurs de services de transport, vous devrais être en mesure de reconnaître les divers besoins des voyageurs ayant une déficience. La première étape consiste à demander comment vous pouvez aider. Pour plus d'informations, regardez notre première vidéo de formation:",[],['http://ow.ly/u8M4307vd8s']
17,566325673547435_806474546199212,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/806474546199212/?type=3,2017-12-13 12:01:13,0,0,0,0,0,0,0,0,0,0,"Les chemins de fer ont joué un rôle important dans la création du Canada. Le chemin de fer du Grand Trunk, achevé entre Toronto et Montréal en , reliait le Canada-Ouest et le Canada-Est (aujourd’hui l’Ontario et le Québec), et a contribué à jeter les bases de la Confédération. Comment en savoir davantage? Lisez Au cœur des tran sports : L’histoire en mouvement.>",[],['http://ow.ly/35ct30dbqMv']
18,566325673547435_805612039618796,Webinaire sur la publicité des prix de services aériens,video,http://ow.ly/Ke4p307vfeE,2017-12-11 16:00:53,0,0,0,0,0,0,0,0,0,0,Webinaire sur la publicité des prix de services aériens >,[],['http://ow.ly/Ke4p307vfeE']
19,566325673547435_805486766297990,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/805486766297990/?type=3,2017-12-11 10:01:13,0,0,0,0,0,0,0,0,0,0,"Notre rôle consiste à déterminer s’il existe un navire canadien à la fois adapté et disponible pour être affecté à l’activité visée dans une demande de licence de cabotage. Le rôle du demandeur est de fournir une justification claire et complète concernant la nécessité d’importer un navire étranger pour effectuer l’activité proposée (si cela est le cas). Le type de renseignements à fournir dans cette justification dépend de l’activité proposée. Pour en savoir davantage, consultez la section de nos lignes directrices :",[],['http://ow.ly/DHG230aDDNn']
20,566325673547435_804651459714854,Du point A au point B et de retour à la maison | Office des transports du Canada,link,http://ow.ly/q9Ck307iUhH,2017-12-09 12:00:29,0,0,0,0,0,0,0,0,0,0,Prenez l'air averti cet hiver – Des conseils utiles >,[],['http://ow.ly/q9Ck307iUhH']
21,566325673547435_804161673097166,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/804161673097166/?type=3,2017-12-08 10:01:19,0,0,0,0,0,0,0,0,0,0,"> Enregistrez-vous à l'avance Si cette option est disponible, enregistrez-vous en ligne jusqu’à heures précédant votre départ. Arrivez suffisamment tôt à l'aéroport pour vous enregistrer, enregistrer vos bagages, passer les points de contrôle et vous présenter à la porte d'embarquement à temps. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],['http://ow.ly/4nk1SM']
