,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
27,1203325126385126_1685684891482478,Web Accessibility - A Resource Tool for Transportation-Related Websites | Canadian Transportation Agency,link,http://ow.ly/4fpN307iV0u,2017-12-03 16:00:25,0,0,0,0,0,0,0,0,0,0,Creating websites for transportation-related information? Check out our resource tool here > 0u,"['#accessible', '#a11y']",['http://ow.ly/4fpN307iV']
28,1203325126385126_1685535021497465,Compliance Report: Website Accessibility | Canadian Transportation Agency,link,http://ow.ly/u5Jm304SuHa,2017-12-03 13:00:13,1,0,0,1,0,0,0,0,0,0,We monitor websites of transportation providers to make sure they're accessible for persons with disabilities,['#a11y'],['http://ow.ly/u5Jm304SuHa']
29,1203325126385126_1685393354844965,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1685393354844965/?type=3,2017-12-03 10:00:17,0,0,0,0,0,0,0,0,0,0,Today is International Day of Persons With Disabilities. Meet our partners in achieving accessible transportation >,[],['http://ow.ly/3jo630fZXEQ']
30,1203325126385126_1683294558388178,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1683294558388178/?type=3,2017-12-01 10:01:12,0,0,0,0,0,0,0,0,0,0,> Understand Your Rights and Responsibilities The tariff is the contract of carriage between you and your air carrier – it covers your rights and obligations as a passenger and your carrier's rights and its responsibilities to you. Find it at the carrier's business offices in Canada and on their websites when used for selling air transportation. > Top Tips >,"['#TravelTips', '#FlySmart']",['http://ow.ly/uy2l3061cit']
31,1203325126385126_1682235108494123,"Accessibility for all, module 4: Assisting a passenger who is blind or partially sighted",video,http://ow.ly/4oEn307veco,2017-11-30 10:00:24,0,0,0,0,0,0,0,0,0,0,"When guiding or assisting a traveller who is blind or partially sighted, there are several steps you can take to faciliate their travels and communication. Learn more; watch our fourth training video:",[],['http://ow.ly/4oEn307veco']
32,1203325126385126_1681286981922269,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1681286981922269/?type=3,2017-11-29 12:01:42,0,8,0,0,0,0,0,0,0,0,"Last year, the enforcement officers fined air carriers over $115,000 for various infringements of the regulations. For more on our enforcement activities, see D",[],['http://ow.ly/DOiz30fiQn']
33,1203325126385126_1680410955343205,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1680410955343205/?type=3,2017-11-28 15:01:13,1,0,0,1,0,0,0,0,0,0,Interswitching is the transfer of traffic between two railway companies at a regulated rate,['#RailFacts'],['http://ow.ly/V9iw30dr5DZ']
34,1203325126385126_1678959202155047,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1678959202155047/?type=3,2017-11-27 12:00:47,0,0,0,0,0,0,0,0,0,0,"Is the ""higher cost"" of operating an offered Canadian ship considered sufficient evidence that it is not economically suitable? Not exactly. If applicants raise the ""economic suitability"" argument, they are required to produce clear evidence of this fact, and offerors must then reply by producing clear evidence to the contrary. This is part of the pleadings process. More information on this process is available in Part of our Guidelines at 8.",[],['http://ow.ly/k3Xp30aF1t']
35,1203325126385126_1677939885590312,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1677939885590312/?type=3,2017-11-26 12:00:29,0,1,0,0,0,0,0,0,0,0,"Boxing is not one of them... But we have four other ways to resolve disputes related to federal transportation. - Mediation - Facilitation - Arbitration - Adjudication To find out more, visit",[],['http://ow.ly/pdi130dcwFz']
36,1203325126385126_1675866029131031,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1675866029131031/?type=3,2017-11-24 10:00:50,1,4,0,1,0,0,0,0,0,0,"> Need Help with a Problem? Should you not be satisfied with your air carrier's response to your written complaint, check our website to find out more about how we can help. > Top Tips >","['#TravelTips', '#FlySmart']",['http://ow.ly/uy2l3061cit']
37,1203325126385126_1675212432529724,"Baggage limits, fees and liability",video,http://ow.ly/qOzo306W0wA,2017-11-23 17:50:04,1,3,5,1,0,0,0,0,0,0,"What happens when an airline loses your bags? The answer to this question depends on the airline you're flying with. For more information, visit:",[],['http://ow.ly/qOzo306W0wA']
38,1203325126385126_1673978072653160,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1673978072653160/?type=3,2017-11-22 12:01:27,0,1,0,0,0,0,0,0,0,0,"Our Code of Values and Ethics These values guide us in our professional duties: - Respect for democracy - Respect for people - Integrity - Stewardship - Excellence For more information about our Code of Values and Ethics, see",[],['http://ow.ly/TWPR30b1c6T']
39,1203325126385126_1673167589400875,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1673167589400875/?type=3,2017-11-21 15:01:06,0,0,0,0,0,0,0,0,0,0,We participate in the economic regulation of railway companies in multiple ways >,"['#grain', '#CdnAg']",['http://ow.ly/GQkI30dr81k']
40,1203325126385126_1672448592806108,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1672448592806108/?type=3,2017-11-20 22:00:19,0,0,0,0,0,0,0,0,0,0,"Transparent communications are an important part of the coasting trade pleadings process. For this process to run smoothly, all parties must copy each other on all actions taken every step of the way, and this must also be done within the set time limits. More details regarding our pleadings process are available in Part of our Guidelines at 8",[],['http://ow.ly/k3Xp30aF1t']
41,1203325126385126_1668812723169695,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1668812723169695/?type=3,2017-11-17 10:00:27,0,0,0,0,0,0,0,0,0,0,"> Don't Miss Your Flight When available, pre-select your seat in advance of departure. Confirm your return flight at least hours in advance. Monitor your points of contact for carrier notifications of departure time changes and cancellations. Check your flight's status at least hours before departure and leaving for the airport. > Top Tips > > Don't Miss Your Flight When available, pre-select your seat in advance of departure. Confirm your return flight at least hours in advance. Monitor your points of contact for carrier notifications of departure time changes and cancellations. Check your flight's status at least hours before departure and leaving for the airport. > Top Tips >","['#TravelTips', '#FlySmart', '#TravelTips', '#FlySmart']","['http://ow.ly/uy2l3061cit', 'http://ow.ly/uy2l3061cit']"
42,1203325126385126_1666806720036962,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1666806720036962/?type=3,2017-11-15 12:00:20,1,8,0,0,0,0,0,0,1,0,"Every year, enforcement officers conduct more than inspections of facilities and air carriers. Enforcement actions have declined as air carriers and terminal operators become more aware of regulatory changes. For more information about the scope and limits to our enforcement activities, see 1",[],['http://ow.ly/Hoxj30fiQ7']
43,1203325126385126_1665976356786665,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1665976356786665/?type=3,2017-11-14 15:45:09,0,0,0,0,0,0,0,0,0,0,Complaint about rail noise and vibration? Find out more >,['#canmuni'],['http://ow.ly/59cR30glh14']
44,1203325126385126_1665802150137419,"Accessibility for all, module 1: Introduction and sensitivities",video,http://ow.ly/Mf8A307vcVX,2017-11-14 12:15:18,0,0,0,0,0,0,0,0,0,0,"We work with carriers and terminal operators to ensure that accessible travel measures are put into action and maintained within the federal transportation network. We have made a set of videos called ""Accessibility for All"". These videos are educational tools to help transportation personnel in providing accessible services to persons with disabilities. There are six videos that range in topics from recognizing needs to providing replacement mobility aids to travellers >","['#a11y', '#Accessibility']",['http://ow.ly/Mf8A307vcVX']
