,Unnamed: 0,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,Reactions_SUM,average_sentiment_score,language
35,35,632493333805962_659724577749504,,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/659724187749543/?type=3,2017-12-07 14:19:28,3,0,2,3,0,0,0,0,0,0,"As part of their Find Your -H Wings campaign, -H Canada is empowering kids to become champions for our environment. As a -H member, you can get involved by signing up for the -H Canada Science Fair! Find out more:",[],['http://ow.ly/hcdN30h59I5'],part Find Wings campaign Canada empowering kids become champions environment member get involved signing Canada Science Fair Find http ow ly hcdN30h59I5,"['part', 'Find', 'Wings', 'campaign', 'Canada', 'empowering', 'kids', 'become', 'champions', 'environment', 'member', 'get', 'involved', 'signing', 'Canada', 'Science', 'Fair', 'Find', 'http', 'ow', 'ly', 'hcdN30h59I5']","[u'part', u'find', u'wing', u'campaign', u'canada', u'empow', u'kid', u'becom', u'champion', u'environ', u'member', u'get', u'involv', u'sign', u'canada', u'scienc', u'fair', u'find', u'http', 'ow', 'ly', u'hcdn30h59i5']","As part of their Find Your 4-H Wings campaign, 4-H Canada is empowering kids to become champions for our environment. As a 4-H member, you can get involved by signing up for the 4-H Canada Science Fair!

Find out more: http://ow.ly/hcdN30h59I5",Environmental,5,0.0,en
36,36,632493333805962_659291634459465,Photos from Environment and Climate Change's post,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/659291561126139/?type=3,2017-12-06 20:44:02,4,0,1,4,0,0,0,0,0,0,"Minister of Environment and Climate Change, Catherine McKenna, paid a visit to the Shanghai Environment and Energy Exchange. This organization helps build a more sustainable future by supporting carbon emissions trading in China.",[],[],Minister Environment Climate Change Catherine McKenna paid visit Shanghai Environment Energy Exchange organization helps build sustainable future supporting carbon emissions trading China,"['Minister', 'Environment', 'Climate', 'Change', 'Catherine', 'McKenna', 'paid', 'visit', 'Shanghai', 'Environment', 'Energy', 'Exchange', 'organization', 'helps', 'build', 'sustainable', 'future', 'supporting', 'carbon', 'emissions', 'trading', 'China']","[u'minist', u'environ', u'climat', u'chang', u'catherin', u'mckenna', u'paid', u'visit', u'shanghai', u'environ', u'energi', u'exchang', u'organ', u'help', u'build', u'sustain', u'futur', u'support', u'carbon', u'emiss', u'trade', u'china']","Minister of Environment and Climate Change, Catherine McKenna, paid a visit to the Shanghai Environment and Energy Exchange. This organization helps build a more sustainable future by supporting carbon emissions trading in China.",Environmental,5,0.0,en
37,37,632493333805962_657839007938061,Timeline Photos,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/657839007938061/?type=3,2017-12-04 11:00:42,5,0,0,4,1,0,0,0,0,0,Canada and China: working together to protect the environment and fight climate change.,[],[],Canada China working together protect environment fight climate change,"['Canada', 'China', 'working', 'together', 'protect', 'environment', 'fight', 'climate_change']","[u'canada', u'china', u'work', u'togeth', u'protect', u'environ', u'fight', u'climate_chang']",Canada and China: working together to protect the environment and fight climate change.,Environmental,5,0.0,en
38,38,632493333805962_646918192363476,Timeline Photos,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/646918192363476/?type=3,2017-11-14 17:57:20,2,0,3,1,1,0,0,0,0,0,Today is Gender Day at COP and Canada celebrates our powerful change agents: women and girls.,[],[],Today Gender Day COP 23 Canada celebrates powerful change agents women girls,"['Today', 'Gender', 'Day', 'COP', '23', 'Canada', 'celebrates', 'powerful', 'change', 'agents', 'women', 'girls']","[u'today', u'gender', u'day', u'cop', '23', u'canada', u'celebr', u'power', u'chang', u'agent', u'women', u'girl']",Today is Gender Day at COP 23 and Canada celebrates our powerful change agents: women and girls.,Social,5,0.0,en
39,39,632493333805962_659086397813322,Timeline Photos,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/659086397813322/?type=3,2017-12-06 10:43:30,3,0,2,3,0,0,0,0,0,0,"Minister of Environment and Climate Change, Catherine McKenna, is using eco-friendly transportation during her trade mission in China! Canada’s International Trade - Global Affairs Canada",['#CleanTech'],[],Minister Environment Climate Change Catherine McKenna using eco friendly transportation CleanTech trade mission China International Trade Global Affairs Canada,"['Minister', 'Environment', 'Climate', 'Change', 'Catherine', 'McKenna', 'using', 'eco', 'friendly', 'transportation', 'CleanTech', 'trade', 'mission', 'China', 'International', 'Trade', 'Global', 'Affairs', 'Canada']","[u'minist', u'environ', u'climat', u'chang', u'catherin', u'mckenna', u'use', u'eco', u'friend', u'transport', u'cleantech', u'trade', u'mission', u'china', u'intern', u'trade', u'global', u'affair', u'canada']","Minister of Environment and Climate Change, Catherine McKenna, is using eco-friendly transportation during her #CleanTech trade mission in China! Canada’s International Trade - Global Affairs Canada",Environmental,5,0.0,en
40,40,632493333805962_647696102285685,Timeline Photos,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/647696102285685/?type=3,2017-11-16 05:25:51,3,1,1,3,0,0,0,0,0,0,"Follow the Environment and Climate Change page to watch live at :45AM EST as Canada and UK welcome partners to the new Alliance, to transition away from traditional coal-fired electricity.",['#PoweringPastCoal'],['http://ow.ly/4a7g30gCdPh'],Follow Environment Climate Change page watch live 45AM EST Canada UK welcome partners new PoweringPastCoal Alliance transition away traditional coal fired electricity http ow ly 4a7g30gCdPh,"['Follow', 'Environment', 'Climate', 'Change', 'page', 'watch', 'live', '45AM', 'EST', 'Canada', 'UK', 'welcome', 'partners', 'new', 'PoweringPastCoal', 'Alliance', 'transition', 'away', 'traditional', 'coal', 'fired', 'electricity', 'http', 'ow', 'ly', '4a7g30gCdPh']","[u'follow', u'environ', u'climat', u'chang', u'page', u'watch', u'live', u'45am', u'est', u'canada', 'uk', u'welcom', u'partner', u'new', u'poweringpastco', u'allianc', u'transit', u'away', u'tradit', u'coal', u'fire', u'electr', u'http', 'ow', 'ly', u'4a7g30gcdph']","Follow the Environment and Climate Change page to watch live at 5:45AM EST as Canada and UK welcome partners to the new #PoweringPastCoal Alliance, to transition away from traditional coal-fired electricity. http://ow.ly/4a7g30gCdPh",Environmental,5,0.003787878787878785,en
41,41,632493333805962_662620630793232,Well-paying green jobs,video,https://www.facebook.com/EnvironmentandClimateChange/videos/662620630793232/,2017-12-13 16:00:00,2,0,3,2,0,0,0,0,0,0,We are creating well-paying green jobs to ensure future generations have a prosperous and sustainable economy.,[],['http://ow.ly/GZvF30hboxT'],creating well paying green jobs ensure future generations prosperous sustainable economy http ow ly GZvF30hboxT,"['creating', 'well', 'paying', 'green', 'jobs', 'ensure', 'future', 'generations', 'prosperous', 'sustainable', 'economy', 'http', 'ow', 'ly', 'GZvF30hboxT']","[u'creat', u'well', u'pay', u'green', u'job', u'ensur', u'futur', u'generat', u'prosper', u'sustain', u'economi', u'http', 'ow', 'ly', u'gzvf30hboxt']",We are creating well-paying green jobs to ensure future generations have a prosperous and sustainable economy. http://ow.ly/GZvF30hboxT,Economical,5,0.0,en
42,42,632493333805962_664200430635252,Low Carbon Economy Fund,video,https://www.facebook.com/EnvironmentandClimateChange/videos/664200430635252/,2017-12-15 14:31:57,3,0,2,3,0,0,0,0,0,0,"We’ve got big news! The Government of Canada will provide over $1B from the Low Carbon Economy Fund over the next five years to the provinces of British Columbia, Alberta, Ontario, Quebec, New Brunswick, and Nova Scotia. Canada is committed to growing the economy and protecting the environment for future generations.",[],['http://ow.ly/SUOx30hfWbI'],got big news Government Canada provide 1B Low Carbon Economy Fund next five years provinces British Columbia Alberta Ontario Quebec New Brunswick Nova Scotia Canada committed growing economy protecting environment future generations http ow ly SUOx30hfWbI,"['got', 'big', 'news', 'Government', 'Canada', 'provide', '1B', 'Low', 'Carbon', 'Economy', 'Fund', 'next', 'five', 'years', 'provinces', 'British', 'Columbia', 'Alberta', 'Ontario', 'Quebec', 'New', 'Brunswick', 'Nova', 'Scotia', 'Canada', 'committed', 'growing', 'economy', 'protecting', 'environment', 'future', 'generations', 'http', 'ow', 'ly', 'SUOx30hfWbI']","[u'got', u'big', u'news', u'govern', u'canada', u'provid', '1b', u'low', u'carbon', u'economi', u'fund', u'next', u'five', u'year', u'provinc', u'british', u'columbia', u'alberta', u'ontario', u'quebec', u'new', u'brunswick', u'nova', u'scotia', u'canada', u'commit', u'grow', u'economi', u'protect', u'environ', u'futur', u'generat', u'http', 'ow', 'ly', u'suox30hfwbi']","We’ve got big news! The Government of Canada will provide over $1B from the Low Carbon Economy Fund over the next five years to the provinces of British Columbia, Alberta, Ontario, Quebec, New Brunswick, and Nova Scotia. 

Canada is committed to growing the economy and protecting the environment for future generations. 

http://ow.ly/SUOx30hfWbI",Environmental,5,0.0,en
43,43,632493333805962_650228925365736,Photos from Environment and Climate Change's post,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/650228718699090/?type=3,2017-11-20 15:29:02,5,0,0,5,0,0,0,0,0,0,"Canada’s Minister of Environment and Climate Change, Catherine McKenna, is hosting an international meeting this week in Montreal focused, in part, on implementing one of the biggest, single, global climate actions ever taken: phasing down hydrofluorocarbons (HFCs). We all use HFCs in things like our fridges and air conditioners and they do a great job of cooling us down. Unfortunately, they also warm the planet. Delegates at the Montreal Protocol meeting are working to implement the Kigali Amendment to the Montreal Protocol which calls for a global HFC phase down. Countries adopted the Amendment last year and Canada recently became one of the first countries to ratify it. Canada is taking huge steps towards a clean future for our children and grandchildren, and as part of this, urges other countries to ratify the Kigali Amendment.",[],[],Minister Environment Climate Change Catherine McKenna hosting international meeting week Montreal focused part implementing one biggest single global climate actions ever taken phasing hydrofluorocarbons HFCs use HFCs things like fridges air conditioners great job cooling us Unfortunately also warm planet Delegates Montreal Protocol meeting working implement Kigali Amendment Montreal Protocol calls global HFC phase Countries adopted Amendment last year Canada recently became one first countries ratify Canada taking huge steps towards clean future children grandchildren part urges countries ratify Kigali Amendment,"['Minister', 'Environment', 'Climate', 'Change', 'Catherine', 'McKenna', 'hosting', 'international', 'meeting', 'week', 'Montreal', 'focused', 'part', 'implementing', 'one', 'biggest', 'single', 'global', 'climate', 'actions', 'ever', 'taken', 'phasing', 'hydrofluorocarbons', 'HFCs', 'use', 'HFCs', 'things', 'like', 'fridges', 'air', 'conditioners', 'great', 'job', 'cooling', 'us', 'Unfortunately', 'also', 'warm', 'planet', 'Delegates', 'Montreal', 'Protocol', 'meeting', 'working', 'implement', 'Kigali', 'Amendment', 'Montreal', 'Protocol', 'calls', 'global', 'HFC', 'phase', 'Countries', 'adopted', 'Amendment', 'last', 'year', 'Canada', 'recently', 'became', 'one', 'first', 'countries', 'ratify', 'Canada', 'taking', 'huge', 'steps', 'towards', 'clean', 'future', 'children', 'grandchildren', 'part', 'urges', 'countries', 'ratify', 'Kigali', 'Amendment']","[u'minist', u'environ', u'climat', u'chang', u'catherin', u'mckenna', u'host', u'intern', u'meet', u'week', u'montreal', u'focus', u'part', u'implement', u'one', u'biggest', u'singl', u'global', u'climat', u'action', u'ever', u'taken', u'phase', u'hydrofluorocarbon', u'hfcs', u'use', u'hfcs', u'thing', u'like', u'fridg', u'air', u'condition', u'great', u'job', u'cool', 'us', u'unfortun', u'also', u'warm', u'planet', u'deleg', u'montreal', u'protocol', u'meet', u'work', u'implement', u'kigali', u'amend', u'montreal', u'protocol', u'call', u'global', u'hfc', u'phase', u'countri', u'adopt', u'amend', u'last', u'year', u'canada', u'recent', u'becam', u'one', u'first', u'countri', u'ratifi', u'canada', u'take', u'huge', u'step', u'toward', u'clean', u'futur', u'children', u'grandchildren', u'part', u'urg', u'countri', u'ratifi', u'kigali', u'amend']","Canada’s Minister of Environment and Climate Change, Catherine McKenna, is hosting an international meeting this week in Montreal focused, in part, on implementing one of the biggest, single, global climate actions ever taken: phasing down hydrofluorocarbons (HFCs). 

We all use HFCs in things like our fridges and air conditioners and they do a great job of cooling us down. Unfortunately, they also warm the planet. Delegates at the Montreal Protocol meeting are working to implement the Kigali Amendment to the Montreal Protocol which calls for a global HFC phase down. Countries adopted the Amendment last year and Canada recently became one of the first countries to ratify it. 

Canada is taking huge steps towards a clean future for our children and grandchildren, and as part of this, urges other countries to ratify the Kigali Amendment.",Environmental,5,0.0,en
44,44,632493333805962_651650065223622,Environment and Climate Change,photo,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/651384651916830/?type=3,2017-11-23 08:42:50,5,0,0,5,0,0,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social,5,0.0,tl
