"likes","mediaid","caption","url","shortcode","comments","typename","caption_hashtags","tagged_users","date","caption_mentions","is_video","id","owner_username","owner_id","video_url"
17,1432133027194324200,"Check out our geologist doing field work in the Prince Albert Hills, Melville Peninsula, Nunavut mapping Canada’s North 🇨🇦. These maps will help guide northerners and industry in locating areas with high mineral resource exploration potential. #geology #mapping #ScienceatWork #maps #canada #nunavut #science #rocks #fieldwork","https://instagram.fyvr3-1.fna.fbcdn.net/vp/d8b572397bfa3ba21bc5b64bd8fa740f/5AFF1FBB/t51.2885-15/e35/15875928_401382603530408_245831403898404864_n.jpg","BPf9WaFBcTq",0,"GraphImage","[""geology"",""mapping"",""scienceatwork"",""maps"",""canada"",""nunavut"",""science"",""rocks"",""fieldwork""]","[]","2017-01-20T12:19:42","[]",false,"2017-01-20_12-19-42","naturalresourcescanada",4211313612,
12,1435733473330913000,"#PMYouthCouncil Your future matters! Protecting the #Environment and growing the #Economy go hand in hand","https://instagram.fyvr3-1.fna.fbcdn.net/vp/37e9c150c539a10af638f5bdac2dae0a/5A636990/t51.2885-15/e15/16229403_255799448185116_546822879505809408_n.jpg","BPsv_y2Bt9T",0,"GraphVideo","[""pmyouthcouncil"",""environment"",""economy""]","[]","2017-01-25T11:33:09","[]",true,"2017-01-25_11-33-09","naturalresourcescanada",4211313612,"https://instagram.fyvr3-1.fna.fbcdn.net/vp/e360858ffcbb32416da0e3b2e0d94f3f/5A636D61/t50.2886-16/16328376_1340343826040381_282218933765799936_n.mp4"
9,1435763225651538000,"#PMYouthCouncil Follow us on Instagram for a chance to win a Canadian flag that flew over the North Pole! #UNCLOS","https://instagram.fyvr3-1.fna.fbcdn.net/vp/8b23907cf900b9c4f26fe036720eac94/5ADA8423/t51.2885-15/e15/16110763_1628194844153825_2863093047111974912_n.jpg","BPs2wv2h2eF",0,"GraphImage","[""pmyouthcouncil"",""unclos""]","[]","2017-01-25T12:32:15","[]",false,"2017-01-25_12-32-15","naturalresourcescanada",4211313612,
20,1440154702196314600,"Congrats to @Akg78001, who is the winner of our Instagram Flag Contest! You’ll be receiving a flag that flew at the North Pole. To claim your prize, direct message us on Instagram! #PMYouthCouncil #NorthPole #Winner","https://instagram.fyvr3-1.fna.fbcdn.net/vp/36ccc15bb26da89ce865ede95e236fb8/5AE1C9BB/t51.2885-15/e35/16230527_188824704932636_8101669210708508672_n.jpg","BP8dRJGBRHG",1,"GraphImage","[""pmyouthcouncil"",""northpole"",""winner""]","[]","2017-01-31T13:57:20","[""akg78001""]",false,"2017-01-31_13-57-20","naturalresourcescanada",4211313612,
13,1441524467376648700,"The Honourable Jim Carr, Canada’s Minister of Natural Resources, and Secretary Guajardo of Mexico sign a Memorandum of Understanding to advance collaboration on the governance of mineral resources in Mexico on February 1, 2017.","https://instagram.fyvr3-1.fna.fbcdn.net/vp/c40b63beeae9548322297f4c2219b6df/5AE406C9/t51.2885-15/s1080x1080/e15/fr/16230419_173560469798484_3476659387685142528_n.jpg","BQBUt2VBPJ5",0,"GraphImage","[]","[]","2017-02-02T11:18:49","[]",false,"2017-02-02_11-18-49","naturalresourcescanada",4211313612,
9,1441525504107958800,"The Honourable Jim Carr, Canada’s Minister of Natural Resources, participates in a roundtable on sustainable mining with the Canadian delegation in Mexico on February 1, 2017.","https://instagram.fyvr3-1.fna.fbcdn.net/vp/b2fd0682aad6c3cbc785f5b72fdc254e/5ADC9A80/t51.2885-15/e15/fr/p1080x1080/16228576_246764369110857_3648912285201596416_n.jpg","BQBU873BVJG",0,"GraphImage","[]","[]","2017-02-02T11:20:52","[]",false,"2017-02-02_11-20-52","naturalresourcescanada",4211313612,
12,1441525918035409700,"The Honourable Jim Carr, Canada’s Minister of Natural Resources, addresses participants at the Energy Mexico Oil Gas Power 2017 Expo & Congress in Mexico, Mexico City, on February 2, 2017.","https://instagram.fyvr3-1.fna.fbcdn.net/vp/9fdced6ac31e8d150185950431a6a3e3/5AE90029/t51.2885-15/s1080x1080/e15/fr/16464429_252425685198485_5911758093347192832_n.jpg","BQBVC9XBPsa",1,"GraphImage","[]","[]","2017-02-02T11:21:42","[]",false,"2017-02-02_11-21-42","naturalresourcescanada",4211313612,
9,1441530333639444000,"The Honourable Jim Carr, Canada’s Minister of Natural Resources, engages with members of the Canadian and Mexican business communities, policy makers, business leaders and environmental groups in Mexico on February 1, 2017","https://instagram.fyvr3-1.fna.fbcdn.net/vp/6d4f0e789e03d5780db23e872876596b/5AEE8164/t51.2885-15/e35/16464043_234523653672779_3098687366395592704_n.jpg","BQBWDNth4ZI",0,"GraphImage","[]","[]","2017-02-02T11:30:28","[]",false,"2017-02-02_11-30-28","naturalresourcescanada",4211313612,
7,1442313305053878300,"The Honourable Jim Carr, Canada’s Minister of Natural Resources, promotes Canadian culture and Canada’s 150th anniversary year while attending performances by Canada’s Royal Winnipeg Ballet of Pas de Deux from their “Going Home Star” ballet and by the Ballet Folklórico de México of The Dance of the Deer in Mexico City on February 2, 2017. #Mexico #Canada150","https://instagram.fyvr3-1.fna.fbcdn.net/vp/bc48173cec4de9d1078d289aec016f19/5AD94894/t51.2885-15/s1080x1080/e15/fr/16123880_1334566269936788_5697438263204118528_n.jpg","BQEIE8qjlgH",0,"GraphImage","[""mexico"",""canada150""]","[]","2017-02-03T13:26:06","[]",false,"2017-02-03_13-26-06","naturalresourcescanada",4211313612,
10,1442314201217237800,"Minister Carr engages senior Mexican government officials and promotes Canadian culture #Canada150 #Mexico","https://instagram.fyvr3-1.fna.fbcdn.net/vp/69168c3b573145ed82cb5eb914769966/5AEA7AD3/t51.2885-15/s1080x1080/e15/fr/16229130_1371829002880725_5100748339490586624_n.jpg","BQEIR_SDgLr",0,"GraphImage","[""canada150"",""mexico""]","[]","2017-02-03T13:27:52","[]",false,"2017-02-03_13-27-52","naturalresourcescanada",4211313612,
18,1442322420736103400,"Tune in Friday morning, February 10, when NRCan Chief Scientist Donna Kirkwood takes over our Instagram account in honour of #WomenInScience. \n#TakeOver #Science #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/2f43714ffc776c57080d23d75792df09/5AE95437/t51.2885-15/e15/16230538_1331492730248053_9036062229539061760_n.jpg","BQEKJmTjpQp",0,"GraphImage","[""womeninscience"",""takeover"",""science"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-03T13:44:12","[]",false,"2017-02-03_13-44-12","naturalresourcescanada",4211313612,
21,1442324153285732900,"Did you hear the news? Chief Scientist Donna Kirkwood is taking over our Instagram on Friday, February 10, to celebrate #WomenInScience! \nAnd be sure to check us out on Twitter, too! Follow us at @NRCan throughout the morning to hear from the Chief Scientist herself. \n#TakeOver #Science #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/69d6be0027005756ccacf3783f16ff67/5AE9ECC9/t51.2885-15/e15/16230418_1329435690449358_1007820771860414464_n.jpg","BQEKiz3j-ps",0,"GraphImage","[""womeninscience"",""takeover"",""science"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-03T13:47:39","[""nrcan""]",false,"2017-02-03_13-47-39","naturalresourcescanada",4211313612,
10,1444410082510359800,"Meet Chief Scientist Donna Kirkwood. She will be taking over our Twitter and Instagram this Friday, February 10, to celebrate #WomenInScience\n#STEMGirls #GirlsLoveScience #WomenInTech #Takeover","https://instagram.fyvr3-1.fna.fbcdn.net/vp/af2127f18ad3dea526c948084a7e7b8e/5ADA72F5/t51.2885-15/e35/16585382_194468111029578_3136019509895233536_n.jpg","BQLk1E2BcyD",0,"GraphImage","[""womeninscience"",""stemgirls"",""girlslovescience"",""womenintech"",""takeover""]","[]","2017-02-06T10:52:01","[]",false,"2017-02-06_10-52-01","naturalresourcescanada",4211313612,
6,1445711501389664000,"Canada’s Minister of Natural Resources, the Honourable Jim Carr, delivers a keynote address at the Energy Council of Canada Conference in Ottawa, Ontario, on Monday, February 6, 2017.","https://instagram.fyvr3-1.fna.fbcdn.net/vp/80e801111e3135e5f731470a199180a0/5AF38F69/t51.2885-15/e35/16465513_1854387021452887_8528558259504676864_n.jpg","BQQMvNoBw6S",0,"GraphImage","[]","[]","2017-02-08T05:57:42","[]",false,"2017-02-08_05-57-42","naturalresourcescanada",4211313612,
14,1445774700046483500,"Our Chief Scientist, Donna Kirkwood, will be taking over our Twitter and Instagram this Friday morning! \nTune in as she showcases her work and that of other female scientists in honour of #WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/f116112153ada4ce4490918cc244d9bf/5AEF52E2/t51.2885-15/e35/16465459_1280648648690760_8342052684815138816_n.jpg","BQQbG39hH-J",0,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-08T08:03:16","[]",false,"2017-02-08_08-03-16","naturalresourcescanada",4211313612,
9,1446562141640828700,"Hope you didn’t forget! Tune in tomorrow morning when Chief Scientist Donna Kirkwood takes over our Twitter and Instagram #WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/d27fbbdcdadd3f1c7f9110fa863ccbe1/5AE3A763/t51.2885-15/e35/16585389_1223943604308181_7710358026019930112_n.jpg","BQTOJqGB6cL",0,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-09T10:07:46","[]",false,"2017-02-09_10-07-46","naturalresourcescanada",4211313612,
18,1447166036515545900,"Stay tuned! Throughout the day, I’m going to highlight some of the great fieldwork photos of NRCan Scientists – DK\n#WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/8d45d3e7986ab2fdbe0f486957f9aa1a/5AFB5E9C/t51.2885-15/e35/16584914_766667363500778_1579525367574560768_n.jpg","BQVXdfBhOM8",0,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T06:07:36","[]",false,"2017-02-10_06-07-36","naturalresourcescanada",4211313612,
22,1447185853410814700,"Throwing it back to me as a young professor! Some things change, but my love of science has only grown stronger – DK \n#WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/fb797476180f1c8e4afefe1a48d4d055/5AFB2CB3/t51.2885-15/e35/16464694_380450442324642_9033642737022271488_n.jpg","BQVb928harf",0,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T06:46:59","[]",false,"2017-02-10_06-46-59","naturalresourcescanada",4211313612,
25,1447218766575733000,"Sometimes monitoring volcanos brings you to new heights. Volcanologist Melanie Kelman studies Canadian volcanoes (in BC/YT) and prepares to deal with volcanic unrest.  Really cool! – DK\n#WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/992c010ec821a1bc4ad9a0538005b86c/5AFAEC71/t51.2885-15/e35/16231004_1234789816639218_7228418440065712128_n.jpg","BQVjczuBojO",1,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T07:52:22","[]",false,"2017-02-10_07-52-22","naturalresourcescanada",4211313612,
31,1447231024538109200,"Check out that coastline! Scientist Lisa Nykolaishen uses GPS to measure the crustal motions caused by tectonic processes that generate earthquakes near Haida Gwaii BC. Sometimes I wish I could be back in the field again to see views like that! – DK  #WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/fa97fede8eac81eabcfd1afd47522d57/5ADCEBF7/t51.2885-15/e35/16585304_218196415312887_5468640751141257216_n.jpg","BQVmPL1hMSg",2,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T08:16:43","[]",false,"2017-02-10_08-16-43","naturalresourcescanada",4211313612,
19,1447240280150737200,"Move over Indiana Jones! Scientist Suzanne Paradis is off on her own treasure hunt to unlock the mysteries of Canada’s mineral deposits – DK #WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/e5916c87a33fb78ed4c5dfcae0f9b17f/5AEADA82/t51.2885-15/e35/16228892_1906081716291319_5060552311797972992_n.jpg","BQVoV3zBYCC",0,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T08:35:07","[]",false,"2017-02-10_08-35-07","naturalresourcescanada",4211313612,
23,1447245603636789200,"Here’s Suzanne Paradis again. I’m not sure about you, but to me this picture makes a pretty good argument for pursuing geology as a career… – DK\n#WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/baa12ac0919c0c5b40c4e1dc3fa6f88e/5ADBA1E0/t51.2885-15/e35/16585353_252061501906803_4299008276109983744_n.jpg","BQVpjVrhEAN",0,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T08:45:41","[]",false,"2017-02-10_08-45-41","naturalresourcescanada",4211313612,
14,1447256608416727800,"#FlashBackFriday Here’s a pic of me as a young(er) geologist hiking in the Pyrenees in Spain. I’ve been very fortunate in that my work has taken me to some pretty amazing places! – DK #WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/025cac407566528149f364cd8f6c52cd/5AE468C5/t51.2885-15/e35/16465347_265185410577593_3907971312198352896_n.jpg","BQVsDerhAM2",0,"GraphImage","[""flashbackfriday"",""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T09:07:33","[]",false,"2017-02-10_09-07-33","naturalresourcescanada",4211313612,
26,1447265696810952400,"Vicki Tschirhart showing some local rock samples to local Nunavumians! The traditional knowledge of northern communities plays a very important role in the research of lots of NRCan scientists – DK #WomenInScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/2499071b183bf2421fd3b4667fedf031/5AE51B7E/t51.2885-15/e35/16229184_1858053107768688_5299346540630900736_n.jpg","BQVuHu6BmaS",0,"GraphImage","[""womeninscience""]","[]","2017-02-10T09:25:37","[]",false,"2017-02-10_09-25-37","naturalresourcescanada",4211313612,
34,1447274466697889300,"As a wildland fire researcher, Lynn Johnson is used to feeling the heat! Forest fires are a beneficial ecosystem process, but Lynn’s research helps to predict and manage forest fires that might threaten human lives and infrastructure – DK #WomenInScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/34c785c7fbbf7d947ce82948996b8f92/5AE04443/t51.2885-15/e35/16465269_414306685578891_7008695425100152832_n.jpg","BQVwHWgBUYa",1,"GraphImage","[""womeninscience""]","[]","2017-02-10T09:43:02","[]",false,"2017-02-10_09-43-02","naturalresourcescanada",4211313612,
20,1447287915020712400,"That’s all for me here! Thx for following! If you want to see more from me, follow my personal Twitter account, at DLEKirkwood – DK\n#WomenInScience #NRCanSci #STEMGirls #WomenInTech #GirlsLoveScience","https://instagram.fyvr3-1.fna.fbcdn.net/vp/a2517f77c14bd90489222543547111f2/5AF82546/t51.2885-15/e35/16465414_1106246189503159_2464134634498162688_n.jpg","BQVzLDOhnpn",3,"GraphImage","[""womeninscience"",""nrcansci"",""stemgirls"",""womenintech"",""girlslovescience""]","[]","2017-02-10T10:09:45","[]",false,"2017-02-10_10-09-45","naturalresourcescanada",4211313612,
