Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,language,average_sentiment_score,sentiment,account_name,lemmatized_text,matched_keywords,category,category
10,740570409486188544,2016-06-08 15:45:19,['https://t.co/TsQBZAsZ\xe2\x80\xa6'],RT @MPO_DFO: Min LeBlanc annonce la nouvelle Alliance de recherche océanique au Canada (AROC)  #JournéeMondialeOcéans https://t.co/TsQBZAsZ…,RT Min LeBlanc annonce la nouvelle Alliance de recherche anique au Canada AROC ans https co,['#Journ'],25,0,25,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'min', 'leblanc', 'annonce', 'nouveau', 'alliance', 'recherche', 'océanique', 'canada', 'aroc', '#journéemondialeocéans', 'httpstcotsqbzasz…']",['#journéemondialeocéans'],Environmental,Environmental
11,685180213265854465,2016-01-07 19:24:27,['https://t.co/AQHj6SSXEv'],RT @FinancesCanada: Début des consultations prébudgétaires en ligne. Nous aimerions entendre les Canadiens #CPB16 https://t.co/AQHj6SSXEv,RT FinancesCanada des consultations taires en ligne Nous aimerions entendre les Canadiens CPB16 https co AQHj6SSXEv,['#CPB16'],24,0,24,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['ficescanada', 'début', 'consultation', 'prébudgétaires', 'ligne', 'aimerions', 'entendre', 'les', 'canadien', '#cpb16', 'httpstcoaqhj6ssxev']",[],unknown,unknown
12,719625071032168448,2016-04-11 20:36:01,['https://\xe2\x80\xa6'],RT @PMcanadien: C'est la Semaine nationale de la conservation de la faune. Travaillons ensemble pour protéger la faune canadienne! https://…,RT PMcanadien est la Semaine nationale de la conservation de la faune Travaillons ensemble pour ger la faune canadienne https,[],24,0,24,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['pmcanadien', ""c'est"", 'semaine', 'nationale', 'conservation', 'faune', 'travaillons', 'ensemble', 'protéger', 'faune', 'canadien', 'https…']","['conservation', 'faune', 'protéger', 'faune']",Environmental,Environmental
13,712388893518254080,2016-03-22 21:22:02,['https://t.co/HAeJVLaLUf'],RT @FinancesCanada: Le #Budget2016 réinvestit massivement dans l'?infrastructure d?'un océan à l?'autre. https://t.co/HAeJVLaLUf,RT FinancesCanada Le Budget2016 investit massivement dans infrastructure un autre https co HAeJVLaLUf,['#Budget2016'],24,0,24,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['ficescanada', '#budget2016', 'réinvestit', 'massivement', ""l'\x92infrastructure"", ""d\x92'un"", 'océan', ""l\x92'autre"", 'httpstcohaejvlaluf']",['océan'],Environmental,Environmental
14,877549510129594369,2017-06-21 15:31:21,[],"RT @AuCanada: Célébrons le patrimoine, la diversité &amp; la contribution des Premières Nations, des Inuits &amp; des Métis au ??! #JournéeNational…",RT AuCanada brons le patrimoine la amp la contribution des res Nations des Inuits amp des tis au,['#Journ'],23,0,23,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['aucanada', 'célébrons', 'patrimoine', 'diversité', 'amp', 'contribution', 'premier', 'nation', 'inuit', 'amp', 'métis', '#journéenational…']","['diversité', 'inuit', 'métis']",Social,Social
15,905842208787582977,2017-09-07 17:16:26,['https://t.co\xe2\x80\xa6'],RT @GCC_CCG: Notre nouveau bâteau d’intervention d’urgence sera basé à #Kitsilano pour intervenir sur les incidents maritimes. https://t.co…,RT Notre nouveau teau intervention urgence sera Kitsilano pour intervenir sur les incidents maritimes https,['#Kitsilano'],22,0,22,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['gcc_ccg', 'nouveau', 'bâteau', ""d'intervention"", ""d'urgence"", 'basé', '#kitsilano', 'intervenir', 'les', 'incident', 'maritime', 'httpstco…']",['maritime'],Environmental,Environmental
16,788439444063789056,2016-10-18 17:59:46,[],"RT @canada150e: Le 31 décembre, tout le Canada sera en fête! Faites comme des milliers d’autres Canadiens et participez au coup d’envoi de…",RT canada150e Le 31 cembre tout le Canada sera en Faites comme des milliers autres Canadiens et participez au coup envoi,[],21,0,21,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['canada150e', 'décembre', 'tout', 'canada', 'fête', 'faites', 'comme', 'millier', ""d'autres"", 'canadien', 'participez', 'coup', ""d'envoi"", 'de…']",['participez'],Social,Social
17,842422667114356738,2017-03-16 17:09:49,['https://t.co/9TZ2\xe2\x80\xa6'],"RT @MPO_Science: Chaque année, nos scientifiques réalisent des projets de recherche sur &amp; sous l’eau. Apprenez-en plus :  https://t.co/9TZ2…",RT Chaque nos scientifiques alisent des projets de recherche sur amp sous eau Apprenez en plus https co,[],18,0,18,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_science', 'chaque', 'année', 'scientifique', 'réalisent', 'projet', 'recherche', 'amp', 'sou', ""l'eau"", 'apprenez-en', 'plus', 'httpstco9tz2…']","['scientifique', 'scientifique', 'scientifique', 'projet']",Social,Social
18,924367852617990144,2017-10-28 20:10:44,['https://t.co/\xe2\x80\xa6'],RT @MPO_DFO: Le Canada a atteint son objectif de #ConservationMarine visant à protéger 5% de ses #océans avant la fin 2017 ?? https://t.co/…,RT Le Canada atteint son objectif de ConservationMarine visant ger de ses ans avant la fin 2017 https co,"['#ConservationMarine', '#oc']",16,0,16,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'canada', 'atteint', 'objectif', '#conservationmarine', 'visant', 'protéger', '#océans', 'avant', 'fin', '2017', 'httpstco…']",['protéger'],Environmental,Environmental
19,712397451865546752,2016-03-22 21:56:02,['https://t.co/HoPMqNnkJ'],RT @FinancesCanada: Investir pour faire bénéficier les Autochtones de la prospérité du Canada. #Budget2016 https://t.co/HoPMqNnkJ1,RT FinancesCanada Investir pour faire ficier les Autochtones de la du Canada Budget2016 https co HoPMqNnkJ1,['#Budget2016'],15,0,15,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['ficescanada', 'investir', 'faire', 'bénéficier', 'les', 'autochtone', 'prospérité', 'canada', '#budget2016', 'httpstcohopmqnnkj1']",['autochtone'],Social,Social
