,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type,text_original
0,0,0,0,"{""username"":""i.lloyd_irl"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15251776_719839148180878_6264989281945649152_a.jpg"",""id"":""1262217193""}",1482142939,1.78568e+16,2016-12-08_08-48-30,Amazing!,[],[],Amazing,['Amazing'],[u'amaz'],Amazing,0.6000000000000001,0.6000000000000001,Positive,Positive,Amazing!
1,1,1,1,"{""username"":""drilldeck"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16228526_1639189286387336_5821544873685155840_a.jpg"",""id"":""3889034985""}",1481944479,1.7847e+16,2016-12-08_08-48-30,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,😀
2,2,2,2,"{""username"":""flexusmyplexus"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/1390306_1576801132638714_932864236_a.jpg"",""id"":""2996600962""}",1481691131,1.78675e+16,2016-12-08_08-48-30,Terrific!,[],[],Terrific,['Terrific'],[u'terrif'],Terrific,0.0,0.0,Neutral,Neutral,Terrific!
3,3,3,3,"{""username"":""orlinasbra"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14582304_377759459235406_1170057711153315840_a.jpg"",""id"":""1649730007""}",1481526684,1.78671e+16,2016-12-08_08-48-30,Thanks for sharing. waiting for more!,[],[],Thanks sharing waiting,"['Thanks', 'sharing', 'waiting']","[u'thank', u'share', u'wait']",Thanks sharing waiting,0.2,0.2,Neutral,Neutral,Thanks for sharing. 👍 waiting for more!
4,4,4,4,"{""username"":""spinnables"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15625305_1162933027093341_2339693342985551872_a.jpg"",""id"":""3415634172""}",1481280605,1.78566e+16,2016-12-08_08-48-30,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,😻
5,5,5,5,"{""username"":""gchamberlainaz"",""profile_pic_url"":""https://scontent-lax3-1.cdninstagram.com/t51.2885-19/11906329_960233084022564_1448528159_a.jpg"",""id"":""4274358001""}",1481899912,1.78702e+16,2016-12-08_08-58-20,"When the government says safely it does not include assessing the damage to our planets atmosphere, oceans and ecosystems, the web of life, commonly called climate change",[],[],government says safely include assessing damage planets atmosphere oceans ecosystems web life commonly called climate change,"['government', 'says', 'safely', 'include', 'assessing', 'damage', 'planets', 'atmosphere', 'oceans', 'ecosystems', 'web', 'life', 'commonly', 'called', 'climate_change']","[u'govern', u'say', u'safe', u'includ', u'assess', u'damag', u'planet', u'atmospher', u'ocean', u'ecosystem', u'web', u'life', u'common', u'call', u'climate_chang']",government says safely include possessing damage planets atmosphere ocean ecosystems web life commonly called climate change,0.1,0.1,Neutral,Neutral,"When the government says safely it does not include assessing the damage to our planets atmosphere, oceans and ecosystems, the web of life, commonly called climate change"
6,6,6,6,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1481558719,1.78565e+16,2016-12-09_11-22-06,Stunning,[],[],Stunning,['Stunning'],[u'stun'],Stunning,0.5,0.5,Positive,Positive,Stunning 😍
7,7,7,7,"{""username"":""alterabrand_"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17819120_1867552986866159_1927379008010321920_a.jpg"",""id"":""2246298117""}",1482749984,1.78576e+16,2016-12-21_13-08-37,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,🔲
8,8,8,8,"{""username"":""bhuwan_chauhan_ifbbpro"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26385573_165716367529833_8033108115186515968_n.jpg"",""id"":""344498067""}",1482385546,1.78467e+16,2016-12-21_13-08-37,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,👌 👍
9,9,9,9,"{""username"":""ch9seeds"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12558430_1001872556517958_1273974577_a.jpg"",""id"":""884696440""}",1482373200,1.7867e+16,2016-12-21_13-08-37,cool,[],[],cool,['cool'],[u'cool'],cool,0.35,0.35,Positive,Positive,cool
10,10,10,10,"{""username"":""arseguin"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15276694_787472344724595_6068061028514529280_a.jpg"",""id"":""404674113""}",1482365573,1.78475e+16,2016-12-21_13-08-37,Best of luck,[],[],Best luck,"['Best', 'luck']","[u'best', u'luck']",West luck,1.0,0.0,Positive,Neutral,Best of luck
11,11,11,11,"{""username"":""finishfirstfootball"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13696455_536847793184500_1713701396_a.jpg"",""id"":""258410485""}",1482359402,1.78677e+16,2016-12-21_13-08-37,Strive for Greatness,['#HBT'],[],Strive Greatness,"['Strive', 'Greatness']","[u'strive', u'great']",Strive Greatness,0.0,0.0,Neutral,Neutral,Strive for Greatness #HBT
12,12,12,12,"{""username"":""gabrielackleymarquee"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16585340_614306368773589_936417833917612032_a.jpg"",""id"":""51117776""}",1484247562,1.7847e+16,2016-12-22_11-46-09,Very good!,[],[],good,['good'],[u'good'],good,0.7,0.7,Positive,Positive,Very good!😃
13,13,13,13,"{""username"":""greeny.towels"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19379538_480889642249786_826896348258238464_a.jpg"",""id"":""3080413606""}",1482644052,1.78617e+16,2016-12-22_11-46-09,Beautiful sweet home!! You might like something we do!!,[],[],Beautiful sweet home might like something,"['Beautiful', 'sweet', 'home', 'might', 'like', 'something']","[u'beauti', u'sweet', u'home', u'might', u'like', u'someth']",Beautiful sweet home might like something,0.6,0.6,Positive,Positive,Beautiful sweet home!! You might like something we do!! :)
14,14,14,14,"{""username"":""gettingtothemz"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15876441_357826917933658_8962360367401402368_n.jpg"",""id"":""4160686097""}",1482513508,1.78562e+16,2016-12-22_11-46-09,Great,[],[],Great,['Great'],[u'great'],Great,0.8,0.8,Positive,Positive,Great :)
15,15,15,15,"{""username"":""official_spydergrip"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14515756_184157941993061_5599471351967514624_a.jpg"",""id"":""1968434852""}",1482476552,1.78682e+16,2016-12-22_11-46-09,Looks good!,[],[],Looks good,"['Looks', 'good']","[u'look', u'good']",Looks good,0.7,0.7,Positive,Positive,Looks good! 👍
16,16,16,16,"{""username"":""trapworldjgoode"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14574134_740374776115863_2630867682995470336_a.jpg"",""id"":""2090976186""}",1482453348,1.7856e+16,2016-12-22_11-46-09,follow me bacc tho,[],[],follow bacc tho,"['follow', 'bacc', 'tho']","[u'follow', u'bacc', u'tho']",follow back the,0.0,0.0,Neutral,Neutral,💯🔥🔥 follow me bacc tho
17,17,17,17,"{""username"":""soulsu76"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22499809_1558160640894443_3919617871935700992_n.jpg"",""id"":""325103323""}",1482443921,1.78677e+16,2016-12-22_11-46-09,"The north: strong, free, and melting.",[],[],north strong free melting,"['north', 'strong', 'free', 'melting']","[u'north', u'strong', u'free', u'melt']",north strong free melting,0.4166666666666666,0.4166666666666666,Positive,Positive,"The north: strong,  free,  and melting."
18,18,18,18,"{""username"":""arseguin"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15276694_787472344724595_6068061028514529280_a.jpg"",""id"":""404674113""}",1483985189,1.7857e+16,2016-12-29_08-13-56,Awesome!,[],[],Awesome,['Awesome'],[u'awesom'],Awesome,1.0,1.0,Positive,Positive,Awesome!
19,19,19,19,"{""username"":""strangerwatches"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12081061_1010226609047568_492725747_a.jpg"",""id"":""1467510992""}",1485150842,1.78475e+16,2016-12-30_07-53-07,you have great posts,[],[],great posts,"['great', 'posts']","[u'great', u'post']",great posts,0.8,0.8,Positive,Positive,you have great posts
20,20,20,20,"{""username"":""ethosathlete"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25035687_164624307600748_100398859158552576_n.jpg"",""id"":""4164569700""}",1483171649,1.78463e+16,2016-12-30_07-53-07,This is amazing,[],[],amazing,['amazing'],[u'amaz'],amazing,0.6000000000000001,0.6000000000000001,Positive,Positive,This is amazing 👍
21,21,21,21,"{""username"":""roguerefined"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11352120_934080946633536_1854911905_a.jpg"",""id"":""2110681397""}",1483168427,1.78479e+16,2016-12-30_07-53-07,Nice,[],[],Nice,['Nice'],[u'nice'],Vice,0.6,0.0,Positive,Neutral,Nice
22,22,22,22,"{""username"":""firstladiesclub.co"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18812637_794609074053585_4702578568771665920_a.jpg"",""id"":""3049355419""}",1483139030,1.78575e+16,2016-12-30_07-53-07,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,👍🏻
23,23,23,23,"{""username"":""champagneandketones"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26182541_177679589652797_5147498598946045952_n.jpg"",""id"":""230294688""}",1488771622,1.78614e+16,2017-01-10_06-04-31,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,🙌💕✨
24,24,24,24,"{""username"":""sabribest"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14488164_664896327009846_5177594895077998592_a.jpg"",""id"":""911896835""}",1484546824,1.78707e+16,2017-01-10_06-04-31,so cool!,[],[],cool,['cool'],[u'cool'],cool,0.35,0.35,Positive,Positive,so cool!
25,25,25,25,"{""username"":""jodiwhitfit"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26073241_146907265972258_7940841183897452544_n.jpg"",""id"":""20073090""}",1484173180,1.78696e+16,2017-01-10_06-04-31,I'm seriously in LOVE with your page! Thank you for sharing your life and photos!!!,[],[],seriously LOVE page Thank sharing life photos,"['seriously', 'LOVE', 'page', 'Thank', 'sharing', 'life', 'photos']","[u'serious', u'love', u'page', u'thank', u'share', u'life', u'photo']",seriously LOVE page Thank sharing life photo,0.5,0.5,Positive,Positive,I'm seriously in LOVE with your page!  Thank you for sharing your life and photos!!! 💕
