,Unnamed: 0,Unnamed: 0.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
10,10,10,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477332901,1.78436e+16,2016-10-24_07-03-53,we ️ owls too! They are a hoot! Lowl! (Puns intended ),[],[],owls hoot Lowl Puns intended,"['owls', 'hoot', 'Lowl', 'Puns', 'intended']","[u'owl', u'hoot', u'lowl', u'pun', u'intend']",owns foot Bowl Guns intended,0.0,0.0,Neutral,Neutral
11,11,11,"{""username"":""ryanlalonde"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20986838_495011414166396_1061706393628704768_a.jpg"",""id"":""427073""}",1477329532,1.78644e+16,2016-10-24_07-03-53,I love owls,[],[],love owls,"['love', 'owls']","[u'love', u'owl']",love owns,0.5,0.5,Positive,Positive
12,12,12,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477317859,1.7864e+16,2016-10-24_07-03-53,,"['#MondaysGotMeLike', '#MondayGotMeLike', '#MondayMotivation', '#MondayFeeling', '#IsItFridayYet', '#Owl', '#Owls', '#InstaOwls', '#InstaBirds', '#OwlsOfInstagram', '#PhotoOfTheDay', '#Reconyx', '#Wildlife', '#Canada']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
13,13,13,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478533060,1.78549e+16,2016-10-25_08-00-33,Keep up the good work! ️,[],[],Keep good work,"['Keep', 'good', 'work']","[u'keep', u'good', u'work']",Deep good work,0.7,0.35,Positive,Positive
14,14,14,"{""username"":""sunnygirl1952"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14733547_1691174404530079_2939419782807552000_a.jpg"",""id"":""4120202799""}",1478394506,1.78648e+16,2016-10-25_08-00-33,that's me! On Melville Island in . We were . Now I am and,"['#birdbanding', '#brant', '#geese', '#banding', '#canadageese', '#lovingit']",[],Melville Island,"['Melville', 'Island']","[u'melvill', u'island']",Neville Island,0.0,0.0,Neutral,Neutral
15,15,15,"{""username"":""juliehkennedy"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13649396_1059497470802769_1846254561_a.jpg"",""id"":""52980496""}",1477514793,1.78536e+16,2016-10-25_08-00-33,Proud of my sister Barbara yrs of service and still going strong!,[],[],Proud sister Barbara yrs service still going strong,"['Proud', 'sister', 'Barbara', 'yrs', 'service', 'still', 'going', 'strong']","[u'proud', u'sister', u'barbara', u'yrs', u'servic', u'still', u'go', u'strong']",Proud sister Barbara yes service still going strong,0.6166666666666667,0.6166666666666667,Positive,Positive
16,16,16,"{""username"":""thatgirlmeags"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26157035_383572105420192_715266841110380544_n.jpg"",""id"":""2113949714""}",1477492801,1.78652e+16,2016-10-25_08-00-33,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
17,17,17,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477492468,1.78546e+16,2016-10-25_08-00-33,shout out to Barbara and her dedication!,[],[],shout Barbara dedication,"['shout', 'Barbara', 'dedication']","[u'shout', u'barbara', u'dedic']",shout Barbara education,0.0,0.0,Neutral,Neutral
18,18,18,"{""username"":""redcanoe1"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12716996_1014773015276864_1749792811_a.jpg"",""id"":""3012816250""}",1477451126,1.78544e+16,2016-10-25_08-00-33,"Barbara, aka Mom, is still going strong after years and loves her bird work at CWS",[],[],Barbara aka Mom still going strong years loves bird work CWS,"['Barbara', 'aka', 'Mom', 'still', 'going', 'strong', 'years', 'loves', 'bird', 'work', 'CWS']","[u'barbara', u'aka', u'mom', u'still', u'go', u'strong', u'year', u'love', u'bird', u'work', u'cws']",Barbara ak Tom still going strong years loves bird work CWS,0.4333333333333333,0.4333333333333333,Positive,Positive
19,19,19,"{""username"":""thatgirlmeags"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26157035_383572105420192_715266841110380544_n.jpg"",""id"":""2113949714""}",1477435064,1.78582e+16,2016-10-25_08-00-33,Hey! That's our mom!,[],[],Hey mom,"['Hey', 'mom']","[u'hey', u'mom']",Key mon,0.0,0.0,Neutral,Neutral
