,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type,text_original
0,0,0,0,"{""username"":""fishingicons"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/11265149_1101866533168507_876162492_a.jpg"",""id"":""2931752721""}",1484293655,1.7847e+16,2016-12-08_08-49-17,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,👌 📷 🎣
1,1,1,1,"{""username"":""kimdanger"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18722717_653105334886068_8370066703492579328_a.jpg"",""id"":""10101477""}",1483966815,1.78626e+16,2016-12-08_08-49-17,Nice!,[],[],Nice,['Nice'],[u'nice'],Vice,0.6,0.0,Positive,Neutral,Nice!
2,2,2,2,"{""username"":""ajlanhappyfitlife"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19761478_323244828125328_3478133918677336064_a.jpg"",""id"":""458470720""}",1483211936,1.78463e+16,2016-12-08_08-49-17,Love it!,[],[],Love,['Love'],[u'love'],Love,0.5,0.5,Positive,Positive,Love it!
3,3,3,3,"{""username"":""champagneandketones"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26182541_177679589652797_5147498598946045952_n.jpg"",""id"":""230294688""}",1482458811,1.78561e+16,2016-12-08_08-49-17,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,💗💗
4,4,4,4,"{""username"":""callmecoachmiller"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/23421567_1609646182411881_6479960160411320320_n.jpg"",""id"":""3169452465""}",1481731210,1.78609e+16,2016-12-08_08-49-17,Nice!,[],[],Nice,['Nice'],[u'nice'],Vice,0.6,0.0,Positive,Neutral,Nice! 💪
5,5,5,5,"{""username"":""flexusmyplexus"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/1390306_1576801132638714_932864236_a.jpg"",""id"":""2996600962""}",1481690765,1.7847e+16,2016-12-08_08-49-17,Come join me!,[],[],Come join,"['Come', 'join']","[u'come', u'join']",Some join,0.0,0.0,Neutral,Neutral,Come join me!
6,6,6,6,"{""username"":""jaderaymond"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22500477_137519346877023_111274927532802048_n.jpg"",""id"":""906544923""}",1481594258,1.78454e+16,2016-12-08_08-49-17,You are a Rockstar!,[],[],Rockstar,['Rockstar'],[u'rockstar'],Rockstar,0.0,0.0,Neutral,Neutral,You are a Rockstar!
7,7,7,7,"{""username"":""orlinasbra"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14582304_377759459235406_1170057711153315840_a.jpg"",""id"":""1649730007""}",1481526284,1.78567e+16,2016-12-08_08-49-17,Very cool,[],[],cool,['cool'],[u'cool'],cool,0.35,0.35,Positive,Positive,Very cool
8,8,8,8,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1481558665,1.78568e+16,2016-12-09_11-23-08,WoW,[],[],WoW,['WoW'],[u'wow'],of,0.1,0.0,Neutral,Neutral,WoW 😍
9,9,9,9,"{""username"":""nakedcoconuts"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17268051_816677988488595_3638697701920473088_a.jpg"",""id"":""221588814""}",1483015361,1.78461e+16,2016-12-21_13-09-17,Love this!,[],[],Love,['Love'],[u'love'],Love,0.5,0.5,Positive,Positive,Love this! :)
