,Unnamed: 0,likes,mediaid,caption,url,shortcode,comments,typename,caption_hashtags,tagged_users,date,caption_mentions,is_video,id,owner_username,owner_id,video_url,text_filtered,text_tokenized,text_stemmed,text_original
212,212,13,1.65971e+18,"The Sensitive High Resolution Ion MicroProbe helped date the oldest rock in the world, the Acasta Gneiss",https://instagram.fyvr3-1.fna.fbcdn.net/vp/b660f145b35930f7b462343970c50a0d/5AF3E7DE/t51.2885-15/e35/24254096_224706831402951_8631184604667052032_n.jpg,BcIeWowjO18,0,GraphImage,"[""gsc175""]",[],2017-11-30T12:14:26,[],False,2017-11-30_12-14-26,naturalresourcescanada,4211313612,,Sensitive High Resolution Ion MicroProbe helped date oldest rock world Acasta Gneiss,"['Sensitive', 'High', 'Resolution', 'Ion', 'MicroProbe', 'helped', 'date', 'oldest', 'rock', 'world', 'Acasta', 'Gneiss']","[u'sensit', u'high', u'resolut', u'ion', u'microprob', u'help', u'date', u'oldest', u'rock', u'world', u'acasta', u'gneiss']","The Sensitive High Resolution Ion MicroProbe helped date the oldest rock in the world, the Acasta Gneiss #GSC175"
213,213,19,1.6603e+18,It’s Month! Stay tuned as we elore how contributes to science-based decision-making in the North. Follow all month to see what we’re doing in Canada’s North!,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a78a36a707b6bc0579348db92060e559/5AF235AB/t51.2885-15/e35/24175368_126925608087102_5656766546408636416_n.jpg,BcKkP-wD7_8,0,GraphImage,"[""arcticscience"",""nrcansci"",""arcticscience""]",[],2017-12-01T07:44:26,[],False,2017-12-01_07-44-26,naturalresourcescanada,4211313612,,Month Stay tuned elore contributes science based decision making North Follow month see North,"['Month', 'Stay', 'tuned', 'elore', 'contributes', 'science', 'based', 'decision', 'making', 'North', 'Follow', 'month', 'see', 'North']","[u'month', u'stay', u'tune', u'elor', u'contribut', u'scienc', u'base', u'decis', u'make', u'north', u'follow', u'month', u'see', u'north']",It’s #ArcticScience Month! Stay tuned as we explore how #NRCanSci contributes to science-based decision-making in the North. \nFollow #ArcticScience all month to see what we’re doing in Canada’s North!
214,214,6,1.66033e+18,"MP Breton announces $5.7M in funding to the Green Municipal Fund to help municipalities improve air, water and soil quality and reduce GHGs",https://instagram.fyvr3-1.fna.fbcdn.net/vp/9c0e74e554bc47534ab739b516ce4b2f/5AFCE3EA/t51.2885-15/e35/24254572_384410532016406_1876607834532085760_n.jpg,BcKr_phj3cP,0,GraphImage,"[""quebec"",""cdnmuni""]",[],2017-12-01T08:52:07,[],False,2017-12-01_08-52-07,naturalresourcescanada,4211313612,,MP Breton announces 7M funding Green Municipal Fund help municipalities improve air water soil quality reduce GHGs,"['MP', 'Breton', 'announces', '7M', 'funding', 'Green', 'Municipal', 'Fund', 'help', 'municipalities', 'improve', 'air', 'water', 'soil', 'quality', 'reduce', 'GHGs']","['mp', u'breton', u'announc', '7m', u'fund', u'green', u'municip', u'fund', u'help', u'municip', u'improv', u'air', u'water', u'soil', u'qualiti', u'reduc', u'ghgs']","MP Breton announces $5.7M in funding to the Green Municipal Fund to help #Quebec municipalities improve air, water and soil quality and reduce GHGs #CDNmuni"
215,215,20,1.66243e+18,"“The world is looking to Canada both as a reliable and stable supplier of the traditional energy it still needs and as an innovator in the newer energy it wants to use.” Minister Carr delivered remarks at Greater Vancouver Board of Trade’s Energy Forum, reiterating the Government’s support for major natural resource projects in Canada.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/67380683c265885d7abd55ab6895865f/5AEEC9C8/t51.2885-15/e35/24331649_131348807557410_8107751777752842240_n.jpg,BcSI4gDjXgy,0,GraphImage,[],[],2017-12-04T06:19:14,[],False,2017-12-04_06-19-14,naturalresourcescanada,4211313612,,world looking Canada reliable stable supplier traditional energy still needs innovator newer energy wants use Minister Carr delivered remarks Greater Vancouver Board Energy Forum reiterating support major natural resource projects Canada,"['world', 'looking', 'Canada', 'reliable', 'stable', 'supplier', 'traditional', 'energy', 'still', 'needs', 'innovator', 'newer', 'energy', 'wants', 'use', 'Minister', 'Carr', 'delivered', 'remarks', 'Greater', 'Vancouver', 'Board', 'Energy', 'Forum', 'reiterating', 'support', 'major', 'natural', 'resource', 'projects', 'Canada']","[u'world', u'look', u'canada', u'reliabl', u'stabl', u'supplier', u'tradit', u'energi', u'still', u'need', u'innov', u'newer', u'energi', u'want', u'use', u'minist', u'carr', u'deliv', u'remark', u'greater', u'vancouv', u'board', u'energi', u'forum', u'reiter', u'support', u'major', u'natur', u'resourc', u'project', u'canada']","“The world is looking to Canada both as a reliable and stable supplier of the traditional energy it still needs and as an innovator in the newer energy it wants to use.” Minister Carr delivered remarks at Greater Vancouver Board of Trade’s 2017 Energy Forum, reiterating the Government’s support for major natural resource projects in Canada."
216,216,13,1.6625e+18,“We believe in the solar industry. We understand its potential to accelerate the transition to a clean-energy future.” – Minister Carr Minister Carr delivers keynote address at conference.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bc1a67d0474c9d5047f46135c7282685/5AFB0C9C/t51.2885-15/e35/24274791_824785451036865_1874517581323304960_n.jpg,BcSZwXpDKvx,0,GraphImage,"[""solarcanada""]",[],2017-12-04T08:46:40,[],False,2017-12-04_08-46-40,naturalresourcescanada,4211313612,,believe solar industry understand potential accelerate transition clean energy future Minister Carr Minister Carr delivers keynote address conference,"['believe', 'solar', 'industry', 'understand', 'potential', 'accelerate', 'transition', 'clean', 'energy', 'future', 'Minister', 'Carr', 'Minister', 'Carr', 'delivers', 'keynote', 'address', 'conference']","[u'believ', u'solar', u'industri', u'understand', u'potenti', u'acceler', u'transit', u'clean', u'energi', u'futur', u'minist', u'carr', u'minist', u'carr', u'deliv', u'keynot', u'address', u'confer']",“We believe in the solar industry. We understand its potential to accelerate the transition to a clean-energy future.” – Minister Carr \nMinister Carr delivers keynote address at #SolarCanada conference.
217,217,11,1.66259e+18,"We’re preparing young Canadians for the economy of the future by investing $16M to create ,200 green jobs through our Science and Technology Internship Program",https://instagram.fyvr3-1.fna.fbcdn.net/vp/932e95306c14d3d1c1d1655c7f526069/5A6458A0/t51.2885-15/e15/24178056_1549273335157744_7475527601029644288_n.jpg,BcStPXbDD06,0,GraphVideo,[],[],2017-12-04T11:37:04,[],True,2017-12-04_11-37-04,naturalresourcescanada,4211313612,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1221765edb5069636522595b84f7e486/5A64795B/t50.2886-16/24382974_1359155794194105_524988068931829760_n.mp4,preparing young Canadians economy future investing 16M create 200 green jobs Science Technology Internship Program,"['preparing', 'young', 'Canadians', 'economy', 'future', 'investing', '16M', 'create', '200', 'green', 'jobs', 'Science', 'Technology', 'Internship', 'Program']","[u'prepar', u'young', u'canadian', u'economi', u'futur', u'invest', u'16m', u'creat', u'200', u'green', u'job', u'scienc', u'technolog', u'internship', u'program']","We’re preparing young Canadians for the economy of the future by investing $16M to create 1,200 green jobs through our Science and Technology Internship Program"
218,218,30,1.6633e+18,Our autonomous underwater vehicle in the Arctic Ocean travelled more than km & reached depths over km — achieving a !,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3714d00420503caff7f85fc7eb89a53b/5AEAE280/t51.2885-15/e35/24838511_134563107259242_4143980851740278784_n.jpg,BcVPCxZjz1t,0,GraphImage,"[""worldrecord"",""nrcansci""]",[],2017-12-05T11:10:47,[],False,2017-12-05_11-10-47,naturalresourcescanada,4211313612,,autonomous underwater vehicle Arctic Ocean travelled km reached depths km achieving,"['autonomous', 'underwater', 'vehicle', 'Arctic', 'Ocean', 'travelled', 'km', 'reached', 'depths', 'km', 'achieving']","[u'autonom', u'underwat', u'vehicl', u'arctic', u'ocean', u'travel', 'km', u'reach', u'depth', 'km', u'achiev']",Our autonomous underwater vehicle in the Arctic Ocean travelled more than 1000 km & reached depths over 3 km — achieving a #WorldRecord! #NRCanSci
219,219,8,1.66331e+18,Multibeam sonar is an invaluable tool for high-resolution geological mapping,https://instagram.fyvr3-1.fna.fbcdn.net/vp/57d0392b980b2504abb23ae0974cdec6/5AD95484/t51.2885-15/e35/24178113_107932006661988_7021570676196638720_n.jpg,BcVRcHZj4Fn,0,GraphImage,"[""gsc175""]",[],2017-12-05T11:31:43,[],False,2017-12-05_11-31-43,naturalresourcescanada,4211313612,,Multibeam sonar invaluable tool high resolution geological mapping,"['Multibeam', 'sonar', 'invaluable', 'tool', 'high', 'resolution', 'geological', 'mapping']","[u'multibeam', u'sonar', u'invalu', u'tool', u'high', u'resolut', u'geolog', u'map']",Multibeam sonar is an invaluable tool for high-resolution geological mapping #GSC175
220,220,5,1.66394e+18,Geoscape posters with their geological information are used in classrooms across Canada,https://instagram.fyvr3-1.fna.fbcdn.net/vp/27a24e7f4951a0ed9b5efc4b91051053/5ADB2398/t51.2885-15/e35/25012418_296020604239125_5087109473273643008_n.jpg,BcXfDrrjG1A,0,GraphImage,"[""gsc175""]",[],2017-12-06T08:09:12,[],False,2017-12-06_08-09-12,naturalresourcescanada,4211313612,,Geoscape posters geological information used classrooms across Canada,"['Geoscape', 'posters', 'geological', 'information', 'used', 'classrooms', 'across', 'Canada']","[u'geoscap', u'poster', u'geolog', u'inform', u'use', u'classroom', u'across', u'canada']",Geoscape posters with their geological information are used in classrooms across Canada #GSC175
221,221,16,1.66403e+18,"International collaboration at its best! Canada’s Extended Continental Shelf Program is advancing scientific research. In the Atlantic Ocean, Canada collaborated with its neighbours in their scientific work, including with Denmark in the Labrador Sea and with the United States off the Scotian Shelf southwest of Nova Scotia. In the Arctic Ocean, Canada collaborated on joint surveys with Denmark and the United States, and had a cooperation with Russia. ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/23ba9d311bfc35baaffa5a7f0a34d794/5AF0044C/t51.2885-15/e35/25005343_195078131065308_2951944740666343424_n.jpg,BcX0znqDuV2,0,GraphImage,"[""arcticscience""]",[],2017-12-06T11:19:15,[],False,2017-12-06_11-19-15,naturalresourcescanada,4211313612,,International collaboration best Extended Continental Shelf Program advancing scientific research Atlantic Ocean Canada collaborated neighbours scientific work including Denmark Labrador Sea United States Scotian Shelf southwest Nova Scotia Arctic Ocean Canada collaborated joint surveys Denmark United States cooperation Russia,"['International', 'collaboration', 'best', 'Extended', 'Continental', 'Shelf', 'Program', 'advancing', 'scientific', 'research', 'Atlantic', 'Ocean', 'Canada', 'collaborated', 'neighbours', 'scientific', 'work', 'including', 'Denmark', 'Labrador', 'Sea', 'United', 'States', 'Scotian', 'Shelf', 'southwest', 'Nova', 'Scotia', 'Arctic', 'Ocean', 'Canada', 'collaborated', 'joint', 'surveys', 'Denmark', 'United', 'States', 'cooperation', 'Russia']","[u'intern', u'collabor', u'best', u'extend', u'continent', u'shelf', u'program', u'advanc', u'scientif', u'research', u'atlant', u'ocean', u'canada', u'collabor', u'neighbour', u'scientif', u'work', u'includ', u'denmark', u'labrador', u'sea', u'unit', u'state', u'scotian', u'shelf', u'southwest', u'nova', u'scotia', u'arctic', u'ocean', u'canada', u'collabor', u'joint', u'survey', u'denmark', u'unit', u'state', u'cooper', u'russia']","International collaboration at its best! Canada’s Extended Continental Shelf Program is advancing scientific research. \nIn the Atlantic Ocean, Canada collaborated with its neighbours in their scientific work, including with Denmark in the Labrador Sea and with the United States off the Scotian Shelf southwest of Nova Scotia. \nIn the Arctic Ocean, Canada collaborated on joint surveys with Denmark and the United States, and had a cooperation with Russia. \n#ArcticScience"
